"days.to.today","cases.estimated","cases.estimated.sd","cases.reported","cases.reported.sd","cases.observed","cases.estimated.l95","cases.estimated.u95","cases.reported.l95","cases.reported.u95","new.cases.estimated","new.cases.reported"
-143,990.737780950447,20.4676760924824,343.172295055034,2.19683279449364,NA,950.621135809181,1030.85442609171,338.866502777826,347.478087332241,NA,NA
-142,1015.1042721042,20.5287261693077,358.078854349095,2.2256316726236,NA,974.867968812358,1055.34057539604,353.716616270753,362.441092427437,24.3664911537543,14.9065592940615
-141,1039.91673753472,20.56920364549,373.169476599238,2.24154340892451,NA,999.601098389564,1080.23237667989,368.776051517746,377.56290168073,24.8124654305238,15.0906222501432
-140,1065.18356626452,20.5879389238178,388.447093970744,2.24391395006924,NA,1024.83120597384,1105.53592655521,384.049022628609,392.84516531288,25.2668287297988,15.2776173715061
-139,1090.91335563555,20.5837310607373,403.914713014597,2.23208743680169,NA,1050.5692427565,1131.25746851459,399.539821638465,408.289604390728,25.7297893710236,15.4676190438524
-138,1117.1149051027,20.5553461193457,419.575409247835,2.20540301423776,NA,1076.82642670878,1157.40338349661,415.252819339929,423.897999155741,26.2015494671489,15.6606962332385
-137,1143.7972165764,20.5015166902853,435.432325780781,2.16319321724419,NA,1103.61424386344,1183.98018928936,431.192467074983,439.67218448658,26.6823114737074,15.8569165329461
-136,1170.96949241447,20.420941066572,451.488670594182,2.10478299782941,NA,1130.94444792399,1210.99453690495,447.363295918437,455.614045269928,27.1722758380633,16.056344813401
-135,1198.64113580007,20.3122841065082,467.747715295329,2.02949076112626,NA,1158.82905895132,1238.45321264883,463.769913403521,471.725517187136,27.671643385605,16.2590447011464
-134,1226.82175347075,20.1741786838382,484.212795282692,1.93663212802926,NA,1187.28036325043,1266.36314369107,480.416996311754,488.008594253629,28.1806176706791,16.4650799873631
-133,1255.52115490786,20.0052280255605,500.887307849502,1.825527063556,NA,1216.31090797776,1294.73140183795,497.309274804932,504.465340894072,28.6994014371057,16.67451256681
-132,1284.74936027186,19.8040106972739,517.774715393146,1.69551549427797,NA,1245.9334993052,1323.56522123851,514.451505024361,521.097925761931,29.228205363999,16.8874075436439
-131,1314.51660397138,19.569086166637,534.878546027127,1.54598756896358,NA,1276.16119508477,1352.87201285799,531.848410391959,537.908681662296,29.7672436995254,17.1038306339815
-130,1344.83333149623,19.2990023514093,552.20239032704,1.37644657789434,NA,1307.00728688747,1382.65937610499,549.504555034367,554.900225619713,30.3167275248475,17.3238442999128
-129,1375.71020645761,18.9923065039305,569.749903966296,1.18665702908548,NA,1338.48528570991,1412.93512720531,567.424056189288,572.075751743303,30.8768749613823,17.5475136392555
-128,1407.15811753176,18.647561011281,587.524810225599,0.977032845475332,NA,1370.60889794965,1443.70733711387,585.609825848467,589.43979460273,31.447911074152,17.7749062593033
-127,1439.18817670273,18.2633633100351,605.53089754333,0.749864910141523,NA,1403.39198461506,1474.9843687904,604.061162319453,607.000632767208,32.0300591709647,18.0060873177316
-126,1471.81172863419,17.8383741759462,623.772023354469,0.514431532335273,NA,1436.84851524933,1506.77494201904,622.763737551092,624.780309157846,32.6235519314596,18.2411258111385
-125,1505.04035680544,17.3713566504096,642.252116027252,0.317037989809697,NA,1470.99249777064,1539.08821584024,641.630721567225,642.873510487279,33.2286281712531,18.4800926727826
-124,1538.88588052042,16.8612292882467,660.975171699368,0.338969211238149,759,1505.83787111546,1571.93388992538,660.310792045341,661.639551353394,33.8455237149792,18.7230556721162
-123,1573.36036884235,16.3071425181485,679.945260511433,0.599576658819277,NA,1541.39836950677,1605.32236817792,678.770090260147,681.120430762719,34.4744883219262,18.9700888120652
-122,1608.47614850028,15.708585612625,699.166529376831,0.945175693958808,NA,1577.68732069954,1639.26497630103,697.313985016672,701.01907373699,35.1157796579394,19.2212688653982
-121,1644.24579774866,15.0655383716714,718.643197030398,1.33553916827128,NA,1614.71734254019,1673.77425295714,716.025540260586,721.26085380021,35.7696492483778,19.476667653567
-120,1680.68215703225,14.378696191495,738.37955830901,1.76251883911567,NA,1652.49991249692,1708.86440156758,734.925021384344,741.834095233677,36.4363592835916,19.7363612786122
-119,1717.79833665119,13.6498021413116,758.379986704705,2.22431414362289,NA,1691.04472445422,1744.55194884816,754.020330983204,762.739642426206,37.1161796189338,20.0004283956948
-118,1755.60771939407,12.8821477317234,778.6489341545,2.72092141397952,NA,1730.3587098399,1780.85672894825,773.3159281831,783.9819401259,37.8093827428866,20.2689474497948
-117,1794.12397200046,12.0813397947319,799.190935544573,3.25301154824252,NA,1770.44454600279,1817.80339799814,792.815032910018,805.566838179129,38.5162526063873,20.5420013900732
-116,1833.36105016336,11.2564886932048,820.010609671824,3.82156959642061,NA,1811.29833232468,1855.42376800204,812.52033326284,827.500886080809,39.2370781628968,20.8196741272512
-115,1872.97594640223,10.4698682447687,840.924057432446,4.39077465133245,NA,1852.45500464248,1893.49688816197,832.318139115834,849.529975749058,39.6148962388695,20.9134477606216
-114,1912.65807063569,9.7717618356118,861.767193393458,4.92751892308542,NA,1893.50541743789,1931.81072383349,852.10925630421,871.425130482705,39.6821242334643,20.8431359610116
-113,1952.46631975205,9.15898746862902,882.571504489444,5.43601989793082,NA,1934.51470431354,1970.41793519056,871.9169054895,893.226103489389,39.8082491163593,20.8043110959867
-112,1992.45387141674,8.63024632382592,903.36503135508,5.91969819834345,NA,1975.53858862204,2009.36915421143,891.762422886327,914.967639823834,39.9875516646844,20.7935268656361
