"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-04-06";"146";"326625 (174855, 478394)";"6168 (3168,  9168)";"1696312 ( 903933, 2488692)";"30905 (16843, 44968)";"354547 (194095, 514999)";"245374 (126541, 364207)";"48443 (23800, 73086)";"73454 (43114, 103795)";"132218 ( 77605, 186830)";"40%"
"2015-04-05";"145";"320457 (171661, 469252)";"6080 (3098,  9061)";"1665407 ( 886852, 2443962)";"30513 (16480, 44546)";"350089 (189931, 510247)";"241879 (123735, 360024)";"47683 (23276, 72090)";"72391 (42231, 102550)";"130303 ( 76015, 184591)";"40%"
"2015-04-04";"144";"314377 (168540, 460215)";"5991 (3029,  8953)";"1634894 ( 870155, 2399633)";"30119 (16122, 44116)";"345605 (185818, 505391)";"238384 (120982, 355785)";"46926 (22764, 71088)";"71327 (41362, 101293)";"128389 ( 74451, 182327)";"40%"
"2015-04-03";"143";"308386 (165489, 451283)";"5903 (2961,  8844)";"1604775 ( 853835, 2355715)";"29722 (15768, 43677)";"341098 (181760, 500435)";"234889 (118285, 351493)";"46172 (22264, 70080)";"70265 (40508, 100023)";"126477 ( 72914, 180041)";"40%"
"2015-04-02";"142";"302484 (162508, 442459)";"5814 (2895,  8734)";"1575053 ( 837887, 2312219)";"29325 (15420, 43229)";"336571 (177761, 495382)";"231398 (115643, 347153)";"45422 (21777, 69067)";"69205 (39669,  98741)";"124569 ( 71404, 177734)";"40%"
"2015-04-01";"141";"296669 (159595, 433744)";"5726 (2830,  8622)";"1545728 ( 822303, 2269154)";"28926 (15077, 42774)";"332029 (173824, 490233)";"227912 (113059, 342765)";"44676 (21302, 68051)";"68147 (38845,  97449)";"122665 ( 69921, 175408)";"40%"
"2015-03-31";"140";"290943 (156748, 425139)";"5638 (2767,  8509)";"1516803 ( 807076, 2226530)";"28525 (14741, 42310)";"327473 (169952, 484994)";"224433 (110531, 338335)";"43935 (20839, 67031)";"67092 (38037,  96147)";"120766 ( 68467, 173065)";"40%"
"2015-03-30";"139";"285305 (153965, 416645)";"5550 (2705,  8396)";"1488277 ( 792198, 2184356)";"28125 (14410, 41839)";"322907 (166148, 479666)";"220964 (108062, 333866)";"43198 (20388, 66008)";"66041 (37245,  94836)";"118873 ( 67041, 170705)";"40%"
"2015-03-29";"138";"279755 (151246, 408264)";"5463 (2645,  8281)";"1460153 ( 777664, 2142641)";"27723 (14086, 41361)";"318334 (162414, 474255)";"217505 (105651, 329360)";"42467 (19950, 64984)";"64993 (36468,  93518)";"116988 ( 65643, 168332)";"40%"
"2015-03-28";"137";"274292 (148587, 399996)";"5376 (2586,  8166)";"1432429 ( 763465, 2101394)";"27322 (13768, 40876)";"313758 (158752, 468763)";"214060 (103298, 324822)";"41741 (19523, 63959)";"63950 (35708,  92192)";"115110 ( 64275, 165946)";"40%"
"2015-03-27";"136";"268916 (145989, 391842)";"5289 (2529,  8050)";"1405107 ( 749593, 2060621)";"26920 (13456, 40384)";"309180 (155165, 463196)";"210629 (101003, 320254)";"41021 (19108, 62933)";"62912 (34964,  90861)";"113242 ( 62935, 163550)";"40%"
"2015-03-26";"135";"263626 (143449, 383804)";"5203 (2473,  7933)";"1378187 ( 736042, 2020332)";"26519 (13152, 39887)";"304605 (151653, 457556)";"207214 ( 98767, 315662)";"40307 (18705, 61908)";"61880 (34236,  89525)";"111384 ( 61624, 161144)";"40%"
"2015-03-25";"134";"258423 (140965, 375881)";"5117 (2418,  7816)";"1351668 ( 722804, 1980532)";"26119 (12854, 39383)";"300034 (148218, 451850)";"203818 ( 96589, 311047)";"39598 (18313, 60884)";"60854 (33524,  88184)";"109537 ( 60343, 158732)";"40%"
"2015-03-24";"133";"253306 (138536, 368075)";"5032 (2365,  7699)";"1325549 ( 709870, 1941228)";"25719 (12563, 38875)";"295471 (144861, 446080)";"200441 ( 94468, 306414)";"38897 (17931, 59862)";"59834 (32828,  86841)";"107702 ( 59090, 156314)";"40%"
"2015-03-23";"132";"248274 (136161, 360386)";"4947 (2314,  7581)";"1299830 ( 697234, 1902427)";"25320 (12279, 38361)";"290918 (141583, 440252)";"197085 ( 92404, 301767)";"38202 (17561, 58843)";"58822 (32148,  85496)";"105879 ( 57866, 153893)";"40%"
"2015-03-22";"131";"243326 (133838, 352814)";"4863 (2264,  7463)";"1274511 ( 684888, 1864133)";"24922 (12001, 37843)";"286377 (138383, 434371)";"193752 ( 90396, 297108)";"37514 (17202, 57826)";"57816 (31483,  84150)";"104070 ( 56670, 151469)";"40%"
"2015-03-21";"130";"238463 (131565, 345360)";"4780 (2215,  7345)";"1249588 ( 672824, 1826353)";"24526 (11731, 37321)";"281852 (135263, 428442)";"190443 ( 88444, 292441)";"36833 (16852, 56813)";"56819 (30835,  82803)";"102274 ( 55502, 149046)";"40%"
"2015-03-20";"129";"233683 (129341, 338024)";"4697 (2168,  7226)";"1225062 ( 661035, 1789090)";"24132 (11468, 36795)";"277345 (132221, 422468)";"187158 ( 86547, 287770)";"36159 (16513, 55805)";"55829 (30201,  81457)";"100493 ( 54362, 146623)";"40%"
"2015-03-19";"128";"228986 (127165, 330806)";"4615 (2122,  7108)";"1200931 ( 649513, 1752349)";"23739 (11211, 36266)";"272857 (129259, 416456)";"183901 ( 84703, 283098)";"35493 (16184, 54801)";"54848 (29584,  80113)";" 98727 ( 53250, 144204)";"40%"
"2015-03-18";"127";"224371 (125035, 323706)";"4534 (2077,  6990)";"1177192 ( 638251, 1716133)";"23348 (10962, 35735)";"268392 (126375, 410410)";"180671 ( 82913, 278429)";"34834 (15864, 53803)";"53876 (28981,  78772)";" 96977 ( 52165, 141789)";"40%"
"2015-03-17";"126";"219837 (122950, 316724)";"4453 (2034,  6872)";"1153844 ( 627241, 1680446)";"22960 (10719, 35201)";"263952 (123569, 404335)";"177470 ( 81174, 273766)";"34183 (15554, 52812)";"52913 (28393,  77433)";" 95244 ( 51107, 139380)";"40%"
"2015-03-16";"125";"215384 (120909, 309860)";"4373 (1992,  6754)";"1130884 ( 616477, 1645291)";"22574 (10483, 34665)";"259538 (120840, 398235)";"174299 ( 79486, 269112)";"33539 (15252, 51827)";"51960 (27819,  76100)";" 93527 ( 50075, 136979)";"40%"
"2015-03-15";"124";"211011 (118909, 303113)";"4294 (1951,  6637)";"1108310 ( 605951, 1610669)";"22191 (10254, 34127)";"255152 (118188, 392117)";"171158 ( 77847, 264470)";"32904 (14960, 50849)";"51016 (27260,  74771)";" 91828 ( 49069, 134588)";"40%"
"2015-03-14";"123";"206717 (116951, 296484)";"4216 (1911,  6520)";"1086119 ( 595656, 1576583)";"21810 (10031, 33589)";"250797 (115610, 385984)";"168050 ( 76257, 259843)";"32277 (14675, 49879)";"50082 (26715,  73448)";" 90147 ( 48088, 132207)";"40%"
"2015-03-13";"122";"202502 (115032, 289971)";"4138 (1873,  6404)";"1064309 ( 585585, 1543034)";"21432 ( 9815, 33050)";"246475 (113107, 379842)";"164974 ( 74713, 255235)";"31658 (14400, 48917)";"49158 (26184,  72132)";" 88484 ( 47131, 129838)";"40%"
"2015-03-12";"121";"198364 (113152, 283575)";"4062 (1835,  6288)";"1042877 ( 575732, 1510023)";"21058 ( 9604, 32511)";"242186 (110676, 373695)";"161932 ( 73216, 250647)";"31047 (14132, 47963)";"48245 (25666,  70823)";" 86841 ( 46199, 127482)";"40%"
"2015-03-11";"120";"194302 (111309, 277295)";"3986 (1799,  6173)";"1021820 ( 566090, 1477550)";"20686 ( 9401, 31972)";"237933 (108317, 367548)";"158924 ( 71763, 246084)";"30445 (13871, 47019)";"47342 (25162,  69523)";" 85216 ( 45291, 125141)";"40%"
"2015-03-10";"119";"190316 (109502, 271130)";"3911 (1764,  6058)";"1001134 ( 556652, 1445615)";"20318 ( 9203, 31433)";"233717 (106028, 361406)";"155951 ( 70354, 241548)";"29851 (13618, 46084)";"46450 (24670,  68231)";" 83611 ( 44406, 122816)";"40%"
"2015-03-09";"118";"186405 (107731, 265079)";"3837 (1730,  5945)";" 980816 ( 547413, 1414218)";"19953 ( 9011, 30896)";"229540 (103807, 355272)";"153013 ( 68986, 237041)";"29266 (13373, 45159)";"45570 (24190,  66949)";" 82026 ( 43543, 120508)";"40%"
"2015-03-08";"117";"182568 (105993, 259143)";"3764 (1697,  5832)";" 960862 ( 538366, 1383358)";"19592 ( 8825, 30360)";"225403 (101653, 349152)";"150112 ( 67659, 232566)";"28689 (13134, 44244)";"44700 (23723,  65677)";" 80460 ( 42702, 118219)";"40%"
"2015-03-07";"116";"178804 (104289, 253319)";"3692 (1664,  5720)";" 941270 ( 529506, 1353034)";"19235 ( 8644, 29825)";"221307 ( 99564, 343050)";"147248 ( 66371, 228124)";"28120 (12901, 43339)";"43842 (23268,  64416)";" 78916 ( 41882, 115949)";"40%"
"2015-03-06";"115";"175112 (102616, 247607)";"3621 (1633,  5609)";" 922035 ( 520826, 1323244)";"18881 ( 8469, 29293)";"217254 ( 97539, 336970)";"144421 ( 65122, 223720)";"27561 (12675, 42446)";"42995 (22824,  63166)";" 77392 ( 41084, 113699)";"40%"
"2015-03-05";"114";"171491 (100975, 242007)";"3551 (1603,  5499)";" 903154 ( 512321, 1293987)";"18531 ( 8300, 28763)";"213245 ( 95575, 330915)";"141631 ( 63908, 219354)";"27009 (12456, 41563)";"42160 (22392,  61929)";" 75888 ( 40305, 111471)";"40%"
"2015-03-04";"113";"167940 ( 99363, 236516)";"3482 (1574,  5390)";" 884622 ( 503986, 1265259)";"18186 ( 8135, 28236)";"209280 ( 93670, 324891)";"138880 ( 62731, 215029)";"26467 (12242, 40692)";"41337 (21970,  60703)";" 74406 ( 39546, 109266)";"40%"
"2015-03-03";"112";"164458 ( 97781, 231135)";"3413 (1545,  5282)";" 866437 ( 495814, 1237059)";"17844 ( 7976, 27712)";"205362 ( 91824, 318899)";"136166 ( 61587, 210746)";"25933 (12033, 39832)";"40525 (21559,  59491)";" 72945 ( 38806, 107083)";"40%"
"2015-03-02";"111";"161045 ( 96228, 225862)";"3346 (1517,  5175)";" 848593 ( 487802, 1209383)";"17506 ( 7821, 27192)";"201490 ( 90034, 312945)";"133492 ( 60476, 206508)";"25407 (11831, 38984)";"39725 (21158,  58292)";" 71505 ( 38084, 104925)";"40%"
"2015-03-01";"110";"157699 ( 94702, 220695)";"3280 (1490,  5070)";" 831086 ( 479945, 1182228)";"17173 ( 7671, 26675)";"197665 ( 88298, 307032)";"130856 ( 59397, 202315)";"24891 (11633, 38148)";"38937 (20767,  57106)";" 70086 ( 37381, 102791)";"40%"
"2015-02-28";"109";"154419 ( 93203, 215635)";"3215 (1464,  4965)";" 813913 ( 472236, 1155590)";"16844 ( 7526, 26162)";"193889 ( 86614, 301163)";"128259 ( 58348, 198171)";"24382 (11440, 37325)";"38160 (20386,  55935)";" 68689 ( 36694, 100684)";"40%"
"2015-02-27";"108";"151204 ( 91729, 210678)";"3151 (1439,  4862)";" 797069 ( 464673, 1129465)";"16519 ( 7385, 25653)";"190161 ( 84982, 295340)";"125702 ( 57328, 194076)";"23883 (11252, 36513)";"37396 (20014,  54779)";" 67313 ( 36024,  98602)";"40%"
"2015-02-26";"107";"148053 ( 90282, 205825)";"3087 (1414,  4760)";" 780550 ( 457251, 1103850)";"16199 ( 7248, 25149)";"186483 ( 83398, 289568)";"123184 ( 56336, 190031)";"23392 (11069, 35714)";"36644 (19650,  53637)";" 65959 ( 35371,  96547)";"40%"
"2015-02-25";"106";"144966 ( 88859, 201073)";"3025 (1390,  4660)";" 764352 ( 449964, 1078739)";"15883 ( 7115, 24650)";"182855 ( 81861, 283849)";"120705 ( 55371, 186038)";"22909 (10890, 34928)";"35903 (19296,  52511)";" 64626 ( 34733,  94519)";"40%"
