"Date";"Days from today";"PPE (m3)";"PPE (tons)";"Body bags (m3)";"Body bags (tons)";"Chlorine (m3)";"Chlorine (tons)";"Medical supplies (m3)";"Medical supplies (tons)";"Lab supplies (m3)";"Lab supplies (tons)";"Total (m3)";"Total (tons)"
"2015-04-28";"168";"446.1 (-327.6, 1219.8)";"92.7 (-68.1, 253.5)";"1.2 (-0.9, 3.3)";"0.1 (-0.1, 0.3)";"0.5 (-0.4, 1.3)";"0.5 (-0.4, 1.3)";"6.9 (-5.1, 18.8)";"3.4 (-2.5, 9.4)";"0.7 (-0.5, 2.0)";"0.4 (-0.3, 1.0)";"455.4 (-334.5, 1245.2)";"97.1 (-71.3, 265.5)"
"2015-04-27";"167";"438.2 (-319.2, 1195.7)";"91.1 (-66.3, 248.5)";"1.2 (-0.9, 3.2)";"0.1 (-0.1, 0.3)";"0.5 (-0.3, 1.3)";"0.5 (-0.3, 1.3)";"6.8 (-4.9, 18.5)";"3.4 (-2.5, 9.2)";"0.7 (-0.5, 2.0)";"0.4 (-0.3, 1.0)";"447.4 (-325.8, 1220.6)";"95.4 (-69.5, 260.3)"
"2015-04-26";"166";"430.5 (-310.9, 1171.9)";"89.5 (-64.6, 243.5)";"1.2 (-0.8, 3.1)";"0.1 (-0.1, 0.3)";"0.5 (-0.3, 1.3)";"0.5 (-0.3, 1.3)";"6.6 (-4.8, 18.1)";"3.3 (-2.4, 9.0)";"0.7 (-0.5, 2.0)";"0.3 (-0.3, 0.9)";"439.5 (-317.4, 1196.4)";"93.7 (-67.7, 255.1)"
"2015-04-25";"165";"422.9 (-302.7, 1148.6)";"87.9 (-62.9, 238.7)";"1.1 (-0.8, 3.1)";"0.1 (-0.1, 0.3)";"0.5 (-0.3, 1.2)";"0.5 (-0.3, 1.2)";"6.5 (-4.7, 17.7)";"3.3 (-2.3, 8.9)";"0.7 (-0.5, 1.9)";"0.3 (-0.2, 0.9)";"431.8 (-309.0, 1172.6)";"92.1 (-65.9, 250.0)"
"2015-04-24";"164";"415.5 (-294.7, 1125.6)";"86.3 (-61.2, 233.9)";"1.1 (-0.8, 3.0)";"0.1 (-0.1, 0.3)";"0.4 (-0.3, 1.2)";"0.4 (-0.3, 1.2)";"6.4 (-4.6, 17.4)";"3.2 (-2.3, 8.7)";"0.7 (-0.5, 1.9)";"0.3 (-0.2, 0.9)";"424.1 (-300.8, 1149.1)";"90.4 (-64.2, 245.0)"
"2015-04-23";"163";"408.1 (-286.8, 1103.1)";"84.8 (-59.6, 229.2)";"1.1 (-0.8, 3.0)";"0.1 (-0.1, 0.3)";"0.4 (-0.3, 1.2)";"0.4 (-0.3, 1.2)";"6.3 (-4.4, 17.0)";"3.2 (-2.2, 8.5)";"0.7 (-0.5, 1.9)";"0.3 (-0.2, 0.9)";"416.6 (-292.8, 1126.1)";"88.8 (-62.4, 240.1)"
"2015-04-22";"162";"400.9 (-279.1, 1080.9)";"83.3 (-58.0, 224.6)";"1.1 (-0.7, 2.9)";"0.1 (-0.1, 0.3)";"0.4 (-0.3, 1.2)";"0.4 (-0.3, 1.2)";"6.2 (-4.3, 16.7)";"3.1 (-2.2, 8.3)";"0.7 (-0.5, 1.8)";"0.3 (-0.2, 0.9)";"409.3 (-284.9, 1103.5)";"87.3 (-60.7, 235.3)"
"2015-04-21";"161";"393.8 (-271.5, 1059.1)";"81.8 (-56.4, 220.1)";"1.1 (-0.7, 2.8)";"0.1 (-0.1, 0.3)";"0.4 (-0.3, 1.1)";"0.4 (-0.3, 1.1)";"6.1 (-4.2, 16.4)";"3.0 (-2.1, 8.2)";"0.7 (-0.5, 1.8)";"0.3 (-0.2, 0.9)";"402.0 (-277.1, 1081.2)";"85.7 (-59.1, 230.5)"
"2015-04-20";"160";"386.8 (-264.0, 1037.7)";"80.4 (-54.9, 215.6)";"1.0 (-0.7, 2.8)";"0.1 (-0.1, 0.3)";"0.4 (-0.3, 1.1)";"0.4 (-0.3, 1.1)";"6.0 (-4.1, 16.0)";"3.0 (-2.0, 8.0)";"0.6 (-0.4, 1.7)";"0.3 (-0.2, 0.8)";"394.9 (-269.5, 1059.4)";"84.2 (-57.5, 225.9)"
"2015-04-19";"159";"380.0 (-256.7, 1016.7)";"79.0 (-53.3, 211.3)";"1.0 (-0.7, 2.7)";"0.1 (-0.1, 0.3)";"0.4 (-0.3, 1.1)";"0.4 (-0.3, 1.1)";"5.9 (-4.0, 15.7)";"2.9 (-2.0, 7.9)";"0.6 (-0.4, 1.7)";"0.3 (-0.2, 0.8)";"387.9 (-262.0, 1037.9)";"82.7 (-55.9, 221.3)"
