"Date";"Days from today";"Caseload";"Administrator (coordination)";"Doctor (ETU)";"Doctor (coordination)";"Epidemiologist (contact tracing)";"Epidemiologist (coordination)";"Lab scientist (laboratories)";"Logistician (burials)";"Logistician (ETU)";"Logistician (coordination)";"Nurse (ETU)";"Public health specialist (Social mobilization)";"Public health specialist (coordination)";"Data management (coordination)";"Total personnel"
"2015-04-12";"152";"13700 ( -8555, 35955)";"15 ( -9, 39)";"31 (-19,  81)";" 8 (-4, 20)";"17 (-11, 45)";"23 (-14, 60)";"46 (-29, 121)";"23 (-14, 60)";"61 (-38, 160)";"23 (-14, 60)";"122 ( -76, 320)";"35 (-22,  92)";"15 ( -9, 39)";"19 (-12, 50)";"438 (178, 698)"
"2015-04-11";"151";"13456 ( -8301, 35213)";"15 ( -9, 39)";"30 (-19,  79)";" 7 (-5, 19)";"17 (-10, 44)";"22 (-14, 58)";"45 (-28, 118)";"22 (-14, 58)";"60 (-37, 157)";"22 (-14, 58)";"120 ( -74, 314)";"34 (-21,  89)";"15 ( -9, 39)";"19 (-11, 49)";"428 (174, 682)"
"2015-04-10";"150";"13216 ( -8052, 34484)";"15 ( -8, 38)";"30 (-18,  78)";" 7 (-5, 19)";"17 (-10, 44)";"22 (-13, 57)";"44 (-27, 115)";"22 (-13, 57)";"59 (-36, 154)";"22 (-13, 57)";"118 ( -71, 307)";"34 (-20,  88)";"15 ( -8, 38)";"19 (-11, 49)";"424 (176, 672)"
"2015-04-09";"149";"12981 ( -7807, 33769)";"14 ( -9, 37)";"29 (-18,  76)";" 7 (-4, 18)";"16 (-10, 42)";"21 (-13, 55)";"43 (-27, 113)";"21 (-13, 55)";"58 (-35, 151)";"21 (-13, 55)";"116 ( -69, 301)";"33 (-20,  86)";"14 ( -9, 37)";"18 (-11, 47)";"411 (168, 654)"
"2015-04-08";"148";"12749 ( -7570, 33068)";"14 ( -8, 36)";"29 (-17,  75)";" 7 (-4, 18)";"16 ( -9, 41)";"21 (-13, 55)";"43 (-25, 111)";"21 (-13, 55)";"57 (-33, 147)";"21 (-13, 55)";"113 ( -68, 294)";"33 (-19,  85)";"14 ( -8, 36)";"18 (-10, 46)";"407 (170, 644)"
"2015-04-07";"147";"12522 ( -7336, 32380)";"14 ( -8, 36)";"28 (-17,  73)";" 7 (-4, 18)";"16 ( -9, 41)";"21 (-12, 54)";"42 (-25, 109)";"21 (-12, 54)";"56 (-32, 144)";"21 (-12, 54)";"111 ( -66, 288)";"32 (-19,  83)";"14 ( -8, 36)";"18 (-10, 46)";"401 (169, 633)"
"2015-04-06";"146";"12298 ( -7109, 31705)";"14 ( -7, 35)";"28 (-16,  72)";" 7 (-4, 18)";"15 ( -9, 39)";"20 (-12, 52)";"41 (-24, 106)";"20 (-12, 52)";"55 (-31, 141)";"20 (-12, 52)";"109 ( -64, 282)";"31 (-18,  80)";"14 ( -7, 35)";"17 (-10, 44)";"391 (165, 617)"
"2015-04-05";"145";"12079 ( -6885, 31043)";"13 ( -8, 34)";"27 (-16,  70)";" 7 (-3, 17)";"15 ( -9, 39)";"20 (-11, 51)";"40 (-24, 104)";"20 (-11, 51)";"54 (-30, 138)";"20 (-11, 51)";"108 ( -61, 277)";"31 (-17,  79)";"13 ( -8, 34)";"17 (-10, 44)";"385 (164, 606)"
"2015-04-04";"144";"11863 ( -6668, 30394)";"13 ( -7, 33)";"27 (-15,  69)";" 7 (-3, 17)";"15 ( -8, 38)";"20 (-11, 51)";"40 (-22, 102)";"20 (-11, 51)";"53 (-29, 135)";"20 (-11, 51)";"106 ( -59, 271)";"30 (-17,  77)";"13 ( -7, 33)";"17 ( -9, 43)";"381 (165, 597)"
"2015-04-03";"143";"11652 ( -6454, 29758)";"13 ( -7, 33)";"26 (-15,  67)";" 6 (-4, 16)";"15 ( -8, 38)";"19 (-11, 49)";"39 (-22, 100)";"19 (-11, 49)";"52 (-29, 133)";"19 (-11, 49)";"104 ( -57, 265)";"30 (-16,  76)";"13 ( -7, 33)";"16 ( -9, 41)";"371 (160, 582)"
"2015-04-02";"142";"11444 ( -6246, 29134)";"13 ( -6, 32)";"26 (-14,  66)";" 6 (-4, 16)";"14 ( -8, 36)";"19 (-10, 48)";"38 (-21,  97)";"19 (-10, 48)";"51 (-28, 130)";"19 (-10, 48)";"102 ( -55, 259)";"29 (-16,  74)";"13 ( -6, 32)";"16 ( -9, 41)";"365 (159, 571)"
"2015-04-01";"141";"11239 ( -6044, 28522)";"12 ( -7, 31)";"25 (-14,  64)";" 6 (-4, 16)";"14 ( -8, 36)";"19 (-10, 48)";"38 (-20,  96)";"19 (-10, 48)";"50 (-27, 127)";"19 (-10, 48)";"100 ( -54, 254)";"29 (-15,  73)";"12 ( -7, 31)";"16 ( -8, 40)";"359 (157, 561)"
"2015-03-31";"140";"11039 ( -5845, 27923)";"12 ( -7, 31)";"25 (-13,  63)";" 6 (-3, 15)";"14 ( -7, 35)";"18 (-10, 46)";"37 (-20,  94)";"18 (-10, 46)";"49 (-26, 124)";"18 (-10, 46)";" 98 ( -52, 248)";"28 (-15,  71)";"12 ( -7, 31)";"15 ( -9, 39)";"350 (153, 547)"
"2015-03-30";"139";"10842 ( -5651, 27335)";"12 ( -6, 30)";"24 (-13,  61)";" 6 (-3, 15)";"14 ( -7, 35)";"18 ( -9, 45)";"36 (-19,  91)";"18 ( -9, 45)";"48 (-25, 121)";"18 ( -9, 45)";" 96 ( -51, 243)";"28 (-14,  70)";"12 ( -6, 30)";"15 ( -8, 38)";"345 (153, 537)"
"2015-03-29";"138";"10648 ( -5463, 26759)";"12 ( -6, 30)";"24 (-12,  60)";" 6 (-3, 15)";"13 ( -7, 33)";"18 ( -9, 45)";"36 (-18,  90)";"18 ( -9, 45)";"47 (-25, 119)";"18 ( -9, 45)";" 95 ( -48, 238)";"27 (-14,  68)";"12 ( -6, 30)";"15 ( -8, 38)";"341 (153, 529)"
"2015-03-28";"137";"10458 ( -5278, 26194)";"12 ( -5, 29)";"24 (-11,  59)";" 6 (-3, 15)";"13 ( -7, 33)";"17 ( -9, 43)";"35 (-18,  88)";"17 ( -9, 43)";"47 (-23, 117)";"17 ( -9, 43)";" 93 ( -47, 233)";"27 (-13,  67)";"12 ( -5, 29)";"15 ( -7, 37)";"335 (151, 519)"
"2015-03-27";"136";"10271 ( -5099, 25641)";"11 ( -6, 28)";"23 (-12,  58)";" 6 (-2, 14)";"13 ( -6, 32)";"17 ( -8, 42)";"34 (-17,  85)";"17 ( -8, 42)";"46 (-22, 114)";"17 ( -8, 42)";" 91 ( -46, 228)";"26 (-13,  65)";"11 ( -6, 28)";"14 ( -8, 36)";"326 (147, 505)"
