"Date";"Days from today";"ETU caseload";"Nurses and paramedics";"Hygienists and nurses aids";"Doctors";"Support staff";"Total"
"2015-03-26";"135";"3603 (-3687, 10893)";"1802 (-1843,  5447)";"1802 (-1843,  5447)";"360 (-369, 1089)";"3603 (-3687, 10893)";" 7567 (-1391, 16525)"
"2015-03-25";"134";"3539 (-3581, 10659)";"1770 (-1790,  5330)";"1770 (-1790,  5330)";"354 (-358, 1066)";"3539 (-3581, 10659)";" 7433 (-1316, 16182)"
"2015-03-24";"133";"3475 (-3478, 10428)";"1738 (-1738,  5214)";"1738 (-1738,  5214)";"348 (-347, 1043)";"3475 (-3478, 10428)";" 7299 (-1245, 15843)"
"2015-03-23";"132";"3413 (-3377, 10203)";"1707 (-1688,  5102)";"1707 (-1688,  5102)";"341 (-338, 1020)";"3413 (-3377, 10203)";" 7168 (-1175, 15511)"
"2015-03-22";"131";"3353 (-3277,  9983)";"1676 (-1639,  4991)";"1676 (-1639,  4991)";"335 (-328,  998)";"3353 (-3277,  9983)";" 7040 (-1107, 15187)"
"2015-03-21";"130";"3293 (-3181,  9767)";"1646 (-1591,  4883)";"1646 (-1591,  4883)";"329 (-318,  976)";"3293 (-3181,  9767)";" 6914 (-1041, 14869)"
"2015-03-20";"129";"3234 (-3087,  9555)";"1617 (-1543,  4777)";"1617 (-1543,  4777)";"323 (-309,  955)";"3234 (-3087,  9555)";" 6791 ( -976, 14558)"
"2015-03-19";"128";"3176 (-2995,  9347)";"1588 (-1498,  4674)";"1588 (-1498,  4674)";"318 (-299,  935)";"3176 (-2995,  9347)";" 6670 ( -913, 14253)"
"2015-03-18";"127";"3120 (-2905,  9145)";"1560 (-1453,  4573)";"1560 (-1453,  4573)";"312 (-291,  915)";"3120 (-2905,  9145)";" 6552 ( -852, 13956)"
"2015-03-17";"126";"3064 (-2818,  8946)";"1532 (-1409,  4473)";"1532 (-1409,  4473)";"306 (-282,  894)";"3064 (-2818,  8946)";" 6434 ( -794, 13662)"
"2015-03-16";"125";"3010 (-2732,  8752)";"1505 (-1366,  4376)";"1505 (-1366,  4376)";"301 (-273,  875)";"3010 (-2732,  8752)";" 6321 ( -735, 13377)"
"2015-03-15";"124";"2956 (-2650,  8562)";"1478 (-1325,  4281)";"1478 (-1325,  4281)";"296 (-265,  857)";"2956 (-2650,  8562)";" 6208 ( -680, 13096)"
"2015-03-14";"123";"2904 (-2568,  8376)";"1452 (-1284,  4188)";"1452 (-1284,  4188)";"290 (-257,  837)";"2904 (-2568,  8376)";" 6098 ( -626, 12822)"
"2015-03-13";"122";"2852 (-2489,  8193)";"1426 (-1245,  4097)";"1426 (-1245,  4097)";"285 (-249,  819)";"2852 (-2489,  8193)";" 5989 ( -575, 12553)"
"2015-03-12";"121";"2801 (-2413,  8015)";"1400 (-1207,  4007)";"1400 (-1207,  4007)";"280 (-241,  801)";"2801 (-2413,  8015)";" 5881 ( -526, 12288)"
"2015-03-11";"120";"2751 (-2338,  7840)";"1376 (-1168,  3920)";"1376 (-1168,  3920)";"275 (-234,  784)";"2751 (-2338,  7840)";" 5778 ( -475, 12031)"
"2015-03-10";"119";"2703 (-2264,  7670)";"1352 (-1131,  3835)";"1352 (-1131,  3835)";"270 (-227,  767)";"2703 (-2264,  7670)";" 5677 ( -426, 11780)"
"2015-03-09";"118";"2655 (-2193,  7503)";"1328 (-1096,  3752)";"1328 (-1096,  3752)";"266 (-219,  751)";"2655 (-2193,  7503)";" 5577 ( -380, 11534)"
"2015-03-08";"117";"2608 (-2123,  7339)";"1304 (-1061,  3669)";"1304 (-1061,  3669)";"261 (-212,  734)";"2608 (-2123,  7339)";" 5477 ( -337, 11291)"
"2015-03-07";"116";"2561 (-2056,  7178)";"1280 (-1029,  3589)";"1280 (-1029,  3589)";"256 (-206,  718)";"2561 (-2056,  7178)";" 5377 ( -297, 11051)"
"2015-03-06";"115";"2516 (-1990,  7022)";"1258 ( -995,  3511)";"1258 ( -995,  3511)";"252 (-199,  703)";"2516 (-1990,  7022)";" 5284 ( -253, 10821)"
"2015-03-05";"114";"2471 (-1926,  6868)";"1236 ( -963,  3435)";"1236 ( -963,  3435)";"247 (-193,  687)";"2471 (-1926,  6868)";" 5190 ( -213, 10593)"
"2015-03-04";"113";"2428 (-1863,  6719)";"1214 ( -931,  3359)";"1214 ( -931,  3359)";"243 (-186,  672)";"2428 (-1863,  6719)";" 5099 ( -174, 10372)"
"2015-03-03";"112";"2385 (-1802,  6572)";"1192 ( -902,  3286)";"1192 ( -902,  3286)";"238 (-181,  657)";"2385 (-1802,  6572)";" 5007 ( -138, 10152)"
"2015-03-02";"111";"2343 (-1743,  6429)";"1172 ( -871,  3215)";"1172 ( -871,  3215)";"234 (-175,  643)";"2343 (-1743,  6429)";" 4921 (  -99,  9941)"
"2015-03-01";"110";"2301 (-1686,  6288)";"1150 ( -843,  3143)";"1150 ( -843,  3143)";"230 (-169,  629)";"2301 (-1686,  6288)";" 4831 (  -68,  9730)"
"2015-02-28";"109";"2261 (-1629,  6151)";"1130 ( -815,  3075)";"1130 ( -815,  3075)";"226 (-163,  615)";"2261 (-1629,  6151)";" 4747 (  -33,  9527)"
"2015-02-27";"108";"2221 (-1574,  6016)";"1110 ( -788,  3008)";"1110 ( -788,  3008)";"222 (-158,  602)";"2221 (-1574,  6016)";" 4663 (   -1,  9327)"
"2015-02-26";"107";"2182 (-1521,  5885)";"1091 ( -760,  2942)";"1091 ( -760,  2942)";"218 (-152,  588)";"2182 (-1521,  5885)";" 4582 (   32,  9132)"
"2015-02-25";"106";"2143 (-1470,  5756)";"1072 ( -734,  2878)";"1072 ( -734,  2878)";"214 (-147,  575)";"2143 (-1470,  5756)";" 4501 (   62,  8940)"
"2015-02-24";"105";"2105 (-1420,  5630)";"1052 ( -710,  2814)";"1052 ( -710,  2814)";"210 (-142,  562)";"2105 (-1420,  5630)";" 4419 (   88,  8750)"
"2015-02-23";"104";"2068 (-1371,  5507)";"1034 ( -685,  2753)";"1034 ( -685,  2753)";"207 (-137,  551)";"2068 (-1371,  5507)";" 4343 (  118,  8568)"
"2015-02-22";"103";"2032 (-1323,  5387)";"1016 ( -661,  2693)";"1016 ( -661,  2693)";"203 (-132,  538)";"2032 (-1323,  5387)";" 4267 (  145,  8389)"
"2015-02-21";"102";"1996 (-1277,  5269)";" 998 ( -638,  2634)";" 998 ( -638,  2634)";"200 (-127,  527)";"1996 (-1277,  5269)";" 4192 (  171,  8213)"
"2015-02-20";"101";"1961 (-1231,  5153)";" 980 ( -616,  2576)";" 980 ( -616,  2576)";"196 (-123,  515)";"1961 (-1231,  5153)";" 4117 (  194,  8040)"
"2015-02-19";"100";"1927 (-1187,  5041)";" 964 ( -593,  2521)";" 964 ( -593,  2521)";"193 (-118,  504)";"1927 (-1187,  5041)";" 4048 (  221,  7875)"
"2015-02-18";"99";"1893 (-1145,  4931)";" 946 ( -573,  2465)";" 946 ( -573,  2465)";"189 (-115,  493)";"1893 (-1145,  4931)";" 3974 (  241,  7707)"
