"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-04-28";"168";"31682 (-32800, 96164)";"547 (-965, 2060)";"162048 (-184745, 508840)";"2816 (-5176, 10807)";"32380 (-59656, 124415)";"21811 (-38561, 82183)";"4236 (-7138, 15610)";"6512 (-8847, 21870)";"11721 (-15924, 39367)";"40%"
"2015-04-27";"167";"31135 (-31839, 94109)";"538 (-943, 2018)";"159232 (-179588, 498052)";"2767 (-5062, 10595)";"31816 (-58351, 121984)";"21428 (-37674, 80530)";"4162 (-6966, 15289)";"6397 (-8638, 21433)";"11515 (-15548, 38579)";"40%"
"2015-04-26";"166";"30597 (-30901, 92095)";"528 (-921, 1977)";"156466 (-174545, 487476)";"2718 (-4950, 10387)";"31262 (-57065, 119589)";"21051 (-36802, 78905)";"4088 (-6798, 14973)";"6285 (-8432, 21002)";"11313 (-15178, 37803)";"40%"
"2015-04-25";"165";"30069 (-29984, 90122)";"519 (-899, 1937)";"153747 (-169614, 477109)";"2671 (-4840, 10181)";"30716 (-55799, 117231)";"20680 (-35945, 77306)";"4015 (-6632, 14663)";"6174 (-8230, 20578)";"11113 (-14815, 37041)";"40%"
"2015-04-24";"164";"29550 (-29089, 88189)";"510 (-878, 1898)";"151077 (-164794, 466947)";"2624 (-4731,  9979)";"30179 (-54551, 114909)";"20316 (-35102, 75734)";"3944 (-6470, 14359)";"6065 (-8032, 20162)";"10917 (-14458, 36292)";"40%"
"2015-04-23";"163";"29040 (-28215, 86296)";"501 (-857, 1859)";"148452 (-160082, 456987)";"2578 (-4624,  9780)";"29651 (-53323, 112624)";"19957 (-34274, 74189)";"3874 (-6311, 14059)";"5958 (-7837, 19753)";"10724 (-14107, 35555)";"40%"
"2015-04-22";"162";"28539 (-27362, 84441)";"492 (-837, 1821)";"145874 (-155477, 447226)";"2533 (-4519,  9585)";"29131 (-52114, 110376)";"19605 (-33460, 72670)";"3806 (-6155, 13766)";"5853 (-7645, 19351)";"10535 (-13762, 34831)";"40%"
"2015-04-21";"161";"28048 (-26529, 82624)";"483 (-817, 1783)";"143342 (-150978, 437661)";"2488 (-4416,  9392)";"28619 (-50924, 108163)";"19258 (-32661, 71178)";"3738 (-6002, 13478)";"5749 (-7457, 18955)";"10348 (-13423, 34119)";"40%"
"2015-04-20";"160";"27564 (-25717, 80845)";"475 (-797, 1747)";"140853 (-146582, 428288)";"2445 (-4314,  9203)";"28116 (-49754, 105987)";"18917 (-31877, 69711)";"3671 (-5852, 13195)";"5647 (-7273, 18567)";"10165 (-13091, 33420)";"40%"
"2015-04-19";"159";"27090 (-24924, 79103)";"466 (-778, 1710)";"138409 (-142288, 419105)";"2402 (-4214,  9017)";"27622 (-48603, 103846)";"18582 (-31106, 68271)";"3606 (-5705, 12917)";"5547 (-7091, 18185)";" 9985 (-12764, 32734)";"40%"
"2015-04-18";"158";"26623 (-24150, 77397)";"458 (-759, 1675)";"136007 (-138094, 410108)";"2359 (-4115,  8834)";"27135 (-47471, 101741)";"18253 (-30350, 66856)";"3542 (-5560, 12644)";"5449 (-6913, 17811)";" 9808 (-12444, 32059)";"40%"
"2015-04-17";"157";"26165 (-23395, 75726)";"450 (-740, 1640)";"133648 (-133998, 401294)";"2318 (-4018,  8654)";"26656 (-46359,  99671)";"17929 (-29608, 65466)";"3479 (-5419, 12377)";"5352 (-6739, 17443)";" 9634 (-12130, 31397)";"40%"
"2015-04-16";"156";"25715 (-22659, 74090)";"442 (-722, 1606)";"131330 (-130000, 392660)";"2277 (-3923,  8477)";"26185 (-45265,  97636)";"17611 (-28880, 64101)";"3417 (-5281, 12115)";"5257 (-6567, 17081)";" 9462 (-11821, 30746)";"40%"
"2015-04-15";"155";"25274 (-21941, 72488)";"434 (-704, 1572)";"129054 (-126096, 384204)";"2236 (-3830,  8303)";"25722 (-44191,  95636)";"17298 (-28166, 62762)";"3356 (-5145, 11858)";"5164 (-6399, 16726)";" 9294 (-11519, 30108)";"40%"
"2015-04-14";"154";"24839 (-21241, 70920)";"426 (-687, 1539)";"126817 (-122286, 375921)";"2197 (-3738,  8132)";"25267 (-43136,  93671)";"16990 (-27466, 61446)";"3296 (-5013, 11605)";"5072 (-6235, 16378)";" 9129 (-11223, 29481)";"40%"
"2015-04-13";"153";"24413 (-20559, 69385)";"419 (-669, 1507)";"124621 (-118567, 367809)";"2158 (-3648,  7964)";"24820 (-42100,  91740)";"16688 (-26779, 60156)";"3238 (-4883, 11358)";"4981 (-6073, 16036)";" 8967 (-10932, 28865)";"40%"
"2015-04-12";"152";"23994 (-19893, 67882)";"411 (-653, 1475)";"122463 (-114939, 359864)";"2120 (-3560,  7799)";"24380 (-41083,  89843)";"16391 (-26106, 58889)";"3180 (-4755, 11115)";"4893 (-5915, 15701)";" 8807 (-10647, 28261)";"40%"
"2015-04-11";"151";"23583 (-19245, 66411)";"404 (-636, 1444)";"120343 (-111399, 352085)";"2082 (-3473,  7637)";"23947 (-40085,  87980)";"16099 (-25447, 57646)";"3123 (-4631, 10877)";"4806 (-5760, 15372)";" 8650 (-10369, 27669)";"40%"
"2015-04-10";"150";"23179 (-18613, 64971)";"397 (-620, 1413)";"118261 (-107945, 344468)";"2045 (-3388,  7478)";"23522 (-39105,  86150)";"15813 (-24801, 56426)";"3068 (-4509, 10644)";"4720 (-5609, 15049)";" 8496 (-10095, 27087)";"40%"
"2015-04-09";"149";"22782 (-17997, 63562)";"390 (-604, 1383)";"116216 (-104577, 337009)";"2009 (-3304,  7322)";"23104 (-38144,  84353)";"15531 (-24168, 55230)";"3013 (-4390, 10416)";"4636 (-5460, 14732)";" 8345 ( -9828, 26517)";"40%"
"2015-04-08";"148";"22393 (-17397, 62182)";"383 (-588, 1354)";"114208 (-101291, 329707)";"1973 (-3223,  7168)";"22694 (-37201,  82588)";"15254 (-23548, 54056)";"2959 (-4273, 10192)";"4553 (-5314, 14421)";" 8196 ( -9566, 25957)";"40%"
"2015-04-07";"147";"22010 (-16812, 60832)";"376 (-573, 1325)";"112235 ( -98088, 322558)";"1938 (-3142,  7018)";"22290 (-36277,  80857)";"14982 (-22941, 52905)";"2906 (-4159,  9972)";"4472 (-5172, 14116)";" 8050 ( -9309, 25409)";"40%"
"2015-04-06";"146";"21634 (-16243, 59511)";"369 (-558, 1297)";"110297 ( -94965, 315559)";"1903 (-3064,  6870)";"21893 (-35371,  79157)";"14715 (-22347, 51776)";"2854 (-4048,  9757)";"4392 (-5032, 13817)";" 7906 ( -9058, 24870)";"40%"
"2015-04-05";"145";"21265 (-15689, 58218)";"363 (-544, 1269)";"108394 ( -91920, 308708)";"1869 (-2986,  6725)";"21503 (-34482,  77489)";"14452 (-21765, 50669)";"2803 (-3939,  9546)";"4314 (-4896, 13524)";" 7765 ( -8813, 24343)";"40%"
"2015-04-04";"144";"20902 (-15149, 56953)";"356 (-530, 1242)";"106524 ( -88953, 302001)";"1836 (-2911,  6583)";"21120 (-33611,  75852)";"14194 (-21196, 49584)";"2753 (-3832,  9339)";"4237 (-4762, 13236)";" 7626 ( -8572, 23825)";"40%"
"2015-04-03";"143";"20546 (-14623, 55715)";"350 (-516, 1215)";"104688 ( -86061, 295437)";"1803 (-2837,  6443)";"20744 (-32758,  74246)";"13941 (-20638, 48520)";"2704 (-3728,  9137)";"4161 (-4632, 12954)";" 7490 ( -8337, 23318)";"40%"
"2015-04-02";"142";"20196 (-14111, 54504)";"344 (-502, 1189)";"102885 ( -83243, 289012)";"1771 (-2764,  6307)";"20374 (-31923,  72670)";"13692 (-20093, 47477)";"2656 (-3627,  8939)";"4087 (-4504, 12678)";" 7357 ( -8107, 22821)";"40%"
"2015-04-01";"141";"19853 (-13613, 53318)";"337 (-489, 1163)";"101114 ( -80497, 282724)";"1740 (-2693,  6172)";"20010 (-31104,  71125)";"13448 (-19560, 46455)";"2609 (-3527,  8744)";"4014 (-4379, 12407)";" 7225 ( -7883, 22333)";"40%"
"2015-03-31";"140";"19515 (-13128, 52158)";"331 (-476, 1138)";" 99374 ( -77822, 276570)";"1709 (-2624,  6041)";"19653 (-30303,  69609)";"13207 (-19039, 45454)";"2562 (-3430,  8554)";"3942 (-4257, 12142)";" 7096 ( -7663, 21856)";"40%"
"2015-03-30";"139";"19184 (-12656, 51024)";"325 (-463, 1114)";" 97666 ( -75216, 270547)";"1678 (-2556,  5912)";"19302 (-29518,  68123)";"12972 (-18529, 44472)";"2516 (-3335,  8368)";"3872 (-4138, 11882)";" 6970 ( -7448, 21387)";"40%"
"2015-03-29";"138";"18859 (-12196, 49914)";"320 (-450, 1090)";" 95988 ( -72678, 264654)";"1648 (-2489,  5785)";"18958 (-28750,  66665)";"12740 (-18030, 43510)";"2472 (-3242,  8186)";"3803 (-4021, 11627)";" 6845 ( -7238, 20929)";"40%"
"2015-03-28";"137";"18539 (-11750, 48827)";"314 (-438, 1066)";" 94340 ( -70207, 258886)";"1619 (-2424,  5661)";"18619 (-27998,  65236)";"12512 (-17543, 42568)";"2428 (-3152,  8007)";"3735 (-3907, 11377)";" 6723 ( -7033, 20479)";"40%"
"2015-03-27";"136";"18225 (-11315, 47765)";"308 (-426, 1043)";" 92721 ( -67801, 253243)";"1590 (-2360,  5539)";"18286 (-27263,  63836)";"12289 (-17067, 41645)";"2384 (-3064,  7832)";"3668 (-3796, 11133)";" 6603 ( -6833, 20039)";"40%"
"2015-03-26";"135";"17917 (-10892, 46725)";"303 (-415, 1020)";" 91131 ( -65458, 247721)";"1561 (-2297,  5420)";"17960 (-26543,  62463)";"12070 (-16601, 40741)";"2342 (-2977,  7661)";"3603 (-3687, 10893)";" 6485 ( -6637, 19607)";"40%"
"2015-03-25";"134";"17614 (-10481, 45708)";"297 (-403,  998)";" 89570 ( -63178, 242318)";"1533 (-2236,  5303)";"17639 (-25840,  61117)";"11854 (-16147, 39855)";"2300 (-2893,  7493)";"3539 (-3581, 10658)";" 6369 ( -6446, 19185)";"40%"
"2015-03-24";"133";"17316 (-10081, 44714)";"292 (-392,  976)";" 88037 ( -60958, 237031)";"1506 (-2177,  5189)";"17323 (-25151,  59798)";"11643 (-15702, 38988)";"2259 (-2811,  7329)";"3475 (-3477, 10428)";" 6256 ( -6259, 18771)";"40%"
"2015-03-23";"132";"17024 ( -9692, 43740)";"287 (-381,  955)";" 86531 ( -58798, 231859)";"1479 (-2118,  5076)";"17014 (-24478,  58506)";"11435 (-15268, 38138)";"2219 (-2731,  7169)";"3413 (-3376, 10203)";" 6144 ( -6077, 18365)";"40%"
"2015-03-22";"131";"16737 ( -9314, 42789)";"282 (-371,  934)";" 85052 ( -56696, 226799)";"1453 (-2061,  4966)";"16710 (-23820,  57240)";"11231 (-14845, 37306)";"2179 (-2652,  7011)";"3353 (-3277,  9982)";" 6035 ( -5899, 17968)";"40%"
"2015-03-21";"130";"16456 ( -8947, 41858)";"277 (-360,  914)";" 83599 ( -54651, 221849)";"1427 (-2005,  4859)";"16411 (-23177,  55999)";"11030 (-14431, 36491)";"2141 (-2576,  6857)";"3293 (-3181,  9766)";" 5927 ( -5725, 17579)";"40%"
"2015-03-20";"129";"16179 ( -8589, 40947)";"272 (-350,  894)";" 82172 ( -52661, 217006)";"1401 (-1951,  4753)";"16118 (-22548,  54784)";"10834 (-14027, 35694)";"2103 (-2502,  6707)";"3234 (-3087,  9555)";" 5821 ( -5556, 17199)";"40%"
"2015-03-19";"128";"15907 ( -8242, 40056)";"267 (-340,  874)";" 80771 ( -50726, 212268)";"1376 (-1898,  4650)";"15830 (-21934,  53593)";"10640 (-13632, 34913)";"2065 (-2429,  6559)";"3176 (-2995,  9348)";" 5718 ( -5391, 16826)";"40%"
"2015-03-18";"127";"15640 ( -7905, 39185)";"262 (-331,  855)";" 79395 ( -48843, 207633)";"1352 (-1846,  4549)";"15547 (-21333,  52427)";"10451 (-13247, 34149)";"2029 (-2358,  6415)";"3120 (-2905,  9145)";" 5616 ( -5229, 16461)";"40%"
"2015-03-17";"126";"15378 ( -7577, 38332)";"258 (-321,  836)";" 78043 ( -47013, 203099)";"1327 (-1795,  4450)";"15269 (-20747,  51286)";"10264 (-12871, 33400)";"1993 (-2289,  6274)";"3064 (-2818,  8946)";" 5516 ( -5072, 16104)";"40%"
"2015-03-16";"125";"15120 ( -7259, 37499)";"253 (-312,  818)";" 76716 ( -45233, 198665)";"1304 (-1745,  4352)";"14997 (-20174,  50167)";"10082 (-12504, 32668)";"1957 (-2221,  6136)";"3010 (-2733,  8752)";" 5417 ( -4919, 15754)";"40%"
"2015-03-15";"124";"14867 ( -6949, 36684)";"248 (-303,  800)";" 75412 ( -43502, 194327)";"1280 (-1697,  4257)";"14729 (-19615,  49072)";" 9902 (-12146, 31951)";"1922 (-2156,  6001)";"2956 (-2650,  8562)";" 5321 ( -4769, 15411)";"40%"
"2015-03-14";"123";"14619 ( -6649, 35886)";"244 (-294,  782)";" 74132 ( -41820, 190083)";"1258 (-1649,  4164)";"14466 (-19068,  48000)";" 9726 (-11797, 31249)";"1888 (-2092,  5868)";"2904 (-2568,  8376)";" 5226 ( -4623, 15076)";"40%"
"2015-03-13";"122";"14375 ( -6357, 35107)";"240 (-286,  765)";" 72874 ( -40184, 185933)";"1235 (-1603,  4073)";"14207 (-18535,  46950)";" 9553 (-11457, 30562)";"1855 (-2029,  5739)";"2852 (-2489,  8193)";" 5133 ( -4481, 14748)";"40%"
"2015-03-12";"121";"14135 ( -6074, 34344)";"235 (-278,  748)";" 71639 ( -38595, 181873)";"1213 (-1558,  3984)";"13954 (-18014,  45922)";" 9383 (-11124, 29890)";"1822 (-1968,  5613)";"2801 (-2412,  8015)";" 5042 ( -4342, 14427)";"40%"
"2015-03-11";"120";"13900 ( -5799, 33598)";"231 (-269,  732)";" 70426 ( -37051, 177903)";"1191 (-1514,  3897)";"13705 (-17506,  44916)";" 9216 (-10800, 29232)";"1790 (-1909,  5489)";"2751 (-2337,  7840)";" 4953 ( -4207, 14113)";"40%"
"2015-03-10";"119";"13668 ( -5532, 32869)";"227 (-262,  716)";" 69235 ( -35550, 174019)";"1170 (-1471,  3811)";"13461 (-17010,  43931)";" 9052 (-10484, 28589)";"1758 (-1851,  5368)";"2703 (-2264,  7669)";" 4865 ( -4076, 13805)";"40%"
"2015-03-09";"118";"13441 ( -5273, 32155)";"223 (-254,  700)";" 68064 ( -34092, 170221)";"1149 (-1429,  3727)";"13221 (-16526,  42967)";" 8891 (-10176, 27959)";"1727 (-1795,  5249)";"2655 (-2193,  7502)";" 4778 ( -3947, 13504)";"40%"
"2015-03-08";"117";"13218 ( -5021, 31457)";"219 (-246,  685)";" 66915 ( -32676, 166506)";"1129 (-1388,  3646)";"12985 (-16054,  42023)";" 8734 ( -9876, 27343)";"1697 (-1740,  5133)";"2608 (-2123,  7339)";" 4694 ( -3822, 13209)";"40%"
