"Date";"Days from today";"Caseload";"Administrator (coordination)";"Doctor (ETU)";"Doctor (coordination)";"Epidemiologist (contact tracing)";"Epidemiologist (coordination)";"Lab scientist (laboratories)";"Logistician (burials)";"Logistician (ETU)";"Logistician (coordination)";"Nurse (ETU)";"Public health specialist (Social mobilization)";"Public health specialist (coordination)";"Data management (coordination)";"Total personnel"
"2015-04-10";"150";"17771 (7675, 27867)";"20 (9, 31)";"40 (17, 63)";"10 (4, 16)";"22 ( 9, 35)";"29 (12, 46)";"60 (26,  94)";"29 (12, 46)";"79 (34, 124)";"29 (12, 46)";"158 (68, 248)";"45 (19, 71)";"20 (9, 31)";"25 (11, 39)";"566 (448, 684)"
"2015-04-09";"149";"17614 (7642, 27586)";"19 (8, 30)";"40 (18, 62)";"10 (5, 15)";"22 (10, 34)";"29 (13, 45)";"59 (26,  92)";"29 (13, 45)";"78 (34, 122)";"29 (13, 45)";"157 (68, 246)";"45 (20, 70)";"19 (8, 30)";"25 (11, 39)";"561 (445, 677)"
"2015-04-08";"148";"17457 (7607, 27307)";"19 (8, 30)";"39 (17, 61)";"10 (5, 15)";"22 (10, 34)";"29 (13, 45)";"58 (25,  91)";"29 (13, 45)";"78 (34, 122)";"29 (13, 45)";"155 (67, 243)";"45 (20, 70)";"19 (8, 30)";"24 (10, 38)";"556 (441, 671)"
"2015-04-07";"147";"17301 (7573, 27029)";"19 (8, 30)";"39 (17, 61)";"10 (5, 15)";"22 (10, 34)";"29 (13, 45)";"58 (25,  91)";"29 (13, 45)";"77 (34, 120)";"29 (13, 45)";"154 (67, 241)";"44 (19, 69)";"19 (8, 30)";"24 (10, 38)";"553 (439, 667)"
"2015-04-06";"146";"17147 (7540, 26754)";"19 (8, 30)";"39 (17, 61)";" 9 (4, 14)";"21 ( 9, 33)";"28 (12, 44)";"57 (25,  89)";"28 (12, 44)";"76 (33, 119)";"28 (12, 44)";"153 (67, 239)";"44 (20, 68)";"19 (8, 30)";"24 (11, 37)";"545 (433, 657)"
"2015-04-05";"145";"16993 (7506, 26480)";"19 (9, 29)";"38 (17, 59)";" 9 (4, 14)";"21 ( 9, 33)";"28 (12, 44)";"57 (25,  89)";"28 (12, 44)";"76 (34, 118)";"28 (12, 44)";"151 (67, 235)";"43 (19, 67)";"19 (9, 29)";"24 (11, 37)";"541 (430, 652)"
"2015-04-04";"144";"16841 (7473, 26209)";"19 (9, 29)";"38 (17, 59)";" 9 (4, 14)";"21 ( 9, 33)";"28 (13, 43)";"56 (25,  87)";"28 (13, 43)";"75 (33, 117)";"28 (13, 43)";"150 (67, 233)";"43 (19, 67)";"19 (9, 29)";"24 (11, 37)";"538 (429, 647)"
"2015-04-03";"143";"16689 (7440, 25938)";"18 (8, 28)";"38 (17, 59)";" 9 (4, 14)";"21 ( 9, 33)";"28 (13, 43)";"56 (25,  87)";"28 (13, 43)";"74 (33, 115)";"28 (13, 43)";"149 (67, 231)";"43 (19, 67)";"18 (8, 28)";"23 (10, 36)";"533 (425, 641)"
"2015-04-02";"142";"16539 (7408, 25670)";"18 (8, 28)";"37 (16, 58)";" 9 (4, 14)";"21 (10, 32)";"27 (12, 42)";"55 (24,  86)";"27 (12, 42)";"74 (33, 115)";"27 (12, 42)";"147 (66, 228)";"42 (19, 65)";"18 (8, 28)";"23 (10, 36)";"525 (418, 632)"
"2015-04-01";"141";"16389 (7374, 25404)";"18 (8, 28)";"37 (17, 57)";" 9 (4, 14)";"20 ( 9, 31)";"27 (12, 42)";"55 (25,  85)";"27 (12, 42)";"73 (33, 113)";"27 (12, 42)";"146 (66, 226)";"42 (19, 65)";"18 (8, 28)";"23 (10, 36)";"522 (417, 627)"
"2015-03-31";"140";"16241 (7342, 25140)";"18 (8, 28)";"37 (17, 57)";" 9 (4, 14)";"20 ( 9, 31)";"27 (12, 42)";"54 (24,  84)";"27 (12, 42)";"72 (32, 112)";"27 (12, 42)";"145 (66, 224)";"41 (18, 64)";"18 (8, 28)";"23 (11, 35)";"518 (414, 622)"
"2015-03-30";"139";"16093 (7309, 24877)";"18 (8, 28)";"36 (16, 56)";" 9 (4, 14)";"20 ( 9, 31)";"27 (13, 41)";"54 (25,  83)";"27 (13, 41)";"72 (33, 111)";"27 (13, 41)";"143 (65, 221)";"41 (19, 63)";"18 (8, 28)";"23 (11, 35)";"515 (412, 618)"
"2015-03-29";"138";"15947 (7278, 24616)";"18 (8, 28)";"36 (16, 56)";" 9 (4, 14)";"20 ( 9, 31)";"26 (12, 40)";"53 (24,  82)";"26 (12, 40)";"71 (32, 110)";"26 (12, 40)";"142 (65, 219)";"41 (19, 63)";"18 (8, 28)";"22 (10, 34)";"508 (407, 609)"
"2015-03-28";"137";"15801 (7245, 24357)";"17 (8, 26)";"36 (17, 55)";" 9 (4, 14)";"20 ( 9, 31)";"26 (12, 40)";"53 (24,  82)";"26 (12, 40)";"70 (32, 108)";"26 (12, 40)";"141 (65, 217)";"40 (18, 62)";"17 (8, 26)";"22 (10, 34)";"503 (403, 603)"
"2015-03-27";"136";"15657 (7213, 24101)";"17 (8, 26)";"35 (16, 54)";" 9 (4, 14)";"20 ( 9, 31)";"26 (12, 40)";"52 (24,  80)";"26 (12, 40)";"70 (32, 108)";"26 (12, 40)";"139 (64, 214)";"40 (18, 62)";"17 (8, 26)";"22 (10, 34)";"499 (400, 598)"
"2015-03-26";"135";"15513 (7181, 23845)";"17 (8, 26)";"35 (16, 54)";" 9 (4, 14)";"19 ( 9, 29)";"26 (12, 40)";"52 (24,  80)";"26 (12, 40)";"69 (32, 106)";"26 (12, 40)";"138 (64, 212)";"40 (19, 61)";"17 (8, 26)";"22 (10, 34)";"496 (399, 593)"
"2015-03-25";"134";"15371 (7149, 23593)";"17 (8, 26)";"35 (17, 53)";" 8 (3, 13)";"19 ( 9, 29)";"25 (11, 39)";"51 (23,  79)";"25 (11, 39)";"68 (31, 105)";"25 (11, 39)";"137 (64, 210)";"39 (18, 60)";"17 (8, 26)";"22 (10, 34)";"488 (392, 584)"
"2015-03-24";"133";"15230 (7118, 23342)";"17 (8, 26)";"34 (16, 52)";" 8 (4, 12)";"19 ( 9, 29)";"25 (12, 38)";"51 (24,  78)";"25 (12, 38)";"68 (32, 104)";"25 (12, 38)";"136 (64, 208)";"39 (18, 60)";"17 (8, 26)";"21 (10, 32)";"485 (390, 580)"
