"Date";"Days from today";"PPE (m3)";"PPE (tons)";"Body bags (m3)";"Body bags (tons)";"Chlorine (m3)";"Chlorine (tons)";"Medical supplies (m3)";"Medical supplies (tons)";"Lab supplies (m3)";"Lab supplies (tons)";"Total (m3)";"Total (tons)"
"2015-04-28";"168";"508.2 (204.1, 812.3)";"105.6 (42.4, 168.8)";"1.4 (0.5, 2.2)";"0.1 (0.1, 0.2)";"0.5 (0.2, 0.9)";"0.5 (0.2, 0.9)";"7.8 (3.2, 12.5)";"3.9 (1.6, 6.3)";"0.9 (0.3, 1.4)";"0.4 (0.2, 0.7)";"518.8 (208.4, 829.2)";"110.6 (44.4, 176.8)"
"2015-04-27";"167";"503.9 (203.1, 804.7)";"104.7 (42.2, 167.2)";"1.4 (0.5, 2.2)";"0.1 (0.1, 0.2)";"0.5 (0.2, 0.9)";"0.5 (0.2, 0.9)";"7.8 (3.1, 12.4)";"3.9 (1.6, 6.2)";"0.8 (0.3, 1.4)";"0.4 (0.2, 0.6)";"514.5 (207.4, 821.5)";"109.7 (44.2, 175.2)"
"2015-04-26";"166";"499.7 (202.2, 797.2)";"103.8 (42.0, 165.7)";"1.3 (0.5, 2.1)";"0.1 (0.1, 0.2)";"0.5 (0.2, 0.9)";"0.5 (0.2, 0.9)";"7.7 (3.1, 12.3)";"3.9 (1.6, 6.2)";"0.8 (0.3, 1.3)";"0.4 (0.2, 0.6)";"510.1 (206.4, 813.8)";"108.8 (44.0, 173.5)"
"2015-04-25";"165";"495.4 (201.2, 789.7)";"103.0 (41.8, 164.1)";"1.3 (0.5, 2.1)";"0.1 (0.1, 0.2)";"0.5 (0.2, 0.8)";"0.5 (0.2, 0.8)";"7.7 (3.1, 12.2)";"3.8 (1.6, 6.1)";"0.8 (0.3, 1.3)";"0.4 (0.2, 0.6)";"505.8 (205.4, 806.2)";"107.9 (43.8, 171.9)"
"2015-04-24";"164";"491.3 (200.3, 782.2)";"102.1 (41.6, 162.6)";"1.3 (0.5, 2.1)";"0.1 (0.1, 0.2)";"0.5 (0.2, 0.8)";"0.5 (0.2, 0.8)";"7.6 (3.1, 12.1)";"3.8 (1.5, 6.0)";"0.8 (0.3, 1.3)";"0.4 (0.2, 0.6)";"501.5 (204.4, 798.6)";"106.9 (43.6, 170.3)"
"2015-04-23";"163";"487.0 (199.3, 774.8)";"101.2 (41.4, 161.0)";"1.3 (0.5, 2.1)";"0.1 (0.1, 0.2)";"0.5 (0.2, 0.8)";"0.5 (0.2, 0.8)";"7.5 (3.1, 12.0)";"3.8 (1.5, 6.0)";"0.8 (0.3, 1.3)";"0.4 (0.2, 0.6)";"497.2 (203.5, 791.0)";"106.0 (43.4, 168.7)"
"2015-04-22";"162";"482.9 (198.4, 767.4)";"100.4 (41.2, 159.5)";"1.3 (0.5, 2.1)";"0.1 (0.1, 0.2)";"0.5 (0.2, 0.8)";"0.5 (0.2, 0.8)";"7.5 (3.1, 11.9)";"3.7 (1.5, 5.9)";"0.8 (0.3, 1.3)";"0.4 (0.2, 0.6)";"493.0 (202.5, 783.4)";"105.1 (43.2, 167.1)"
"2015-04-21";"161";"478.8 (197.4, 760.1)";" 99.5 (41.0, 158.0)";"1.3 (0.5, 2.0)";"0.1 (0.1, 0.2)";"0.5 (0.2, 0.8)";"0.5 (0.2, 0.8)";"7.4 (3.0, 11.7)";"3.7 (1.5, 5.9)";"0.8 (0.3, 1.3)";"0.4 (0.2, 0.6)";"488.8 (201.6, 775.9)";"104.2 (43.0, 165.5)"
"2015-04-20";"160";"474.6 (196.5, 752.8)";" 98.6 (40.8, 156.4)";"1.3 (0.5, 2.0)";"0.1 (0.1, 0.2)";"0.5 (0.2, 0.8)";"0.5 (0.2, 0.8)";"7.3 (3.0, 11.6)";"3.7 (1.5, 5.8)";"0.8 (0.3, 1.3)";"0.4 (0.2, 0.6)";"484.6 (200.6, 768.5)";"103.3 (42.8, 163.9)"
"2015-04-19";"159";"470.6 (195.6, 745.5)";" 97.8 (40.7, 154.9)";"1.3 (0.5, 2.0)";"0.1 (0.1, 0.2)";"0.5 (0.2, 0.8)";"0.5 (0.2, 0.8)";"7.3 (3.0, 11.5)";"3.6 (1.5, 5.8)";"0.8 (0.3, 1.3)";"0.4 (0.2, 0.6)";"480.4 (199.7, 761.1)";"102.4 (42.6, 162.3)"
"2015-04-18";"158";"466.5 (194.7, 738.2)";" 96.9 (40.5, 153.4)";"1.3 (0.5, 2.0)";"0.1 (0.1, 0.2)";"0.5 (0.2, 0.8)";"0.5 (0.2, 0.8)";"7.2 (3.0, 11.4)";"3.6 (1.5, 5.7)";"0.8 (0.3, 1.2)";"0.4 (0.2, 0.6)";"476.2 (198.8, 753.6)";"101.5 (42.4, 160.7)"
"2015-04-17";"157";"462.4 (193.8, 731.0)";" 96.1 (40.3, 151.9)";"1.2 (0.5, 2.0)";"0.1 (0.1, 0.2)";"0.5 (0.2, 0.8)";"0.5 (0.2, 0.8)";"7.1 (3.0, 11.3)";"3.6 (1.5, 5.6)";"0.8 (0.3, 1.2)";"0.4 (0.2, 0.6)";"472.1 (197.9, 746.3)";"100.7 (42.2, 159.1)"
