"Date";"Days from today";"ETU caseload";"Nurses and paramedics";"Hygienists and nurses aids";"Doctors";"Support staff";"Total"
"2015-04-28";"168";"95570 (64611, 126529)";"47785 (32305, 63265)";"47785 (32305, 63265)";"9557 (6461, 12653)";"95570 (64611, 126529)";"200697 (162653, 238741)"
"2015-04-27";"167";"94675 (63637, 125713)";"47338 (31819, 62857)";"47338 (31819, 62857)";"9468 (6364, 12572)";"94675 (63637, 125713)";"198819 (160679, 236959)"
"2015-04-26";"166";"93765 (62653, 124877)";"46882 (31326, 62438)";"46882 (31326, 62438)";"9376 (6265, 12487)";"93765 (62653, 124877)";"196905 (158674, 235136)"
"2015-04-25";"165";"92839 (61660, 124018)";"46420 (30830, 62010)";"46420 (30830, 62010)";"9284 (6166, 12402)";"92839 (61660, 124018)";"194963 (156649, 233277)"
"2015-04-24";"164";"91900 (60660, 123140)";"45950 (30330, 61570)";"45950 (30330, 61570)";"9190 (6066, 12314)";"91900 (60660, 123140)";"192990 (154602, 231378)"
"2015-04-23";"163";"90948 (59656, 122240)";"45474 (29828, 61120)";"45474 (29828, 61120)";"9095 (5966, 12224)";"90948 (59656, 122240)";"190991 (152539, 229443)"
"2015-04-22";"162";"89983 (58648, 121318)";"44992 (29325, 60659)";"44992 (29325, 60659)";"8998 (5865, 12131)";"89983 (58648, 121318)";"188965 (150460, 227470)"
"2015-04-21";"161";"89006 (57638, 120374)";"44503 (28819, 60187)";"44503 (28819, 60187)";"8901 (5764, 12038)";"89006 (57638, 120374)";"186913 (148367, 225459)"
"2015-04-20";"160";"88018 (56627, 119409)";"44009 (28314, 59704)";"44009 (28314, 59704)";"8802 (5663, 11941)";"88018 (56627, 119409)";"184838 (146265, 223411)"
"2015-04-19";"159";"87020 (55618, 118422)";"43510 (27809, 59211)";"43510 (27809, 59211)";"8702 (5562, 11842)";"87020 (55618, 118422)";"182742 (144155, 221329)"
"2015-04-18";"158";"86013 (54612, 117414)";"43006 (27305, 58707)";"43006 (27305, 58707)";"8601 (5461, 11741)";"86013 (54612, 117414)";"180626 (142039, 219213)"
"2015-04-17";"157";"84996 (53607, 116385)";"42498 (26804, 58192)";"42498 (26804, 58192)";"8500 (5361, 11639)";"84996 (53607, 116385)";"178492 (139921, 217063)"
"2015-04-16";"156";"83972 (52609, 115335)";"41986 (26305, 57667)";"41986 (26305, 57667)";"8397 (5261, 11533)";"83972 (52609, 115335)";"176341 (137802, 214880)"
"2015-04-15";"155";"82941 (51617, 114265)";"41470 (25808, 57132)";"41470 (25808, 57132)";"8294 (5162, 11426)";"82941 (51617, 114265)";"174175 (135683, 212667)"
"2015-04-14";"154";"81903 (50632, 113174)";"40952 (25316, 56588)";"40952 (25316, 56588)";"8190 (5063, 11317)";"81903 (50632, 113174)";"171997 (133570, 210424)"
"2015-04-13";"153";"80859 (49654, 112064)";"40430 (24828, 56032)";"40430 (24828, 56032)";"8086 (4966, 11206)";"80859 (49654, 112064)";"169805 (131460, 208150)"
"2015-04-12";"152";"79811 (48687, 110935)";"39906 (24344, 55468)";"39906 (24344, 55468)";"7981 (4869, 11093)";"79811 (48687, 110935)";"167604 (129358, 205850)"
"2015-04-11";"151";"78758 (47728, 109788)";"39379 (23864, 54894)";"39379 (23864, 54894)";"7876 (4773, 10979)";"78758 (47728, 109788)";"165392 (127262, 203522)"
"2015-04-10";"150";"77701 (46781, 108621)";"38850 (23390, 54310)";"38850 (23390, 54310)";"7770 (4678, 10862)";"77701 (46781, 108621)";"163171 (125175, 201167)"
"2015-04-09";"149";"76642 (45845, 107439)";"38321 (22923, 53719)";"38321 (22923, 53719)";"7664 (4584, 10744)";"76642 (45845, 107439)";"160948 (123104, 198792)"
"2015-04-08";"148";"75581 (44922, 106240)";"37790 (22461, 53119)";"37790 (22461, 53119)";"7558 (4492, 10624)";"75581 (44922, 106240)";"158719 (121045, 196393)"
"2015-04-07";"147";"74518 (44011, 105025)";"37259 (22006, 52512)";"37259 (22006, 52512)";"7452 (4401, 10503)";"74518 (44011, 105025)";"156488 (119001, 193975)"
"2015-04-06";"146";"73454 (43114, 103794)";"36727 (21557, 51897)";"36727 (21557, 51897)";"7345 (4311, 10379)";"73454 (43114, 103794)";"154253 (116970, 191536)"
"2015-04-05";"145";"72391 (42231, 102551)";"36196 (21116, 51276)";"36196 (21116, 51276)";"7239 (4223, 10255)";"72391 (42231, 102551)";"152022 (114961, 189083)"
"2015-04-04";"144";"71327 (41362, 101292)";"35664 (20681, 50647)";"35664 (20681, 50647)";"7133 (4136, 10130)";"71327 (41362, 101292)";"149788 (112966, 186610)"
"2015-04-03";"143";"70265 (40507, 100023)";"35132 (20253, 50011)";"35132 (20253, 50011)";"7026 (4050, 10002)";"70265 (40507, 100023)";"147555 (110988, 184122)"
