"Date";"Days from today";"PPE (m3)";"PPE (tons)";"Body bags (m3)";"Body bags (tons)";"Chlorine (m3)";"Chlorine (tons)";"Medical supplies (m3)";"Medical supplies (tons)";"Lab supplies (m3)";"Lab supplies (tons)";"Total (m3)";"Total (tons)"
"2015-04-28";"168";"5592.5 (4272.9, 6912.1)";"1162.2 (888.0, 1436.4)";"15.0 (11.5, 18.6)";"1.5 (1.1, 1.9)";"6.0 (4.6, 7.4)";"6.0 (4.6, 7.4)";"86.4 (66.0, 106.7)";"43.2 (33.0, 53.4)";"9.4 (7.2, 11.6)";"4.5 (3.4, 5.6)";"5709.2 (4362.1, 7056.4)";"1217.4 (930.1, 1504.7)"
"2015-04-27";"167";"5543.3 (4208.8, 6877.7)";"1152.0 (874.7, 1429.3)";"14.9 (11.3, 18.5)";"1.5 (1.1, 1.8)";"6.0 (4.5, 7.4)";"6.0 (4.5, 7.4)";"85.6 (65.0, 106.2)";"42.8 (32.5, 53.1)";"9.3 (7.1, 11.5)";"4.5 (3.4, 5.5)";"5659.0 (4296.7, 7021.3)";"1206.7 (916.2, 1497.2)"
"2015-04-26";"166";"5492.9 (4144.4, 6841.3)";"1141.5 (861.3, 1421.7)";"14.8 (11.1, 18.4)";"1.5 (1.1, 1.8)";"5.9 (4.5, 7.3)";"5.9 (4.5, 7.3)";"84.8 (64.0, 105.7)";"42.4 (32.0, 52.8)";"9.2 (7.0, 11.5)";"4.4 (3.3, 5.5)";"5607.6 (4231.0, 6984.1)";"1195.7 (902.2, 1489.3)"
"2015-04-25";"165";"5441.3 (4079.7, 6802.9)";"1130.8 (847.8, 1413.7)";"14.6 (11.0, 18.3)";"1.5 (1.1, 1.8)";"5.8 (4.4, 7.3)";"5.8 (4.4, 7.3)";"84.0 (63.0, 105.1)";"42.0 (31.5, 52.5)";"9.1 (6.8, 11.4)";"4.4 (3.3, 5.5)";"5554.9 (4164.9, 6944.9)";"1184.5 (888.1, 1480.9)"
"2015-04-24";"164";"5388.6 (4014.7, 6762.5)";"1119.8 (834.3, 1405.4)";"14.5 (10.8, 18.2)";"1.4 (1.1, 1.8)";"5.8 (4.3, 7.3)";"5.8 (4.3, 7.3)";"83.2 (62.0, 104.4)";"41.6 (31.0, 52.2)";"9.0 (6.7, 11.4)";"4.3 (3.2, 5.4)";"5501.1 (4098.5, 6903.7)";"1173.0 (873.9, 1472.1)"
"2015-04-23";"163";"5334.9 (3949.5, 6720.2)";"1108.7 (820.8, 1396.6)";"14.3 (10.6, 18.0)";"1.4 (1.1, 1.8)";"5.7 (4.2, 7.2)";"5.7 (4.2, 7.2)";"82.4 (61.0, 103.8)";"41.2 (30.5, 51.9)";"9.0 (6.6, 11.3)";"4.3 (3.2, 5.4)";"5446.3 (4032.0, 6860.6)";"1161.3 (859.8, 1462.9)"
"2015-04-22";"162";"5280.2 (3884.3, 6676.0)";"1097.3 (807.2, 1387.4)";"14.2 (10.4, 17.9)";"1.4 (1.0, 1.8)";"5.7 (4.2, 7.2)";"5.7 (4.2, 7.2)";"81.5 (60.0, 103.1)";"40.8 (30.0, 51.6)";"8.9 (6.5, 11.2)";"4.3 (3.1, 5.4)";"5390.4 (3965.4, 6815.4)";"1149.4 (845.6, 1453.3)"
"2015-04-21";"161";"5224.5 (3819.0, 6629.9)";"1085.7 (793.7, 1377.8)";"14.0 (10.3, 17.8)";"1.4 (1.0, 1.8)";"5.6 (4.1, 7.1)";"5.6 (4.1, 7.1)";"80.7 (59.0, 102.4)";"40.3 (29.5, 51.2)";"8.8 (6.4, 11.1)";"4.2 (3.1, 5.3)";"5333.6 (3898.8, 6768.4)";"1137.3 (831.3, 1443.2)"
"2015-04-20";"160";"5167.9 (3753.8, 6582.0)";"1074.0 (780.1, 1367.8)";"13.9 (10.1, 17.7)";"1.4 (1.0, 1.8)";"5.6 (4.0, 7.1)";"5.6 (4.0, 7.1)";"79.8 (58.0, 101.6)";"39.9 (29.0, 50.8)";"8.7 (6.3, 11.0)";"4.2 (3.0, 5.3)";"5275.8 (3832.2, 6719.5)";"1125.0 (817.2, 1432.8)"
"2015-04-19";"159";"5110.5 (3688.7, 6532.3)";"1062.0 (766.6, 1357.5)";"13.7 ( 9.9, 17.5)";"1.4 (1.0, 1.8)";"5.5 (4.0, 7.0)";"5.5 (4.0, 7.0)";"78.9 (57.0, 100.9)";"39.5 (28.5, 50.4)";"8.6 (6.2, 11.0)";"4.1 (3.0, 5.3)";"5217.2 (3765.7, 6668.7)";"1112.5 (803.0, 1422.0)"
"2015-04-18";"158";"5052.3 (3623.7, 6480.8)";"1049.9 (753.1, 1346.8)";"13.6 ( 9.7, 17.4)";"1.4 (1.0, 1.7)";"5.4 (3.9, 7.0)";"5.4 (3.9, 7.0)";"78.0 (56.0, 100.1)";"39.0 (28.0, 50.0)";"8.5 (6.1, 10.9)";"4.1 (2.9, 5.2)";"5157.8 (3699.4, 6616.1)";"1099.8 (788.8, 1410.8)"
"2015-04-17";"157";"4993.3 (3559.0, 6427.6)";"1037.7 (739.6, 1335.8)";"13.4 ( 9.6, 17.3)";"1.3 (1.0, 1.7)";"5.4 (3.8, 6.9)";"5.4 (3.8, 6.9)";"77.1 (55.0,  99.3)";"38.6 (27.5, 49.6)";"8.4 (6.0, 10.8)";"4.0 (2.9, 5.2)";"5097.6 (3633.4, 6561.9)";"1087.0 (774.8, 1399.2)"
