"Date";"Days from today";"ETU caseload";"Nurses and paramedics";"Hygienists and nurses aids";"Doctors";"Support staff";"Total"
"2015-04-28";"168";"7419 (1383, 13455)";"3710 (692, 6728)";"3710 (692, 6728)";"742 (138, 1346)";"7419 (1383, 13455)";"15581 (8164, 22998)"
"2015-04-27";"167";"7356 (1385, 13327)";"3678 (693, 6663)";"3678 (693, 6663)";"736 (139, 1333)";"7356 (1385, 13327)";"15448 (8111, 22785)"
"2015-04-26";"166";"7294 (1388, 13200)";"3647 (694, 6600)";"3647 (694, 6600)";"729 (138, 1320)";"7294 (1388, 13200)";"15317 (8060, 22574)"
"2015-04-25";"165";"7233 (1392, 13074)";"3616 (696, 6536)";"3616 (696, 6536)";"723 (139, 1307)";"7233 (1392, 13074)";"15188 (8011, 22365)"
"2015-04-24";"164";"7171 (1395, 12947)";"3585 (697, 6473)";"3585 (697, 6473)";"717 (139, 1295)";"7171 (1395, 12947)";"15058 (7960, 22156)"
"2015-04-23";"163";"7110 (1398, 12822)";"3555 (699, 6411)";"3555 (699, 6411)";"711 (140, 1282)";"7110 (1398, 12822)";"14931 (7912, 21950)"
"2015-04-22";"162";"7049 (1401, 12697)";"3524 (700, 6348)";"3524 (700, 6348)";"705 (140, 1270)";"7049 (1401, 12697)";"14802 (7862, 21742)"
"2015-04-21";"161";"6989 (1405, 12573)";"3494 (702, 6286)";"3494 (702, 6286)";"699 (141, 1257)";"6989 (1405, 12573)";"14676 (7814, 21538)"
"2015-04-20";"160";"6929 (1408, 12450)";"3465 (705, 6225)";"3465 (705, 6225)";"693 (141, 1245)";"6929 (1408, 12450)";"14552 (7768, 21336)"
"2015-04-19";"159";"6869 (1412, 12326)";"3434 (705, 6163)";"3434 (705, 6163)";"687 (141, 1233)";"6869 (1412, 12326)";"14424 (7718, 21130)"
"2015-04-18";"158";"6810 (1415, 12205)";"3405 (708, 6102)";"3405 (708, 6102)";"681 (142, 1220)";"6810 (1415, 12205)";"14301 (7672, 20930)"
"2015-04-17";"157";"6751 (1419, 12083)";"3376 (710, 6042)";"3376 (710, 6042)";"675 (142, 1208)";"6751 (1419, 12083)";"14178 (7626, 20730)"
"2015-04-16";"156";"6692 (1422, 11962)";"3346 (711, 5981)";"3346 (711, 5981)";"669 (142, 1196)";"6692 (1422, 11962)";"14053 (7578, 20528)"
"2015-04-15";"155";"6634 (1426, 11842)";"3317 (713, 5921)";"3317 (713, 5921)";"663 (142, 1184)";"6634 (1426, 11842)";"13931 (7532, 20330)"
"2015-04-14";"154";"6575 (1429, 11721)";"3288 (715, 5861)";"3288 (715, 5861)";"658 (143, 1173)";"6575 (1429, 11721)";"13809 (7486, 20132)"
"2015-04-13";"153";"6518 (1433, 11603)";"3259 (717, 5801)";"3259 (717, 5801)";"652 (144, 1160)";"6518 (1433, 11603)";"13688 (7440, 19936)"
"2015-04-12";"152";"6460 (1436, 11484)";"3230 (718, 5742)";"3230 (718, 5742)";"646 (144, 1148)";"6460 (1436, 11484)";"13566 (7393, 19739)"
"2015-04-11";"151";"6403 (1440, 11366)";"3202 (720, 5684)";"3202 (720, 5684)";"640 (144, 1136)";"6403 (1440, 11366)";"13447 (7348, 19546)"
"2015-04-10";"150";"6347 (1444, 11250)";"3174 (723, 5625)";"3174 (723, 5625)";"635 (145, 1125)";"6347 (1444, 11250)";"13330 (7305, 19355)"
"2015-04-09";"149";"6291 (1448, 11134)";"3146 (725, 5567)";"3146 (725, 5567)";"629 (145, 1113)";"6291 (1448, 11134)";"13212 (7261, 19163)"
"2015-04-08";"148";"6235 (1452, 11018)";"3118 (726, 5510)";"3118 (726, 5510)";"624 (146, 1102)";"6235 (1452, 11018)";"13095 (7217, 18973)"
"2015-04-07";"147";"6179 (1455, 10903)";"3090 (728, 5452)";"3090 (728, 5452)";"618 (146, 1090)";"6179 (1455, 10903)";"12977 (7172, 18782)"
"2015-04-06";"146";"6124 (1458, 10790)";"3062 (729, 5395)";"3062 (729, 5395)";"612 (145, 1079)";"6124 (1458, 10790)";"12860 (7127, 18593)"
"2015-04-05";"145";"6069 (1462, 10676)";"3034 (730, 5338)";"3034 (730, 5338)";"607 (146, 1068)";"6069 (1462, 10676)";"12744 (7083, 18405)"
"2015-04-04";"144";"6015 (1466, 10564)";"3008 (733, 5283)";"3008 (733, 5283)";"602 (147, 1057)";"6015 (1466, 10564)";"12633 (7043, 18223)"
"2015-04-03";"143";"5960 (1468, 10452)";"2980 (734, 5226)";"2980 (734, 5226)";"596 (147, 1045)";"5960 (1468, 10452)";"12516 (6996, 18036)"
"2015-04-02";"142";"5907 (1472, 10342)";"2954 (737, 5171)";"2954 (737, 5171)";"591 (148, 1034)";"5907 (1472, 10342)";"12406 (6957, 17855)"
"2015-04-01";"141";"5853 (1475, 10231)";"2926 (737, 5115)";"2926 (737, 5115)";"585 (147, 1023)";"5853 (1475, 10231)";"12290 (6910, 17670)"
"2015-03-31";"140";"5800 (1478, 10122)";"2900 (739, 5061)";"2900 (739, 5061)";"580 (148, 1012)";"5800 (1478, 10122)";"12180 (6870, 17490)"
"2015-03-30";"139";"5748 (1482, 10014)";"2874 (741, 5007)";"2874 (741, 5007)";"575 (148, 1002)";"5748 (1482, 10014)";"12071 (6829, 17313)"
"2015-03-29";"138";"5695 (1485,  9905)";"2848 (743, 4953)";"2848 (743, 4953)";"570 (149,  991)";"5695 (1485,  9905)";"11961 (6787, 17135)"
"2015-03-28";"137";"5643 (1488,  9798)";"2822 (744, 4900)";"2822 (744, 4900)";"564 (148,  980)";"5643 (1488,  9798)";"11851 (6745, 16957)"
"2015-03-27";"136";"5592 (1491,  9693)";"2796 (746, 4846)";"2796 (746, 4846)";"559 (149,  969)";"5592 (1491,  9693)";"11743 (6704, 16782)"
"2015-03-26";"135";"5540 (1494,  9586)";"2770 (747, 4793)";"2770 (747, 4793)";"554 (149,  959)";"5540 (1494,  9586)";"11634 (6662, 16606)"
"2015-03-25";"134";"5490 (1497,  9483)";"2745 (749, 4741)";"2745 (749, 4741)";"549 (150,  948)";"5490 (1497,  9483)";"11529 (6623, 16435)"
"2015-03-24";"133";"5439 (1500,  9378)";"2720 (750, 4690)";"2720 (750, 4690)";"544 (150,  938)";"5439 (1500,  9378)";"11423 (6582, 16264)"
"2015-03-23";"132";"5389 (1502,  9276)";"2694 (751, 4637)";"2694 (751, 4637)";"539 (150,  928)";"5389 (1502,  9276)";"11316 (6540, 16092)"
"2015-03-22";"131";"5339 (1505,  9173)";"2670 (753, 4587)";"2670 (753, 4587)";"534 (151,  917)";"5339 (1505,  9173)";"11213 (6501, 15925)"
"2015-03-21";"130";"5290 (1508,  9072)";"2645 (754, 4536)";"2645 (754, 4536)";"529 (151,  907)";"5290 (1508,  9072)";"11109 (6461, 15757)"
"2015-03-20";"129";"5241 (1510,  8972)";"2620 (755, 4485)";"2620 (755, 4485)";"524 (151,  897)";"5241 (1510,  8972)";"11005 (6420, 15590)"
"2015-03-19";"128";"5192 (1512,  8872)";"2596 (756, 4436)";"2596 (756, 4436)";"519 (151,  887)";"5192 (1512,  8872)";"10903 (6381, 15425)"
"2015-03-18";"127";"5144 (1515,  8773)";"2572 (757, 4387)";"2572 (757, 4387)";"514 (151,  877)";"5144 (1515,  8773)";"10802 (6342, 15262)"
"2015-03-17";"126";"5096 (1517,  8675)";"2548 (758, 4338)";"2548 (758, 4338)";"510 (152,  868)";"5096 (1517,  8675)";"10702 (6304, 15100)"
