Date;Days from today;Cases (reported/treated);New cases/day (reported/treated);Cases (total);New cases/day (total);Incubation period;Infectious and unreported;Undergoing treatment
02.11.2014;12;12356 (11203, 13510);184;45264 (39862,  50666);685; 7877 (5046, 10707); 5049 (3444,  6653);1376 ( 999, 1754)
01.11.2014;11;12172 (11075, 13269);182;44579 (39418,  49740);673; 7743 (5002, 10483); 4972 (3420,  6523);1358 ( 993, 1722)
31.10.2014;10;11990 (10949, 13032);179;43906 (38978,  48833);662; 7613 (4960, 10267); 4897 (3396,  6398);1340 ( 988, 1692)
30.10.2014;9;11811 (10823, 12800);176;43243 (38542,  47945);651; 7488 (4919, 10056); 4824 (3373,  6276);1322 ( 983, 1662)
29.10.2014;8;11635 (10698, 12572);174;42592 (38109,  47075);641; 7366 (4879,  9852); 4754 (3351,  6158);1305 ( 978, 1633)
28.10.2014;7;11461 (10573, 12349);171;41951 (37680,  46222);631; 7247 (4840,  9655); 4686 (3330,  6043);1289 ( 973, 1605)
27.10.2014;6;11290 (10450, 12130);169;41320 (37253,  45387);621; 7133 (4803,  9462); 4620 (3309,  5931);1273 ( 969, 1578)
26.10.2014;5;11121 (10327, 11915);167;40700 (36830,  44569);611; 7021 (4767,  9276); 4556 (3290,  5823);1258 ( 964, 1551)
25.10.2014;4;10954 (10205, 11704);164;40088 (36410,  43767);602; 6913 (4732,  9095); 4494 (3271,  5718);1243 ( 960, 1525)
24.10.2014;3;10790 (10083, 11497);162;39487 (35993,  42980);593; 6809 (4698,  8919); 4434 (3253,  5616);1228 ( 956, 1500)
23.10.2014;2;10628 ( 9961, 11294);160;38894 (35578,  42209);584; 6707 (4666,  8749); 4376 (3235,  5516);1214 ( 953, 1476)
22.10.2014;1;10468 ( 9841, 11095);158;38310 (35167,  41453);576; 6609 (4635,  8583); 4320 (3219,  5420);1201 ( 949, 1453)
21.10.2014;0;10310 ( 9720, 10899);156;37734 (34757,  40711);567; 6514 (4605,  8423); 4265 (3203,  5327);1188 ( 946, 1430)
20.10.2014;-1;10153 ( 9600, 10707);154;37167 (34350,  39984);559; 6421 (4576,  8267); 4212 (3188,  5236);1175 ( 943, 1408)
19.10.2014;-2; 9999 ( 9480, 10518);152;36608 (33945,  39270);552; 6332 (4548,  8115); 4161 (3174,  5148);1163 ( 940, 1386)
18.10.2014;-3; 9847 ( 9361, 10333);150;36056 (33542,  38570);544; 6245 (4521,  7968); 4111 (3160,  5062);1151 ( 937, 1365)
17.10.2014;-4; 9697 ( 9242, 10152);149;35512 (33141,  37883);537; 6161 (4496,  7825); 4063 (3147,  4979);1140 ( 935, 1345)
16.10.2014;-5; 9548 ( 9122,  9973);147;34975 (32741,  37209);530; 6079 (4471,  7687); 4016 (3135,  4898);1128 ( 932, 1325)
15.10.2014;-6; 9401 ( 9003,  9798);144;34445 (32344,  36547);516; 6000 (4448,  7552); 3971 (3123,  4820);1118 ( 930, 1306)
14.10.2014;-7; 9257 ( 8882,  9632);144;33929 (31942,  35917);517; 5926 (4426,  7426); 3929 (3112,  4747);1108 ( 928, 1288)
13.10.2014;-8; 9113 ( 8763,  9463);142;33413 (31547,  35279);510; 5852 (4404,  7299); 3887 (3101,  4673);1098 ( 926, 1270)
12.10.2014;-9; 8971 ( 8644,  9298);141;32903 (31152,  34653);504; 5780 (4384,  7176); 3846 (3091,  4601);1088 ( 924, 1252)
11.10.2014;-10; 8830 ( 8524,  9136);139;32399 (30759,  34039);498; 5710 (4364,  7056); 3806 (3082,  4531);1078 ( 922, 1235)
10.10.2014;-11; 8690 ( 8404,  8977);138;31901 (30366,  33435);492; 5642 (4345,  6939); 3768 (3073,  4463);1069 ( 921, 1218)
09.10.2014;-12; 8552 ( 8284,  8821);137;31409 (29974,  32843);486; 5577 (4328,  6826); 3731 (3065,  4397);1060 ( 919, 1202)
08.10.2014;-13; 8416 ( 8163,  8669);135;30922 (29582,  32263);481; 5514 (4311,  6717); 3695 (3058,  4333);1052 ( 918, 1186)
07.10.2014;-14; 8280 ( 8041,  8520);134;30441 (29190,  31693);476; 5453 (4295,  6610); 3661 (3051,  4271);1044 ( 917, 1171)
06.10.2014;-15; 8146 ( 7919,  8374);133;29966 (28798,  31134);471; 5393 (4280,  6506); 3627 (3044,  4211);1036 ( 916, 1156)
05.10.2014;-16; 8013 ( 7796,  8231);132;29495 (28405,  30586);466; 5336 (4266,  6406); 3595 (3038,  4152);1028 ( 915, 1141)
04.10.2014;-17; 7881 ( 7672,  8091);131;29030 (28011,  30048);461; 5280 (4253,  6308); 3564 (3033,  4095);1020 ( 914, 1127)
03.10.2014;-18; 7751 ( 7547,  7954);130;28569 (27616,  29522);456; 5227 (4240,  6213); 3534 (3028,  4039);1013 ( 913, 1114)
02.10.2014;-19; 7621 ( 7422,  7820);129;28113 (27219,  29006);452; 5175 (4228,  6121); 3504 (3023,  3986);1006 ( 912, 1100)
01.10.2014;-20; 7493 ( 7296,  7689);127;27661 (26820,  28501);447; 5124 (4218,  6031); 3476 (3019,  3933); 999 ( 911, 1087)
30.09.2014;-21; 7365 ( 7170,  7560);127;27214 (26420,  28008);443; 5076 (4207,  5944); 3449 (3016,  3883); 993 ( 911, 1075)
29.09.2014;-22; 7239 ( 7044,  7433);126;26770 (26016,  27525);439; 5029 (4198,  5859); 3423 (3013,  3833); 986 ( 910, 1062)
28.09.2014;-23; 7113 ( 6918,  7308);125;26331 (25610,  27052);435; 4983 (4189,  5777); 3398 (3010,  3786); 980 ( 909, 1051)
27.09.2014;-24; 6988 ( 6791,  7185);124;25896 (25201,  26591);431; 4939 (4181,  5697); 3373 (3008,  3739); 974 ( 909, 1039)
26.09.2014;-25; 6865 ( 6665,  7064);123;25465 (24790,  26140);428; 4897 (4174,  5620); 3350 (3006,  3694); 968 ( 908, 1028)
25.09.2014;-26; 6742 ( 6540,  6944);122;25037 (24376,  25698);424; 4856 (4168,  5545); 3327 (3004,  3651); 962 ( 907, 1017)
24.09.2014;-27; 6620 ( 6415,  6824);121;24613 (23960,  25265);421; 4817 (4162,  5472); 3306 (3003,  3608); 956 ( 906, 1007)
23.09.2014;-28; 6498 ( 6290,  6706);121;24192 (23543,  24841);418; 4779 (4157,  5401); 3285 (3002,  3567); 951 ( 905,  997)
22.09.2014;-29; 6378 ( 6166,  6589);120;23774 (23124,  24424);414; 4742 (4152,  5332); 3265 (3002,  3528); 945 ( 903,  987)
21.09.2014;-30; 6258 ( 6043,  6472);119;23360 (22705,  24015);411; 4707 (4148,  5265); 3245 (3001,  3489); 940 ( 902,  978)
20.09.2014;-31; 6139 ( 5921,  6356);118;22949 (22287,  23611);408; 4672 (4145,  5200); 3227 (3001,  3452); 934 ( 899,  969)
19.09.2014;-32; 6020 ( 5800,  6240);118;22540 (21869,  23212);406; 4640 (4142,  5137); 3209 (3001,  3416); 929 ( 897,  961)
18.09.2014;-33; 5902 ( 5680,  6125);117;22135 (21452,  22817);403; 4608 (4140,  5076); 3191 (3001,  3382); 924 ( 893,  954)
17.09.2014;-34; 5785 ( 5560,  6010);117;21732 (21037,  22426);400; 4578 (4139,  5017); 3175 (3001,  3349); 918 ( 889,  947)
16.09.2014;-35; 5669 ( 5442,  5895);116;21331 (20624,  22039);398; 4549 (4138,  4960); 3159 (3001,  3317); 913 ( 884,  941)
15.09.2014;-36; 5552 ( 5324,  5781);115;20934 (20214,  21654);395; 4521 (4137,  4904); 3144 (3000,  3288); 907 ( 878,  936)
14.09.2014;-37; 5437 ( 5208,  5666);115;20538 (19806,  21271);393; 4494 (4137,  4851); 3129 (2998,  3260); 901 ( 871,  931)
13.09.2014;-38; 5322 ( 5092,  5552);114;20145 (19401,  20890);391; 4468 (4138,  4799); 3115 (2996,  3234); 895 ( 864,  927)
12.09.2014;-39; 5208 ( 4978,  5437);114;19754 (18999,  20510);389; 4444 (4139,  4749); 3101 (2991,  3210); 889 ( 856,  922)
11.09.2014;-40; 5094 ( 4864,  5323);113;19365 (18599,  20132);387; 4421 (4140,  4702); 3088 (2986,  3190); 883 ( 847,  918)
10.09.2014;-41; 4980 ( 4752,  5209);113;18979 (18203,  19754);385; 4399 (4142,  4656); 3075 (2977,  3172); 876 ( 838,  914)
09.09.2014;-42; 4867 ( 4640,  5094);113;18594 (17810,  19377);383; 4378 (4143,  4613); 3062 (2966,  3158); 869 ( 829,  909)
08.09.2014;-43; 4755 ( 4530,  4980);112;18211 (17421,  19000);382; 4359 (4145,  4572); 3050 (2953,  3147); 861 ( 819,  904)
07.09.2014;-44; 4643 ( 4420,  4866);112;17829 (17034,  18624);380; 4340 (4147,  4534); 3038 (2936,  3139); 853 ( 809,  898)
06.09.2014;-45; 4531 ( 4311,  4751);111;17449 (16650,  18248);379; 4324 (4148,  4499); 3026 (2918,  3133); 845 ( 798,  892)
05.09.2014;-46; 4420 ( 4203,  4636);111;17070 (16270,  17871);377; 4308 (4149,  4468); 3013 (2898,  3129); 836 ( 786,  885)
04.09.2014;-47; 4309 ( 4096,  4522);110;16693 (15892,  17494);376; 4294 (4147,  4441); 3001 (2876,  3126); 826 ( 774,  877)
03.09.2014;-48; 4199 ( 3991,  4407);110;16317 (15517,  17117);375; 4282 (4144,  4420); 2988 (2853,  3124); 815 ( 762,  868)
02.09.2014;-49; 4089 ( 3886,  4293);109;15942 (15145,  16738);374; 4272 (4138,  4406); 2975 (2829,  3121); 803 ( 749,  858)
01.09.2014;-50; 3980 ( 3782,  4178);109;15567 (14776,  16359);374; 4264 (4130,  4398); 2961 (2804,  3118); 791 ( 735,  847)
31.08.2014;-51; 3871 ( 3679,  4063);108;15194 (14410,  15978);373; 4258 (4118,  4397); 2946 (2778,  3114); 777 ( 721,  834)
30.08.2014;-52; 3763 ( 3577,  3949);107;14820 (14045,  15596);373; 4255 (4105,  4404); 2929 (2750,  3107); 763 ( 705,  820)
29.08.2014;-53; 3655 ( 3476,  3835);107;14447 (13683,  15211);373; 4255 (4091,  4418); 2910 (2721,  3099); 747 ( 689,  804)
28.08.2014;-54; 3549 ( 3376,  3721);106;14074 (13323,  14825);374; 4258 (4077,  4439); 2888 (2689,  3087); 730 ( 672,  787)
27.08.2014;-55; 3443 ( 3278,  3608);105;13700 (12964,  14436);375; 4266 (4065,  4466); 2863 (2656,  3071); 711 ( 654,  768)
26.08.2014;-56; 3338 ( 3181,  3495);104;13325 (12607,  14044);376; 4279 (4056,  4502); 2835 (2619,  3050); 691 ( 635,  748)
25.08.2014;-57; 3234 ( 3085,  3383);102;12949 (12250,  13648);378; 4297 (4050,  4545); 2800 (2579,  3022); 670 ( 616,  725)
24.08.2014;-58; 3132 ( 2991,  3273);101;12571 (11894,  13248);381; 4323 (4049,  4597); 2760 (2533,  2987); 648 ( 595,  701)
23.08.2014;-59; 3031 ( 2898,  3164);99;12190 (11539,  12842);384; 4358 (4055,  4661); 2711 (2482,  2940); 624 ( 573,  675)
22.08.2014;-60; 2932 ( 2808,  3057);96;11806 (11182,  12431);389; 4403 (4069,  4737); 2653 (2423,  2882); 600 ( 551,  649)
21.08.2014;-61; 2836 ( 2720,  2952);94;11418 (10824,  12012);394; 4461 (4092,  4829); 2582 (2356,  2808); 575 ( 529,  621)
20.08.2014;-62; 2742 ( 2634,  2850);90;11023 (10463,  11584);402; 4533 (4127,  4939); 2496 (2276,  2715); 550 ( 506,  593)
19.08.2014;-63; 2652 ( 2552,  2753);86;10622 (10098,  11146);396; 4625 (4178,  5072); 2391 (2183,  2599); 525 ( 484,  565)
18.08.2014;-64; 2566 ( 2473,  2659);82;10226 ( 9740,  10712);377; 4401 (3983,  4820); 2278 (2084,  2473); 501 ( 463,  539)
17.08.2014;-65; 2484 ( 2398,  2571);78; 9849 ( 9398,  10301);359; 4189 (3797,  4581); 2172 (1990,  2354); 478 ( 443,  514)
16.08.2014;-66; 2406 ( 2327,  2486);74; 9491 ( 9072,   9909);341; 3988 (3621,  4355); 2070 (1900,  2241); 457 ( 424,  490)
15.08.2014;-67; 2332 ( 2258,  2406);71; 9149 ( 8761,   9537);325; 3797 (3454,  4141); 1974 (1815,  2134); 437 ( 406,  468)
14.08.2014;-68; 2261 ( 2193,  2329);68; 8824 ( 8465,   9184);310; 3616 (3295,  3938); 1883 (1735,  2032); 418 ( 389,  446)
13.08.2014;-69; 2193 ( 2130,  2256);65; 8515 ( 8182,   8848);295; 3444 (3144,  3745); 1797 (1658,  1936); 400 ( 373,  426)
12.08.2014;-70; 2128 ( 2070,  2187);62; 8220 ( 7912,   8528);281; 3281 (3000,  3563); 1715 (1586,  1845); 382 ( 358,  407)
11.08.2014;-71; 2067 ( 2013,  2120);59; 7939 ( 7654,   8223);268; 3127 (2864,  3390); 1638 (1517,  1759); 366 ( 343,  389)
10.08.2014;-72; 2008 ( 1958,  2057);56; 7671 ( 7408,   7934);255; 2980 (2734,  3226); 1564 (1451,  1677); 351 ( 329,  372)
09.08.2014;-73; 1952 ( 1906,  1997);54; 7416 ( 7173,   7658);243; 2841 (2611,  3071); 1494 (1389,  1600); 336 ( 316,  356)
08.08.2014;-74; 1898 ( 1856,  1939);51; 7172 ( 6948,   7396);232; 2709 (2495,  2924); 1428 (1330,  1527); 322 ( 303,  341)
07.08.2014;-75; 1846 ( 1808,  1885);49; 6940 ( 6734,   7146);221; 2584 (2384,  2785); 1366 (1274,  1458); 309 ( 292,  327)
06.08.2014;-76; 1797 ( 1762,  1832);47; 6719 ( 6529,   6909);211; 2466 (2279,  2653); 1306 (1221,  1392); 297 ( 280,  313)
05.08.2014;-77; 1750 ( 1718,  1782);45; 6507 ( 6332,   6682);202; 2354 (2179,  2529); 1250 (1170,  1330); 285 ( 270,  300)
04.08.2014;-78; 1705 ( 1676,  1734);43; 6306 ( 6145,   6466);193; 2247 (2084,  2410); 1197 (1122,  1271); 274 ( 260,  288)
03.08.2014;-79; 1662 ( 1635,  1689);41; 6113 ( 5965,   6261);184; 2146 (1994,  2298); 1146 (1077,  1216); 263 ( 250,  276)
02.08.2014;-80; 1621 ( 1596,  1645);40; 5929 ( 5793,   6065);176; 2050 (1908,  2192); 1098 (1034,  1163); 253 ( 241,  265)
01.08.2014;-81; 1581 ( 1559,  1603);38; 5753 ( 5628,   5878);168; 1959 (1827,  2092); 1053 ( 993,  1113); 244 ( 232,  255)
31.07.2014;-82; 1543 ( 1523,  1563);36; 5585 ( 5471,   5699);161; 1873 (1750,  1997); 1010 ( 954,  1066); 235 ( 224,  245)
30.07.2014;-83; 1507 ( 1488,  1525);35; 5424 ( 5319,   5529);154; 1792 (1677,  1907);  970 ( 917,  1022); 226 ( 216,  236)
29.07.2014;-84; 1472 ( 1455,  1488);34; 5270 ( 5174,   5367);147; 1715 (1607,  1822);  931 ( 883,   980); 218 ( 209,  227)
28.07.2014;-85; 1438 ( 1423,  1453);32; 5123 ( 5035,   5212);141; 1642 (1541,  1742);  895 ( 850,   940); 211 ( 202,  219)
27.07.2014;-86; 1406 ( 1392,  1419);31; 4982 ( 4901,   5064);135; 1572 (1479,  1666);  860 ( 818,   903); 203 ( 195,  211)
26.07.2014;-87; 1375 ( 1362,  1387);30; 4847 ( 4773,   4922);129; 1507 (1420,  1594);  828 ( 789,   867); 197 ( 189,  204)
25.07.2014;-88; 1345 ( 1334,  1355);29; 4718 ( 4649,   4787);124; 1444 (1363,  1526);  797 ( 760,   834); 190 ( 183,  197)
24.07.2014;-89; 1316 ( 1306,  1326);28; 4594 ( 4530,   4658);119; 1386 (1310,  1461);  768 ( 734,   802); 184 ( 178,  191)
23.07.2014;-90; 1288 ( 1279,  1297);27; 4475 ( 4415,   4534);114; 1330 (1259,  1400);  740 ( 709,   772); 178 ( 172,  184)
22.07.2014;-91; 1261 ( 1253,  1269);26; 4360 ( 4305,   4416);110; 1277 (1211,  1343);  714 ( 685,   744); 173 ( 167,  178)
21.07.2014;-92; 1235 ( 1228,  1242);25; 4251 ( 4199,   4303);106; 1227 (1166,  1288);  690 ( 662,   717); 168 ( 162,  173)
20.07.2014;-93; 1211 ( 1204,  1217);24; 4145 ( 4096,   4194);102; 1180 (1123,  1237);  666 ( 641,   692); 163 ( 158,  168)
19.07.2014;-94; 1186 ( 1180,  1192);23; 4044 ( 3997,   4091);98; 1135 (1082,  1188);  644 ( 620,   668); 158 ( 154,  163)
18.07.2014;-95; 1163 ( 1158,  1169);23; 3946 ( 3901,   3991);94; 1093 (1044,  1142);  623 ( 601,   646); 154 ( 149,  158)
17.07.2014;-96; 1140 ( 1135,  1146);22; 3852 ( 3808,   3896);91; 1053 (1007,  1099);  604 ( 583,   625); 150 ( 146,  154)
16.07.2014;-97; 1119 ( 1113,  1124);21; 3761 ( 3718,   3804);87; 1015 ( 972,  1058);  585 ( 566,   605); 146 ( 142,  149)
15.07.2014;-98; 1097 ( 1092,  1102);21; 3674 ( 3632,   3716);84;  979 ( 940,  1019);  568 ( 550,   586); 142 ( 138,  145)
14.07.2014;-99; 1077 ( 1072,  1082);20; 3589 ( 3547,   3631);82;  946 ( 909,   983);  551 ( 534,   568); 138 ( 135,  141)
13.07.2014;-100; 1057 ( 1051,  1062);19; 3508 ( 3466,   3549);79;  914 ( 879,   949);  536 ( 520,   552); 135 ( 132,  138)
12.07.2014;-101; 1037 ( 1032,  1043);NA; 3429 ( 3387,   3471);NA;  884 ( 851,   916);  521 ( 506,   536); 131 ( 129,  134)
13.06.2014;-130;  352 (  352,   352);5; 1021 ( 1019,   1022);21;  248 ( 247,   249);  143 ( 142,   144);  35 (  34,   35)
12.06.2014;-131;  347 (  347,   347);5;  999 (  998,   1000);21;  241 ( 240,   242);  139 ( 138,   139);  34 (  33,   34)
11.06.2014;-132;  342 (  342,   342);5;  978 (  977,    979);20;  233 ( 232,   234);  134 ( 134,   135);  33 (  32,   33)
10.06.2014;-133;  337 (  337,   337);-24774;  958 (  957,    959);-93516;  226 ( 225,   227);  130 ( 130,   131);  32 (  31,   32)
