"Date";"Days from today";"Cases (reported/treated)";"New cases/day (reported/treated)";"Cases (total)";"New cases/day (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment"
"2014-10-21";"0";"4806 (4649, 4963)";"50";"17181 (16356, 18007)";"157";"1782 (1239, 2325)";"1356 (1017, 1696)";"433 (348, 519)"
"2014-10-20";"-1";"4756 (4609, 4902)";"50";"17025 (16243, 17806)";"158";"1793 (1258, 2328)";"1365 (1031, 1698)";"436 (353, 519)"
"2014-10-19";"-2";"4705 (4569, 4842)";"51";"16867 (16129, 17605)";"159";"1804 (1277, 2331)";"1373 (1046, 1700)";"438 (357, 520)"
"2014-10-18";"-3";"4654 (4527, 4782)";"51";"16708 (16012, 17404)";"160";"1815 (1296, 2333)";"1381 (1061, 1701)";"441 (362, 520)"
"2014-10-17";"-4";"4603 (4485, 4722)";"51";"16549 (15894, 17203)";"161";"1826 (1316, 2336)";"1390 (1076, 1703)";"444 (367, 520)"
"2014-10-16";"-5";"4552 (4442, 4663)";"52";"16388 (15773, 17002)";"162";"1837 (1335, 2339)";"1398 (1091, 1705)";"446 (372, 521)"
"2014-10-15";"-6";"4501 (4397, 4604)";"50";"16226 (15650, 16802)";"156";"1848 (1355, 2341)";"1407 (1107, 1707)";"449 (377, 521)"
"2014-10-14";"-7";"4450 (4341, 4559)";"52";"16071 (15489, 16653)";"164";"1862 (1371, 2354)";"1417 (1120, 1715)";"452 (381, 524)"
"2014-10-13";"-8";"4398 (4294, 4501)";"53";"15907 (15361, 16453)";"165";"1873 (1391, 2356)";"1426 (1135, 1717)";"455 (386, 524)"
"2014-10-12";"-9";"4345 (4246, 4444)";"53";"15742 (15230, 16254)";"166";"1885 (1411, 2359)";"1435 (1151, 1718)";"458 (391, 524)"
"2014-10-11";"-10";"4292 (4197, 4387)";"53";"15576 (15097, 16056)";"167";"1896 (1431, 2361)";"1443 (1167, 1720)";"461 (396, 525)"
"2014-10-10";"-11";"4239 (4146, 4331)";"54";"15409 (14960, 15858)";"168";"1908 (1452, 2364)";"1452 (1183, 1721)";"463 (402, 525)"
"2014-10-09";"-12";"4185 (4095, 4276)";"54";"15241 (14821, 15662)";"169";"1919 (1473, 2366)";"1461 (1199, 1723)";"466 (407, 525)"
"2014-10-08";"-13";"4131 (4041, 4221)";"54";"15073 (14678, 15468)";"170";"1931 (1494, 2369)";"1470 (1216, 1725)";"469 (412, 526)"
"2014-10-07";"-14";"4077 (3987, 4167)";"55";"14903 (14531, 15274)";"171";"1943 (1515, 2371)";"1479 (1233, 1726)";"472 (417, 526)"
"2014-10-06";"-15";"4022 (3931, 4114)";"55";"14732 (14380, 15083)";"172";"1955 (1536, 2373)";"1488 (1249, 1728)";"474 (422, 526)"
"2014-10-05";"-16";"3967 (3874, 4060)";"55";"14560 (14225, 14894)";"173";"1967 (1558, 2376)";"1498 (1266, 1729)";"477 (428, 527)"
"2014-10-04";"-17";"3912 (3816, 4008)";"56";"14387 (14066, 14707)";"174";"1979 (1580, 2378)";"1507 (1283, 1731)";"480 (433, 527)"
"2014-10-03";"-18";"3856 (3758, 3955)";"56";"14213 (13902, 14523)";"175";"1991 (1602, 2380)";"1516 (1300, 1732)";"483 (438, 527)"
"2014-10-02";"-19";"3800 (3698, 3902)";"56";"14037 (13733, 14341)";"176";"2003 (1624, 2383)";"1526 (1318, 1734)";"485 (444, 527)"
"2014-10-01";"-20";"3744 (3639, 3849)";"57";"13861 (13560, 14162)";"177";"2016 (1646, 2385)";"1535 (1335, 1735)";"488 (449, 527)"
"2014-09-30";"-21";"3687 (3578, 3797)";"57";"13684 (13382, 13985)";"178";"2028 (1669, 2387)";"1545 (1353, 1736)";"491 (454, 528)"
"2014-09-29";"-22";"3630 (3517, 3743)";"57";"13505 (13200, 13811)";"180";"2041 (1692, 2389)";"1554 (1371, 1738)";"493 (459, 528)"
"2014-09-28";"-23";"3573 (3456, 3690)";"58";"13326 (13014, 13637)";"181";"2053 (1715, 2391)";"1564 (1388, 1739)";"496 (464, 528)"
"2014-09-27";"-24";"3515 (3394, 3636)";"58";"13145 (12825, 13465)";"182";"2066 (1738, 2394)";"1574 (1407, 1741)";"499 (470, 528)"
"2014-09-26";"-25";"3457 (3332, 3582)";"58";"12963 (12633, 13294)";"183";"2079 (1762, 2396)";"1583 (1425, 1742)";"501 (475, 528)"
"2014-09-25";"-26";"3399 (3270, 3527)";"59";"12780 (12438, 13123)";"184";"2092 (1785, 2398)";"1593 (1443, 1743)";"504 (480, 528)"
"2014-09-24";"-27";"3340 (3207, 3472)";"59";"12596 (12241, 12952)";"185";"2105 (1809, 2400)";"1603 (1461, 1745)";"506 (484, 528)"
"2014-09-23";"-28";"3280 (3145, 3416)";"60";"12411 (12042, 12780)";"186";"2118 (1834, 2402)";"1613 (1480, 1746)";"509 (489, 528)"
"2014-09-22";"-29";"3221 (3082, 3360)";"60";"12225 (11841, 12608)";"188";"2131 (1858, 2404)";"1623 (1499, 1747)";"511 (493, 528)"
"2014-09-21";"-30";"3161 (3019, 3303)";"60";"12037 (11639, 12435)";"189";"2144 (1883, 2406)";"1633 (1517, 1749)";"513 (497, 529)"
"2014-09-20";"-31";"3101 (2956, 3245)";"61";"11849 (11436, 12261)";"190";"2158 (1908, 2408)";"1643 (1536, 1750)";"515 (501, 529)"
"2014-09-19";"-32";"3040 (2893, 3187)";"61";"11659 (11232, 12085)";"191";"2171 (1933, 2410)";"1653 (1555, 1752)";"517 (504, 530)"
"2014-09-18";"-33";"2979 (2829, 3128)";"61";"11468 (11027, 11908)";"192";"2185 (1958, 2412)";"1664 (1574, 1753)";"519 (507, 531)"
"2014-09-17";"-34";"2917 (2766, 3069)";"62";"11275 (10821, 11729)";"194";"2199 (1984, 2414)";"1674 (1592, 1755)";"521 (508, 533)"
"2014-09-16";"-35";"2856 (2702, 3009)";"62";"11082 (10615, 11549)";"195";"2213 (2010, 2416)";"1684 (1611, 1757)";"522 (509, 535)"
"2014-09-15";"-36";"2793 (2639, 2948)";"63";"10887 (10408, 11366)";"196";"2227 (2036, 2419)";"1694 (1629, 1759)";"523 (509, 537)"
"2014-09-14";"-37";"2731 (2575, 2887)";"63";"10691 (10200, 11182)";"197";"2241 (2062, 2421)";"1705 (1647, 1762)";"524 (509, 540)"
"2014-09-13";"-38";"2668 (2511, 2824)";"63";"10494 ( 9992, 10996)";"199";"2256 (2089, 2423)";"1715 (1663, 1766)";"525 (508, 542)"
"2014-09-12";"-39";"2605 (2448, 2762)";"64";"10295 ( 9783, 10807)";"200";"2271 (2116, 2426)";"1725 (1679, 1771)";"525 (506, 545)"
"2014-09-11";"-40";"2541 (2384, 2698)";"64";"10095 ( 9574, 10617)";"201";"2286 (2143, 2428)";"1735 (1693, 1777)";"526 (504, 547)"
"2014-09-10";"-41";"2477 (2320, 2634)";"64";" 9894 ( 9365, 10424)";"203";"2301 (2171, 2432)";"1745 (1704, 1786)";"525 (502, 548)"
"2014-09-09";"-42";"2412 (2256, 2569)";"65";" 9692 ( 9155, 10229)";"204";"2317 (2198, 2435)";"1755 (1712, 1797)";"525 (499, 550)"
"2014-09-08";"-43";"2348 (2192, 2503)";"65";" 9488 ( 8944, 10031)";"205";"2333 (2226, 2439)";"1764 (1718, 1811)";"523 (496, 550)"
"2014-09-07";"-44";"2282 (2128, 2436)";"65";" 9282 ( 8734,  9831)";"207";"2349 (2254, 2444)";"1774 (1722, 1825)";"522 (492, 551)"
"2014-09-06";"-45";"2217 (2065, 2369)";"66";" 9076 ( 8523,  9628)";"208";"2366 (2282, 2450)";"1783 (1725, 1841)";"519 (488, 550)"
"2014-09-05";"-46";"2151 (2001, 2301)";"66";" 8867 ( 8312,  9423)";"210";"2383 (2310, 2457)";"1791 (1725, 1858)";"516 (484, 549)"
"2014-09-04";"-47";"2085 (1937, 2233)";"66";" 8658 ( 8100,  9215)";"211";"2402 (2336, 2467)";"1799 (1725, 1874)";"513 (478, 547)"
"2014-09-03";"-48";"2019 (1873, 2164)";"67";" 8446 ( 7888,  9004)";"213";"2421 (2361, 2480)";"1807 (1724, 1890)";"508 (472, 544)"
"2014-09-02";"-49";"1952 (1810, 2094)";"67";" 8233 ( 7675,  8790)";"215";"2441 (2383, 2499)";"1813 (1721, 1905)";"503 (466, 540)"
"2014-09-01";"-50";"1885 (1746, 2024)";"67";" 8018 ( 7462,  8573)";"217";"2462 (2401, 2522)";"1819 (1718, 1919)";"497 (459, 535)"
"2014-08-31";"-51";"1818 (1683, 1953)";"67";" 7801 ( 7249,  8353)";"219";"2484 (2417, 2552)";"1823 (1713, 1932)";"489 (451, 528)"
"2014-08-30";"-52";"1751 (1620, 1882)";"67";" 7582 ( 7034,  8129)";"221";"2509 (2431, 2586)";"1825 (1707, 1943)";"481 (442, 521)"
"2014-08-29";"-53";"1684 (1557, 1810)";"67";" 7361 ( 6819,  7902)";"224";"2535 (2445, 2626)";"1825 (1699, 1952)";"472 (432, 512)"
"2014-08-28";"-54";"1617 (1495, 1738)";"67";" 7137 ( 6603,  7671)";"226";"2564 (2459, 2669)";"1823 (1689, 1957)";"461 (422, 501)"
"2014-08-27";"-55";"1549 (1433, 1666)";"67";" 6911 ( 6386,  7435)";"229";"2596 (2475, 2718)";"1818 (1677, 1959)";"450 (410, 489)"
"2014-08-26";"-56";"1483 (1371, 1594)";"66";" 6681 ( 6168,  7195)";"233";"2632 (2492, 2772)";"1809 (1661, 1956)";"437 (398, 476)"
"2014-08-25";"-57";"1416 (1310, 1522)";"66";" 6449 ( 5948,  6949)";"236";"2673 (2513, 2832)";"1795 (1642, 1947)";"422 (384, 460)"
"2014-08-24";"-58";"1351 (1250, 1451)";"65";" 6212 ( 5726,  6698)";"241";"2719 (2538, 2899)";"1775 (1618, 1932)";"407 (370, 444)"
"2014-08-23";"-59";"1286 (1191, 1380)";"64";" 5972 ( 5502,  6441)";"246";"2771 (2568, 2975)";"1748 (1589, 1907)";"390 (355, 426)"
"2014-08-22";"-60";"1222 (1133, 1311)";"62";" 5726 ( 5275,  6177)";"251";"2832 (2605, 3060)";"1712 (1553, 1872)";"373 (339, 407)"
"2014-08-21";"-61";"1160 (1077, 1243)";"60";" 5474 ( 5044,  5905)";"258";"2904 (2649, 3158)";"1666 (1508, 1824)";"355 (323, 387)"
"2014-08-20";"-62";"1099 (1022, 1177)";"58";" 5216 ( 4809,  5623)";"266";"2987 (2704, 3270)";"1607 (1453, 1760)";"337 (306, 367)"
"2014-08-19";"-63";"1042 ( 970, 1114)";"55";" 4950 ( 4569,  5331)";"263";"3086 (2772, 3400)";"1531 (1386, 1676)";"319 (290, 347)"
"2014-08-18";"-64";" 987 ( 920, 1054)";"52";" 4687 ( 4332,  5042)";"249";"2920 (2626, 3213)";"1448 (1312, 1584)";"301 (275, 328)"
"2014-08-17";"-65";" 935 ( 873,  997)";"49";" 4437 ( 4107,  4768)";"236";"2762 (2488, 3037)";"1370 (1243, 1497)";"285 (260, 310)"
"2014-08-16";"-66";" 886 ( 828,  943)";"46";" 4202 ( 3894,  4509)";"223";"2614 (2357, 2870)";"1296 (1177, 1415)";"270 (247, 293)"
"2014-08-15";"-67";" 839 ( 786,  893)";"44";" 3979 ( 3693,  4265)";"211";"2473 (2233, 2712)";"1226 (1115, 1337)";"255 (233, 277)"
"2014-08-14";"-68";" 796 ( 746,  845)";"42";" 3768 ( 3502,  4034)";"200";"2339 (2115, 2563)";"1160 (1056, 1264)";"241 (221, 261)"
"2014-08-13";"-69";" 754 ( 708,  800)";"39";" 3568 ( 3321,  3815)";"189";"2213 (2004, 2422)";"1097 (1000, 1194)";"228 (209, 247)"
"2014-08-12";"-70";" 715 ( 672,  757)";"37";" 3379 ( 3149,  3609)";"179";"2094 (1898, 2289)";"1038 ( 947, 1129)";"216 (198, 234)"
"2014-08-11";"-71";" 678 ( 638,  717)";"35";" 3201 ( 2987,  3414)";"169";"1980 (1797, 2164)";" 982 ( 897, 1066)";"204 (188, 221)"
"2014-08-10";"-72";" 642 ( 606,  679)";"33";" 3032 ( 2833,  3230)";"160";"1874 (1702, 2045)";" 929 ( 849, 1008)";"193 (178, 209)"
"2014-08-09";"-73";" 609 ( 576,  643)";"31";" 2872 ( 2688,  3056)";"151";"1772 (1612, 1932)";" 878 ( 804,  952)";"183 (168, 197)"
"2014-08-08";"-74";" 578 ( 547,  608)";"30";" 2721 ( 2550,  2891)";"143";"1676 (1527, 1826)";" 831 ( 761,  900)";"173 (159, 186)"
"2014-08-07";"-75";" 548 ( 520,  576)";"28";" 2577 ( 2419,  2736)";"135";"1586 (1446, 1726)";" 786 ( 721,  851)";"163 (151, 176)"
"2014-08-06";"-76";" 520 ( 494,  546)";"27";" 2442 ( 2296,  2589)";"128";"1500 (1369, 1631)";" 743 ( 683,  804)";"155 (143, 166)"
"2014-08-05";"-77";" 493 ( 469,  517)";"25";" 2314 ( 2179,  2450)";"121";"1419 (1297, 1541)";" 703 ( 646,  760)";"146 (135, 157)"
"2014-08-04";"-78";" 468 ( 446,  490)";"24";" 2193 ( 2068,  2318)";"115";"1342 (1228, 1456)";" 665 ( 612,  718)";"138 (128, 149)"
"2014-08-03";"-79";" 444 ( 424,  464)";"23";" 2079 ( 1963,  2194)";"108";"1269 (1163, 1376)";" 629 ( 579,  679)";"131 (121, 141)"
