"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC 25% ETU target";"Beds for CDC 45% reduced transmission target";"Reporting (treatment) quotient"
"2015-02-02";"81";" 88848 ( 28418, 149277)";"1781 ( -62, 3625)";" 465577 (123714,  807439)";" 9261 ( -577, 19099)";"106542 ( -6706, 219789)";" 71035 (-2600, 144670)";"13607 (   54, 27160)";"21160 ( 2443, 39878)";" 38089 ( 4397,  71781)";"40%"
"2015-02-01";"80";" 87066 ( 28469, 145663)";"1748 ( -54, 3550)";" 456316 (124245,  788386)";" 9092 ( -553, 18737)";"104606 ( -6450, 215662)";" 69691 (-2301, 141683)";"13341 (  125, 26557)";"20758 ( 2459, 39057)";" 37364 ( 4427,  70302)";"40%"
"2015-01-31";"79";" 85319 ( 28513, 142124)";"1714 ( -46, 3475)";" 447224 (124753,  769695)";" 8925 ( -527, 18377)";"102693 ( -6164, 211549)";" 68365 (-1992, 138723)";"13080 (  197, 25962)";"20361 ( 2479, 38243)";" 36650 ( 4463,  68837)";"40%"
"2015-01-30";"78";" 83604 ( 28549, 138660)";"1681 ( -38, 3401)";" 438299 (125233,  751365)";" 8760 ( -499, 18019)";"100802 ( -5851, 207456)";" 67058 (-1674, 135790)";"12823 (  270, 25376)";"19970 ( 2503, 37438)";" 35946 ( 4505,  67388)";"40%"
"2015-01-29";"77";" 81923 ( 28576, 135270)";"1649 ( -30, 3328)";" 429539 (125685,  733392)";" 8597 ( -468, 17663)";" 98935 ( -5513, 203384)";" 65770 (-1348, 132888)";"12570 (  342, 24797)";"19585 ( 2529, 36641)";" 35253 ( 4553,  65953)";"40%"
"2015-01-28";"76";" 80274 ( 28595, 131953)";"1617 ( -21, 3256)";" 420941 (126106,  715777)";" 8437 ( -435, 17309)";" 97092 ( -5153, 199336)";" 64501 (-1015, 130017)";"12321 (  414, 24227)";"19205 ( 2558, 35853)";" 34570 ( 4605,  64535)";"40%"
"2015-01-27";"75";" 78657 ( 28605, 128708)";"1586 ( -13, 3184)";" 412504 (126493,  698516)";" 8278 ( -401, 16958)";" 95272 ( -4772, 195315)";" 63251 ( -677, 127178)";"12076 (  486, 23666)";"18832 ( 2589, 35074)";" 33897 ( 4661,  63133)";"40%"
"2015-01-26";"74";" 77071 ( 28607, 125535)";"1555 (  -4, 3114)";" 404226 (126846,  681607)";" 8122 ( -365, 16609)";" 93476 ( -4372, 191323)";" 62019 ( -334, 124373)";"11836 (  558, 23114)";"18464 ( 2622, 34305)";" 33235 ( 4720,  61749)";"40%"
"2015-01-25";"73";" 75516 ( 28599, 122433)";"1524 (   5, 3044)";" 396104 (127162,  665047)";" 7967 ( -328, 16263)";" 91704 ( -3955, 187363)";" 60807 (   11, 121603)";"11599 (  628, 22570)";"18102 ( 2657, 33546)";" 32583 ( 4783,  60383)";"40%"
"2015-01-24";"72";" 73992 ( 28583, 119401)";"1494 (  13, 2975)";" 388137 (127440,  648834)";" 7815 ( -290, 15920)";" 89957 ( -3524, 183438)";" 59614 (  359, 118869)";"11367 (  698, 22036)";"17745 ( 2693, 32797)";" 31941 ( 4848,  59035)";"40%"
"2015-01-23";"71";" 72498 ( 28558, 116437)";"1465 (  22, 2907)";" 380322 (127679,  632964)";" 7665 ( -250, 15581)";" 88234 ( -3080, 179548)";" 58440 (  707, 116173)";"11138 (  766, 21511)";"17395 ( 2730, 32059)";" 31310 ( 4914,  57706)";"40%"
"2015-01-22";"70";" 71033 ( 28523, 113542)";"1436 (  31, 2841)";" 372657 (127878,  617435)";" 7517 ( -210, 15245)";" 86536 ( -2626, 175698)";" 57285 ( 1055, 113514)";"10914 (  834, 20994)";"17050 ( 2768, 31331)";" 30689 ( 4983,  56396)";"40%"
"2015-01-21";"69";" 69597 ( 28480, 110713)";"1407 (  40, 2775)";" 365139 (128036,  602242)";" 7372 ( -169, 14912)";" 84863 ( -2162, 171889)";" 56148 ( 1402, 110895)";"10694 (  900, 20488)";"16711 ( 2807, 30614)";" 30079 ( 5052,  55106)";"40%"
"2015-01-20";"68";" 68189 ( 28428, 107950)";"1379 (  49, 2710)";" 357768 (128153,  587383)";" 7228 ( -128, 14584)";" 83215 ( -1692, 168122)";" 55031 ( 1746, 108315)";"10477 (  964, 19990)";"16377 ( 2845, 29909)";" 29479 ( 5122,  53836)";"40%"
"2015-01-19";"67";" 66810 ( 28368, 105252)";"1352 (  57, 2646)";" 350540 (128227,  572852)";" 7087 (  -86, 14259)";" 81592 ( -1215, 164399)";" 53932 ( 2088, 105776)";"10265 ( 1028, 19502)";"16049 ( 2884, 29214)";" 28889 ( 5192,  52586)";"40%"
"2015-01-18";"66";" 65458 ( 28298, 102618)";"1325 (  66, 2584)";" 343453 (128259,  558647)";" 6948 (  -43, 13939)";" 79994 (  -735, 160723)";" 52853 ( 2427, 103278)";"10056 ( 1089, 19023)";"15727 ( 2923, 28531)";" 28309 ( 5261,  51357)";"40%"
"2015-01-17";"65";" 64134 ( 28220, 100047)";"1298 (  74, 2522)";" 336505 (128247,  544762)";" 6811 (   -1, 13623)";" 78421 (  -253, 157095)";" 51791 ( 2760, 100822)";" 9851 ( 1149, 18554)";"15411 ( 2961, 27860)";" 27739 ( 5331,  50148)";"40%"
"2015-01-16";"64";" 62836 ( 28134,  97538)";"1272 (  82, 2461)";" 329694 (128193,  531195)";" 6676 (   41, 13311)";" 76873 (   231, 153516)";" 50749 ( 3089,  98408)";" 9651 ( 1207, 18094)";"15100 ( 2999, 27200)";" 27180 ( 5399,  48960)";"40%"
"2015-01-15";"63";" 61564 ( 28039,  95089)";"1246 (  90, 2402)";" 323017 (128096,  517939)";" 6544 (   84, 13004)";" 75351 (   714, 149988)";" 49724 ( 3412,  96036)";" 9453 ( 1264, 17643)";"14794 ( 3037, 26552)";" 26630 ( 5466,  47794)";"40%"
"2015-01-14";"62";" 60318 ( 27936,  92699)";"1221 (  98, 2343)";" 316474 (127956,  504991)";" 6414 (  126, 12701)";" 73853 (  1195, 146511)";" 48718 ( 3729,  93708)";" 9260 ( 1318, 17202)";"14495 ( 3073, 25916)";" 26090 ( 5532,  46648)";"40%"
"2015-01-13";"61";" 59097 ( 27825,  90369)";"1196 ( 106, 2286)";" 310060 (127773,  492347)";" 6285 (  168, 12403)";" 72380 (  1672, 143088)";" 47730 ( 4039,  91422)";" 9070 ( 1371, 16769)";"14200 ( 3109, 25291)";" 25560 ( 5596,  45524)";"40%"
"2015-01-12";"60";" 57901 ( 27707,  88095)";"1172 ( 114, 2230)";" 303775 (127549,  480001)";" 6160 (  209, 12110)";" 70932 (  2146, 139718)";" 46760 ( 4341,  89180)";" 8884 ( 1422, 16347)";"13911 ( 3143, 24679)";" 25040 ( 5658,  44422)";"40%"
"2015-01-11";"59";" 56729 ( 27580,  85878)";"1148 ( 121, 2175)";" 297615 (127282,  467948)";" 6036 (  250, 11822)";" 69509 (  2614, 136404)";" 45808 ( 4636,  86980)";" 8702 ( 1470, 15933)";"13627 ( 3177, 24078)";" 24529 ( 5718,  43341)";"40%"
"2015-01-10";"58";" 55581 ( 27447,  83715)";"1124 ( 128, 2121)";" 291579 (126975,  456184)";" 5914 (  290, 11538)";" 68110 (  3076, 133145)";" 44874 ( 4922,  84825)";" 8523 ( 1517, 15528)";"13349 ( 3209, 23489)";" 24028 ( 5776,  42281)";"40%"
"2015-01-09";"57";" 54457 ( 27306,  81607)";"1101 ( 135, 2068)";" 285665 (126627,  444704)";" 5795 (  329, 11260)";" 66736 (  3530, 129942)";" 43956 ( 5200,  82712)";" 8347 ( 1562, 15133)";"13076 ( 3240, 22912)";" 23537 ( 5831,  41242)";"40%"
"2015-01-08";"56";" 53355 ( 27158,  79552)";"1079 ( 142, 2016)";" 279871 (126239,  433502)";" 5677 (  368, 10987)";" 65386 (  3977, 126796)";" 43057 ( 5470,  80643)";" 8175 ( 1604, 14746)";"12808 ( 3269, 22347)";" 23054 ( 5884,  40225)";"40%"
"2015-01-07";"55";" 52276 ( 27004,  77549)";"1057 ( 148, 1965)";" 274193 (125813,  422574)";" 5562 (  406, 10718)";" 64060 (  4414, 123707)";" 42174 ( 5730,  78617)";" 8007 ( 1645, 14368)";"12545 ( 3296, 21794)";" 22581 ( 5934,  39229)";"40%"
"2015-01-06";"54";" 51220 ( 26843,  75596)";"1035 ( 155, 1916)";" 268631 (125348,  411915)";" 5449 (  443, 10455)";" 62759 (  4841, 120676)";" 41308 ( 5981,  76634)";" 7841 ( 1683, 13999)";"12287 ( 3322, 21252)";" 22117 ( 5980,  38254)";"40%"
"2015-01-05";"53";" 50185 ( 26676,  73693)";"1014 ( 161, 1867)";" 263182 (124846,  401519)";" 5338 (  479, 10196)";" 61480 (  5259, 117702)";" 40459 ( 6223,  74694)";" 7679 ( 1720, 13639)";"12035 ( 3347, 20722)";" 21662 ( 6024,  37300)";"40%"
"2015-01-04";"52";" 49171 ( 26503,  71838)";" 993 ( 166, 1819)";" 257844 (124308,  391381)";" 5229 (  514,  9943)";" 60226 (  5665, 114787)";" 39626 ( 6455,  72796)";" 7521 ( 1755, 13287)";"11787 ( 3370, 20204)";" 21216 ( 6065,  36367)";"40%"
"2015-01-03";"51";" 48178 ( 26325,  70031)";" 972 ( 172, 1773)";" 252616 (123735,  381496)";" 5122 (  548,  9695)";" 58995 (  6060, 111929)";" 38809 ( 6678,  70941)";" 7365 ( 1787, 12944)";"11544 ( 3391, 19697)";" 20779 ( 6103,  35454)";"40%"
"2015-01-02";"50";" 47206 ( 26140,  68271)";" 952 ( 177, 1728)";" 247494 (123128,  371860)";" 5017 (  582,  9452)";" 57786 (  6443, 109129)";" 38009 ( 6891,  69127)";" 7213 ( 1818, 12608)";"11305 ( 3410, 19201)";" 20350 ( 6138,  34562)";"40%"
"2015-01-01";"49";" 46253 ( 25951,  66556)";" 933 ( 182, 1683)";" 242477 (122488,  362467)";" 4914 (  614,  9214)";" 56601 (  6814, 106388)";" 37224 ( 7094,  67354)";" 7064 ( 1846, 12281)";"11072 ( 3427, 18717)";" 19930 ( 6169,  33690)";"40%"
"2014-12-31";"48";" 45321 ( 25757,  64885)";" 913 ( 187, 1640)";" 237563 (121815,  353311)";" 4813 (  644,  8981)";" 55438 (  7173, 103704)";" 36455 ( 7288,  65622)";" 6918 ( 1873, 11962)";"10843 ( 3443, 18243)";" 19518 ( 6198,  32838)";"40%"
"2014-12-30";"47";" 44407 ( 25558,  63257)";" 894 ( 191, 1598)";" 232750 (121113,  344388)";" 4714 (  674,  8753)";" 54298 (  7518, 101077)";" 35701 ( 7472,  63930)";" 6775 ( 1898, 11651)";"10619 ( 3457, 17781)";" 19114 ( 6223,  32005)";"40%"
"2014-12-29";"46";" 43513 ( 25354,  61672)";" 876 ( 196, 1556)";" 228037 (120380,  335693)";" 4617 (  703,  8530)";" 53179 (  7851,  98507)";" 34963 ( 7647,  62279)";" 6634 ( 1921, 11348)";"10399 ( 3469, 17329)";" 18719 ( 6245,  31193)";"40%"
"2014-12-28";"45";" 42637 ( 25146,  60127)";" 858 ( 200, 1516)";" 223420 (119619,  327221)";" 4521 (  730,  8312)";" 52082 (  8170,  95994)";" 34239 ( 7812,  60666)";" 6497 ( 1942, 11052)";"10184 ( 3480, 16888)";" 18331 ( 6264,  30399)";"40%"
"2014-12-27";"44";" 41779 ( 24934,  58624)";" 840 ( 204, 1477)";" 218899 (118831,  318966)";" 4428 (  757,  8099)";" 51007 (  8477,  93537)";" 33530 ( 7967,  59093)";" 6363 ( 1961, 10764)";" 9973 ( 3488, 16458)";" 17952 ( 6279,  29624)";"40%"
"2014-12-26";"43";" 40939 ( 24719,  57159)";" 823 ( 207, 1438)";" 214471 (118017,  310925)";" 4336 (  782,  7891)";" 49953 (  8769,  91136)";" 32835 ( 8113,  57557)";" 6231 ( 1979, 10483)";" 9767 ( 3495, 16038)";" 17580 ( 6291,  28868)";"40%"
"2014-12-25";"42";" 40116 ( 24500,  55733)";" 806 ( 211, 1401)";" 210135 (117178,  303091)";" 4247 (  806,  7688)";" 48919 (  9049,  88790)";" 32155 ( 8250,  56060)";" 6102 ( 1995, 10209)";" 9564 ( 3500, 15628)";" 17216 ( 6301,  28130)";"40%"
"2014-12-24";"41";" 39311 ( 24277,  54344)";" 789 ( 214, 1364)";" 205888 (116316,  295460)";" 4159 (  828,  7489)";" 47907 (  9315,  86498)";" 31488 ( 8378,  54599)";" 5976 ( 2009,  9942)";" 9366 ( 3504, 15228)";" 16859 ( 6307,  27411)";"40%"
"2014-12-23";"40";" 38522 ( 24052,  52991)";" 773 ( 217, 1329)";" 201729 (115431,  288028)";" 4072 (  850,  7295)";" 46914 (  9568,  84261)";" 30836 ( 8497,  53175)";" 5852 ( 2022,  9683)";" 9172 ( 3506, 14838)";" 16510 ( 6310,  26709)";"40%"
"2014-12-22";"39";" 37749 ( 23824,  51674)";" 757 ( 219, 1294)";" 197657 (114524,  280789)";" 3988 (  870,  7106)";" 45942 (  9808,  82076)";" 30196 ( 8607,  51786)";" 5731 ( 2033,  9430)";" 8982 ( 3506, 14458)";" 16168 ( 6311,  26024)";"40%"
"2014-12-21";"38";" 36993 ( 23593,  50392)";" 741 ( 222, 1260)";" 193669 (113598,  273740)";" 3905 (  890,  6921)";" 44989 ( 10035,  79944)";" 29570 ( 8709,  50432)";" 5613 ( 2043,  9183)";" 8796 ( 3505, 14087)";" 15833 ( 6308,  25357)";"40%"
"2014-12-20";"37";" 36252 ( 23360,  49144)";" 726 ( 224, 1227)";" 189763 (112652,  266874)";" 3824 (  908,  6741)";" 44056 ( 10248,  77863)";" 28958 ( 8802,  49113)";" 5497 ( 2051,  8943)";" 8614 ( 3502, 13726)";" 15505 ( 6303,  24706)";"40%"
"2014-12-19";"36";" 35526 ( 23124,  47928)";" 710 ( 226, 1195)";" 185939 (111689,  260189)";" 3745 (  925,  6565)";" 43141 ( 10450,  75833)";" 28357 ( 8887,  47828)";" 5384 ( 2058,  8710)";" 8435 ( 3497, 13373)";" 15184 ( 6295,  24072)";"40%"
"2014-12-18";"35";" 34816 ( 22887,  46745)";" 696 ( 228, 1164)";" 182194 (110709,  253679)";" 3667 (  941,  6393)";" 42246 ( 10638,  73854)";" 27770 ( 8964,  46575)";" 5273 ( 2063,  8482)";" 8261 ( 3491, 13030)";" 14869 ( 6284,  23454)";"40%"
"2014-12-17";"34";" 34120 ( 22647,  45593)";" 681 ( 230, 1133)";" 178527 (109713,  247341)";" 3591 (  956,  6226)";" 41369 ( 10814,  71923)";" 27195 ( 9034,  45355)";" 5164 ( 2068,  8261)";" 8090 ( 3484, 12695)";" 14561 ( 6271,  22852)";"40%"
"2014-12-16";"33";" 33439 ( 22407,  44471)";" 667 ( 231, 1103)";" 174936 (108703,  241169)";" 3516 (  970,  6063)";" 40510 ( 10978,  70041)";" 26632 ( 9096,  44167)";" 5058 ( 2070,  8045)";" 7922 ( 3475, 12369)";" 14260 ( 6255,  22265)";"40%"
"2014-12-15";"32";" 32771 ( 22164,  43379)";" 653 ( 232, 1075)";" 171420 (107679,  235160)";" 3443 (  983,  5904)";" 39668 ( 11130,  68206)";" 26080 ( 9151,  43010)";" 4954 ( 2072,  7836)";" 7759 ( 3465, 12052)";" 13965 ( 6237,  21693)";"40%"
"2014-12-14";"31";" 32118 ( 21921,  42315)";" 640 ( 233, 1046)";" 167976 (106642,  229310)";" 3372 (  994,  5749)";" 38845 ( 11271,  66419)";" 25541 ( 9198,  41883)";" 4852 ( 2072,  7631)";" 7598 ( 3454, 11743)";" 13677 ( 6217,  21137)";"40%"
"2014-12-13";"30";" 31478 ( 21676,  41280)";" 627 ( 234, 1019)";" 164604 (105594,  223614)";" 3302 ( 1005,  5599)";" 38038 ( 11400,  64676)";" 25013 ( 9239,  40786)";" 4752 ( 2072,  7433)";" 7441 ( 3441, 11441)";" 13394 ( 6194,  20594)";"40%"
"2014-12-12";"29";" 30851 ( 21430,  40272)";" 614 ( 235,  992)";" 161302 (104536,  218069)";" 3233 ( 1015,  5452)";" 37248 ( 11518,  62979)";" 24496 ( 9273,  39718)";" 4655 ( 2070,  7240)";" 7288 ( 3427, 11148)";" 13118 ( 6169,  20066)";"40%"
"2014-12-11";"28";" 30238 ( 21184,  39291)";" 601 ( 236,  966)";" 158069 (103468,  212670)";" 3166 ( 1024,  5308)";" 36475 ( 11625,  61325)";" 23990 ( 9301,  38679)";" 4559 ( 2067,  7052)";" 7137 ( 3413, 10862)";" 12847 ( 6143,  19552)";"40%"
"2014-12-10";"27";" 29637 ( 20937,  38336)";" 589 ( 236,  941)";" 154903 (102391,  207414)";" 3101 ( 1032,  5169)";" 35719 ( 11722,  59715)";" 23495 ( 9322,  37667)";" 4466 ( 2063,  6869)";" 6990 ( 3397, 10584)";" 12582 ( 6114,  19051)";"40%"
"2014-12-09";"26";" 29048 ( 20690,  37406)";" 577 ( 237,  917)";" 151802 (101306,  202298)";" 3036 ( 1039,  5033)";" 34978 ( 11809,  58147)";" 23010 ( 9338,  36682)";" 4375 ( 2059,  6691)";" 6846 ( 3379, 10313)";" 12323 ( 6083,  18563)";"40%"
"2014-12-08";"25";" 28471 ( 20442,  36500)";" 565 ( 237,  893)";" 148766 (100215,  197317)";" 2973 ( 1046,  4901)";" 34253 ( 11886,  56620)";" 22536 ( 9348,  35724)";" 4285 ( 2053,  6518)";" 6705 ( 3361, 10049)";" 12070 ( 6051,  18089)";"40%"
"2014-12-07";"24";" 27907 ( 20195,  35619)";" 553 ( 237,  869)";" 145792 ( 99117,  192467)";" 2912 ( 1051,  4772)";" 33543 ( 11953,  55133)";" 22072 ( 9353,  34792)";" 4198 ( 2046,  6349)";" 6567 ( 3342,  9793)";" 11821 ( 6016,  17627)";"40%"
"2014-12-06";"23";" 27354 ( 19947,  34760)";" 542 ( 237,  847)";" 142881 ( 98015,  187747)";" 2851 ( 1056,  4647)";" 32848 ( 12011,  53685)";" 21618 ( 9352,  33884)";" 4112 ( 2039,  6185)";" 6433 ( 3322,  9543)";" 11579 ( 5980,  17177)";"40%"
"2014-12-05";"22";" 26812 ( 19699,  33925)";" 531 ( 236,  825)";" 140029 ( 96907,  183151)";" 2792 ( 1060,  4525)";" 32168 ( 12060,  52276)";" 21174 ( 9346,  33002)";" 4028 ( 2031,  6026)";" 6301 ( 3302,  9299)";" 11341 ( 5943,  16739)";"40%"
"2014-12-04";"21";" 26281 ( 19451,  33111)";" 520 ( 236,  803)";" 137237 ( 95796,  178677)";" 2735 ( 1063,  4407)";" 31503 ( 12100,  50905)";" 20739 ( 9335,  32143)";" 3946 ( 2022,  5871)";" 6171 ( 3280,  9063)";" 11108 ( 5904,  16313)";"40%"
"2014-12-03";"20";" 25762 ( 19204,  32319)";" 509 ( 236,  782)";" 134502 ( 94682,  174322)";" 2678 ( 1065,  4291)";" 30852 ( 12133,  49571)";" 20314 ( 9320,  31308)";" 3866 ( 2012,  5720)";" 6045 ( 3258,  8832)";" 10881 ( 5864,  15898)";"40%"
"2014-12-02";"19";" 25253 ( 18957,  31548)";" 499 ( 235,  762)";" 131824 ( 93566,  170082)";" 2623 ( 1067,  4179)";" 30214 ( 12157,  48272)";" 19897 ( 9300,  30495)";" 3788 ( 2002,  5574)";" 5921 ( 3235,  8608)";" 10658 ( 5822,  15494)";"40%"
"2014-12-01";"18";" 24754 ( 18711,  30797)";" 488 ( 235,  742)";" 129201 ( 92448,  165954)";" 2569 ( 1068,  4069)";" 29591 ( 12173,  47008)";" 19490 ( 9276,  29704)";" 3711 ( 1991,  5431)";" 5800 ( 3211,  8390)";" 10441 ( 5780,  15102)";"40%"
"2014-11-30";"17";" 24266 ( 18466,  30066)";" 478 ( 234,  723)";" 126632 ( 91329,  161935)";" 2516 ( 1069,  3963)";" 28981 ( 12182,  45779)";" 19092 ( 9248,  28936)";" 3636 ( 1980,  5292)";" 5682 ( 3186,  8178)";" 10228 ( 5736,  14720)";"40%"
"2014-11-29";"16";" 23787 ( 18221,  29354)";" 469 ( 233,  704)";" 124116 ( 90209,  158023)";" 2464 ( 1069,  3860)";" 28383 ( 12184,  44583)";" 18702 ( 9216,  28188)";" 3563 ( 1968,  5158)";" 5566 ( 3161,  7971)";" 10019 ( 5691,  14348)";"40%"
"2014-11-28";"15";" 23319 ( 17977,  28661)";" 459 ( 232,  686)";" 121652 ( 89090,  154214)";" 2413 ( 1068,  3759)";" 27799 ( 12179,  43419)";" 18321 ( 9181,  27460)";" 3491 ( 1955,  5026)";" 5453 ( 3136,  7770)";"  9815 ( 5645,  13986)";"40%"
"2014-11-27";"14";" 22860 ( 17734,  27985)";" 450 ( 231,  669)";" 119239 ( 87971,  150506)";" 2364 ( 1067,  3661)";" 27228 ( 12168,  42287)";" 17947 ( 9142,  26753)";" 3420 ( 1942,  4899)";" 5342 ( 3110,  7574)";"  9616 ( 5598,  13634)";"40%"
"2014-11-26";"13";" 22410 ( 17492,  27328)";" 441 ( 230,  651)";" 116875 ( 86854,  146896)";" 2315 ( 1065,  3566)";" 26668 ( 12150,  41186)";" 17582 ( 9100,  26065)";" 3352 ( 1928,  4775)";" 5233 ( 3083,  7384)";"  9420 ( 5550,  13291)";"40%"
"2014-11-25";"12";" 21969 ( 17251,  26688)";" 432 ( 229,  635)";" 114560 ( 85739,  143381)";" 2268 ( 1063,  3473)";" 26121 ( 12127,  40115)";" 17225 ( 9054,  25396)";" 3284 ( 1914,  4654)";" 5127 ( 3056,  7199)";"  9229 ( 5501,  12957)";"40%"
"2014-11-24";"11";" 21538 ( 17011,  26065)";" 423 ( 227,  618)";" 112292 ( 84625,  139958)";" 2221 ( 1060,  3383)";" 25586 ( 12098,  39074)";" 16876 ( 9006,  24745)";" 3219 ( 1900,  4537)";" 5024 ( 3029,  7018)";"  9042 ( 5452,  12633)";"40%"
"2014-11-23";"10";" 21115 ( 16772,  25458)";" 414 ( 226,  603)";" 110071 ( 83515,  136626)";" 2176 ( 1056,  3295)";" 25062 ( 12063,  38060)";" 16534 ( 8955,  24113)";" 3154 ( 1885,  4423)";" 4922 ( 3001,  6843)";"  8860 ( 5402,  12317)";"40%"
"2014-11-22";"9";" 20700 ( 16534,  24866)";" 406 ( 225,  587)";" 107895 ( 82408,  133382)";" 2131 ( 1053,  3210)";" 24549 ( 12023,  37075)";" 16199 ( 8901,  23497)";" 3091 ( 1870,  4312)";" 4823 ( 2973,  6672)";"  8681 ( 5351,  12010)";"40%"
"2014-11-21";"8";" 20294 ( 16298,  24291)";" 398 ( 223,  572)";" 105763 ( 81304,  130223)";" 2088 ( 1049,  3127)";" 24048 ( 11979,  36117)";" 15872 ( 8845,  22899)";" 3029 ( 1855,  4204)";" 4725 ( 2944,  6506)";"  8506 ( 5300,  11712)";"40%"
"2014-11-20";"7";" 19897 ( 16063,  23730)";" 390 ( 222,  558)";" 103675 ( 80204,  127147)";" 2045 ( 1044,  3046)";" 23557 ( 11930,  35185)";" 15552 ( 8786,  22317)";" 2969 ( 1839,  4099)";" 4630 ( 2915,  6345)";"  8334 ( 5248,  11421)";"40%"
"2014-11-19";"6";" 19507 ( 15830,  23184)";" 382 ( 220,  544)";" 101630 ( 79109,  124152)";" 2004 ( 1039,  2968)";" 23077 ( 11876,  34279)";" 15239 ( 8726,  21751)";" 2910 ( 1823,  3997)";" 4537 ( 2886,  6188)";"  8167 ( 5196,  11138)";"40%"
"2014-11-18";"5";" 19125 ( 15598,  22652)";" 374 ( 219,  530)";"  99627 ( 78018,  121235)";" 1963 ( 1034,  2892)";" 22608 ( 11818,  33398)";" 14932 ( 8663,  21201)";" 2852 ( 1807,  3898)";" 4446 ( 2857,  6035)";"  8003 ( 5143,  10863)";"40%"
"2014-11-17";"4";" 18751 ( 15368,  22134)";" 367 ( 217,  517)";"  97664 ( 76932,  118395)";" 1923 ( 1028,  2818)";" 22148 ( 11756,  32541)";" 14632 ( 8599,  20666)";" 2796 ( 1790,  3801)";" 4357 ( 2828,  5886)";"  7843 ( 5090,  10595)";"40%"
"2014-11-16";"3";" 18384 ( 15139,  21629)";" 359 ( 215,  504)";"  95741 ( 75852,  115629)";" 1884 ( 1023,  2746)";" 21699 ( 11691,  31707)";" 14339 ( 8532,  20146)";" 2740 ( 1773,  3708)";" 4270 ( 2798,  5742)";"  7686 ( 5037,  10335)";"40%"
"2014-11-15";"2";" 18025 ( 14912,  21138)";" 352 ( 213,  491)";"  93856 ( 74777,  112936)";" 1846 ( 1016,  2676)";" 21259 ( 11622,  30897)";" 14052 ( 8464,  19640)";" 2686 ( 1756,  3616)";" 4185 ( 2768,  5601)";"  7532 ( 4983,  10081)";"40%"
"2014-11-14";"1";" 17672 ( 14686,  20659)";" 345 ( 212,  479)";"  92011 ( 73708,  110313)";" 1809 ( 1010,  2607)";" 20829 ( 11549,  30109)";" 13771 ( 8395,  19148)";" 2633 ( 1739,  3528)";" 4101 ( 2739,  5464)";"  7382 ( 4929,   9835)";"40%"
"2014-11-13";"0";" 17327 ( 14462,  20192)";" 338 ( 210,  467)";"  90202 ( 72645,  107759)";" 1772 ( 1003,  2541)";" 20408 ( 11474,  29343)";" 13496 ( 8324,  18669)";" 2582 ( 1722,  3441)";" 4020 ( 2709,  5330)";"  7235 ( 4876,   9595)";"40%"
"2014-11-12";"-1";" 16989 ( 14240,  19738)";" 332 ( 208,  455)";"  88430 ( 71589,  105271)";" 1736 (  996,  2477)";" 19997 ( 11396,  28598)";" 13228 ( 8252,  18204)";" 2531 ( 1705,  3357)";" 3940 ( 2679,  5201)";"  7091 ( 4822,   9361)";"40%"
"2014-11-11";"-2";" 16657 ( 14019,  19296)";" 325 ( 206,  444)";"  86693 ( 70539,  102848)";" 1702 (  989,  2414)";" 19594 ( 11315,  27873)";" 12965 ( 8178,  17751)";" 2481 ( 1687,  3276)";" 3862 ( 2649,  5075)";"  6951 ( 4767,   9134)";"40%"
"2014-11-10";"-3";" 16332 ( 13800,  18865)";" 319 ( 204,  433)";"  84992 ( 69495,  100488)";" 1667 (  981,  2353)";" 19200 ( 11231,  27169)";" 12707 ( 8104,  17311)";" 2433 ( 1669,  3196)";" 3785 ( 2618,  4952)";"  6813 ( 4713,   8913)";"40%"
"2014-11-09";"-4";" 16014 ( 13583,  18445)";" 312 ( 202,  422)";"  83325 ( 68459,   98190)";" 1634 (  974,  2294)";" 18815 ( 11145,  26484)";" 12456 ( 8028,  16883)";" 2385 ( 1652,  3119)";" 3710 ( 2588,  4832)";"  6678 ( 4659,   8698)";"40%"
"2014-11-08";"-5";" 15702 ( 13368,  18036)";" 306 ( 200,  412)";"  81691 ( 67430,   95952)";" 1601 (  966,  2236)";" 18437 ( 11057,  25818)";" 12209 ( 7952,  16467)";" 2339 ( 1634,  3044)";" 3637 ( 2558,  4716)";"  6547 ( 4605,   8489)";"40%"
"2014-11-07";"-6";" 15396 ( 13154,  17637)";" 300 ( 198,  402)";"  80090 ( 66408,   93771)";" 1569 (  958,  2180)";" 18068 ( 10967,  25170)";" 11968 ( 7875,  16062)";" 2293 ( 1616,  2971)";" 3565 ( 2528,  4603)";"  6418 ( 4551,   8285)";"40%"
"2014-11-06";"-7";" 15096 ( 12943,  17249)";" 294 ( 196,  392)";"  78521 ( 65394,   91647)";" 1538 (  950,  2126)";" 17707 ( 10875,  24540)";" 11733 ( 7797,  15669)";" 2249 ( 1598,  2899)";" 3495 ( 2498,  4493)";"  6292 ( 4496,   8087)";"40%"
"2014-11-05";"-8";" 14801 ( 12733,  16870)";" 288 ( 194,  382)";"  76983 ( 64387,   89579)";" 1507 (  942,  2073)";" 17354 ( 10781,  23928)";" 11502 ( 7718,  15286)";" 2205 ( 1580,  2830)";" 3427 ( 2468,  4386)";"  6168 ( 4443,   7894)";"40%"
