"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC 25% ETU target";"Beds for CDC 45% reduced transmission target";"Reporting (treatment) quotient"
"2015-02-06";"85";" 71382 (  4431, 138333)";"1588 (-398, 3574)";" 380552 (  4049,  757055)";" 8297 (-2170, 18764)";" 95470 (-24903, 215843)";" 63346 (-15904, 142595)";"12047 (-2695, 26788)";"18848 (-1304, 39000)";"33927 (-2347,  70201)";"40%"
"2015-02-05";"84";" 69794 (  4820, 134769)";"1557 (-387, 3501)";" 372255 (  6175,  738334)";" 8143 (-2139, 18424)";" 93704 (-24564, 211973)";" 62106 (-15506, 139718)";"11800 (-2595, 26195)";"18477 (-1257, 38210)";"33258 (-2263,  68779)";"40%"
"2015-02-04";"83";" 68237 (  5198, 131276)";"1526 (-377, 3429)";" 364112 (  8271,  719953)";" 7990 (-2104, 18085)";" 91956 (-24190, 208101)";" 60882 (-15093, 136857)";"11557 (-2494, 25609)";"18110 (-1206, 37426)";"32598 (-2171,  67366)";"40%"
"2015-02-03";"82";" 66711 (  5566, 127857)";"1496 (-366, 3357)";" 356122 ( 10334,  701910)";" 7839 (-2067, 17746)";" 90225 (-23782, 204232)";" 59673 (-14667, 134014)";"11318 (-2393, 25029)";"17748 (-1151, 36646)";"31946 (-2071,  65963)";"40%"
"2015-02-02";"81";" 65216 (  5922, 124509)";"1466 (-355, 3286)";" 348283 ( 12359,  684206)";" 7690 (-2027, 17407)";" 88512 (-23343, 200367)";" 58481 (-14229, 131191)";"11083 (-2291, 24456)";"17391 (-1092, 35873)";"31303 (-1965,  64572)";"40%"
"2015-02-01";"80";" 63750 (  6268, 121232)";"1436 (-343, 3215)";" 340593 ( 14345,  666840)";" 7542 (-1985, 17069)";" 86818 (-22875, 196511)";" 57304 (-13781, 128389)";"10851 (-2189, 23890)";"17039 (-1029, 35107)";"30670 (-1852,  63192)";"40%"
"2015-01-31";"79";" 62314 (  6602, 118026)";"1407 (-331, 3145)";" 333051 ( 16289,  649813)";" 7396 (-1940, 16732)";" 85143 (-22379, 192666)";" 56144 (-13324, 125612)";"10623 (-2086, 23332)";"16692 ( -963, 34347)";"30045 (-1734,  61824)";"40%"
"2015-01-30";"78";" 60907 (  6923, 114890)";"1378 (-320, 3076)";" 325655 ( 18188,  633122)";" 7252 (-1894, 16397)";" 83488 (-21859, 188835)";" 55001 (-12859, 122860)";"10398 (-1984, 22781)";"16350 ( -895, 33595)";"29429 (-1611,  60470)";"40%"
"2015-01-29";"77";" 59529 (  7233, 111824)";"1350 (-308, 3007)";" 318403 ( 20040,  616766)";" 7109 (-1845, 16063)";" 81853 (-21316, 185022)";" 53874 (-12387, 120134)";"10178 (-1883, 22238)";"16013 ( -825, 32850)";"28823 (-1484,  59130)";"40%"
"2015-01-28";"76";" 58179 (  7531, 108827)";"1322 (-295, 2939)";" 311294 ( 21843,  600745)";" 6968 (-1795, 15732)";" 80238 (-20752, 181228)";" 52763 (-11911, 117438)";" 9961 (-1781, 21702)";"15681 ( -752, 32114)";"28226 (-1354,  57805)";"40%"
"2015-01-27";"75";" 56857 (  7817, 105897)";"1294 (-283, 2872)";" 304326 ( 23596,  585055)";" 6829 (-1743, 15402)";" 78644 (-20170, 177458)";" 51670 (-11431, 114771)";" 9747 (-1681, 21175)";"15354 ( -678, 31386)";"27638 (-1220,  56495)";"40%"
"2015-01-26";"74";" 55562 (  8090, 103035)";"1267 (-271, 2806)";" 297496 ( 25296,  569696)";" 6692 (-1690, 15075)";" 77070 (-19572, 173712)";" 50593 (-10949, 112135)";" 9538 (-1581, 20656)";"15033 ( -602, 30667)";"27059 (-1083,  55201)";"40%"
"2015-01-25";"73";" 54295 (  8351, 100239)";"1241 (-259, 2740)";" 290804 ( 26943,  554665)";" 6557 (-1636, 14750)";" 75518 (-18959, 169995)";" 49533 (-10465, 109531)";" 9332 (-1483, 20146)";"14716 ( -525, 29957)";"26489 ( -945,  53923)";"40%"
"2015-01-24";"72";" 53054 (  8600,  97509)";"1215 (-247, 2676)";" 284247 ( 28535,  539959)";" 6424 (-1580, 14428)";" 73988 (-18333, 166308)";" 48490 ( -9981, 106961)";" 9129 (-1386, 19644)";"14405 ( -447, 29257)";"25929 ( -805,  52663)";"40%"
"2015-01-23";"71";" 51840 (  8836,  94843)";"1189 (-234, 2612)";" 277823 ( 30071,  525575)";" 6292 (-1524, 14109)";" 72478 (-17697, 162654)";" 47464 ( -9498, 104426)";" 8931 (-1290, 19151)";"14099 ( -369, 28567)";"25378 ( -665,  51420)";"40%"
"2015-01-22";"70";" 50651 (  9060,  92242)";"1164 (-222, 2549)";" 271531 ( 31550,  511511)";" 6163 (-1467, 13793)";" 70991 (-17053, 159035)";" 46455 ( -9017, 101927)";" 8735 (-1195, 18666)";"13798 ( -291, 27886)";"24836 ( -523,  50195)";"40%"
"2015-01-21";"69";" 49487 (  9271,  89703)";"1139 (-210, 2487)";" 265368 ( 32971,  497764)";" 6035 (-1410, 13481)";" 69526 (-16402, 155454)";" 45463 ( -8538,  99464)";" 8544 (-1103, 18191)";"13502 ( -212, 27216)";"24303 ( -382,  48988)";"40%"
"2015-01-20";"68";" 48349 (  9471,  87227)";"1114 (-198, 2426)";" 259332 ( 34335,  484330)";" 5910 (-1352, 13172)";" 68083 (-15746, 151911)";" 44488 ( -8063,  97039)";" 8356 (-1012, 17724)";"13211 ( -134, 26556)";"23780 ( -241,  47800)";"40%"
"2015-01-19";"67";" 47234 (  9658,  84811)";"1090 (-186, 2367)";" 253423 ( 35640,  471205)";" 5786 (-1294, 12866)";" 66662 (-15086, 148410)";" 43529 ( -7593,  94652)";" 8172 ( -923, 17266)";"12925 (  -56, 25906)";"23265 ( -101,  46632)";"40%"
"2015-01-18";"66";" 46144 (  9833,  82455)";"1066 (-175, 2308)";" 247637 ( 36887,  458387)";" 5664 (-1236, 12565)";" 65263 (-14425, 144951)";" 42588 ( -7128,  92303)";" 7991 ( -835, 16817)";"12645 (   21, 25268)";"22760 (   39,  45482)";"40%"
"2015-01-17";"65";" 45078 (  9997,  80159)";"1043 (-163, 2250)";" 241972 ( 38075,  445870)";" 5545 (-1178, 12267)";" 63887 (-13763, 141537)";" 41663 ( -6669,  89994)";" 7813 ( -750, 16377)";"12369 (   98, 24640)";"22264 (  176,  44352)";"40%"
"2015-01-16";"64";" 44035 ( 10149,  77920)";"1020 (-152, 2193)";" 236428 ( 39205,  433651)";" 5427 (-1121, 11974)";" 62533 (-13103, 138169)";" 40755 ( -6216,  87725)";" 7639 ( -667, 15946)";"12098 (  174, 24023)";"21777 (  312,  43242)";"40%"
"2015-01-15";"63";" 43014 ( 10289,  75739)";" 998 (-141, 2137)";" 231001 ( 40276,  421726)";" 5311 (-1063, 11685)";" 61201 (-12446, 134848)";" 39863 ( -5771,  85497)";" 7469 ( -586, 15523)";"11833 (  248, 23418)";"21299 (  446,  42152)";"40%"
"2015-01-14";"62";" 42016 ( 10419,  73613)";" 976 (-130, 2082)";" 225690 ( 41289,  410091)";" 5197 (-1006, 11400)";" 59892 (-11792, 131576)";" 38988 ( -5334,  83309)";" 7301 ( -507, 15110)";"11572 (  321, 22823)";"20830 (  578,  41082)";"40%"
"2015-01-13";"61";" 41040 ( 10537,  71542)";" 955 (-119, 2028)";" 220493 ( 42244,  398742)";" 5085 ( -949, 11120)";" 58605 (-11144, 128354)";" 38129 ( -4905,  81162)";" 7137 ( -431, 14706)";"11317 (  393, 22240)";"20370 (  707,  40032)";"40%"
"2015-01-12";"60";" 40085 ( 10645,  69526)";" 933 (-108, 1975)";" 215408 ( 43143,  387673)";" 4975 ( -893, 10844)";" 57340 (-10502, 125183)";" 37286 ( -4485,  79057)";" 6977 ( -357, 14310)";"11066 (  463, 21668)";"19918 (  834,  39003)";"40%"
"2015-01-11";"59";" 39152 ( 10742,  67562)";" 913 ( -98, 1924)";" 210433 ( 43985,  376880)";" 4867 ( -838, 10572)";" 56098 ( -9868, 122064)";" 36459 ( -4075,  76993)";" 6819 ( -285, 13923)";"10820 (  532, 21107)";"19475 (  957,  37993)";"40%"
"2015-01-10";"58";" 38239 ( 10828,  65650)";" 892 ( -88, 1873)";" 205566 ( 44772,  366359)";" 4761 ( -784, 10306)";" 54878 ( -9242, 118997)";" 35648 ( -3674,  74970)";" 6665 ( -215, 13545)";"10578 (  599, 20558)";"19041 ( 1077,  37004)";"40%"
"2015-01-09";"57";" 37346 ( 10905,  63788)";" 872 ( -78, 1823)";" 200804 ( 45503,  356106)";" 4657 ( -730, 10044)";" 53679 ( -8626, 115984)";" 34853 ( -3283,  72988)";" 6514 ( -148, 13176)";"10342 (  664, 20020)";"18615 ( 1194,  36036)";"40%"
"2015-01-08";"56";" 36474 ( 10972,  61976)";" 853 ( -69, 1775)";" 196147 ( 46181,  346114)";" 4555 ( -677,  9787)";" 52503 ( -8019, 113025)";" 34073 ( -2902,  71048)";" 6366 (  -83, 12815)";"10110 (  727, 19493)";"18198 ( 1308,  35088)";"40%"
"2015-01-07";"55";" 35621 ( 11029,  60213)";" 834 ( -60, 1727)";" 191593 ( 46806,  336380)";" 4454 ( -626,  9534)";" 51348 ( -7424, 110120)";" 33309 ( -2531,  69150)";" 6221 (  -20, 12463)";" 9883 (  788, 18978)";"17789 ( 1418,  34160)";"40%"
"2015-01-06";"54";" 34787 ( 11077,  58497)";" 815 ( -51, 1681)";" 187138 ( 47379,  326898)";" 4356 ( -575,  9287)";" 50215 ( -6841, 107270)";" 32560 ( -2172,  67292)";" 6079 (   40, 12119)";" 9660 (  847, 18473)";"17388 ( 1524,  33252)";"40%"
"2015-01-05";"53";" 33972 ( 11116,  56828)";" 797 ( -42, 1635)";" 182783 ( 47901,  317664)";" 4259 ( -525,  9044)";" 49103 ( -6270, 104476)";" 31826 ( -1823,  65475)";" 5941 (   98, 11783)";" 9442 (  904, 17980)";"16995 ( 1626,  32364)";"40%"
"2015-01-04";"52";" 33176 ( 11147,  55205)";" 779 ( -33, 1591)";" 178523 ( 48373,  308673)";" 4165 ( -477,  8806)";" 48012 ( -5712, 101736)";" 31107 ( -1485,  63699)";" 5805 (  154, 11455)";" 9228 (  958, 17497)";"16610 ( 1725,  31495)";"40%"
"2015-01-03";"51";" 32397 ( 11169,  53625)";" 761 ( -25, 1547)";" 174359 ( 48797,  299920)";" 4072 ( -430,  8573)";" 46943 ( -5167,  99052)";" 30403 ( -1158,  61963)";" 5672 (  207, 11136)";" 9019 ( 1011, 17026)";"16233 ( 1820,  30647)";"40%"
"2015-01-02";"50";" 31636 ( 11182,  52090)";" 744 ( -17, 1505)";" 170287 ( 49174,  291400)";" 3981 ( -384,  8345)";" 45894 ( -4636,  96424)";" 29713 (  -842,  60268)";" 5541 (  258, 10824)";" 8814 ( 1061, 16566)";"15864 ( 1911,  29818)";"40%"
"2015-01-01";"49";" 30892 ( 11188,  50596)";" 727 ( -10, 1463)";" 166307 ( 49504,  283109)";" 3891 ( -339,  8122)";" 44866 ( -4119,  93851)";" 29037 (  -538,  58612)";" 5414 (  307, 10521)";" 8613 ( 1110, 16116)";"15503 ( 1997,  29008)";"40%"
"2014-12-31";"48";" 30166 ( 11187,  49144)";" 710 (  -3, 1423)";" 162415 ( 49790,  275040)";" 3804 ( -296,  7903)";" 43858 ( -3617,  91333)";" 28375 (  -244,  56995)";" 5289 (  354, 10225)";" 8416 ( 1156, 15677)";"15149 ( 2080,  28218)";"40%"
"2014-12-30";"47";" 29455 ( 11178,  47733)";" 694 (   4, 1383)";" 158612 ( 50033,  267190)";" 3718 ( -254,  7690)";" 42870 ( -3129,  88870)";" 27728 (    39,  55416)";" 5168 (  399,  9936)";" 8224 ( 1200, 15248)";"14803 ( 2159,  27446)";"40%"
"2014-12-29";"46";" 28762 ( 11162,  46361)";" 678 (  11, 1345)";" 154894 ( 50233,  259554)";" 3634 ( -213,  7481)";" 41903 ( -2656,  86461)";" 27094 (   311,  53877)";" 5048 (  441,  9655)";" 8035 ( 1241, 14830)";"14464 ( 2234,  26693)";"40%"
"2014-12-28";"45";" 28083 ( 11140,  45027)";" 663 (  18, 1307)";" 151260 ( 50393,  252126)";" 3552 ( -173,  7277)";" 40954 ( -2198,  84107)";" 26473 (   571,  52374)";" 4932 (  481,  9382)";" 7851 ( 1281, 14421)";"14132 ( 2306,  25958)";"40%"
"2014-12-27";"44";" 27421 ( 11111,  43731)";" 647 (  24, 1271)";" 147708 ( 50513,  244903)";" 3471 ( -135,  7077)";" 40026 ( -1756,  81807)";" 25865 (   821,  50909)";" 4817 (  520,  9115)";" 7671 ( 1318, 14023)";"13807 ( 2373,  25242)";"40%"
"2014-12-26";"43";" 26774 ( 11076,  42471)";" 632 (  30, 1235)";" 144237 ( 50596,  237878)";" 3392 (  -98,  6882)";" 39116 ( -1328,  79561)";" 25271 (  1061,  49481)";" 4706 (  556,  8856)";" 7494 ( 1353, 13635)";"13490 ( 2436,  24543)";"40%"
"2014-12-25";"42";" 26141 ( 11035,  41248)";" 618 (  35, 1200)";" 140845 ( 50641,  231049)";" 3315 (  -63,  6692)";" 38225 (  -916,  77367)";" 24689 (  1290,  48089)";" 4597 (  590,  8603)";" 7322 ( 1387, 13257)";"13179 ( 2496,  23862)";"40%"
"2014-12-24";"41";" 25523 ( 10988,  40058)";" 604 (  41, 1166)";" 137530 ( 50651,  224409)";" 3239 (  -29,  6507)";" 37353 (  -519,  75225)";" 24120 (  1508,  46733)";" 4490 (  623,  8357)";" 7153 ( 1418, 12888)";"12875 ( 2552,  23198)";"40%"
"2014-12-23";"40";" 24920 ( 10936,  38903)";" 590 (  46, 1133)";" 134291 ( 50627,  217955)";" 3165 (    4,  6326)";" 36499 (  -137,  73136)";" 23564 (  1717,  45411)";" 4386 (  653,  8118)";" 6987 ( 1447, 12528)";"12577 ( 2604,  22551)";"40%"
"2014-12-22";"39";" 24330 ( 10879,  37781)";" 576 (  51, 1101)";" 131126 ( 50571,  211682)";" 3092 (   36,  6149)";" 35664 (   230,  71097)";" 23019 (  1915,  44124)";" 4284 (  682,  7885)";" 6826 ( 1473, 12178)";"12286 ( 2652,  21921)";"40%"
"2014-12-21";"38";" 23754 ( 10817,  36691)";" 563 (  56, 1070)";" 128034 ( 50483,  205585)";" 3021 (   66,  5977)";" 34846 (   583,  69109)";" 22487 (  2104,  42870)";" 4184 (  709,  7659)";" 6668 ( 1498, 11837)";"12002 ( 2697,  21307)";"40%"
"2014-12-20";"37";" 23191 ( 10751,  35632)";" 550 (  60, 1039)";" 125013 ( 50365,  199660)";" 2952 (   95,  5809)";" 34045 (   920,  67170)";" 21966 (  2283,  41649)";" 4087 (  735,  7439)";" 6513 ( 1522, 11505)";"11724 ( 2739,  20709)";"40%"
"2014-12-19";"36";" 22642 ( 10680,  34604)";" 537 (  64, 1010)";" 122061 ( 50218,  193903)";" 2884 (  123,  5645)";" 33262 (  1243,  65280)";" 21457 (  2453,  40461)";" 3991 (  758,  7225)";" 6362 ( 1543, 11181)";"11452 ( 2777,  20126)";"40%"
"2014-12-18";"35";" 22105 ( 10605,  33605)";" 524 (  68,  981)";" 119177 ( 50043,  188310)";" 2817 (  149,  5486)";" 32496 (  1552,  63439)";" 20959 (  2613,  39304)";" 3898 (  780,  7016)";" 6214 ( 1562, 10866)";"11186 ( 2812,  19560)";"40%"
"2014-12-17";"34";" 21580 ( 10526,  32635)";" 512 (  72,  953)";" 116359 ( 49842,  182876)";" 2752 (  174,  5330)";" 31746 (  1847,  61644)";" 20472 (  2765,  38179)";" 3807 (  801,  6814)";" 6070 ( 1580, 10560)";"10926 ( 2843,  19008)";"40%"
"2014-12-16";"33";" 21068 ( 10443,  31694)";" 500 (  75,  925)";" 113607 ( 49617,  177597)";" 2689 (  199,  5179)";" 31012 (  2128,  59897)";" 19996 (  2908,  37084)";" 3719 (  820,  6617)";" 5929 ( 1596, 10262)";"10672 ( 2872,  18471)";"40%"
"2014-12-15";"32";" 20568 ( 10357,  30779)";" 489 (  79,  899)";" 110918 ( 49367,  172469)";" 2627 (  221,  5032)";" 30295 (  2396,  58194)";" 19531 (  3042,  36019)";" 3632 (  837,  6426)";" 5791 ( 1610,  9971)";"10423 ( 2898,  17949)";"40%"
"2014-12-14";"31";" 20079 ( 10267,  29891)";" 477 (  82,  873)";" 108291 ( 49094,  167488)";" 2566 (  243,  4888)";" 29593 (  2650,  56537)";" 19076 (  3169,  34983)";" 3547 (  853,  6240)";" 5656 ( 1622,  9689)";"10180 ( 2920,  17440)";"40%"
"2014-12-13";"30";" 19602 ( 10174,  29029)";" 466 (  85,  848)";" 105726 ( 48800,  162651)";" 2506 (  264,  4749)";" 28907 (  2891,  54923)";" 18631 (  3287,  33975)";" 3464 (  868,  6060)";" 5524 ( 1633,  9414)";" 9943 ( 2940,  16946)";"40%"
"2014-12-12";"29";" 19136 ( 10079,  28192)";" 455 (  87,  823)";" 103219 ( 48486,  157953)";" 2448 (  283,  4613)";" 28236 (  3120,  53353)";" 18197 (  3398,  32996)";" 3383 (  882,  5884)";" 5395 ( 1643,  9147)";" 9711 ( 2957,  16465)";"40%"
"2014-12-11";"28";" 18680 (  9981,  27380)";" 445 (  90,  799)";" 100771 ( 48152,  153391)";" 2391 (  302,  4481)";" 27581 (  3337,  51825)";" 17772 (  3501,  32043)";" 3304 (  894,  5714)";" 5269 ( 1651,  8887)";" 9484 ( 2971,  15997)";"40%"
"2014-12-10";"27";" 18236 (  9880,  26591)";" 434 (  92,  776)";"  98380 ( 47800,  148961)";" 2335 (  319,  4352)";" 26939 (  3541,  50338)";" 17357 (  3597,  31117)";" 3226 (  905,  5548)";" 5146 ( 1657,  8635)";" 9263 ( 2983,  15542)";"40%"
"2014-12-09";"26";" 17801 (  9777,  25826)";" 424 (  94,  754)";"  96045 ( 47431,  144659)";" 2281 (  336,  4227)";" 26312 (  3733,  48891)";" 16952 (  3685,  30218)";" 3151 (  915,  5387)";" 5026 ( 1662,  8389)";" 9046 ( 2992,  15100)";"40%"
"2014-12-08";"25";" 17377 (  9672,  25083)";" 414 (  96,  732)";"  93764 ( 47045,  140482)";" 2228 (  351,  4105)";" 25699 (  3915,  47484)";" 16555 (  3768,  29343)";" 3077 (  923,  5231)";" 4908 ( 1666,  8150)";" 8835 ( 2999,  14670)";"40%"
"2014-12-07";"24";" 16963 (  9565,  24361)";" 405 (  98,  711)";"  91536 ( 46644,  136427)";" 2176 (  365,  3987)";" 25100 (  4085,  46116)";" 16168 (  3843,  28493)";" 3005 (  931,  5079)";" 4793 ( 1669,  7918)";" 8628 ( 3004,  14252)";"40%"
"2014-12-06";"23";" 16559 (  9456,  23661)";" 395 ( 100,  690)";"  89360 ( 46229,  132491)";" 2125 (  379,  3872)";" 24515 (  4244,  44786)";" 15790 (  3912,  27667)";" 2935 (  938,  4931)";" 4681 ( 1670,  7692)";" 8426 ( 3006,  13846)";"40%"
"2014-12-05";"22";" 16163 (  9345,  22982)";" 386 ( 101,  670)";"  87234 ( 45800,  128669)";" 2076 (  392,  3760)";" 23943 (  4394,  43492)";" 15420 (  3976,  26865)";" 2866 (  943,  4788)";" 4571 ( 1670,  7473)";" 8229 ( 3006,  13451)";"40%"
"2014-12-04";"21";" 15778 (  9233,  22322)";" 377 ( 103,  651)";"  85159 ( 45359,  124959)";" 2027 (  403,  3651)";" 23384 (  4533,  42235)";" 15059 (  4033,  26085)";" 2799 (  948,  4649)";" 4464 ( 1669,  7260)";" 8036 ( 3005,  13067)";"40%"
"2014-12-03";"20";" 15401 (  9119,  21682)";" 368 ( 104,  632)";"  83132 ( 44906,  121358)";" 1980 (  414,  3545)";" 22837 (  4662,  41012)";" 14706 (  4085,  25328)";" 2733 (  952,  4514)";" 4360 ( 1667,  7052)";" 7848 ( 3001,  12694)";"40%"
"2014-12-02";"19";" 15033 (  9005,  21061)";" 359 ( 105,  614)";"  81152 ( 44442,  117862)";" 1933 (  424,  3443)";" 22303 (  4782,  39825)";" 14362 (  4131,  24593)";" 2669 (  955,  4383)";" 4258 ( 1664,  6851)";" 7664 ( 2996,  12332)";"40%"
"2014-12-01";"18";" 14674 (  8889,  20459)";" 351 ( 106,  596)";"  79218 ( 43968,  114469)";" 1888 (  434,  3343)";" 21781 (  4893,  38670)";" 14025 (  4172,  23878)";" 2606 (  957,  4256)";" 4158 ( 1660,  6655)";" 7484 ( 2989,  11980)";"40%"
"2014-11-30";"17";" 14323 (  8772,  19874)";" 343 ( 107,  578)";"  77330 ( 43484,  111176)";" 1844 (  442,  3246)";" 21272 (  4995,  37549)";" 13696 (  4208,  23185)";" 2545 (  958,  4132)";" 4060 ( 1655,  6465)";" 7309 ( 2980,  11638)";"40%"
"2014-11-29";"16";" 13980 (  8654,  19306)";" 335 ( 108,  562)";"  75486 ( 42993,  107980)";" 1801 (  450,  3151)";" 20774 (  5088,  36459)";" 13375 (  4240,  22511)";" 2486 (  958,  4013)";" 3965 ( 1650,  6281)";" 7137 ( 2969,  11305)";"40%"
"2014-11-28";"15";" 13645 (  8535,  18755)";" 327 ( 108,  545)";"  73685 ( 42493,  104878)";" 1759 (  457,  3060)";" 20287 (  5174,  35400)";" 13062 (  4266,  21857)";" 2427 (  958,  3896)";" 3872 ( 1643,  6101)";" 6970 ( 2957,  10983)";"40%"
"2014-11-27";"14";" 13319 (  8416,  18221)";" 319 ( 109,  529)";"  71927 ( 41986,  101868)";" 1717 (  464,  2971)";" 19812 (  5252,  34372)";" 12755 (  4289,  21222)";" 2370 (  957,  3783)";" 3781 ( 1636,  5927)";" 6807 ( 2944,  10669)";"40%"
"2014-11-26";"13";" 12999 (  8296,  17703)";" 312 ( 109,  514)";"  70209 ( 41473,   98946)";" 1677 (  470,  2885)";" 19347 (  5322,  33373)";" 12456 (  4307,  20605)";" 2315 (  956,  3674)";" 3693 ( 1627,  5758)";" 6647 ( 2929,  10365)";"40%"
"2014-11-25";"12";" 12688 (  8176,  17200)";" 304 ( 110,  499)";"  68532 ( 40953,   96111)";" 1638 (  475,  2801)";" 18894 (  5385,  32403)";" 12164 (  4321,  20006)";" 2260 (  954,  3567)";" 3606 ( 1618,  5594)";" 6491 ( 2913,  10069)";"40%"
"2014-11-24";"11";" 12383 (  8055,  16711)";" 297 ( 110,  485)";"  66894 ( 40429,   93360)";" 1599 (  479,  2719)";" 18451 (  5441,  31461)";" 11879 (  4332,  19425)";" 2207 (  951,  3464)";" 3521 ( 1609,  5434)";" 6339 ( 2896,   9781)";"40%"
"2014-11-23";"10";" 12086 (  7935,  16238)";" 290 ( 110,  471)";"  65295 ( 39900,   90690)";" 1562 (  484,  2640)";" 18018 (  5490,  30546)";" 11600 (  4339,  18861)";" 2156 (  948,  3364)";" 3439 ( 1599,  5279)";" 6190 ( 2878,   9502)";"40%"
"2014-11-22";"9";" 11796 (  7814,  15778)";" 283 ( 110,  457)";"  63733 ( 39366,   88100)";" 1525 (  487,  2564)";" 17595 (  5533,  29657)";" 11328 (  4342,  18313)";" 2105 (  944,  3266)";" 3358 ( 1588,  5129)";" 6045 ( 2858,   9232)";"40%"
"2014-11-21";"8";" 11513 (  7693,  15333)";" 277 ( 110,  444)";"  62208 ( 38829,   85586)";" 1489 (  490,  2489)";" 17182 (  5570,  28795)";" 11062 (  4342,  17782)";" 2056 (  940,  3172)";" 3279 ( 1576,  4982)";" 5903 ( 2838,   8968)";"40%"
"2014-11-20";"7";" 11236 (  7571,  14900)";" 270 ( 110,  431)";"  60718 ( 38289,   83147)";" 1455 (  492,  2417)";" 16779 (  5601,  27957)";" 10802 (  4339,  17266)";" 2008 (  935,  3080)";" 3202 ( 1564,  4841)";" 5764 ( 2816,   8713)";"40%"
"2014-11-19";"6";" 10966 (  7450,  14481)";" 264 ( 110,  418)";"  59264 ( 37747,   80781)";" 1420 (  494,  2346)";" 16385 (  5626,  27144)";" 10549 (  4333,  16765)";" 1961 (  930,  2991)";" 3127 ( 1552,  4703)";" 5629 ( 2794,   8465)";"40%"
"2014-11-18";"5";" 10702 (  7330,  14074)";" 258 ( 109,  406)";"  57843 ( 37202,   78485)";" 1387 (  496,  2278)";" 16001 (  5646,  26355)";" 10301 (  4324,  16279)";" 1915 (  924,  2905)";" 3054 ( 1539,  4569)";" 5497 ( 2771,   8224)";"40%"
"2014-11-17";"4";" 10444 (  7209,  13679)";" 252 ( 109,  394)";"  56456 ( 36656,   76257)";" 1354 (  497,  2212)";" 15625 (  5661,  25589)";" 10060 (  4312,  15808)";" 1870 (  918,  2821)";" 2982 ( 1526,  4439)";" 5368 ( 2747,   7990)";"40%"
"2014-11-16";"3";" 10192 (  7089,  13296)";" 246 ( 109,  383)";"  55102 ( 36108,   74096)";" 1323 (  498,  2148)";" 15258 (  5671,  24845)";"  9824 (  4298,  15350)";" 1826 (  912,  2740)";" 2912 ( 1512,  4313)";" 5242 ( 2722,   7763)";"40%"
"2014-11-15";"2";"  9946 (  6968,  12924)";" 240 ( 108,  372)";"  53779 ( 35559,   71999)";" 1292 (  498,  2085)";" 14900 (  5677,  24123)";"  9593 (  4281,  14906)";" 1783 (  905,  2661)";" 2844 ( 1498,  4190)";" 5119 ( 2696,   7542)";"40%"
"2014-11-14";"1";"  9706 (  6849,  12564)";" 234 ( 108,  361)";"  52488 ( 35010,   69965)";" 1261 (  498,  2025)";" 14550 (  5678,  23423)";"  9368 (  4262,  14475)";" 1741 (  898,  2585)";" 2777 ( 1484,  4071)";" 4999 ( 2670,   7328)";"40%"
"2014-11-13";"0";"  9472 (  6730,  12214)";" 229 ( 107,  351)";"  51226 ( 34461,   67992)";" 1232 (  498,  1966)";" 14209 (  5675,  22743)";"  9149 (  4241,  14056)";" 1701 (  891,  2511)";" 2712 ( 1469,  3956)";" 4882 ( 2644,   7121)";"40%"
"2014-11-12";"-1";"  9243 (  6611,  11875)";" 224 ( 106,  341)";"  49995 ( 33912,   66077)";" 1203 (  497,  1909)";" 13875 (  5668,  22083)";"  8934 (  4218,  13651)";" 1661 (  883,  2439)";" 2649 ( 1454,  3844)";" 4768 ( 2617,   6919)";"40%"
"2014-11-11";"-2";"  9020 (  6493,  11546)";" 218 ( 106,  331)";"  48792 ( 33363,   64220)";" 1175 (  496,  1854)";" 13550 (  5657,  21442)";"  8725 (  4193,  13257)";" 1622 (  875,  2369)";" 2587 ( 1438,  3735)";" 4656 ( 2589,   6723)";"40%"
"2014-11-10";"-3";"  8801 (  6375,  11227)";" 213 ( 105,  321)";"  47617 ( 32816,   62419)";" 1147 (  494,  1800)";" 13232 (  5643,  20821)";"  8520 (  4166,  12875)";" 1584 (  867,  2301)";" 2526 ( 1423,  3629)";" 4547 ( 2561,   6533)";"40%"
"2014-11-09";"-4";"  8588 (  6258,  10918)";" 208 ( 104,  312)";"  46470 ( 32269,   60671)";" 1120 (  493,  1748)";" 12921 (  5625,  20218)";"  8321 (  4137,  12504)";" 1547 (  858,  2236)";" 2467 ( 1407,  3527)";" 4441 ( 2533,   6348)";"40%"
"2014-11-08";"-5";"  8380 (  6142,  10618)";" 203 ( 104,  303)";"  45350 ( 31724,   58976)";" 1094 (  491,  1697)";" 12618 (  5604,  19632)";"  8126 (  4107,  12144)";" 1511 (  850,  2172)";" 2409 ( 1391,  3427)";" 4337 ( 2504,   6169)";"40%"
"2014-11-07";"-6";"  8177 (  6027,  10327)";" 199 ( 103,  294)";"  44256 ( 31181,   57331)";" 1068 (  488,  1648)";" 12322 (  5580,  19064)";"  7936 (  4076,  11795)";" 1476 (  841,  2110)";" 2353 ( 1375,  3331)";" 4235 ( 2475,   5995)";"40%"
