"Date";"Days from today";"PPE (m3)";"PPE (tons)";"Body bags (m3)";"Body bags (tons)";"Chlorine (m3)";"Chlorine (tons)";"Medical supplies (m3)";"Medical supplies (tons)";"Lab supplies (m3)";"Lab supplies (tons)";"Total (m3)";"Total (tons)"
"2015-04-30";"168";"734.9 (18.2, 1451.7)";"152.7 ( 3.8, 301.7)";"2.0 (0.0, 3.9)";"0.2 (0.0, 0.4)";"0.8 (0.0, 1.6)";"0.8 (0.0, 1.6)";"11.3 (0.3, 22.4)";"5.7 (0.1, 11.2)";"1.2 (0.0, 2.4)";"0.6 (0.0, 1.2)";"750.3 (18.6, 1482.0)";"160.0 ( 4.0, 316.0)"
"2015-04-29";"167";"725.8 (19.4, 1432.1)";"150.8 ( 4.0, 297.6)";"1.9 (0.1, 3.8)";"0.2 (0.0, 0.4)";"0.8 (0.0, 1.5)";"0.8 (0.0, 1.5)";"11.2 (0.3, 22.1)";"5.6 (0.2, 11.1)";"1.2 (0.0, 2.4)";"0.6 (0.0, 1.2)";"740.9 (19.8, 1462.0)";"158.0 ( 4.2, 311.8)"
"2015-04-28";"166";"716.7 (20.7, 1412.8)";"148.9 ( 4.3, 293.6)";"1.9 (0.1, 3.8)";"0.2 (0.0, 0.4)";"0.8 (0.0, 1.5)";"0.8 (0.0, 1.5)";"11.1 (0.3, 21.8)";"5.5 (0.2, 10.9)";"1.2 (0.0, 2.4)";"0.6 (0.0, 1.1)";"731.7 (21.1, 1442.3)";"156.0 ( 4.5, 307.5)"
"2015-04-27";"165";"707.8 (22.0, 1393.6)";"147.1 ( 4.6, 289.6)";"1.9 (0.1, 3.7)";"0.2 (0.0, 0.4)";"0.8 (0.0, 1.5)";"0.8 (0.0, 1.5)";"10.9 (0.3, 21.5)";"5.5 (0.2, 10.8)";"1.2 (0.0, 2.3)";"0.6 (0.0, 1.1)";"722.5 (22.4, 1422.7)";"154.1 ( 4.8, 303.4)"
"2015-04-26";"164";"698.9 (23.3, 1374.5)";"145.2 ( 4.8, 285.6)";"1.9 (0.1, 3.7)";"0.2 (0.0, 0.4)";"0.8 (0.0, 1.5)";"0.8 (0.0, 1.5)";"10.8 (0.4, 21.2)";"5.4 (0.2, 10.6)";"1.2 (0.0, 2.3)";"0.6 (0.0, 1.1)";"713.5 (23.7, 1403.2)";"152.1 ( 5.1, 299.2)"
"2015-04-25";"163";"690.1 (24.5, 1355.6)";"143.4 ( 5.1, 281.7)";"1.9 (0.1, 3.6)";"0.2 (0.0, 0.4)";"0.7 (0.0, 1.5)";"0.7 (0.0, 1.5)";"10.7 (0.4, 20.9)";"5.3 (0.2, 10.5)";"1.2 (0.0, 2.3)";"0.6 (0.0, 1.1)";"704.5 (25.0, 1383.9)";"150.2 ( 5.3, 295.1)"
"2015-04-24";"162";"681.3 (25.8, 1336.9)";"141.6 ( 5.4, 277.8)";"1.8 (0.1, 3.6)";"0.2 (0.0, 0.4)";"0.7 (0.0, 1.4)";"0.7 (0.0, 1.4)";"10.5 (0.4, 20.6)";"5.3 (0.2, 10.3)";"1.1 (0.0, 2.2)";"0.5 (0.0, 1.1)";"695.6 (26.3, 1364.8)";"148.3 ( 5.6, 291.0)"
"2015-04-23";"161";"672.7 (27.1, 1318.3)";"139.8 ( 5.6, 274.0)";"1.8 (0.1, 3.5)";"0.2 (0.0, 0.4)";"0.7 (0.0, 1.4)";"0.7 (0.0, 1.4)";"10.4 (0.4, 20.4)";"5.2 (0.2, 10.2)";"1.1 (0.0, 2.2)";"0.5 (0.0, 1.1)";"686.8 (27.6, 1345.9)";"146.4 ( 5.9, 287.0)"
"2015-04-22";"160";"664.2 (28.4, 1300.0)";"138.0 ( 5.9, 270.2)";"1.8 (0.1, 3.5)";"0.2 (0.0, 0.3)";"0.7 (0.0, 1.4)";"0.7 (0.0, 1.4)";"10.3 (0.4, 20.1)";"5.1 (0.2, 10.0)";"1.1 (0.0, 2.2)";"0.5 (0.0, 1.0)";"678.0 (29.0, 1327.1)";"144.6 ( 6.2, 283.0)"
"2015-04-21";"159";"655.7 (29.6, 1281.7)";"136.3 ( 6.2, 266.4)";"1.8 (0.1, 3.4)";"0.2 (0.0, 0.3)";"0.7 (0.0, 1.4)";"0.7 (0.0, 1.4)";"10.1 (0.5, 19.8)";"5.1 (0.2,  9.9)";"1.1 (0.0, 2.2)";"0.5 (0.0, 1.0)";"669.4 (30.2, 1308.5)";"142.7 ( 6.4, 279.0)"
"2015-04-20";"158";"647.3 (30.9, 1263.7)";"134.5 ( 6.4, 262.6)";"1.7 (0.1, 3.4)";"0.2 (0.0, 0.3)";"0.7 (0.0, 1.4)";"0.7 (0.0, 1.4)";"10.0 (0.5, 19.5)";"5.0 (0.2,  9.8)";"1.1 (0.1, 2.1)";"0.5 (0.0, 1.0)";"660.8 (31.6, 1290.1)";"140.9 ( 6.7, 275.1)"
