"Date";"Days from today";"ETU caseload";"Nurses and paramedics";"Hygienists and nurses aids";"Doctors";"Support staff";"Total"
"2015-04-30";"168";"49850 (27344, 72356)";"24925 (13672, 36178)";"24925 (13672, 36178)";"4985 (2734, 7236)";"49850 (27344, 72356)";"104685 (77029, 132341)"
"2015-04-29";"167";"49702 (26843, 72561)";"24851 (13422, 36280)";"24851 (13422, 36280)";"4970 (2684, 7256)";"49702 (26843, 72561)";"104374 (76284, 132464)"
"2015-04-28";"166";"49545 (26331, 72759)";"24772 (13165, 36379)";"24772 (13165, 36379)";"4954 (2633, 7275)";"49545 (26331, 72759)";"104043 (75517, 132569)"
"2015-04-27";"165";"49378 (25806, 72950)";"24689 (12903, 36475)";"24689 (12903, 36475)";"4938 (2581, 7295)";"49378 (25806, 72950)";"103694 (74729, 132659)"
"2015-04-26";"164";"49201 (25271, 73131)";"24600 (12635, 36565)";"24600 (12635, 36565)";"4920 (2527, 7313)";"49201 (25271, 73131)";"103321 (73915, 132727)"
"2015-04-25";"163";"49015 (24726, 73304)";"24508 (12364, 36652)";"24508 (12364, 36652)";"4902 (2473, 7331)";"49015 (24726, 73304)";"102933 (73087, 132779)"
"2015-04-24";"162";"48819 (24173, 73465)";"24410 (12087, 36733)";"24410 (12087, 36733)";"4882 (2417, 7347)";"48819 (24173, 73465)";"102521 (72235, 132807)"
"2015-04-23";"161";"48613 (23610, 73616)";"24306 (11805, 36807)";"24306 (11805, 36807)";"4861 (2361, 7361)";"48613 (23610, 73616)";"102086 (71362, 132810)"
"2015-04-22";"160";"48399 (23042, 73756)";"24200 (11522, 36878)";"24200 (11522, 36878)";"4840 (2304, 7376)";"48399 (23042, 73756)";"101639 (70480, 132798)"
"2015-04-21";"159";"48175 (22467, 73883)";"24088 (11234, 36942)";"24088 (11234, 36942)";"4818 (2247, 7389)";"48175 (22467, 73883)";"101169 (69578, 132760)"
"2015-04-20";"158";"47942 (21886, 73998)";"23971 (10943, 36999)";"23971 (10943, 36999)";"4794 (2188, 7400)";"47942 (21886, 73998)";"100678 (68660, 132696)"
"2015-04-19";"157";"47700 (21301, 74099)";"23850 (10651, 37049)";"23850 (10651, 37049)";"4770 (2130, 7410)";"47700 (21301, 74099)";"100170 (67731, 132609)"
"2015-04-18";"156";"47450 (20713, 74187)";"23725 (10357, 37093)";"23725 (10357, 37093)";"4745 (2071, 7419)";"47450 (20713, 74187)";" 99645 (66791, 132499)"
"2015-04-17";"155";"47190 (20121, 74259)";"23595 (10061, 37129)";"23595 (10061, 37129)";"4719 (2012, 7426)";"47190 (20121, 74259)";" 99099 (65837, 132361)"
"2015-04-16";"154";"46922 (19528, 74316)";"23461 ( 9764, 37158)";"23461 ( 9764, 37158)";"4692 (1953, 7431)";"46922 (19528, 74316)";" 98536 (64874, 132198)"
"2015-04-15";"153";"46645 (18933, 74357)";"23322 ( 9466, 37178)";"23322 ( 9466, 37178)";"4664 (1893, 7435)";"46645 (18933, 74357)";" 97953 (63900, 132006)"
"2015-04-14";"152";"46360 (18338, 74382)";"23180 ( 9169, 37191)";"23180 ( 9169, 37191)";"4636 (1834, 7438)";"46360 (18338, 74382)";" 97356 (62922, 131790)"
"2015-04-13";"151";"46067 (17743, 74391)";"23034 ( 8872, 37196)";"23034 ( 8872, 37196)";"4607 (1775, 7439)";"46067 (17743, 74391)";" 96742 (61937, 131547)"
"2015-04-12";"150";"45766 (17149, 74383)";"22883 ( 8575, 37191)";"22883 ( 8575, 37191)";"4577 (1715, 7439)";"45766 (17149, 74383)";" 96109 (60944, 131274)"
