"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC 25% ETU target";"Beds for CDC 45% reduced transmission target";"Reporting (treatment) quotient"
"2015-04-09";"147";"49271 (-1251,  99793)";"685 (-325, 1695)";"246188 (-18524, 510900)";"3405 (-1749,  8558)";"39064 (-20153,  98282)";"27252 (-12975, 67480)";"5478 (-2370, 13327)";" 8183 (-2064, 18429)";"14729 (-3715, 33173)";"40%"
"2015-04-08";"146";"48586 ( -927,  98098)";"676 (-317, 1670)";"242784 (-16781, 502348)";"3360 (-1711,  8432)";"38560 (-19720,  96839)";"26894 (-12669, 66457)";"5405 (-2309, 13119)";" 8075 (-2002, 18152)";"14535 (-3604, 32673)";"40%"
"2015-04-07";"145";"47909 ( -612,  96430)";"667 (-309, 1644)";"239423 (-15075, 493921)";"3317 (-1673,  8307)";"38060 (-19290,  95410)";"26539 (-12366, 65445)";"5333 (-2248, 12914)";" 7968 (-1941, 17877)";"14343 (-3494, 32179)";"40%"
"2015-04-06";"144";"47242 ( -303,  94787)";"659 (-302, 1619)";"236106 (-13407, 485619)";"3274 (-1636,  8184)";"37566 (-18865,  93997)";"26189 (-12067, 64445)";"5262 (-2188, 12711)";" 7863 (-1881, 17606)";"14153 (-3386, 31691)";"40%"
"2015-04-05";"143";"46583 (   -3,  93169)";"650 (-294, 1594)";"232832 (-11776, 477440)";"3231 (-1600,  8062)";"37077 (-18444,  92597)";"25842 (-11772, 63456)";"5191 (-2130, 12511)";" 7758 (-1822, 17338)";"13965 (-3279, 31209)";"40%"
"2015-04-04";"142";"45933 (  290,  91576)";"641 (-287, 1570)";"229601 (-10181, 469384)";"3189 (-1563,  7941)";"36593 (-18027,  91213)";"25499 (-11481, 62478)";"5121 (-2071, 12314)";" 7655 (-1763, 17073)";"13779 (-3174, 30732)";"40%"
"2015-04-03";"141";"45292 (  576,  90008)";"633 (-280, 1545)";"226412 ( -8624, 461449)";"3147 (-1527,  7821)";"36114 (-17616,  89843)";"25160 (-11193, 61513)";"5052 (-2014, 12119)";" 7553 (-1705, 16811)";"13595 (-3070, 30260)";"40%"
"2015-04-02";"140";"44659 (  855,  88464)";"624 (-273, 1521)";"223265 ( -7102, 453633)";"3106 (-1492,  7703)";"35640 (-17208,  88488)";"24825 (-10909, 60558)";"4984 (-1958, 11926)";" 7452 (-1648, 16553)";"13414 (-2967, 29795)";"40%"
"2015-04-01";"139";"44035 ( 1126,  86944)";"616 (-266, 1498)";"220160 ( -5615, 445935)";"3065 (-1457,  7586)";"35171 (-16805,  87148)";"24493 (-10629, 59616)";"4917 (-1903, 11736)";" 7352 (-1592, 16297)";"13234 (-2866, 29335)";"40%"
"2015-03-31";"138";"43419 ( 1391,  85447)";"608 (-259, 1474)";"217095 ( -4164, 438354)";"3024 (-1422,  7471)";"34708 (-16407,  85823)";"24166 (-10353, 58684)";"4850 (-1848, 11548)";" 7254 (-1537, 16045)";"13057 (-2766, 28880)";"40%"
