"Date";"Days from today";"ETU caseload";"Nurses and paramedics";"Hygienists and nurses aids";"Doctors";"Support staff";"Total"
"2015-04-30";"168";"61715 (35012, 88418)";"30858 (17507, 44209)";"30858 (17507, 44209)";"6172 (3502, 8842)";"61715 (35012, 88418)";"129603 (96790, 162416)"
"2015-04-29";"167";"61423 (34533, 88313)";"30712 (17267, 44157)";"30712 (17267, 44157)";"6142 (3453, 8831)";"61423 (34533, 88313)";"128989 (95946, 162032)"
"2015-04-28";"166";"61122 (34036, 88208)";"30561 (17018, 44104)";"30561 (17018, 44104)";"6112 (3403, 8821)";"61122 (34036, 88208)";"128356 (95072, 161640)"
"2015-04-27";"165";"60812 (33523, 88101)";"30406 (16762, 44050)";"30406 (16762, 44050)";"6081 (3352, 8810)";"60812 (33523, 88101)";"127705 (94172, 161238)"
"2015-04-26";"164";"60494 (32996, 87992)";"30247 (16498, 43996)";"30247 (16498, 43996)";"6049 (3299, 8799)";"60494 (32996, 87992)";"127037 (93247, 160827)"
"2015-04-25";"163";"60168 (32455, 87881)";"30084 (16228, 43940)";"30084 (16228, 43940)";"6017 (3246, 8788)";"60168 (32455, 87881)";"126353 (92299, 160407)"
"2015-04-24";"162";"59834 (31902, 87766)";"29917 (15951, 43883)";"29917 (15951, 43883)";"5983 (3190, 8776)";"59834 (31902, 87766)";"125651 (91328, 159974)"
"2015-04-23";"161";"59492 (31337, 87647)";"29746 (15669, 43823)";"29746 (15669, 43823)";"5949 (3134, 8764)";"59492 (31337, 87647)";"124933 (90336, 159530)"
"2015-04-22";"160";"59142 (30761, 87523)";"29571 (15381, 43761)";"29571 (15381, 43761)";"5914 (3076, 8752)";"59142 (30761, 87523)";"124198 (89323, 159073)"
"2015-04-21";"159";"58784 (30175, 87393)";"29392 (15088, 43696)";"29392 (15088, 43696)";"5878 (3017, 8739)";"58784 (30175, 87393)";"123446 (88291, 158601)"
"2015-04-20";"158";"58418 (29580, 87256)";"29209 (14790, 43628)";"29209 (14790, 43628)";"5842 (2958, 8726)";"58418 (29580, 87256)";"122678 (87241, 158115)"
"2015-04-19";"157";"58045 (28978, 87112)";"29023 (14489, 43557)";"29023 (14489, 43557)";"5804 (2897, 8711)";"58045 (28978, 87112)";"121895 (86176, 157614)"
"2015-04-18";"156";"57664 (28368, 86960)";"28832 (14184, 43480)";"28832 (14184, 43480)";"5766 (2836, 8696)";"57664 (28368, 86960)";"121094 (85094, 157094)"
"2015-04-17";"155";"57275 (27751, 86799)";"28638 (13876, 43400)";"28638 (13876, 43400)";"5728 (2776, 8680)";"57275 (27751, 86799)";"120279 (83999, 156559)"
"2015-04-16";"154";"56879 (27130, 86628)";"28440 (13565, 43315)";"28440 (13565, 43315)";"5688 (2713, 8663)";"56879 (27130, 86628)";"119447 (82890, 156004)"
"2015-04-15";"153";"56477 (26505, 86449)";"28238 (13252, 43224)";"28238 (13252, 43224)";"5648 (2651, 8645)";"56477 (26505, 86449)";"118601 (81771, 155431)"
"2015-04-14";"152";"56067 (25876, 86258)";"28033 (12938, 43128)";"28033 (12938, 43128)";"5607 (2588, 8626)";"56067 (25876, 86258)";"117740 (80641, 154839)"
"2015-04-13";"151";"55650 (25245, 86055)";"27825 (12623, 43027)";"27825 (12623, 43027)";"5565 (2525, 8605)";"55650 (25245, 86055)";"116865 (79503, 154227)"
"2015-04-12";"150";"55226 (24612, 85840)";"27613 (12306, 42920)";"27613 (12306, 42920)";"5523 (2462, 8584)";"55226 (24612, 85840)";"115975 (78356, 153594)"
"2015-04-11";"149";"54796 (23980, 85612)";"27398 (11990, 42806)";"27398 (11990, 42806)";"5480 (2398, 8562)";"54796 (23980, 85612)";"115072 (77204, 152940)"
"2015-04-10";"148";"54360 (23347, 85373)";"27180 (11674, 42686)";"27180 (11674, 42686)";"5436 (2335, 8537)";"54360 (23347, 85373)";"114156 (76047, 152265)"
"2015-04-09";"147";"53917 (22715, 85119)";"26958 (11357, 42559)";"26958 (11357, 42559)";"5392 (2272, 8512)";"53917 (22715, 85119)";"113225 (74884, 151566)"
"2015-04-08";"146";"53468 (22085, 84851)";"26734 (11043, 42425)";"26734 (11043, 42425)";"5347 (2209, 8485)";"53468 (22085, 84851)";"112283 (73719, 150847)"
"2015-04-07";"145";"53013 (21458, 84568)";"26506 (10728, 42284)";"26506 (10728, 42284)";"5301 (2145, 8457)";"53013 (21458, 84568)";"111326 (72550, 150102)"
"2015-04-06";"144";"52552 (20834, 84270)";"26276 (10417, 42135)";"26276 (10417, 42135)";"5255 (2083, 8427)";"52552 (20834, 84270)";"110359 (71383, 149335)"
"2015-04-05";"143";"52086 (20214, 83958)";"26043 (10107, 41979)";"26043 (10107, 41979)";"5209 (2022, 8396)";"52086 (20214, 83958)";"109381 (70216, 148546)"
"2015-04-04";"142";"51614 (19598, 83630)";"25807 ( 9799, 41815)";"25807 ( 9799, 41815)";"5161 (1959, 8363)";"51614 (19598, 83630)";"108389 (69047, 147731)"
"2015-04-03";"141";"51137 (18988, 83286)";"25568 ( 9494, 41642)";"25568 ( 9494, 41642)";"5114 (1899, 8329)";"51137 (18988, 83286)";"107387 (67882, 146892)"
"2015-04-02";"140";"50656 (18385, 82927)";"25328 ( 9193, 41463)";"25328 ( 9193, 41463)";"5066 (1839, 8293)";"50656 (18385, 82927)";"106378 (66723, 146033)"
"2015-04-01";"139";"50169 (17788, 82550)";"25084 ( 8894, 41274)";"25084 ( 8894, 41274)";"5017 (1779, 8255)";"50169 (17788, 82550)";"105354 (65564, 145144)"
"2015-03-31";"138";"49678 (17198, 82158)";"24839 ( 8599, 41079)";"24839 ( 8599, 41079)";"4968 (1720, 8216)";"49678 (17198, 82158)";"104324 (64413, 144235)"
"2015-03-30";"137";"49182 (16616, 81748)";"24591 ( 8308, 40874)";"24591 ( 8308, 40874)";"4918 (1661, 8175)";"49182 (16616, 81748)";"103282 (63264, 143300)"
"2015-03-29";"136";"48682 (16042, 81322)";"24341 ( 8021, 40661)";"24341 ( 8021, 40661)";"4868 (1604, 8132)";"48682 (16042, 81322)";"102232 (62124, 142340)"
"2015-03-28";"135";"48178 (15477, 80879)";"24089 ( 7739, 40439)";"24089 ( 7739, 40439)";"4818 (1548, 8088)";"48178 (15477, 80879)";"101174 (60991, 141357)"
"2015-03-27";"134";"47671 (14922, 80420)";"23836 ( 7462, 40210)";"23836 ( 7462, 40210)";"4767 (1492, 8042)";"47671 (14922, 80420)";"100110 (59868, 140352)"
"2015-03-26";"133";"47160 (14377, 79943)";"23580 ( 7188, 39972)";"23580 ( 7188, 39972)";"4716 (1438, 7994)";"47160 (14377, 79943)";" 99036 (58751, 139321)"
