"Date";"Days from today";"PPE (m3)";"PPE (tons)";"Body bags (m3)";"Body bags (tons)";"Chlorine (m3)";"Chlorine (tons)";"Medical supplies (m3)";"Medical supplies (tons)";"Lab supplies (m3)";"Lab supplies (tons)";"Total (m3)";"Total (tons)"
"2015-04-30";"168";"4227.6 (2882.4, 5572.8)";"878.6 (599.0, 1158.1)";"11.4 (7.7, 15.0)";"1.1 (0.8, 1.5)";"4.5 (3.1, 6.0)";"4.5 (3.1, 6.0)";"65.3 (44.5, 86.1)";"32.6 (22.3, 43.0)";"7.1 (4.8, 9.4)";"3.4 (2.3, 4.5)";"4315.9 (2942.6, 5689.2)";"920.3 (627.5, 1213.1)"
"2015-04-29";"167";"4207.6 (2852.9, 5562.2)";"874.4 (592.9, 1155.9)";"11.3 (7.7, 14.9)";"1.1 (0.8, 1.5)";"4.5 (3.1, 6.0)";"4.5 (3.1, 6.0)";"65.0 (44.1, 85.9)";"32.5 (22.0, 42.9)";"7.1 (4.8, 9.3)";"3.4 (2.3, 4.5)";"4295.4 (2912.5, 5678.4)";"915.9 (621.0, 1210.8)"
"2015-04-28";"166";"4186.9 (2822.5, 5551.4)";"870.1 (586.6, 1153.7)";"11.2 (7.6, 14.9)";"1.1 (0.8, 1.5)";"4.5 (3.0, 6.0)";"4.5 (3.0, 6.0)";"64.7 (43.6, 85.7)";"32.3 (21.8, 42.9)";"7.0 (4.7, 9.3)";"3.4 (2.3, 4.5)";"4274.4 (2881.4, 5667.4)";"911.4 (614.4, 1208.5)"
"2015-04-27";"165";"4165.7 (2791.0, 5540.4)";"865.7 (580.0, 1151.4)";"11.2 (7.5, 14.9)";"1.1 (0.7, 1.5)";"4.5 (3.0, 6.0)";"4.5 (3.0, 6.0)";"64.3 (43.1, 85.6)";"32.2 (21.6, 42.8)";"7.0 (4.7, 9.3)";"3.4 (2.2, 4.5)";"4252.7 (2849.3, 5656.1)";"906.8 (607.6, 1206.1)"
"2015-04-26";"164";"4144.0 (2758.7, 5529.2)";"861.2 (573.3, 1149.1)";"11.1 (7.4, 14.9)";"1.1 (0.7, 1.5)";"4.5 (3.0, 5.9)";"4.5 (3.0, 5.9)";"64.0 (42.6, 85.4)";"32.0 (21.3, 42.7)";"7.0 (4.6, 9.3)";"3.3 (2.2, 4.5)";"4230.5 (2816.4, 5644.7)";"902.1 (600.5, 1203.6)"
"2015-04-25";"163";"4121.6 (2725.6, 5517.7)";"856.5 (566.4, 1146.7)";"11.1 (7.3, 14.8)";"1.1 (0.7, 1.5)";"4.4 (2.9, 5.9)";"4.4 (2.9, 5.9)";"63.7 (42.1, 85.2)";"31.8 (21.0, 42.6)";"6.9 (4.6, 9.3)";"3.3 (2.2, 4.4)";"4207.7 (2782.5, 5632.9)";"897.2 (593.3, 1201.1)"
"2015-04-24";"162";"4098.7 (2691.7, 5505.8)";"851.8 (559.4, 1144.2)";"11.0 (7.2, 14.8)";"1.1 (0.7, 1.5)";"4.4 (2.9, 5.9)";"4.4 (2.9, 5.9)";"63.3 (41.6, 85.0)";"31.6 (20.8, 42.5)";"6.9 (4.5, 9.2)";"3.3 (2.2, 4.4)";"4184.3 (2747.9, 5620.8)";"892.2 (585.9, 1198.5)"
"2015-04-23";"161";"4075.3 (2657.0, 5493.6)";"846.9 (552.2, 1141.7)";"10.9 (7.1, 14.8)";"1.1 (0.7, 1.5)";"4.4 (2.9, 5.9)";"4.4 (2.9, 5.9)";"62.9 (41.0, 84.8)";"31.5 (20.5, 42.4)";"6.8 (4.5, 9.2)";"3.3 (2.1, 4.4)";"4160.4 (2712.5, 5608.4)";"887.1 (578.4, 1195.9)"
"2015-04-22";"160";"4051.3 (2621.6, 5481.1)";"841.9 (544.8, 1139.0)";"10.9 (7.0, 14.7)";"1.1 (0.7, 1.5)";"4.4 (2.8, 5.9)";"4.4 (2.8, 5.9)";"62.6 (40.5, 84.6)";"31.3 (20.2, 42.3)";"6.8 (4.4, 9.2)";"3.3 (2.1, 4.4)";"4135.9 (2676.4, 5595.5)";"881.9 (570.7, 1193.1)"
"2015-04-21";"159";"4026.8 (2585.6, 5468.0)";"836.8 (537.3, 1136.3)";"10.8 (6.9, 14.7)";"1.1 (0.7, 1.5)";"4.3 (2.8, 5.9)";"4.3 (2.8, 5.9)";"62.2 (39.9, 84.4)";"31.1 (20.0, 42.2)";"6.8 (4.3, 9.2)";"3.2 (2.1, 4.4)";"4110.9 (2639.6, 5582.2)";"876.6 (562.8, 1190.3)"
"2015-04-20";"158";"4001.7 (2549.0, 5454.5)";"831.6 (529.7, 1133.5)";"10.7 (6.8, 14.6)";"1.1 (0.7, 1.5)";"4.3 (2.7, 5.9)";"4.3 (2.7, 5.9)";"61.8 (39.4, 84.2)";"30.9 (19.7, 42.1)";"6.7 (4.3, 9.2)";"3.2 (2.1, 4.4)";"4085.3 (2602.2, 5568.4)";"871.1 (554.9, 1187.4)"
