"Date";"Days from today";"ETU caseload";"Nurses and paramedics";"Hygienists and nurses aids";"Doctors";"Support staff";"Total"
"2015-04-30";"168";"10728 (-3500, 24956)";"5364 (-1750, 12478)";"5364 (-1750, 12478)";"1073 (-350, 2496)";"10728 (-3500, 24956)";"22529 (5046, 40012)"
"2015-04-29";"167";"10595 (-3426, 24616)";"5298 (-1713, 12309)";"5298 (-1713, 12309)";"1060 (-342, 2462)";"10595 (-3426, 24616)";"22251 (5021, 39481)"
"2015-04-28";"166";"10463 (-3354, 24280)";"5232 (-1676, 12140)";"5232 (-1676, 12140)";"1046 (-336, 2428)";"10463 (-3354, 24280)";"21973 (4995, 38951)"
"2015-04-27";"165";"10332 (-3281, 23945)";"5166 (-1641, 11973)";"5166 (-1641, 11973)";"1033 (-328, 2394)";"10332 (-3281, 23945)";"21697 (4969, 38425)"
"2015-04-26";"164";"10202 (-3210, 23614)";"5101 (-1605, 11807)";"5101 (-1605, 11807)";"1020 (-321, 2361)";"10202 (-3210, 23614)";"21424 (4943, 37905)"
"2015-04-25";"163";"10074 (-3138, 23286)";"5037 (-1569, 11643)";"5037 (-1569, 11643)";"1007 (-314, 2328)";"10074 (-3138, 23286)";"21155 (4920, 37390)"
"2015-04-24";"162";" 9947 (-3066, 22960)";"4974 (-1533, 11481)";"4974 (-1533, 11481)";" 995 (-306, 2296)";" 9947 (-3066, 22960)";"20890 (4899, 36881)"
"2015-04-23";"161";" 9820 (-2996, 22636)";"4910 (-1498, 11318)";"4910 (-1498, 11318)";" 982 (-300, 2264)";" 9820 (-2996, 22636)";"20622 (4873, 36371)"
"2015-04-22";"160";" 9696 (-2925, 22317)";"4848 (-1463, 11159)";"4848 (-1463, 11159)";" 970 (-292, 2232)";" 9696 (-2925, 22317)";"20362 (4853, 35871)"
"2015-04-21";"159";" 9572 (-2856, 22000)";"4786 (-1428, 11000)";"4786 (-1428, 11000)";" 957 (-286, 2200)";" 9572 (-2856, 22000)";"20101 (4830, 35372)"
"2015-04-20";"158";" 9449 (-2787, 21685)";"4724 (-1394, 10842)";"4724 (-1394, 10842)";" 945 (-279, 2169)";" 9449 (-2787, 21685)";"19842 (4806, 34878)"
"2015-04-19";"157";" 9328 (-2718, 21374)";"4664 (-1359, 10687)";"4664 (-1359, 10687)";" 933 (-272, 2138)";" 9328 (-2718, 21374)";"19589 (4787, 34391)"
"2015-04-18";"156";" 9208 (-2650, 21066)";"4604 (-1325, 10533)";"4604 (-1325, 10533)";" 921 (-265, 2107)";" 9208 (-2650, 21066)";"19337 (4766, 33908)"
"2015-04-17";"155";" 9089 (-2582, 20760)";"4544 (-1292, 10380)";"4544 (-1292, 10380)";" 909 (-258, 2076)";" 9089 (-2582, 20760)";"19086 (4744, 33428)"
"2015-04-16";"154";" 8972 (-2515, 20459)";"4486 (-1257, 10229)";"4486 (-1257, 10229)";" 897 (-252, 2046)";" 8972 (-2515, 20459)";"18841 (4726, 32956)"
"2015-04-15";"153";" 8856 (-2448, 20160)";"4428 (-1224, 10080)";"4428 (-1224, 10080)";" 886 (-244, 2016)";" 8856 (-2448, 20160)";"18598 (4708, 32488)"
"2015-04-14";"152";" 8740 (-2383, 19863)";"4370 (-1191,  9931)";"4370 (-1191,  9931)";" 874 (-238, 1986)";" 8740 (-2383, 19863)";"18354 (4686, 32022)"
"2015-04-13";"151";" 8626 (-2318, 19570)";"4313 (-1159,  9785)";"4313 (-1159,  9785)";" 863 (-231, 1957)";" 8626 (-2318, 19570)";"18115 (4667, 31563)"
"2015-04-12";"150";" 8514 (-2253, 19281)";"4257 (-1126,  9640)";"4257 (-1126,  9640)";" 851 (-226, 1928)";" 8514 (-2253, 19281)";"17879 (4649, 31109)"
"2015-04-11";"149";" 8402 (-2189, 18993)";"4201 (-1095,  9497)";"4201 (-1095,  9497)";" 840 (-219, 1899)";" 8402 (-2189, 18993)";"17644 (4629, 30659)"
"2015-04-10";"148";" 8292 (-2126, 18710)";"4146 (-1063,  9355)";"4146 (-1063,  9355)";" 829 (-213, 1871)";" 8292 (-2126, 18710)";"17413 (4611, 30215)"
"2015-04-09";"147";" 8183 (-2063, 18429)";"4092 (-1031,  9215)";"4092 (-1031,  9215)";" 818 (-207, 1843)";" 8183 (-2063, 18429)";"17185 (4594, 29776)"
"2015-04-08";"146";" 8075 (-2002, 18152)";"4038 (-1000,  9076)";"4038 (-1000,  9076)";" 808 (-200, 1816)";" 8075 (-2002, 18152)";"16959 (4576, 29342)"
"2015-04-07";"145";" 7968 (-1941, 17877)";"3984 ( -971,  8939)";"3984 ( -971,  8939)";" 797 (-194, 1788)";" 7968 (-1941, 17877)";"16733 (4556, 28910)"
"2015-04-06";"144";" 7863 (-1881, 17607)";"3932 ( -940,  8804)";"3932 ( -940,  8804)";" 786 (-188, 1760)";" 7863 (-1881, 17607)";"16513 (4540, 28486)"
"2015-04-05";"143";" 7758 (-1822, 17338)";"3879 ( -911,  8669)";"3879 ( -911,  8669)";" 776 (-182, 1734)";" 7758 (-1822, 17338)";"16292 (4520, 28064)"
"2015-04-04";"142";" 7655 (-1763, 17073)";"3828 ( -881,  8537)";"3828 ( -881,  8537)";" 766 (-176, 1708)";" 7655 (-1763, 17073)";"16077 (4504, 27650)"
"2015-04-03";"141";" 7553 (-1705, 16811)";"3776 ( -853,  8405)";"3776 ( -853,  8405)";" 755 (-171, 1681)";" 7553 (-1705, 16811)";"15860 (4483, 27237)"
"2015-04-02";"140";" 7452 (-1648, 16552)";"3726 ( -824,  8276)";"3726 ( -824,  8276)";" 745 (-165, 1655)";" 7452 (-1648, 16552)";"15649 (4466, 26832)"
"2015-04-01";"139";" 7352 (-1593, 16297)";"3676 ( -796,  8148)";"3676 ( -796,  8148)";" 735 (-159, 1629)";" 7352 (-1593, 16297)";"15439 (4448, 26430)"
"2015-03-31";"138";" 7254 (-1537, 16045)";"3627 ( -768,  8022)";"3627 ( -768,  8022)";" 725 (-154, 1604)";" 7254 (-1537, 16045)";"15233 (4431, 26035)"
"2015-03-30";"137";" 7157 (-1482, 15796)";"3578 ( -741,  7897)";"3578 ( -741,  7897)";" 716 (-148, 1580)";" 7157 (-1482, 15796)";"15029 (4414, 25644)"
"2015-03-29";"136";" 7060 (-1429, 15549)";"3530 ( -714,  7774)";"3530 ( -714,  7774)";" 706 (-143, 1555)";" 7060 (-1429, 15549)";"14826 (4395, 25257)"
"2015-03-28";"135";" 6965 (-1375, 15305)";"3483 ( -687,  7653)";"3483 ( -687,  7653)";" 696 (-138, 1530)";" 6965 (-1375, 15305)";"14627 (4378, 24876)"
"2015-03-27";"134";" 6871 (-1323, 15065)";"3435 ( -662,  7532)";"3435 ( -662,  7532)";" 687 (-132, 1506)";" 6871 (-1323, 15065)";"14428 (4359, 24497)"
"2015-03-26";"133";" 6779 (-1271, 14829)";"3390 ( -635,  7415)";"3390 ( -635,  7415)";" 678 (-127, 1483)";" 6779 (-1271, 14829)";"14237 (4345, 24129)"
"2015-03-25";"132";" 6687 (-1221, 14595)";"3344 ( -610,  7298)";"3344 ( -610,  7298)";" 669 (-122, 1460)";" 6687 (-1221, 14595)";"14044 (4327, 23761)"
