"Date";"Days from today";"Caseload";"Administrator (coordination)";"Doctor (ETU)";"Doctor (coordination)";"Epidemiologist (contact tracing)";"Epidemiologist (coordination)";"Lab scientist (laboratories)";"Logistician (burials)";"Logistician (ETU)";"Logistician (coordination)";"Nurse (ETU)";"Public health specialist (Social mobilization)";"Public health specialist (coordination)";"Data management (coordination)";"Total personnel"
"2015-05-21";"168";"8117 (-516, 16750)";"9 ( 0, 18)";"18 (-1, 37)";"4 (-1, 9)";"10 (-1, 21)";"13 (-1, 27)";"27 (-2, 56)";"13 (-1, 27)";"36 (-2, 74)";"13 (-1, 27)";"72 (-5, 149)";"21 (-1, 43)";"9 ( 0, 18)";"11 (-1, 23)";"256 (155, 357)"
"2015-05-20";"167";"8068 (-463, 16599)";"9 ( 0, 18)";"18 (-1, 37)";"4 (-1, 9)";"10 (-1, 21)";"13 (-1, 27)";"27 (-2, 56)";"13 (-1, 27)";"36 (-2, 74)";"13 (-1, 27)";"72 (-4, 148)";"21 (-1, 43)";"9 ( 0, 18)";"11 (-1, 23)";"256 (156, 356)"
"2015-05-19";"166";"8019 (-412, 16450)";"9 ( 0, 18)";"18 (-1, 37)";"4 (-1, 9)";"10 (-1, 21)";"13 (-1, 27)";"27 (-1, 55)";"13 (-1, 27)";"36 (-2, 74)";"13 (-1, 27)";"71 (-4, 146)";"20 (-1, 41)";"9 ( 0, 18)";"11 (-1, 23)";"254 (156, 352)"
"2015-05-18";"165";"7970 (-361, 16301)";"9 ( 0, 18)";"18 (-1, 37)";"4 (-1, 9)";"10 ( 0, 20)";"13 (-1, 27)";"27 (-1, 55)";"13 (-1, 27)";"35 (-2, 72)";"13 (-1, 27)";"71 (-3, 145)";"20 (-1, 41)";"9 ( 0, 18)";"11 (-1, 23)";"253 (156, 350)"
"2015-05-17";"164";"7922 (-311, 16155)";"9 ( 0, 18)";"18 (-1, 37)";"4 (-1, 9)";"10 ( 0, 20)";"13 (-1, 27)";"27 (-1, 55)";"13 (-1, 27)";"35 (-2, 72)";"13 (-1, 27)";"71 (-2, 144)";"20 (-1, 41)";"9 ( 0, 18)";"11 (-1, 23)";"253 (157, 349)"
"2015-05-16";"163";"7874 (-261, 16009)";"9 ( 0, 18)";"18 ( 0, 36)";"4 ( 0, 8)";"10 ( 0, 20)";"13 ( 0, 26)";"26 (-1, 53)";"13 ( 0, 26)";"35 (-1, 71)";"13 ( 0, 26)";"70 (-2, 142)";"20 (-1, 41)";"9 ( 0, 18)";"11 ( 0, 22)";"251 (156, 346)"
"2015-05-15";"162";"7827 (-211, 15865)";"9 ( 0, 18)";"18 ( 0, 36)";"4 ( 0, 8)";"10 ( 0, 20)";"13 ( 0, 26)";"26 (-1, 53)";"13 ( 0, 26)";"35 (-1, 71)";"13 ( 0, 26)";"70 (-2, 142)";"20 ( 0, 40)";"9 ( 0, 18)";"11 ( 0, 22)";"251 (157, 345)"
"2015-05-14";"161";"7779 (-163, 15721)";"9 ( 0, 18)";"18 ( 0, 36)";"4 ( 0, 8)";"10 ( 0, 20)";"13 ( 0, 26)";"26 (-1, 53)";"13 ( 0, 26)";"35 ( 0, 70)";"13 ( 0, 26)";"69 (-2, 140)";"20 ( 0, 40)";"9 ( 0, 18)";"11 ( 0, 22)";"250 (157, 343)"
"2015-05-13";"160";"7732 (-114, 15578)";"9 ( 0, 18)";"17 (-1, 35)";"4 ( 0, 8)";"10 ( 0, 20)";"13 ( 0, 26)";"26 ( 0, 52)";"13 ( 0, 26)";"34 (-1, 69)";"13 ( 0, 26)";"69 (-1, 139)";"20 ( 0, 40)";"9 ( 0, 18)";"11 ( 0, 22)";"248 (156, 340)"
"2015-05-12";"159";"7686 ( -66, 15438)";"8 (-1, 17)";"17 ( 0, 34)";"4 ( 0, 8)";"10 ( 0, 20)";"13 ( 0, 26)";"26 ( 0, 52)";"13 ( 0, 26)";"34 ( 0, 68)";"13 ( 0, 26)";"68 (-1, 137)";"20 ( 0, 40)";"8 (-1, 17)";"11 ( 0, 22)";"245 (155, 335)"
"2015-05-11";"158";"7639 ( -19, 15297)";"8 ( 0, 16)";"17 ( 0, 34)";"4 ( 0, 8)";"10 ( 0, 20)";"13 ( 0, 26)";"26 ( 0, 52)";"13 ( 0, 26)";"34 ( 0, 68)";"13 ( 0, 26)";"68 ( 0, 136)";"19 (-1, 39)";"8 ( 0, 16)";"11 ( 0, 22)";"244 (155, 333)"
"2015-05-10";"157";"7593 (  27, 15159)";"8 ( 0, 16)";"17 ( 0, 34)";"4 ( 0, 8)";" 9 ( 0, 18)";"13 ( 1, 25)";"25 ( 0, 50)";"13 ( 1, 25)";"34 ( 0, 68)";"13 ( 1, 25)";"68 ( 1, 135)";"19 ( 0, 38)";"8 ( 0, 16)";"11 ( 0, 22)";"242 (154, 330)"
