"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC target of 25% cases in ETC";"Beds for CDC target of 45% cases in reduced transmission";"Reporting (treatment) quotient"
"2015-05-21";"168";"33705 ( 6151, 61259)";"  241 ( -172,   655)";"158730 (19945, 297515)";"  1130 (  -901,   3161)";"12917 (-10368, 36202)";"9555 (-6879, 25989)";"2040 (-1299, 5379)";"2899 (-1294, 7091)";"5218 (-2328, 12764)";"40%"
"2015-05-20";"167";"33464 ( 6320, 60607)";"  240 ( -169,   648)";"157600 (20833, 294368)";"  1123 (  -885,   3131)";"12839 (-10181, 35859)";"9498 (-6744, 25739)";"2028 (-1271, 5327)";"2881 (-1262, 7025)";"5186 (-2271, 12644)";"40%"
"2015-05-19";"166";"33224 ( 6487, 59961)";"  238 ( -166,   642)";"156478 (21704, 291251)";"  1116 (  -869,   3101)";"12761 ( -9995, 35518)";"9440 (-6610, 25490)";"2016 (-1243, 5275)";"2864 (-1231, 6958)";"5155 (-2215, 12525)";"40%"
"2015-05-18";"165";"32986 ( 6650, 59322)";"  237 ( -162,   636)";"155362 (22559, 288164)";"  1109 (  -853,   3071)";"12684 ( -9811, 35179)";"9383 (-6478, 25244)";"2004 (-1216, 5223)";"2847 (-1200, 6893)";"5124 (-2159, 12407)";"40%"
"2015-05-17";"164";"32749 ( 6809, 58688)";"  235 ( -159,   630)";"154252 (23398, 285107)";"  1103 (  -837,   3042)";"12607 ( -9629, 34843)";"9326 (-6347, 24999)";"1991 (-1189, 5172)";"2829 (-1169, 6828)";"5093 (-2104, 12290)";"40%"
"2015-05-16";"163";"32513 ( 6965, 58061)";"  234 ( -156,   624)";"153150 (24221, 282079)";"  1096 (  -821,   3013)";"12531 ( -9448, 34510)";"9270 (-6217, 24757)";"1979 (-1162, 5121)";"2812 (-1138, 6763)";"5062 (-2049, 12173)";"40%"
"2015-05-15";"162";"32279 ( 7118, 57440)";"  233 ( -153,   618)";"152054 (25029, 279079)";"  1089 (  -805,   2984)";"12455 ( -9269, 34179)";"9214 (-6089, 24516)";"1967 (-1136, 5071)";"2795 (-1108, 6699)";"5032 (-1995, 12058)";"40%"
"2015-05-14";"161";"32047 ( 7268, 56825)";"  231 ( -149,   612)";"150965 (25821, 276109)";"  1083 (  -790,   2955)";"12380 ( -9092, 33851)";"9158 (-5962, 24278)";"1956 (-1110, 5021)";"2778 (-1078, 6635)";"5001 (-1941, 11943)";"40%"
"2015-05-13";"160";"31816 ( 7415, 56216)";"  230 ( -146,   606)";"149882 (26597, 273167)";"  1076 (  -774,   2927)";"12305 ( -8916, 33525)";"9103 (-5836, 24041)";"1944 (-1084, 4972)";"2762 (-1049, 6572)";"4971 (-1888, 11830)";"40%"
"2015-05-12";"159";"31586 ( 7559, 55613)";"  228 ( -143,   600)";"148806 (27359, 270253)";"  1070 (  -759,   2898)";"12230 ( -8741, 33202)";"9047 (-5711, 23806)";"1932 (-1058, 4923)";"2745 (-1020, 6510)";"4941 (-1836, 11717)";"40%"
