"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC target of 25% cases in ETC";"Beds for CDC target of 45% cases in reduced transmission";"Reporting (treatment) quotient"
"2015-04-30";"147";"28682 ( 8795, 48569)";"212 (-108, 533)";"135863 (34835, 236892)";" 994 (-588, 2577)";"11370 ( -6779, 29520)";"8414 (-4313, 21140)";"1797 ( -772, 4367)";"2553 ( -693, 5799)";"4595 (-1247, 10437)";"40%"
"2015-04-29";"146";"28470 ( 8901, 48039)";"211 (-105, 527)";"134869 (35412, 234326)";" 988 (-575, 2551)";"11302 ( -6626, 29229)";"8363 (-4204, 20930)";"1787 ( -750, 4323)";"2537 ( -668, 5743)";"4567 (-1202, 10337)";"40%"
"2015-04-28";"145";"28258 ( 9003, 47513)";"210 (-102, 522)";"133880 (35975, 231786)";" 982 (-561, 2526)";"11233 ( -6474, 28941)";"8313 (-4097, 20722)";"1776 ( -728, 4280)";"2522 ( -643, 5687)";"4540 (-1157, 10237)";"40%"
"2015-04-27";"144";"28049 ( 9104, 46994)";"209 (-100, 517)";"132898 (36525, 229270)";" 976 (-548, 2501)";"11166 ( -6324, 28656)";"8263 (-3990, 20516)";"1765 ( -706, 4237)";"2507 ( -618, 5632)";"4513 (-1112, 10138)";"40%"
"2015-04-26";"143";"27840 ( 9201, 46479)";"207 ( -97, 512)";"131921 (37063, 226780)";" 971 (-535, 2477)";"11098 ( -6176, 28373)";"8213 (-3885, 20312)";"1755 ( -685, 4195)";"2492 ( -594, 5578)";"4486 (-1068, 10040)";"40%"
"2015-04-25";"142";"27633 ( 9296, 45969)";"206 ( -94, 507)";"130951 (37588, 224314)";" 965 (-523, 2452)";"11031 ( -6030, 28092)";"8164 (-3782, 20109)";"1744 ( -664, 4153)";"2477 ( -569, 5523)";"4459 (-1025,  9942)";"40%"
"2015-04-24";"141";"27427 ( 9388, 45465)";"205 ( -92, 502)";"129986 (38100, 221872)";" 959 (-510, 2428)";"10965 ( -5885, 27814)";"8115 (-3679, 19909)";"1734 ( -643, 4111)";"2462 ( -546, 5470)";"4432 ( -982,  9846)";"40%"
"2015-04-23";"140";"27222 ( 9478, 44965)";"204 ( -89, 497)";"129027 (38599, 219455)";" 953 (-497, 2404)";"10899 ( -5741, 27538)";"8066 (-3577, 19710)";"1724 ( -622, 4070)";"2447 ( -522, 5417)";"4405 ( -939,  9750)";"40%"
"2015-04-22";"139";"27018 ( 9566, 44471)";"202 ( -87, 492)";"128074 (39087, 217062)";" 947 (-485, 2380)";"10833 ( -5599, 27265)";"8018 (-3477, 19513)";"1713 ( -602, 4029)";"2433 ( -499, 5364)";"4379 ( -898,  9656)";"40%"
"2015-04-21";"138";"26816 ( 9650, 43981)";"201 ( -84, 487)";"127127 (39561, 214692)";" 942 (-473, 2356)";"10768 ( -5459, 26994)";"7970 (-3378, 19318)";"1703 ( -582, 3988)";"2418 ( -476, 5312)";"4353 ( -856,  9562)";"40%"
"2015-04-20";"137";"26615 ( 9733, 43497)";"200 ( -82, 482)";"126185 (40024, 212346)";" 936 (-461, 2333)";"10703 ( -5320, 26726)";"7922 (-3280, 19124)";"1693 ( -562, 3948)";"2404 ( -453, 5261)";"4327 ( -815,  9469)";"40%"
"2015-04-19";"136";"26415 ( 9813, 43017)";"199 ( -79, 477)";"125249 (40475, 210023)";" 930 (-449, 2309)";"10639 ( -5183, 26460)";"7875 (-3183, 18933)";"1683 ( -542, 3908)";"2390 ( -430, 5209)";"4301 ( -775,  9377)";"40%"
"2015-04-18";"135";"26216 ( 9890, 42542)";"198 ( -77, 472)";"124319 (40914, 207723)";" 925 (-437, 2286)";"10575 ( -5047, 26196)";"7828 (-3087, 18743)";"1673 ( -523, 3869)";"2375 ( -408, 5159)";"4275 ( -735,  9286)";"40%"
"2015-04-17";"134";"26018 ( 9965, 42071)";"196 ( -75, 467)";"123394 (41342, 205446)";" 919 (-425, 2264)";"10511 ( -4913, 25935)";"7781 (-2993, 18555)";"1663 ( -504, 3830)";"2361 ( -386, 5109)";"4250 ( -695,  9195)";"40%"
"2015-04-16";"133";"25822 (10038, 41606)";"195 ( -72, 463)";"122475 (41757, 203192)";" 914 (-414, 2241)";"10448 ( -4780, 25676)";"7735 (-2899, 18369)";"1653 ( -485, 3791)";"2347 ( -365, 5059)";"4225 ( -656,  9106)";"40%"
"2015-04-15";"132";"25627 (10108, 41145)";"194 ( -70, 458)";"121561 (42162, 200960)";" 908 (-402, 2219)";"10385 ( -4649, 25420)";"7689 (-2807, 18184)";"1644 ( -466, 3753)";"2333 ( -343, 5009)";"4200 ( -618,  9017)";"40%"
"2015-04-14";"131";"25433 (10176, 40689)";"193 ( -68, 453)";"120653 (42555, 198751)";" 903 (-391, 2196)";"10323 ( -4520, 25165)";"7643 (-2716, 18001)";"1634 ( -447, 3715)";"2319 ( -322, 4961)";"4175 ( -580,  8929)";"40%"
"2015-04-13";"130";"25240 (10242, 40237)";"192 ( -65, 449)";"119750 (42936, 196563)";" 897 (-380, 2174)";"10261 ( -4391, 24914)";"7598 (-2625, 17820)";"1624 ( -429, 3678)";"2305 ( -301, 4912)";"4150 ( -542,  8842)";"40%"
"2015-04-12";"129";"25048 (10306, 39790)";"191 ( -63, 444)";"118852 (43307, 194397)";" 892 (-369, 2153)";"10200 ( -4265, 24664)";"7552 (-2536, 17641)";"1615 ( -411, 3641)";"2292 ( -281, 4864)";"4125 ( -505,  8756)";"40%"
"2015-04-11";"128";"24857 (10367, 39347)";"190 ( -61, 440)";"117960 (43667, 192253)";" 887 (-358, 2131)";"10139 ( -4140, 24417)";"7508 (-2448, 17463)";"1605 ( -393, 3604)";"2278 ( -260, 4817)";"4101 ( -469,  8670)";"40%"
"2015-04-10";"127";"24668 (10427, 38909)";"188 ( -59, 435)";"117074 (44016, 190131)";" 881 (-347, 2110)";"10078 ( -4016, 24172)";"7463 (-2361, 17287)";"1596 ( -376, 3567)";"2265 ( -240, 4770)";"4076 ( -433,  8586)";"40%"
