"Date";"Days from today";"ETU caseload";"Nurses and paramedics";"Hygienists and nurses aids";"Doctors";"Support staff";"Total"
"2015-05-21";"168";"2899 (-1293, 7091)";"1450 (-646, 3546)";"1450 (-646, 3546)";"290 (-129, 709)";"2899 (-1293, 7091)";"6089 ( 937, 11241)"
"2015-05-20";"167";"2881 (-1262, 7024)";"1440 (-632, 3512)";"1440 (-632, 3512)";"288 (-126, 702)";"2881 (-1262, 7024)";"6049 ( 958, 11140)"
"2015-05-19";"166";"2864 (-1230, 6958)";"1432 (-615, 3479)";"1432 (-615, 3479)";"286 (-123, 695)";"2864 (-1230, 6958)";"6014 ( 983, 11045)"
"2015-05-18";"165";"2847 (-1199, 6893)";"1424 (-599, 3447)";"1424 (-599, 3447)";"285 (-120, 690)";"2847 (-1199, 6893)";"5980 (1008, 10952)"
"2015-05-17";"164";"2829 (-1169, 6827)";"1414 (-585, 3413)";"1414 (-585, 3413)";"283 (-117, 683)";"2829 (-1169, 6827)";"5940 (1027, 10853)"
"2015-05-16";"163";"2812 (-1139, 6763)";"1406 (-569, 3381)";"1406 (-569, 3381)";"281 (-114, 676)";"2812 (-1139, 6763)";"5905 (1050, 10760)"
"2015-05-15";"162";"2795 (-1109, 6699)";"1398 (-554, 3350)";"1398 (-554, 3350)";"280 (-110, 670)";"2795 (-1109, 6699)";"5871 (1074, 10668)"
"2015-05-14";"161";"2778 (-1079, 6635)";"1389 (-539, 3317)";"1389 (-539, 3317)";"278 (-108, 664)";"2778 (-1079, 6635)";"5834 (1095, 10573)"
"2015-05-13";"160";"2762 (-1049, 6573)";"1381 (-524, 3286)";"1381 (-524, 3286)";"276 (-105, 657)";"2762 (-1049, 6573)";"5800 (1118, 10482)"
"2015-05-12";"159";"2745 (-1020, 6510)";"1372 (-510, 3254)";"1372 (-510, 3254)";"274 (-102, 650)";"2745 (-1020, 6510)";"5763 (1137, 10389)"
"2015-05-11";"158";"2728 ( -991, 6447)";"1364 (-496, 3224)";"1364 (-496, 3224)";"273 ( -99, 645)";"2728 ( -991, 6447)";"5729 (1159, 10299)"
"2015-05-10";"157";"2712 ( -962, 6386)";"1356 (-481, 3193)";"1356 (-481, 3193)";"271 ( -96, 638)";"2712 ( -962, 6386)";"5695 (1180, 10210)"
"2015-05-09";"156";"2695 ( -934, 6324)";"1348 (-467, 3163)";"1348 (-467, 3163)";"270 ( -93, 633)";"2695 ( -934, 6324)";"5661 (1201, 10121)"
"2015-05-08";"155";"2679 ( -906, 6264)";"1340 (-453, 3133)";"1340 (-453, 3133)";"268 ( -91, 627)";"2679 ( -906, 6264)";"5627 (1221, 10033)"
"2015-05-07";"154";"2663 ( -878, 6204)";"1332 (-439, 3103)";"1332 (-439, 3103)";"266 ( -88, 620)";"2663 ( -878, 6204)";"5593 (1241,  9945)"
"2015-05-06";"153";"2647 ( -851, 6145)";"1324 (-425, 3073)";"1324 (-425, 3073)";"265 ( -85, 615)";"2647 ( -851, 6145)";"5560 (1262,  9858)"
"2015-05-05";"152";"2631 ( -824, 6086)";"1316 (-411, 3043)";"1316 (-411, 3043)";"263 ( -82, 608)";"2631 ( -824, 6086)";"5526 (1281,  9771)"
"2015-05-04";"151";"2615 ( -797, 6027)";"1308 (-398, 3014)";"1308 (-398, 3014)";"262 ( -79, 603)";"2615 ( -797, 6027)";"5493 (1300,  9686)"
"2015-05-03";"150";"2599 ( -771, 5969)";"1300 (-385, 2985)";"1300 (-385, 2985)";"260 ( -77, 597)";"2599 ( -771, 5969)";"5459 (1318,  9600)"
"2015-05-02";"149";"2584 ( -744, 5912)";"1292 (-372, 2956)";"1292 (-372, 2956)";"258 ( -75, 591)";"2584 ( -744, 5912)";"5426 (1336,  9516)"
"2015-05-01";"148";"2568 ( -719, 5855)";"1284 (-359, 2927)";"1284 (-359, 2927)";"257 ( -72, 586)";"2568 ( -719, 5855)";"5393 (1354,  9432)"
"2015-04-30";"147";"2553 ( -693, 5799)";"1276 (-347, 2899)";"1276 (-347, 2899)";"255 ( -70, 580)";"2553 ( -693, 5799)";"5360 (1372,  9348)"
"2015-04-29";"146";"2537 ( -668, 5742)";"1268 (-335, 2871)";"1268 (-335, 2871)";"254 ( -67, 575)";"2537 ( -668, 5742)";"5327 (1388,  9266)"
"2015-04-28";"145";"2522 ( -643, 5687)";"1261 (-321, 2843)";"1261 (-321, 2843)";"252 ( -64, 568)";"2522 ( -643, 5687)";"5296 (1407,  9185)"
"2015-04-27";"144";"2507 ( -618, 5632)";"1254 (-308, 2816)";"1254 (-308, 2816)";"251 ( -61, 563)";"2507 ( -618, 5632)";"5266 (1426,  9106)"
"2015-04-26";"143";"2492 ( -594, 5578)";"1246 (-297, 2789)";"1246 (-297, 2789)";"249 ( -60, 558)";"2492 ( -594, 5578)";"5233 (1441,  9025)"
"2015-04-25";"142";"2477 ( -569, 5523)";"1238 (-285, 2761)";"1238 (-285, 2761)";"248 ( -57, 553)";"2477 ( -569, 5523)";"5201 (1457,  8945)"
"2015-04-24";"141";"2462 ( -546, 5470)";"1231 (-273, 2735)";"1231 (-273, 2735)";"246 ( -55, 547)";"2462 ( -546, 5470)";"5170 (1474,  8866)"
"2015-04-23";"140";"2447 ( -522, 5416)";"1224 (-261, 2709)";"1224 (-261, 2709)";"245 ( -52, 542)";"2447 ( -522, 5416)";"5140 (1491,  8789)"
"2015-04-22";"139";"2433 ( -498, 5364)";"1216 (-250, 2682)";"1216 (-250, 2682)";"243 ( -50, 536)";"2433 ( -498, 5364)";"5108 (1506,  8710)"
"2015-04-21";"138";"2418 ( -476, 5312)";"1209 (-238, 2656)";"1209 (-238, 2656)";"242 ( -47, 531)";"2418 ( -476, 5312)";"5078 (1522,  8634)"
"2015-04-20";"137";"2404 ( -453, 5261)";"1202 (-226, 2630)";"1202 (-226, 2630)";"240 ( -46, 526)";"2404 ( -453, 5261)";"5048 (1538,  8558)"
"2015-04-19";"136";"2390 ( -430, 5210)";"1195 (-215, 2605)";"1195 (-215, 2605)";"239 ( -43, 521)";"2390 ( -430, 5210)";"5019 (1554,  8484)"
"2015-04-18";"135";"2375 ( -408, 5158)";"1188 (-204, 2580)";"1188 (-204, 2580)";"238 ( -40, 516)";"2375 ( -408, 5158)";"4989 (1569,  8409)"
"2015-04-17";"134";"2361 ( -386, 5108)";"1180 (-194, 2554)";"1180 (-194, 2554)";"236 ( -39, 511)";"2361 ( -386, 5108)";"4957 (1581,  8333)"
"2015-04-16";"133";"2347 ( -365, 5059)";"1174 (-182, 2530)";"1174 (-182, 2530)";"235 ( -36, 506)";"2347 ( -365, 5059)";"4930 (1598,  8262)"
"2015-04-15";"132";"2333 ( -343, 5009)";"1166 (-172, 2504)";"1166 (-172, 2504)";"233 ( -35, 501)";"2333 ( -343, 5009)";"4898 (1609,  8187)"
"2015-04-14";"131";"2319 ( -322, 4960)";"1160 (-161, 2481)";"1160 (-161, 2481)";"232 ( -32, 496)";"2319 ( -322, 4960)";"4871 (1625,  8117)"
"2015-04-13";"130";"2305 ( -302, 4912)";"1152 (-151, 2455)";"1152 (-151, 2455)";"230 ( -31, 491)";"2305 ( -302, 4912)";"4839 (1636,  8042)"
"2015-04-12";"129";"2292 ( -281, 4865)";"1146 (-140, 2432)";"1146 (-140, 2432)";"229 ( -28, 486)";"2292 ( -281, 4865)";"4813 (1652,  7974)"
"2015-04-11";"128";"2278 ( -261, 4817)";"1139 (-130, 2408)";"1139 (-130, 2408)";"228 ( -26, 482)";"2278 ( -261, 4817)";"4784 (1665,  7903)"
"2015-04-10";"127";"2265 ( -240, 4770)";"1132 (-121, 2385)";"1132 (-121, 2385)";"226 ( -25, 477)";"2265 ( -240, 4770)";"4755 (1677,  7833)"
"2015-04-09";"126";"2251 ( -221, 4723)";"1126 (-110, 2362)";"1126 (-110, 2362)";"225 ( -22, 472)";"2251 ( -221, 4723)";"4728 (1691,  7765)"
"2015-04-08";"125";"2238 ( -201, 4677)";"1119 (-101, 2339)";"1119 (-101, 2339)";"224 ( -20, 468)";"2238 ( -201, 4677)";"4700 (1703,  7697)"
"2015-04-07";"124";"2225 ( -181, 4631)";"1112 ( -91, 2315)";"1112 ( -91, 2315)";"222 ( -19, 463)";"2225 ( -181, 4631)";"4671 (1714,  7628)"
"2015-04-06";"123";"2212 ( -162, 4586)";"1106 ( -81, 2293)";"1106 ( -81, 2293)";"221 ( -16, 458)";"2212 ( -162, 4586)";"4645 (1727,  7563)"
"2015-04-05";"122";"2199 ( -144, 4542)";"1100 ( -71, 2271)";"1100 ( -71, 2271)";"220 ( -14, 454)";"2199 ( -144, 4542)";"4619 (1740,  7498)"
"2015-04-04";"121";"2186 ( -125, 4497)";"1093 ( -63, 2249)";"1093 ( -63, 2249)";"219 ( -12, 450)";"2186 ( -125, 4497)";"4591 (1751,  7431)"
"2015-04-03";"120";"2173 ( -107, 4453)";"1086 ( -54, 2226)";"1086 ( -54, 2226)";"217 ( -11, 445)";"2173 ( -107, 4453)";"4562 (1760,  7364)"
"2015-04-02";"119";"2160 (  -89, 4409)";"1080 ( -45, 2205)";"1080 ( -45, 2205)";"216 (  -9, 441)";"2160 (  -89, 4409)";"4536 (1772,  7300)"
"2015-04-01";"118";"2147 (  -72, 4366)";"1074 ( -35, 2183)";"1074 ( -35, 2183)";"215 (  -7, 437)";"2147 (  -72, 4366)";"4510 (1784,  7236)"
"2015-03-31";"117";"2135 (  -53, 4323)";"1068 ( -26, 2162)";"1068 ( -26, 2162)";"214 (  -5, 433)";"2135 (  -53, 4323)";"4485 (1796,  7174)"
"2015-03-30";"116";"2122 (  -37, 4281)";"1061 ( -18, 2140)";"1061 ( -18, 2140)";"212 (  -4, 428)";"2122 (  -37, 4281)";"4456 (1803,  7109)"
"2015-03-29";"115";"2110 (  -19, 4239)";"1055 ( -10, 2120)";"1055 ( -10, 2120)";"211 (  -2, 424)";"2110 (  -19, 4239)";"4431 (1815,  7047)"
"2015-03-28";"114";"2098 (   -2, 4198)";"1049 (  -1, 2099)";"1049 (  -1, 2099)";"210 (   0, 420)";"2098 (   -2, 4198)";"4406 (1826,  6986)"
"2015-03-27";"113";"2085 (   14, 4156)";"1042 (   7, 2077)";"1042 (   7, 2077)";"208 (   1, 415)";"2085 (   14, 4156)";"4377 (1832,  6922)"
"2015-03-26";"112";"2073 (   31, 4115)";"1036 (  15, 2057)";"1036 (  15, 2057)";"207 (   3, 411)";"2073 (   31, 4115)";"4352 (1842,  6862)"
"2015-03-25";"111";"2061 (   47, 4075)";"1030 (  23, 2037)";"1030 (  23, 2037)";"206 (   5, 407)";"2061 (   47, 4075)";"4327 (1852,  6802)"
"2015-03-24";"110";"2049 (   63, 4035)";"1024 (  31, 2017)";"1024 (  31, 2017)";"205 (   6, 404)";"2049 (   63, 4035)";"4302 (1861,  6743)"
"2015-03-23";"109";"2037 (   78, 3996)";"1018 (  39, 1997)";"1018 (  39, 1997)";"204 (   8, 400)";"2037 (   78, 3996)";"4277 (1870,  6684)"
"2015-03-22";"108";"2026 (   95, 3957)";"1013 (  47, 1979)";"1013 (  47, 1979)";"203 (  10, 396)";"2026 (   95, 3957)";"4255 (1882,  6628)"
"2015-03-21";"107";"2014 (  110, 3918)";"1007 (  55, 1959)";"1007 (  55, 1959)";"201 (  11, 391)";"2014 (  110, 3918)";"4229 (1889,  6569)"
"2015-03-20";"106";"2002 (  125, 3879)";"1001 (  62, 1940)";"1001 (  62, 1940)";"200 (  12, 388)";"2002 (  125, 3879)";"4204 (1897,  6511)"
"2015-03-19";"105";"1991 (  140, 3842)";" 996 (  70, 1922)";" 996 (  70, 1922)";"199 (  14, 384)";"1991 (  140, 3842)";"4182 (1907,  6457)"
"2015-03-18";"104";"1979 (  154, 3804)";" 990 (  78, 1902)";" 990 (  78, 1902)";"198 (  16, 380)";"1979 (  154, 3804)";"4157 (1915,  6399)"
"2015-03-17";"103";"1968 (  169, 3767)";" 984 (  84, 1884)";" 984 (  84, 1884)";"197 (  17, 377)";"1968 (  169, 3767)";"4133 (1922,  6344)"
"2015-03-16";"102";"1956 (  183, 3729)";" 978 (  91, 1865)";" 978 (  91, 1865)";"196 (  19, 373)";"1956 (  183, 3729)";"4108 (1929,  6287)"
"2015-03-15";"101";"1945 (  197, 3693)";" 972 (  98, 1846)";" 972 (  98, 1846)";"194 (  19, 369)";"1945 (  197, 3693)";"4083 (1935,  6231)"
"2015-03-14";"100";"1934 (  211, 3657)";" 967 ( 105, 1829)";" 967 ( 105, 1829)";"193 (  21, 365)";"1934 (  211, 3657)";"4061 (1944,  6178)"
"2015-03-13";"99";"1923 (  225, 3621)";" 962 ( 113, 1811)";" 962 ( 113, 1811)";"192 (  22, 362)";"1923 (  225, 3621)";"4039 (1952,  6126)"
