"Date";"Days from today";"PPE (m3)";"PPE (tons)";"Body bags (m3)";"Body bags (tons)";"Chlorine (m3)";"Chlorine (tons)";"Medical supplies (m3)";"Medical supplies (tons)";"Lab supplies (m3)";"Lab supplies (tons)";"Total (m3)";"Total (tons)"
"2015-05-18";"168";"306.2 (171.3, 441.1)";"63.6 (35.6, 91.7)";"0.8 (0.5, 1.2)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.5)";"0.3 (0.2, 0.5)";"4.7 (2.6, 6.8)";"2.4 (1.3, 3.4)";"0.5 (0.3, 0.7)";"0.2 (0.1, 0.4)";"312.6 (174.8, 450.3)";"66.7 (37.3, 96.0)"
"2015-05-17";"167";"303.9 (170.4, 437.4)";"63.2 (35.4, 90.9)";"0.8 (0.5, 1.2)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.5)";"0.3 (0.2, 0.5)";"4.7 (2.6, 6.8)";"2.3 (1.3, 3.4)";"0.5 (0.3, 0.7)";"0.2 (0.1, 0.4)";"310.2 (174.0, 446.5)";"66.2 (37.1, 95.2)"
"2015-05-16";"166";"301.7 (169.7, 433.6)";"62.7 (35.3, 90.1)";"0.8 (0.5, 1.2)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.5)";"0.3 (0.2, 0.5)";"4.7 (2.6, 6.7)";"2.3 (1.3, 3.3)";"0.5 (0.3, 0.7)";"0.2 (0.1, 0.3)";"308.0 (173.2, 442.7)";"65.7 (36.9, 94.4)"
"2015-05-15";"165";"299.4 (168.9, 429.9)";"62.2 (35.1, 89.4)";"0.8 (0.5, 1.2)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.5)";"0.3 (0.2, 0.5)";"4.6 (2.6, 6.6)";"2.3 (1.3, 3.3)";"0.5 (0.3, 0.7)";"0.2 (0.1, 0.3)";"305.7 (172.4, 438.9)";"65.2 (36.8, 93.6)"
"2015-05-14";"164";"297.2 (168.1, 426.3)";"61.8 (34.9, 88.6)";"0.8 (0.5, 1.1)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.5)";"0.3 (0.2, 0.5)";"4.6 (2.6, 6.6)";"2.3 (1.3, 3.3)";"0.5 (0.3, 0.7)";"0.2 (0.1, 0.3)";"303.4 (171.6, 435.2)";"64.7 (36.6, 92.8)"
"2015-05-13";"163";"295.0 (167.3, 422.7)";"61.3 (34.8, 87.8)";"0.8 (0.4, 1.1)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.5)";"0.3 (0.2, 0.5)";"4.6 (2.6, 6.5)";"2.3 (1.3, 3.3)";"0.5 (0.3, 0.7)";"0.2 (0.1, 0.3)";"301.1 (170.8, 431.5)";"64.2 (36.4, 92.0)"
"2015-05-12";"162";"292.8 (166.5, 419.0)";"60.8 (34.6, 87.1)";"0.8 (0.4, 1.1)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.5)";"0.3 (0.2, 0.5)";"4.5 (2.6, 6.5)";"2.3 (1.3, 3.2)";"0.5 (0.3, 0.7)";"0.2 (0.1, 0.3)";"298.9 (170.0, 427.8)";"63.7 (36.2, 91.2)"
"2015-05-11";"161";"290.6 (165.7, 415.5)";"60.4 (34.4, 86.3)";"0.8 (0.4, 1.1)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"4.5 (2.6, 6.4)";"2.2 (1.3, 3.2)";"0.5 (0.3, 0.7)";"0.2 (0.1, 0.3)";"296.7 (169.2, 424.1)";"63.3 (36.1, 90.4)"
"2015-05-10";"160";"288.4 (164.9, 411.9)";"59.9 (34.3, 85.6)";"0.8 (0.4, 1.1)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"4.5 (2.5, 6.4)";"2.2 (1.3, 3.2)";"0.5 (0.3, 0.7)";"0.2 (0.1, 0.3)";"294.4 (168.4, 420.5)";"62.8 (35.9, 89.7)"
"2015-05-09";"159";"286.3 (164.2, 408.4)";"59.5 (34.1, 84.9)";"0.8 (0.4, 1.1)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"4.4 (2.5, 6.3)";"2.2 (1.3, 3.2)";"0.5 (0.3, 0.7)";"0.2 (0.1, 0.3)";"292.2 (167.6, 416.9)";"62.3 (35.7, 88.9)"
"2015-05-08";"158";"284.1 (163.4, 404.9)";"59.0 (34.0, 84.1)";"0.8 (0.4, 1.1)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"4.4 (2.5, 6.3)";"2.2 (1.3, 3.1)";"0.5 (0.3, 0.7)";"0.2 (0.1, 0.3)";"290.1 (166.8, 413.3)";"61.9 (35.6, 88.1)"
"2015-05-07";"157";"282.0 (162.6, 401.4)";"58.6 (33.8, 83.4)";"0.8 (0.4, 1.1)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"4.4 (2.5, 6.2)";"2.2 (1.3, 3.1)";"0.5 (0.3, 0.7)";"0.2 (0.1, 0.3)";"287.9 (166.0, 409.8)";"61.4 (35.4, 87.4)"
"2015-05-06";"156";"279.9 (161.9, 397.9)";"58.2 (33.6, 82.7)";"0.8 (0.4, 1.1)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"4.3 (2.5, 6.1)";"2.2 (1.3, 3.1)";"0.5 (0.3, 0.7)";"0.2 (0.1, 0.3)";"285.7 (165.3, 406.2)";"60.9 (35.2, 86.6)"
"2015-05-05";"155";"277.8 (161.1, 394.5)";"57.7 (33.5, 82.0)";"0.7 (0.4, 1.1)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"4.3 (2.5, 6.1)";"2.1 (1.2, 3.0)";"0.5 (0.3, 0.7)";"0.2 (0.1, 0.3)";"283.6 (164.5, 402.7)";"60.5 (35.1, 85.9)"
"2015-05-04";"154";"275.7 (160.4, 391.1)";"57.3 (33.3, 81.3)";"0.7 (0.4, 1.1)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"4.3 (2.5, 6.0)";"2.1 (1.2, 3.0)";"0.5 (0.3, 0.7)";"0.2 (0.1, 0.3)";"281.5 (163.7, 399.2)";"60.0 (34.9, 85.1)"
"2015-05-03";"153";"273.6 (159.6, 387.7)";"56.9 (33.2, 80.6)";"0.7 (0.4, 1.0)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"4.2 (2.5, 6.0)";"2.1 (1.2, 3.0)";"0.5 (0.3, 0.7)";"0.2 (0.1, 0.3)";"279.4 (162.9, 395.8)";"59.6 (34.7, 84.4)"
"2015-05-02";"152";"271.6 (158.9, 384.3)";"56.4 (33.0, 79.9)";"0.7 (0.4, 1.0)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"4.2 (2.5, 5.9)";"2.1 (1.2, 3.0)";"0.5 (0.3, 0.6)";"0.2 (0.1, 0.3)";"277.3 (162.2, 392.3)";"59.1 (34.6, 83.7)"
"2015-05-01";"151";"269.6 (158.1, 381.0)";"56.0 (32.9, 79.2)";"0.7 (0.4, 1.0)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"4.2 (2.4, 5.9)";"2.1 (1.2, 2.9)";"0.5 (0.3, 0.6)";"0.2 (0.1, 0.3)";"275.2 (161.4, 388.9)";"58.7 (34.4, 82.9)"
"2015-04-30";"150";"267.5 (157.4, 377.7)";"55.6 (32.7, 78.5)";"0.7 (0.4, 1.0)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"4.1 (2.4, 5.8)";"2.1 (1.2, 2.9)";"0.4 (0.3, 0.6)";"0.2 (0.1, 0.3)";"273.1 (160.7, 385.6)";"58.2 (34.3, 82.2)"
"2015-04-29";"149";"265.5 (156.6, 374.4)";"55.2 (32.5, 77.8)";"0.7 (0.4, 1.0)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"4.1 (2.4, 5.8)";"2.1 (1.2, 2.9)";"0.4 (0.3, 0.6)";"0.2 (0.1, 0.3)";"271.0 (159.9, 382.2)";"57.8 (34.1, 81.5)"
"2015-04-28";"148";"263.5 (155.9, 371.1)";"54.8 (32.4, 77.1)";"0.7 (0.4, 1.0)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"4.1 (2.4, 5.7)";"2.0 (1.2, 2.9)";"0.4 (0.3, 0.6)";"0.2 (0.1, 0.3)";"269.0 (159.2, 378.9)";"57.4 (33.9, 80.8)"
"2015-04-27";"147";"261.5 (155.1, 367.9)";"54.3 (32.2, 76.4)";"0.7 (0.4, 1.0)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"4.0 (2.4, 5.7)";"2.0 (1.2, 2.8)";"0.4 (0.3, 0.6)";"0.2 (0.1, 0.3)";"267.0 (158.4, 375.5)";"56.9 (33.8, 80.1)"
"2015-04-26";"146";"259.5 (154.4, 364.7)";"53.9 (32.1, 75.8)";"0.7 (0.4, 1.0)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"4.0 (2.4, 5.6)";"2.0 (1.2, 2.8)";"0.4 (0.3, 0.6)";"0.2 (0.1, 0.3)";"265.0 (157.7, 372.3)";"56.5 (33.6, 79.4)"
"2015-04-25";"145";"257.6 (153.7, 361.5)";"53.5 (31.9, 75.1)";"0.7 (0.4, 1.0)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"4.0 (2.4, 5.6)";"2.0 (1.2, 2.8)";"0.4 (0.3, 0.6)";"0.2 (0.1, 0.3)";"263.0 (156.9, 369.0)";"56.1 (33.5, 78.7)"
"2015-04-24";"144";"255.6 (153.0, 358.3)";"53.1 (31.8, 74.5)";"0.7 (0.4, 1.0)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"3.9 (2.4, 5.5)";"2.0 (1.2, 2.8)";"0.4 (0.3, 0.6)";"0.2 (0.1, 0.3)";"261.0 (156.2, 365.8)";"55.6 (33.3, 78.0)"
"2015-04-23";"143";"253.7 (152.3, 355.1)";"52.7 (31.6, 73.8)";"0.7 (0.4, 1.0)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"3.9 (2.4, 5.5)";"2.0 (1.2, 2.7)";"0.4 (0.3, 0.6)";"0.2 (0.1, 0.3)";"259.0 (155.4, 362.6)";"55.2 (33.1, 77.3)"
"2015-04-22";"142";"251.8 (151.5, 352.0)";"52.3 (31.5, 73.2)";"0.7 (0.4, 0.9)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"3.9 (2.3, 5.4)";"1.9 (1.2, 2.7)";"0.4 (0.3, 0.6)";"0.2 (0.1, 0.3)";"257.0 (154.7, 359.4)";"54.8 (33.0, 76.6)"
"2015-04-21";"141";"249.9 (150.8, 348.9)";"51.9 (31.3, 72.5)";"0.7 (0.4, 0.9)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"3.9 (2.3, 5.4)";"1.9 (1.2, 2.7)";"0.4 (0.3, 0.6)";"0.2 (0.1, 0.3)";"255.1 (154.0, 356.2)";"54.4 (32.8, 76.0)"
"2015-04-20";"140";"248.0 (150.1, 345.8)";"51.5 (31.2, 71.9)";"0.7 (0.4, 0.9)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"3.8 (2.3, 5.3)";"1.9 (1.2, 2.7)";"0.4 (0.3, 0.6)";"0.2 (0.1, 0.3)";"253.2 (153.2, 353.1)";"54.0 (32.7, 75.3)"
"2015-04-19";"139";"246.1 (149.4, 342.8)";"51.1 (31.0, 71.2)";"0.7 (0.4, 0.9)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"3.8 (2.3, 5.3)";"1.9 (1.2, 2.6)";"0.4 (0.3, 0.6)";"0.2 (0.1, 0.3)";"251.2 (152.5, 350.0)";"53.6 (32.5, 74.6)"
"2015-04-18";"138";"244.2 (148.7, 339.8)";"50.8 (30.9, 70.6)";"0.7 (0.4, 0.9)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"3.8 (2.3, 5.2)";"1.9 (1.1, 2.6)";"0.4 (0.2, 0.6)";"0.2 (0.1, 0.3)";"249.3 (151.8, 346.9)";"53.2 (32.4, 74.0)"
"2015-04-17";"137";"242.4 (148.0, 336.8)";"50.4 (30.8, 70.0)";"0.7 (0.4, 0.9)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"3.7 (2.3, 5.2)";"1.9 (1.1, 2.6)";"0.4 (0.2, 0.6)";"0.2 (0.1, 0.3)";"247.4 (151.1, 343.8)";"52.8 (32.2, 73.3)"
"2015-04-16";"136";"240.5 (147.3, 333.8)";"50.0 (30.6, 69.4)";"0.6 (0.4, 0.9)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"3.7 (2.3, 5.2)";"1.9 (1.1, 2.6)";"0.4 (0.2, 0.6)";"0.2 (0.1, 0.3)";"245.6 (150.4, 340.8)";"52.4 (32.1, 72.7)"
"2015-04-15";"135";"238.7 (146.6, 330.8)";"49.6 (30.5, 68.7)";"0.6 (0.4, 0.9)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"3.7 (2.3, 5.1)";"1.8 (1.1, 2.6)";"0.4 (0.2, 0.6)";"0.2 (0.1, 0.3)";"243.7 (149.6, 337.7)";"52.0 (31.9, 72.0)"
"2015-04-14";"134";"236.9 (145.9, 327.9)";"49.2 (30.3, 68.1)";"0.6 (0.4, 0.9)";"0.1 (0.0, 0.1)";"0.3 (0.2, 0.4)";"0.3 (0.2, 0.4)";"3.7 (2.3, 5.1)";"1.8 (1.1, 2.5)";"0.4 (0.2, 0.6)";"0.2 (0.1, 0.3)";"241.8 (148.9, 334.7)";"51.6 (31.8, 71.4)"
