"Date";"Days from today";"Caseload";"Administrator (coordination)";"Doctor (ETU)";"Doctor (coordination)";"Epidemiologist (contact tracing)";"Epidemiologist (coordination)";"Lab scientist (laboratories)";"Logistician (burials)";"Logistician (ETU)";"Logistician (coordination)";"Nurse (ETU)";"Public health specialist (Social mobilization)";"Public health specialist (coordination)";"Data management (coordination)";"Total personnel"
"2015-05-18";"168";"12515 (7000, 18030)";"14 (8, 20)";"28 (16, 40)";"7 (4, 10)";"16 (9, 23)";"21 (12, 30)";"42 (24, 60)";"21 (12, 30)";"56 (31, 81)";"21 (12, 30)";"111 (62, 160)";"32 (18, 46)";"14 (8, 20)";"18 (10, 26)";"401 (337, 465)"
"2015-05-17";"167";"12422 (6967, 17877)";"14 (8, 20)";"28 (16, 40)";"7 (4, 10)";"16 (9, 23)";"20 (11, 29)";"42 (24, 60)";"20 (11, 29)";"55 (31, 79)";"20 (11, 29)";"111 (62, 160)";"32 (18, 46)";"14 (8, 20)";"17 ( 9, 25)";"396 (332, 460)"
"2015-05-16";"166";"12330 (6935, 17725)";"14 (8, 20)";"28 (16, 40)";"7 (4, 10)";"15 (8, 22)";"20 (11, 29)";"41 (23, 59)";"20 (11, 29)";"55 (31, 79)";"20 (11, 29)";"110 (62, 158)";"31 (17, 45)";"14 (8, 20)";"17 ( 9, 25)";"392 (329, 455)"
"2015-05-15";"165";"12238 (6902, 17574)";"13 (7, 19)";"28 (16, 40)";"7 (4, 10)";"15 (8, 22)";"20 (11, 29)";"41 (23, 59)";"20 (11, 29)";"54 (30, 78)";"20 (11, 29)";"109 (62, 156)";"31 (17, 45)";"13 (7, 19)";"17 (10, 24)";"388 (326, 450)"
"2015-05-14";"164";"12147 (6870, 17424)";"13 (7, 19)";"27 (15, 39)";"7 (4, 10)";"15 (8, 22)";"20 (11, 29)";"41 (23, 59)";"20 (11, 29)";"54 (31, 77)";"20 (11, 29)";"108 (61, 155)";"31 (18, 44)";"13 (7, 19)";"17 (10, 24)";"386 (324, 448)"
"2015-05-13";"163";"12057 (6838, 17276)";"13 (7, 19)";"27 (15, 39)";"7 (4, 10)";"15 (8, 22)";"20 (11, 29)";"40 (23, 57)";"20 (11, 29)";"54 (31, 77)";"20 (11, 29)";"107 (61, 153)";"31 (18, 44)";"13 (7, 19)";"17 (10, 24)";"384 (323, 445)"
"2015-05-12";"162";"11967 (6806, 17128)";"13 (7, 19)";"27 (15, 39)";"7 (4, 10)";"15 (9, 21)";"20 (11, 29)";"40 (23, 57)";"20 (11, 29)";"53 (30, 76)";"20 (11, 29)";"107 (61, 153)";"31 (18, 44)";"13 (7, 19)";"17 (10, 24)";"383 (323, 443)"
"2015-05-11";"161";"11878 (6774, 16982)";"13 (7, 19)";"27 (16, 38)";"7 (4, 10)";"15 (9, 21)";"20 (12, 28)";"40 (23, 57)";"20 (12, 28)";"53 (30, 76)";"20 (12, 28)";"106 (61, 151)";"30 (17, 43)";"13 (7, 19)";"17 (10, 24)";"381 (321, 441)"
"2015-05-10";"160";"11789 (6742, 16836)";"13 (7, 19)";"27 (16, 38)";"6 (3,  9)";"15 (9, 21)";"19 (11, 27)";"39 (22, 56)";"19 (11, 27)";"52 (30, 74)";"19 (11, 27)";"105 (60, 150)";"30 (17, 43)";"13 (7, 19)";"17 (10, 24)";"374 (315, 433)"
"2015-05-09";"159";"11701 (6710, 16692)";"13 (8, 18)";"26 (15, 37)";"6 (3,  9)";"15 (9, 21)";"19 (11, 27)";"39 (22, 56)";"19 (11, 27)";"52 (30, 74)";"19 (11, 27)";"104 (60, 148)";"30 (17, 43)";"13 (8, 18)";"16 ( 9, 23)";"371 (313, 429)"
"2015-05-08";"158";"11614 (6679, 16549)";"13 (8, 18)";"26 (15, 37)";"6 (3,  9)";"15 (9, 21)";"19 (11, 27)";"39 (22, 56)";"19 (11, 27)";"52 (30, 74)";"19 (11, 27)";"103 (59, 147)";"30 (17, 43)";"13 (8, 18)";"16 ( 9, 23)";"370 (312, 428)"
"2015-05-07";"157";"11527 (6648, 16406)";"13 (8, 18)";"26 (15, 37)";"6 (3,  9)";"14 (8, 20)";"19 (11, 27)";"39 (23, 55)";"19 (11, 27)";"51 (29, 73)";"19 (11, 27)";"103 (60, 146)";"29 (17, 41)";"13 (8, 18)";"16 ( 9, 23)";"367 (310, 424)"
"2015-05-06";"156";"11441 (6617, 16265)";"13 (8, 18)";"26 (15, 37)";"6 (3,  9)";"14 (8, 20)";"19 (11, 27)";"38 (22, 54)";"19 (11, 27)";"51 (30, 72)";"19 (11, 27)";"102 (59, 145)";"29 (17, 41)";"13 (8, 18)";"16 ( 9, 23)";"365 (309, 421)"
"2015-05-05";"155";"11355 (6586, 16124)";"12 (7, 17)";"26 (15, 37)";"6 (3,  9)";"14 (8, 20)";"19 (11, 27)";"38 (22, 54)";"19 (11, 27)";"51 (30, 72)";"19 (11, 27)";"101 (59, 143)";"29 (17, 41)";"12 (7, 17)";"16 ( 9, 23)";"362 (306, 418)"
"2015-05-04";"154";"11270 (6555, 15985)";"12 (7, 17)";"25 (14, 36)";"6 (3,  9)";"14 (8, 20)";"19 (11, 27)";"38 (22, 54)";"19 (11, 27)";"50 (29, 71)";"19 (11, 27)";"100 (58, 142)";"29 (17, 41)";"12 (7, 17)";"16 ( 9, 23)";"359 (304, 414)"
"2015-05-03";"153";"11185 (6524, 15846)";"12 (7, 17)";"25 (15, 35)";"6 (3,  9)";"14 (8, 20)";"18 (10, 26)";"37 (21, 53)";"18 (10, 26)";"50 (29, 71)";"18 (10, 26)";"100 (59, 141)";"29 (17, 41)";"12 (7, 17)";"16 ( 9, 23)";"355 (301, 409)"
"2015-05-02";"152";"11101 (6493, 15709)";"12 (7, 17)";"25 (15, 35)";"6 (3,  9)";"14 (8, 20)";"18 (10, 26)";"37 (22, 52)";"18 (10, 26)";"49 (28, 70)";"18 (10, 26)";" 99 (58, 140)";"28 (16, 40)";"12 (7, 17)";"16 (10, 22)";"352 (298, 406)"
"2015-05-01";"151";"11018 (6463, 15573)";"12 (7, 17)";"25 (15, 35)";"6 (3,  9)";"14 (8, 20)";"18 (10, 26)";"37 (22, 52)";"18 (10, 26)";"49 (29, 69)";"18 (10, 26)";" 98 (57, 139)";"28 (16, 40)";"12 (7, 17)";"15 ( 9, 21)";"350 (297, 403)"
"2015-04-30";"150";"10935 (6433, 15437)";"12 (7, 17)";"25 (15, 35)";"6 (4,  8)";"14 (8, 20)";"18 (11, 25)";"37 (22, 52)";"18 (11, 25)";"49 (29, 69)";"18 (11, 25)";" 97 (57, 137)";"28 (17, 39)";"12 (7, 17)";"15 ( 9, 21)";"349 (296, 402)"
"2015-04-29";"149";"10852 (6402, 15302)";"12 (7, 17)";"24 (14, 34)";"6 (4,  8)";"14 (8, 20)";"18 (11, 25)";"36 (21, 51)";"18 (11, 25)";"48 (28, 68)";"18 (11, 25)";" 97 (57, 137)";"28 (17, 39)";"12 (7, 17)";"15 ( 9, 21)";"346 (294, 398)"
"2015-04-28";"148";"10771 (6372, 15170)";"12 (7, 17)";"24 (14, 34)";"6 (4,  8)";"13 (8, 18)";"18 (11, 25)";"36 (21, 51)";"18 (11, 25)";"48 (28, 68)";"18 (11, 25)";" 96 (57, 135)";"27 (16, 38)";"12 (7, 17)";"15 ( 9, 21)";"343 (292, 394)"
"2015-04-27";"147";"10689 (6342, 15036)";"12 (7, 17)";"24 (14, 34)";"6 (4,  8)";"13 (8, 18)";"18 (11, 25)";"36 (21, 51)";"18 (11, 25)";"48 (29, 67)";"18 (11, 25)";" 95 (56, 134)";"27 (16, 38)";"12 (7, 17)";"15 ( 9, 21)";"342 (291, 393)"
"2015-04-26";"146";"10609 (6312, 14906)";"12 (7, 17)";"24 (14, 34)";"6 (4,  8)";"13 (8, 18)";"18 (11, 25)";"36 (22, 50)";"18 (11, 25)";"47 (28, 66)";"18 (11, 25)";" 94 (56, 132)";"27 (16, 38)";"12 (7, 17)";"15 ( 9, 21)";"340 (290, 390)"
"2015-04-25";"145";"10529 (6283, 14775)";"12 (7, 17)";"24 (14, 34)";"6 (4,  8)";"13 (8, 18)";"17 (10, 24)";"35 (21, 49)";"17 (10, 24)";"47 (28, 66)";"17 (10, 24)";" 94 (56, 132)";"27 (16, 38)";"12 (7, 17)";"15 ( 9, 21)";"336 (286, 386)"
"2015-04-24";"144";"10449 (6253, 14645)";"11 (6, 16)";"24 (15, 33)";"6 (4,  8)";"13 (8, 18)";"17 (10, 24)";"35 (21, 49)";"17 (10, 24)";"46 (27, 65)";"17 (10, 24)";" 93 (56, 130)";"27 (16, 38)";"11 (6, 16)";"15 ( 9, 21)";"332 (283, 381)"
"2015-04-23";"143";"10370 (6223, 14517)";"11 (6, 16)";"23 (14, 32)";"6 (4,  8)";"13 (8, 18)";"17 (10, 24)";"35 (21, 49)";"17 (10, 24)";"46 (28, 64)";"17 (10, 24)";" 92 (55, 129)";"26 (15, 37)";"11 (6, 16)";"15 ( 9, 21)";"329 (281, 377)"
"2015-04-22";"142";"10291 (6193, 14389)";"11 (6, 16)";"23 (14, 32)";"6 (4,  8)";"13 (8, 18)";"17 (10, 24)";"34 (20, 48)";"17 (10, 24)";"46 (28, 64)";"17 (10, 24)";" 92 (56, 128)";"26 (16, 36)";"11 (6, 16)";"14 ( 8, 20)";"327 (279, 375)"
"2015-04-21";"141";"10214 (6165, 14263)";"11 (7, 15)";"23 (14, 32)";"6 (4,  8)";"13 (8, 18)";"17 (10, 24)";"34 (20, 48)";"17 (10, 24)";"45 (27, 63)";"17 (10, 24)";" 91 (55, 127)";"26 (16, 36)";"11 (7, 15)";"14 ( 8, 20)";"325 (278, 372)"
"2015-04-20";"140";"10136 (6135, 14137)";"11 (7, 15)";"23 (14, 32)";"6 (4,  8)";"13 (8, 18)";"17 (10, 24)";"34 (21, 47)";"17 (10, 24)";"45 (27, 63)";"17 (10, 24)";" 90 (54, 126)";"26 (16, 36)";"11 (7, 15)";"14 ( 8, 20)";"324 (277, 371)"
