"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC target of 25% cases in ETC";"Beds for CDC target of 45% cases in reduced transmission";"Reporting (treatment) quotient"
"2015-04-28";"148";"36046 (22638, 49454)";"  321 (  110,   531)";"172277 (104340, 240215)";"  1520 (   486,   2554)";"17395 (5540, 29250)";"12708 (4335, 21081)";"2679 (976, 4381)";"3847 (1711, 5983)";"6924 (3079, 10769)";"40%"
"2015-04-27";"147";"35726 (22529, 48923)";"  318 (  110,   526)";"170757 (103853, 237661)";"  1509 (   486,   2531)";"17265 (5544, 28985)";"12612 (4336, 20888)";"2658 (976, 4340)";"3818 (1706, 5929)";"6872 (3072, 10672)";"40%"
"2015-04-26";"146";"35407 (22419, 48396)";"  316 (  110,   522)";"169248 (103366, 235131)";"  1497 (   487,   2508)";"17135 (5548, 28723)";"12517 (4338, 20696)";"2638 (976, 4300)";"3789 (1702, 5875)";"6820 (3064, 10576)";"40%"
"2015-04-25";"145";"35092 (22309, 47875)";"  313 (  110,   517)";"167751 (102878, 232623)";"  1486 (   487,   2485)";"17007 (5551, 28462)";"12423 (4339, 20506)";"2618 (976, 4260)";"3760 (1698, 5822)";"6768 (3057, 10480)";"40%"
"2015-04-24";"144";"34778 (22199, 47358)";"  311 (  110,   512)";"166265 (102390, 230139)";"  1475 (   487,   2463)";"16879 (5555, 28204)";"12329 (4340, 20317)";"2598 (976, 4220)";"3732 (1694, 5770)";"6717 (3049, 10385)";"40%"
"2015-04-23";"143";"34467 (22089, 46846)";"  309 (  110,   507)";"164790 (101902, 227677)";"  1464 (   488,   2440)";"16752 (5558, 27947)";"12236 (4341, 20130)";"2579 (976, 4181)";"3704 (1690, 5717)";"6666 (3042, 10291)";"40%"
"2015-04-22";"142";"34159 (21978, 46339)";"  306 (  110,   503)";"163326 (101414, 225237)";"  1453 (   488,   2418)";"16626 (5561, 27692)";"12143 (4342, 19944)";"2559 (976, 4142)";"3676 (1686, 5665)";"6616 (3034, 10198)";"40%"
"2015-04-21";"141";"33853 (21868, 45837)";"  304 (  110,   498)";"161873 (100926, 222820)";"  1442 (   488,   2396)";"16501 (5563, 27439)";"12051 (4343, 19759)";"2539 (976, 4103)";"3648 (1681, 5614)";"6566 (3027, 10105)";"40%"
"2015-04-20";"140";"33549 (21758, 45339)";"  302 (  110,   493)";"160431 (100437, 220424)";"  1431 (   488,   2374)";"16377 (5566, 27188)";"11960 (4344, 19576)";"2520 (976, 4064)";"3620 (1677, 5563)";"6516 (3019, 10013)";"40%"
"2015-04-19";"139";"33247 (21648, 44846)";"  299 (  110,   489)";"158999 ( 99948, 218051)";"  1420 (   488,   2352)";"16254 (5568, 26939)";"11869 (4344, 19395)";"2501 (976, 4026)";"3593 (1673, 5512)";"6467 (3011,  9922)";"40%"
"2015-04-18";"138";"32948 (21538, 44357)";"  297 (  110,   484)";"157579 ( 99459, 215699)";"  1410 (   489,   2331)";"16131 (5570, 26692)";"11779 (4344, 19214)";"2482 (976, 3988)";"3565 (1669, 5462)";"6418 (3004,  9831)";"40%"
"2015-04-17";"137";"32651 (21428, 43873)";"  295 (  110,   480)";"156169 ( 98969, 213369)";"  1399 (   489,   2309)";"16009 (5572, 26447)";"11690 (4344, 19036)";"2463 (975, 3951)";"3538 (1665, 5412)";"6369 (2996,  9741)";"40%"
"2015-04-16";"136";"32356 (21318, 43394)";"  293 (  110,   475)";"154770 ( 98480, 211061)";"  1388 (   489,   2288)";"15888 (5573, 26203)";"11601 (4344, 18858)";"2444 (975, 3913)";"3511 (1660, 5362)";"6320 (2989,  9652)";"40%"
"2015-04-15";"135";"32063 (21208, 42919)";"  290 (  110,   471)";"153382 ( 97990, 208774)";"  1378 (   489,   2267)";"15768 (5575, 25962)";"11513 (4344, 18682)";"2426 (975, 3876)";"3485 (1656, 5313)";"6272 (2981,  9564)";"40%"
"2015-04-14";"134";"31773 (21098, 42448)";"  288 (  110,   466)";"152004 ( 97501, 206507)";"  1368 (   489,   2246)";"15649 (5576, 25722)";"11426 (4344, 18507)";"2407 (974, 3840)";"3458 (1652, 5264)";"6225 (2973,  9476)";"40%"
"2015-04-13";"133";"31485 (20987, 41982)";"  286 (  110,   462)";"150636 ( 97011, 204262)";"  1357 (   489,   2225)";"15531 (5577, 25484)";"11339 (4343, 18334)";"2389 (974, 3803)";"3432 (1648, 5216)";"6177 (2966,  9389)";"40%"
"2015-04-12";"132";"31199 (20877, 41520)";"  284 (  110,   458)";"149279 ( 96521, 202038)";"  1347 (   489,   2204)";"15413 (5578, 25248)";"11252 (4343, 18162)";"2370 (974, 3767)";"3406 (1643, 5168)";"6130 (2958,  9302)";"40%"
"2015-04-11";"131";"30915 (20767, 41062)";"  282 (  110,   453)";"147932 ( 96031, 199834)";"  1337 (   489,   2184)";"15296 (5578, 25014)";"11167 (4342, 17991)";"2352 (973, 3731)";"3380 (1639, 5120)";"6084 (2950,  9217)";"40%"
