"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC target of 25% cases in ETC";"Beds for CDC target of 45% cases in reduced transmission";"Reporting (treatment) quotient"
"2015-05-18";"168";"42737 (24569, 60905)";"372 (108, 637)";"204663 (113450, 295876)";"1764 (475, 3053)";"20185 (5415, 34956)";"14763 (4267, 25259)";"3115 (967, 5262)";"4470 (1791, 7148)";"8045 (3224, 12866)";"40%"
"2015-05-17";"167";"42365 (24461, 60268)";"370 (108, 631)";"202899 (112974, 292824)";"1751 (476, 3026)";"20037 (5424, 34651)";"14654 (4272, 25036)";"3092 (968, 5215)";"4436 (1787, 7086)";"7986 (3217, 12754)";"40%"
"2015-05-16";"166";"41995 (24353, 59637)";"367 (108, 625)";"201148 (112497, 289798)";"1738 (477, 3000)";"19890 (5432, 34348)";"14545 (4277, 24814)";"3069 (969, 5168)";"4404 (1783, 7024)";"7926 (3210, 12643)";"40%"
"2015-05-15";"165";"41628 (24244, 59012)";"364 (108, 620)";"199409 (112019, 286799)";"1726 (478, 2974)";"19744 (5440, 34048)";"14438 (4282, 24593)";"3046 (970, 5122)";"4371 (1779, 6962)";"7867 (3203, 12532)";"40%"
"2015-05-14";"164";"41264 (24136, 58392)";"361 (109, 614)";"197684 (111541, 283826)";"1713 (478, 2947)";"19599 (5448, 33750)";"14330 (4286, 24375)";"3023 (970, 5075)";"4338 (1775, 6901)";"7809 (3196, 12422)";"40%"
"2015-05-13";"163";"40902 (24027, 57778)";"359 (109, 609)";"195971 (111062, 280879)";"1700 (479, 2922)";"19454 (5455, 33453)";"14224 (4291, 24157)";"3000 (971, 5030)";"4306 (1771, 6841)";"7751 (3189, 12313)";"40%"
"2015-05-12";"162";"40544 (23918, 57169)";"356 (109, 603)";"194271 (110583, 277959)";"1688 (479, 2896)";"19311 (5462, 33159)";"14118 (4295, 23942)";"2978 (972, 4984)";"4274 (1767, 6781)";"7693 (3181, 12205)";"40%"
"2015-05-11";"161";"40188 (23809, 56566)";"353 (109, 598)";"192583 (110103, 275063)";"1675 (480, 2870)";"19168 (5469, 32866)";"14013 (4299, 23727)";"2955 (972, 4939)";"4242 (1763, 6721)";"7636 (3174, 12097)";"40%"
"2015-05-10";"160";"39834 (23700, 55968)";"351 (109, 593)";"190908 (109622, 272194)";"1663 (481, 2845)";"19026 (5476, 32576)";"13909 (4302, 23515)";"2933 (973, 4894)";"4210 (1759, 6662)";"7579 (3167, 11991)";"40%"
"2015-05-09";"159";"39483 (23591, 55376)";"348 (109, 587)";"189245 (109140, 269350)";"1650 (481, 2820)";"18885 (5483, 32288)";"13805 (4306, 23304)";"2911 (973, 4849)";"4179 (1755, 6603)";"7522 (3160, 11885)";"40%"
"2015-05-08";"158";"39135 (23482, 54788)";"346 (109, 582)";"187595 (108659, 266531)";"1638 (482, 2795)";"18745 (5489, 32002)";"13702 (4309, 23094)";"2889 (974, 4805)";"4148 (1751, 6544)";"7466 (3152, 11780)";"40%"
"2015-05-07";"157";"38789 (23372, 54206)";"343 (109, 577)";"185956 (108176, 263737)";"1626 (482, 2770)";"18606 (5495, 31717)";"13599 (4313, 22886)";"2868 (974, 4761)";"4117 (1747, 6486)";"7410 (3145, 11675)";"40%"
