"Date";"Days from today";"Cases (reported/treated)";"New cases/day (reported/treated)";"Cases (total)";"New cases/day (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-04-10";"168";"203085 (-312414, 718584)";"5724";"4145849 (-6821423, 15113121)";"138567";"1602657 (-2696236, 5901549)";"1127039 (-1960631, 4214709)";"48337 (-85107, 181781)";"293844 (-478794, 1066482)";"528919 (-861830, 1919668)";"12%"
"2015-04-09";"167";"197361 (-302463, 697186)";"5585";"4007282 (-6588968, 14603532)";"134581";"1556809 (-2637811, 5751429)";"1092038 (-1907714, 4091790)";"47066 (-82984, 177116)";"284776 (-465867, 1035418)";"512597 (-838560, 1863753)";"12%"
"2015-04-08";"166";"191777 (-292712, 676265)";"5447";"3872701 (-6361469, 14106870)";"130668";"1511783 (-2578842, 5602408)";"1057837 (-1855044, 3970718)";"45818 (-80870, 172506)";"275914 (-452995, 1004823)";"496645 (-815391, 1808681)";"12%"
"2015-04-07";"165";"186329 (-283163, 655821)";"5312";"3742033 (-6138989, 13623054)";"126829";"1467593 (-2519431, 5454617)";"1024437 (-1802691, 3851564)";"44594 (-78765, 167954)";"267258 (-440197,  974712)";"481064 (-792354, 1754482)";"12%"
"2015-04-06";"164";"181017 (-273819, 635852)";"5179";"3615204 (-5921583, 13151990)";"123065";"1424250 (-2459679, 5308179)";" 991834 (-1750721, 3734390)";"43394 (-76674, 163462)";"258807 (-427489,  945103)";"465853 (-769479, 1701185)";"12%"
"2015-04-05";"163";"175837 (-264680, 616355)";"5048";"3492139 (-5709294, 12693572)";"119376";"1381766 (-2399686, 5163217)";" 960028 (-1699200, 3619257)";"42218 (-74598, 159033)";"250561 (-414887,  916010)";"451011 (-746796, 1648817)";"12%"
"2015-04-04";"162";"170789 (-255748, 597326)";"4919";"3372763 (-5502155, 12247682)";"115763";"1340147 (-2339552, 5019846)";" 929013 (-1648189, 3506216)";"41065 (-72540, 154670)";"242520 (-402407,  887446)";"436535 (-724332, 1597403)";"12%"
"2015-04-03";"161";"165870 (-247025, 578764)";"4793";"3257000 (-5300191, 11814191)";"112228";"1299402 (-2279374, 4878178)";" 898786 (-1597746, 3395317)";"39936 (-70502, 150375)";"234681 (-390063,  859424)";"422425 (-702113, 1546963)";"12%"
"2015-04-02";"160";"161077 (-238509, 560664)";"4668";"3144772 (-5103413, 11392958)";"108769";"1259535 (-2219247, 4738316)";" 869339 (-1547925, 3286603)";"38832 (-68487, 146150)";"227043 (-377869,  831954)";"408677 (-680163, 1497517)";"12%"
"2015-04-01";"159";"156409 (-230203, 543021)";"4546";"3036003 (-4911827, 10983833)";"105388";"1220550 (-2159262, 4600362)";" 840667 (-1498778, 3180112)";"37751 (-66495, 141996)";"219604 (-365837,  805046)";"395288 (-658507, 1449083)";"12%"
"2015-03-31";"158";"151863 (-222105, 525831)";"4426";"2930615 (-4725427, 10586657)";"102085";"1182449 (-2099511, 4464409)";" 812762 (-1450353, 3075877)";"36693 (-64530, 137917)";"212364 (-353981,  778708)";"382255 (-637165, 1401675)";"13%"
"2015-03-30";"157";"147437 (-214215, 509089)";"4308";"2828530 (-4544199, 10201259)";"98859";"1145233 (-2040078, 4330545)";" 785615 (-1402694, 2973924)";"35660 (-62592, 133912)";"205319 (-342310,  752947)";"369574 (-616157, 1355305)";"13%"
"2015-03-29";"156";"143129 (-206532, 492790)";"4192";"2729671 (-4368120,  9827462)";"95711";"1108902 (-1981048, 4198852)";" 759218 (-1355842, 2874278)";"34650 (-60684, 129984)";"198467 (-330835,  727769)";"357241 (-595503, 1309984)";"13%"
"2015-03-28";"155";"138937 (-199055, 476928)";"4079";"2633960 (-4197160,  9465080)";"92640";"1073452 (-1922500, 4069405)";" 733561 (-1309834, 2776956)";"33663 (-58807, 126134)";"191806 (-319565,  703178)";"345251 (-575218, 1265720)";"13%"
"2015-03-27";"154";"134858 (-191782, 461498)";"3968";"2541320 (-4031279,  9113920)";"89646";"1038881 (-1864510, 3942272)";" 708633 (-1264704, 2681969)";"32700 (-56962, 122362)";"185333 (-308510,  679176)";"333600 (-555318, 1222517)";"13%"
"2015-03-26";"153";"130889 (-184713, 446491)";"3860";"2451675 (-3870433,  8773782)";"86728";"1005184 (-1807150, 3817518)";" 684424 (-1220481, 2589328)";"31760 (-55150, 118669)";"179046 (-297676,  655767)";"322282 (-535816, 1180381)";"13%"
"2015-03-25";"152";"127030 (-177844, 431903)";"3753";"2364947 (-3714568,  8444462)";"83886";" 972355 (-1750486, 3695197)";" 660921 (-1177191, 2499033)";"30842 (-53372, 115057)";"172941 (-287069,  632951)";"311293 (-516725, 1139312)";"13%"
"2015-03-24";"151";"123276 (-171174, 417726)";"3649";"2281061 (-3563625,  8125747)";"81119";" 940388 (-1694582, 3575359)";" 638114 (-1134858, 2411086)";"29947 (-51630, 111524)";"167015 (-276697,  610727)";"300627 (-498054, 1099309)";"13%"
"2015-03-23";"150";"119627 (-164700, 403954)";"3548";"2199942 (-3417539,  7817422)";"78427";" 909274 (-1639497, 3458046)";" 615989 (-1093502, 2325480)";"29074 (-49924, 108072)";"161266 (-266563,  589095)";"290279 (-479813, 1060371)";"13%"
