"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-04-13";"168";"596061 (-26708, 1218829)";"14432";"11621051 (-1668964, 24911066)";"349289";"4035998 (-987210, 9059205)";"2899286 (-747839, 6546411)";"125034 (-31174, 281242)";"756080 (-156537, 1668697)";"1360944 (-281767, 3003655)";"12%"
"2015-04-12";"167";"581629 (-23025, 1186283)";"14118";"11271763 (-1584854, 24128379)";"339913";"3928119 (-978250, 8834487)";"2816401 (-731197, 6364000)";"122122 (-30319, 274563)";"734631 (-153087, 1622349)";"1322336 (-275557, 2920228)";"12%"
"2015-04-11";"166";"567511 (-19398, 1154421)";"13808";"10931849 (-1501373, 23365072)";"330713";"3822235 (-967563, 8612033)";"2735365 (-713797, 6184527)";"119260 (-29443, 267964)";"713656 (-149435, 1576748)";"1284581 (-268983, 2838146)";"12%"
"2015-04-10";"165";"553703 (-15833, 1123240)";"13502";"10601136 (-1418693, 22620966)";"321690";"3718359 (-955254, 8391972)";"2656168 (-695721, 6008057)";"116448 (-28549, 261446)";"693154 (-145602, 1531910)";"1247677 (-262083, 2757438)";"12%"
"2015-04-09";"164";"540201 (-12333, 1092736)";"13201";"10279447 (-1336974, 21895868)";"312844";"3616502 (-941428, 8174432)";"2578798 (-677053, 5834650)";"113687 (-27640, 255014)";"673121 (-141608, 1487851)";"1211618 (-254894, 2678131)";"12%"
"2015-04-08";"163";"527000 ( -8905, 1062905)";"12905";" 9966603 (-1256366, 21189572)";"304176";"3516672 (-926189, 7959532)";"2503243 (-657872, 5664358)";"110976 (-26719, 248671)";"653555 (-137473, 1444583)";"1176398 (-247452, 2600249)";"12%"
"2015-04-07";"162";"514095 ( -5552, 1033742)";"12613";" 9662427 (-1177008, 20501863)";"295686";"3418872 (-909644, 7747389)";"2429487 (-638256, 5497231)";"108315 (-25788, 242418)";"634451 (-133218, 1402119)";"1142011 (-239792, 2523814)";"12%"
"2015-04-06";"161";"501483 ( -2277, 1005242)";"12325";" 9366741 (-1099027, 19832510)";"287375";"3323106 (-891898, 7538110)";"2357515 (-618279, 5333309)";"105704 (-24851, 236259)";"615805 (-128859, 1360469)";"1108449 (-231947, 2448844)";"12%"
"2015-04-05";"160";"489157 (   915,  977399)";"12042";" 9079367 (-1022542, 19181276)";"279241";"3229372 (-873056, 7331800)";"2287307 (-598016, 5172630)";"103144 (-23909, 230197)";"597613 (-124417, 1319642)";"1075703 (-223951, 2375356)";"12%"
"2015-04-04";"159";"477115 (  4023,  950207)";"11764";" 8800126 ( -947658, 18547909)";"271286";"3137666 (-853222, 7128555)";"2218845 (-577536, 5015226)";"100634 (-22965, 224232)";"579870 (-119908, 1279647)";"1043765 (-215834, 2303365)";"12%"
