"Date";"Days from today";"PPE (m3)";"PPE (tons)";"Body bags (m3)";"Body bags (tons)";"Chlorine (m3)";"Chlorine (tons)";"Medical supplies (m3)";"Medical supplies (tons)";"Lab supplies (m3)";"Lab supplies (tons)";"Total (m3)";"Total (tons)"
"2015-04-29";"168";"563.9 (299.0, 828.8)";"117.2 (62.1, 172.2)";"1.5 (0.8, 2.2)";"0.2 (0.1, 0.2)";"0.6 (0.3, 0.9)";"0.6 (0.3, 0.9)";"8.7 (4.6, 12.8)";"4.4 (2.3, 6.4)";"0.9 (0.5, 1.4)";"0.5 (0.2, 0.7)";"575.7 (305.3, 846.1)";"122.8 (65.1, 180.4)"
"2015-04-28";"167";"559.7 (297.4, 822.0)";"116.3 (61.8, 170.8)";"1.5 (0.8, 2.2)";"0.2 (0.1, 0.2)";"0.6 (0.3, 0.9)";"0.6 (0.3, 0.9)";"8.6 (4.6, 12.7)";"4.3 (2.3, 6.3)";"0.9 (0.5, 1.4)";"0.5 (0.2, 0.7)";"571.4 (303.7, 839.2)";"121.8 (64.7, 178.9)"
"2015-04-27";"166";"555.5 (295.9, 815.2)";"115.5 (61.5, 169.4)";"1.5 (0.8, 2.2)";"0.1 (0.1, 0.2)";"0.6 (0.3, 0.9)";"0.6 (0.3, 0.9)";"8.6 (4.6, 12.6)";"4.3 (2.3, 6.3)";"0.9 (0.5, 1.4)";"0.4 (0.2, 0.7)";"567.1 (302.0, 832.3)";"120.9 (64.4, 177.5)"
"2015-04-26";"165";"551.4 (294.3, 808.4)";"114.6 (61.2, 168.0)";"1.5 (0.8, 2.2)";"0.1 (0.1, 0.2)";"0.6 (0.3, 0.9)";"0.6 (0.3, 0.9)";"8.5 (4.5, 12.5)";"4.3 (2.3, 6.2)";"0.9 (0.5, 1.4)";"0.4 (0.2, 0.7)";"562.9 (300.4, 825.3)";"120.0 (64.1, 176.0)"
"2015-04-25";"164";"547.2 (292.7, 801.7)";"113.7 (60.8, 166.6)";"1.5 (0.8, 2.2)";"0.1 (0.1, 0.2)";"0.6 (0.3, 0.9)";"0.6 (0.3, 0.9)";"8.5 (4.5, 12.4)";"4.2 (2.3, 6.2)";"0.9 (0.5, 1.3)";"0.4 (0.2, 0.6)";"558.6 (298.8, 818.4)";"119.1 (63.7, 174.5)"
"2015-04-24";"163";"543.0 (291.2, 794.9)";"112.9 (60.5, 165.2)";"1.5 (0.8, 2.1)";"0.1 (0.1, 0.2)";"0.6 (0.3, 0.9)";"0.6 (0.3, 0.9)";"8.4 (4.5, 12.3)";"4.2 (2.2, 6.1)";"0.9 (0.5, 1.3)";"0.4 (0.2, 0.6)";"554.4 (297.3, 811.5)";"118.2 (63.4, 173.0)"
"2015-04-23";"162";"538.9 (289.6, 788.2)";"112.0 (60.2, 163.8)";"1.4 (0.8, 2.1)";"0.1 (0.1, 0.2)";"0.6 (0.3, 0.8)";"0.6 (0.3, 0.8)";"8.3 (4.5, 12.2)";"4.2 (2.2, 6.1)";"0.9 (0.5, 1.3)";"0.4 (0.2, 0.6)";"550.2 (295.7, 804.6)";"117.3 (63.1, 171.6)"
"2015-04-22";"161";"534.8 (288.1, 781.5)";"111.1 (59.9, 162.4)";"1.4 (0.8, 2.1)";"0.1 (0.1, 0.2)";"0.6 (0.3, 0.8)";"0.6 (0.3, 0.8)";"8.3 (4.4, 12.1)";"4.1 (2.2, 6.0)";"0.9 (0.5, 1.3)";"0.4 (0.2, 0.6)";"545.9 (294.1, 797.8)";"116.4 (62.7, 170.1)"
"2015-04-21";"160";"530.7 (286.6, 774.8)";"110.3 (59.6, 161.0)";"1.4 (0.8, 2.1)";"0.1 (0.1, 0.2)";"0.6 (0.3, 0.8)";"0.6 (0.3, 0.8)";"8.2 (4.4, 12.0)";"4.1 (2.2, 6.0)";"0.9 (0.5, 1.3)";"0.4 (0.2, 0.6)";"541.8 (292.6, 790.9)";"115.5 (62.4, 168.7)"
"2015-04-20";"159";"526.6 (285.1, 768.1)";"109.4 (59.3, 159.6)";"1.4 (0.8, 2.1)";"0.1 (0.1, 0.2)";"0.6 (0.3, 0.8)";"0.6 (0.3, 0.8)";"8.1 (4.4, 11.9)";"4.1 (2.2, 5.9)";"0.9 (0.5, 1.3)";"0.4 (0.2, 0.6)";"537.6 (291.1, 784.1)";"114.6 (62.1, 167.2)"
