"Date";"Days from today";"ETU caseload";"Nurses and paramedics";"Hygienists and nurses aids";"Doctors";"Support staff";"Total"
"2015-04-29";"168";"8233 (2975, 13491)";"4116 (1487, 6745)";"4116 (1487, 6745)";"823 (297, 1349)";"8233 (2975, 13491)";"17288 (10826, 23750)"
"2015-04-28";"167";"8171 (2964, 13378)";"4085 (1482, 6688)";"4085 (1482, 6688)";"817 (296, 1338)";"8171 (2964, 13378)";"17158 (10760, 23556)"
"2015-04-27";"166";"8110 (2955, 13265)";"4055 (1478, 6632)";"4055 (1478, 6632)";"811 (296, 1326)";"8110 (2955, 13265)";"17031 (10696, 23366)"
"2015-04-26";"165";"8049 (2946, 13152)";"4024 (1472, 6576)";"4024 (1472, 6576)";"805 (295, 1315)";"8049 (2946, 13152)";"16902 (10631, 23173)"
"2015-04-25";"164";"7988 (2936, 13040)";"3994 (1468, 6520)";"3994 (1468, 6520)";"799 (294, 1304)";"7988 (2936, 13040)";"16775 (10568, 22982)"
"2015-04-24";"163";"7927 (2927, 12927)";"3964 (1464, 6464)";"3964 (1464, 6464)";"793 (293, 1293)";"7927 (2927, 12927)";"16648 (10504, 22792)"
"2015-04-23";"162";"7867 (2919, 12815)";"3934 (1460, 6408)";"3934 (1460, 6408)";"787 (292, 1282)";"7867 (2919, 12815)";"16522 (10442, 22602)"
"2015-04-22";"161";"7807 (2910, 12704)";"3903 (1455, 6351)";"3903 (1455, 6351)";"781 (291, 1271)";"7807 (2910, 12704)";"16394 (10377, 22411)"
"2015-04-21";"160";"7747 (2902, 12592)";"3874 (1451, 6297)";"3874 (1451, 6297)";"775 (290, 1260)";"7747 (2902, 12592)";"16270 (10316, 22224)"
"2015-04-20";"159";"7687 (2893, 12481)";"3844 (1447, 6241)";"3844 (1447, 6241)";"769 (290, 1248)";"7687 (2893, 12481)";"16144 (10254, 22034)"
"2015-04-19";"158";"7628 (2886, 12370)";"3814 (1443, 6185)";"3814 (1443, 6185)";"763 (289, 1237)";"7628 (2886, 12370)";"16019 (10192, 21846)"
"2015-04-18";"157";"7569 (2878, 12260)";"3784 (1439, 6129)";"3784 (1439, 6129)";"757 (288, 1226)";"7569 (2878, 12260)";"15894 (10130, 21658)"
"2015-04-17";"156";"7510 (2870, 12150)";"3755 (1435, 6075)";"3755 (1435, 6075)";"751 (287, 1215)";"7510 (2870, 12150)";"15771 (10070, 21472)"
"2015-04-16";"155";"7452 (2864, 12040)";"3726 (1432, 6020)";"3726 (1432, 6020)";"745 (286, 1204)";"7452 (2864, 12040)";"15649 (10011, 21287)"
"2015-04-15";"154";"7393 (2856, 11930)";"3697 (1428, 5966)";"3697 (1428, 5966)";"739 (285, 1193)";"7393 (2856, 11930)";"15526 ( 9950, 21102)"
"2015-04-14";"153";"7335 (2848, 11822)";"3667 (1424, 5910)";"3667 (1424, 5910)";"734 (285, 1183)";"7335 (2848, 11822)";"15403 ( 9890, 20916)"
"2015-04-13";"152";"7278 (2842, 11714)";"3639 (1421, 5857)";"3639 (1421, 5857)";"728 (284, 1172)";"7278 (2842, 11714)";"15284 ( 9833, 20735)"
"2015-04-12";"151";"7220 (2835, 11605)";"3610 (1417, 5803)";"3610 (1417, 5803)";"722 (283, 1161)";"7220 (2835, 11605)";"15162 ( 9773, 20551)"
"2015-04-11";"150";"7163 (2828, 11498)";"3582 (1415, 5749)";"3582 (1415, 5749)";"716 (283, 1149)";"7163 (2828, 11498)";"15043 ( 9716, 20370)"
"2015-04-10";"149";"7106 (2821, 11391)";"3553 (1411, 5695)";"3553 (1411, 5695)";"711 (283, 1139)";"7106 (2821, 11391)";"14923 ( 9658, 20188)"
"2015-04-09";"148";"7049 (2814, 11284)";"3524 (1407, 5641)";"3524 (1407, 5641)";"705 (282, 1128)";"7049 (2814, 11284)";"14802 ( 9598, 20006)"
"2015-04-08";"147";"6993 (2808, 11178)";"3497 (1405, 5589)";"3497 (1405, 5589)";"699 (281, 1117)";"6993 (2808, 11178)";"14686 ( 9544, 19828)"
"2015-04-07";"146";"6937 (2802, 11072)";"3468 (1400, 5536)";"3468 (1400, 5536)";"694 (280, 1108)";"6937 (2802, 11072)";"14567 ( 9486, 19648)"
"2015-04-06";"145";"6881 (2795, 10967)";"3440 (1397, 5483)";"3440 (1397, 5483)";"688 (279, 1097)";"6881 (2795, 10967)";"14449 ( 9428, 19470)"
"2015-04-05";"144";"6826 (2789, 10863)";"3413 (1395, 5431)";"3413 (1395, 5431)";"683 (279, 1087)";"6826 (2789, 10863)";"14335 ( 9375, 19295)"
"2015-04-04";"143";"6771 (2783, 10759)";"3385 (1391, 5379)";"3385 (1391, 5379)";"677 (278, 1076)";"6771 (2783, 10759)";"14218 ( 9318, 19118)"
"2015-04-03";"142";"6716 (2777, 10655)";"3358 (1389, 5327)";"3358 (1389, 5327)";"672 (278, 1066)";"6716 (2777, 10655)";"14104 ( 9264, 18944)"
"2015-04-02";"141";"6661 (2771, 10551)";"3330 (1385, 5275)";"3330 (1385, 5275)";"666 (277, 1055)";"6661 (2771, 10551)";"13987 ( 9206, 18768)"
"2015-04-01";"140";"6607 (2765, 10449)";"3303 (1382, 5224)";"3303 (1382, 5224)";"661 (277, 1045)";"6607 (2765, 10449)";"13874 ( 9153, 18595)"
"2015-03-31";"139";"6553 (2759, 10347)";"3276 (1379, 5173)";"3276 (1379, 5173)";"655 (276, 1034)";"6553 (2759, 10347)";"13760 ( 9098, 18422)"
"2015-03-30";"138";"6499 (2753, 10245)";"3249 (1376, 5122)";"3249 (1376, 5122)";"650 (275, 1025)";"6499 (2753, 10245)";"13647 ( 9043, 18251)"
"2015-03-29";"137";"6446 (2747, 10145)";"3223 (1374, 5072)";"3223 (1374, 5072)";"645 (275, 1015)";"6446 (2747, 10145)";"13537 ( 8992, 18082)"
"2015-03-28";"136";"6393 (2741, 10045)";"3196 (1370, 5022)";"3196 (1370, 5022)";"639 (274, 1004)";"6393 (2741, 10045)";"13424 ( 8937, 17911)"
