"Date";"Days from today";"Caseload";"Administrator (coordination)";"Doctor (ETU)";"Doctor (coordination)";"Epidemiologist (contact tracing)";"Epidemiologist (coordination)";"Lab scientist (laboratories)";"Logistician (burials)";"Logistician (ETU)";"Logistician (coordination)";"Nurse (ETU)";"Public health specialist (Social mobilization)";"Public health specialist (coordination)";"Data management (coordination)";"Total personnel"
"2015-04-29";"168";"23051 (12223, 33879)";"25 (13, 37)";"52 (28, 76)";"13 (7, 19)";"29 (15, 43)";"38 (20, 56)";"77 (41, 113)";"38 (20, 56)";"103 (55, 151)";"38 (20, 56)";"205 (109, 301)";"59 (31, 87)";"25 (13, 37)";"32 (17, 47)";"734 (608, 860)"
"2015-04-28";"167";"22879 (12158, 33600)";"25 (13, 37)";"51 (27, 75)";"13 (7, 19)";"29 (16, 42)";"38 (20, 56)";"77 (41, 113)";"38 (20, 56)";"102 (54, 150)";"38 (20, 56)";"204 (109, 299)";"58 (31, 85)";"25 (13, 37)";"32 (17, 47)";"730 (605, 855)"
"2015-04-27";"166";"22708 (12093, 33323)";"25 (13, 37)";"51 (27, 75)";"12 (6, 18)";"28 (15, 41)";"37 (19, 55)";"76 (40, 112)";"37 (19, 55)";"101 (54, 148)";"37 (19, 55)";"202 (108, 296)";"58 (31, 85)";"25 (13, 37)";"32 (17, 47)";"721 (597, 845)"
"2015-04-26";"165";"22537 (12029, 33045)";"25 (13, 37)";"51 (27, 75)";"12 (6, 18)";"28 (15, 41)";"37 (20, 54)";"75 (40, 110)";"37 (20, 54)";"100 (53, 147)";"37 (20, 54)";"201 (107, 295)";"57 (30, 84)";"25 (13, 37)";"32 (17, 47)";"717 (594, 840)"
"2015-04-25";"164";"22366 (11964, 32768)";"25 (14, 36)";"50 (27, 73)";"12 (6, 18)";"28 (15, 41)";"37 (20, 54)";"75 (40, 110)";"37 (20, 54)";"100 (54, 146)";"37 (20, 54)";"199 (106, 292)";"57 (30, 84)";"25 (14, 36)";"31 (16, 46)";"713 (592, 834)"
"2015-04-24";"163";"22197 (11902, 32492)";"24 (13, 35)";"50 (27, 73)";"12 (6, 18)";"28 (15, 41)";"37 (20, 54)";"74 (40, 108)";"37 (20, 54)";" 99 (53, 145)";"37 (20, 54)";"198 (106, 290)";"57 (31, 83)";"24 (13, 35)";"31 (17, 45)";"708 (588, 828)"
"2015-04-23";"162";"22028 (11839, 32217)";"24 (13, 35)";"50 (27, 73)";"12 (6, 18)";"28 (15, 41)";"36 (19, 53)";"74 (40, 108)";"36 (19, 53)";" 98 (53, 143)";"36 (19, 53)";"196 (105, 287)";"56 (30, 82)";"24 (13, 35)";"31 (17, 45)";"701 (582, 820)"
"2015-04-22";"161";"21859 (11776, 31942)";"24 (13, 35)";"49 (26, 72)";"12 (6, 18)";"27 (14, 40)";"36 (19, 53)";"73 (39, 107)";"36 (19, 53)";" 97 (52, 142)";"36 (19, 53)";"195 (105, 285)";"56 (30, 82)";"24 (13, 35)";"31 (17, 45)";"696 (578, 814)"
"2015-04-21";"160";"21692 (11715, 31669)";"24 (13, 35)";"49 (27, 71)";"12 (7, 17)";"27 (15, 39)";"36 (20, 52)";"73 (40, 106)";"36 (20, 52)";" 97 (53, 141)";"36 (20, 52)";"193 (104, 282)";"55 (30, 80)";"24 (13, 35)";"30 (16, 44)";"692 (576, 808)"
"2015-04-20";"159";"21525 (11654, 31396)";"24 (13, 35)";"48 (26, 70)";"12 (7, 17)";"27 (15, 39)";"36 (20, 52)";"72 (39, 105)";"36 (20, 52)";" 96 (52, 140)";"36 (20, 52)";"192 (104, 280)";"55 (30, 80)";"24 (13, 35)";"30 (16, 44)";"688 (573, 803)"
