"Date";"Days from today";"ETU caseload";"Nurses and paramedics";"Hygienists and nurses aids";"Doctors";"Support staff";"Total"
"2015-03-27";"135";"52562 ( 1908, 103216)";"26281 ( 954, 51608)";"26281 ( 954, 51608)";"5256 ( 191, 10321)";"52562 ( 1908, 103216)";"110380 (48136, 172624)"
"2015-03-26";"134";"51727 ( 1817, 101637)";"25864 ( 909, 50819)";"25864 ( 909, 50819)";"5173 ( 182, 10164)";"51727 ( 1817, 101637)";"108628 (47298, 169958)"
"2015-03-25";"133";"50897 ( 1739, 100055)";"25448 ( 869, 50027)";"25448 ( 869, 50027)";"5090 ( 174, 10006)";"50897 ( 1739, 100055)";"106883 (46477, 167289)"
"2015-03-24";"132";"50071 ( 1672,  98470)";"25036 ( 836, 49236)";"25036 ( 836, 49236)";"5007 ( 167,  9847)";"50071 ( 1672,  98470)";"105150 (45676, 164624)"
"2015-03-23";"131";"49250 ( 1615,  96885)";"24625 ( 808, 48442)";"24625 ( 808, 48442)";"4925 ( 162,  9688)";"49250 ( 1615,  96885)";"103425 (44891, 161959)"
"2015-03-22";"130";"48435 ( 1570,  95300)";"24218 ( 786, 47650)";"24218 ( 786, 47650)";"4844 ( 158,  9530)";"48435 ( 1570,  95300)";"101715 (44127, 159303)"
"2015-03-21";"129";"47625 ( 1535,  93715)";"23812 ( 767, 46857)";"23812 ( 767, 46857)";"4762 ( 153,  9371)";"47625 ( 1535,  93715)";"100011 (43374, 156648)"
"2015-03-20";"128";"46822 ( 1510,  92134)";"23411 ( 755, 46067)";"23411 ( 755, 46067)";"4682 ( 151,  9213)";"46822 ( 1510,  92134)";" 98326 (42646, 154006)"
"2015-03-19";"127";"46025 ( 1495,  90555)";"23012 ( 747, 45277)";"23012 ( 747, 45277)";"4602 ( 149,  9055)";"46025 ( 1495,  90555)";" 96651 (41931, 151371)"
"2015-03-18";"126";"45234 ( 1487,  88981)";"22617 ( 744, 44490)";"22617 ( 744, 44490)";"4523 ( 148,  8898)";"45234 ( 1487,  88981)";" 94991 (41234, 148748)"
"2015-03-17";"125";"44451 ( 1490,  87412)";"22226 ( 745, 43707)";"22226 ( 745, 43707)";"4445 ( 149,  8741)";"44451 ( 1490,  87412)";" 93348 (40557, 146139)"
"2015-03-16";"124";"43674 ( 1499,  85849)";"21837 ( 750, 42924)";"21837 ( 750, 42924)";"4367 ( 150,  8584)";"43674 ( 1499,  85849)";" 91715 (39890, 143540)"
"2015-03-15";"123";"42905 ( 1517,  84293)";"21452 ( 758, 42146)";"21452 ( 758, 42146)";"4290 ( 151,  8429)";"42905 ( 1517,  84293)";" 90099 (39241, 140957)"
"2015-03-14";"122";"42144 ( 1542,  82746)";"21072 ( 771, 41373)";"21072 ( 771, 41373)";"4214 ( 154,  8274)";"42144 ( 1542,  82746)";" 88502 (38610, 138394)"
"2015-03-13";"121";"41390 ( 1574,  81206)";"20695 ( 787, 40603)";"20695 ( 787, 40603)";"4139 ( 157,  8121)";"41390 ( 1574,  81206)";" 86919 (37992, 135846)"
"2015-03-12";"120";"40645 ( 1612,  79678)";"20322 ( 805, 39839)";"20322 ( 805, 39839)";"4064 ( 161,  7967)";"40645 ( 1612,  79678)";" 85353 (37388, 133318)"
"2015-03-11";"119";"39908 ( 1656,  78160)";"19954 ( 828, 39080)";"19954 ( 828, 39080)";"3991 ( 166,  7816)";"39908 ( 1656,  78160)";" 83807 (36802, 130812)"
"2015-03-10";"118";"39179 ( 1705,  76653)";"19590 ( 853, 38327)";"19590 ( 853, 38327)";"3918 ( 171,  7665)";"39179 ( 1705,  76653)";" 82277 (36228, 128326)"
"2015-03-09";"117";"38459 ( 1759,  75159)";"19230 ( 880, 37580)";"19230 ( 880, 37580)";"3846 ( 176,  7516)";"38459 ( 1759,  75159)";" 80765 (35667, 125863)"
"2015-03-08";"116";"37748 ( 1818,  73678)";"18874 ( 909, 36839)";"18874 ( 909, 36839)";"3775 ( 182,  7368)";"37748 ( 1818,  73678)";" 79271 (35120, 123422)"
"2015-03-07";"115";"37046 ( 1881,  72211)";"18523 ( 941, 36105)";"18523 ( 941, 36105)";"3705 ( 189,  7221)";"37046 ( 1881,  72211)";" 77797 (34586, 121008)"
"2015-03-06";"114";"36353 ( 1948,  70758)";"18176 ( 974, 35378)";"18176 ( 974, 35378)";"3635 ( 195,  7075)";"36353 ( 1948,  70758)";" 76340 (34063, 118617)"
"2015-03-05";"113";"35669 ( 2018,  69320)";"17834 (1009, 34659)";"17834 (1009, 34659)";"3567 ( 202,  6932)";"35669 ( 2018,  69320)";" 74904 (33554, 116254)"
"2015-03-04";"112";"34994 ( 2091,  67897)";"17497 (1046, 33948)";"17497 (1046, 33948)";"3499 ( 209,  6789)";"34994 ( 2091,  67897)";" 73487 (33055, 113919)"
"2015-03-03";"111";"34328 ( 2166,  66490)";"17164 (1083, 33245)";"17164 (1083, 33245)";"3433 ( 217,  6649)";"34328 ( 2166,  66490)";" 72089 (32568, 111610)"
"2015-03-02";"110";"33672 ( 2244,  65100)";"16836 (1122, 32550)";"16836 (1122, 32550)";"3367 ( 224,  6510)";"33672 ( 2244,  65100)";" 70711 (32092, 109330)"
"2015-03-01";"109";"33026 ( 2324,  63728)";"16513 (1162, 31864)";"16513 (1162, 31864)";"3303 ( 233,  6373)";"33026 ( 2324,  63728)";" 69355 (31628, 107082)"
"2015-02-28";"108";"32389 ( 2406,  62372)";"16194 (1202, 31186)";"16194 (1202, 31186)";"3239 ( 241,  6237)";"32389 ( 2406,  62372)";" 68016 (31172, 104860)"
"2015-02-27";"107";"31761 ( 2487,  61035)";"15880 (1243, 30517)";"15880 (1243, 30517)";"3176 ( 249,  6103)";"31761 ( 2487,  61035)";" 66697 (30725, 102669)"
