"Date";"Days from today";"Caseload";"Administrator (coordination)";"Doctor (ETU)";"Doctor (coordination)";"Epidemiologist (contact tracing)";"Epidemiologist (coordination)";"Lab scientist (laboratories)";"Logistician (burials)";"Logistician (ETU)";"Logistician (coordination)";"Nurse (ETU)";"Public health specialist (Social mobilization)";"Public health specialist (coordination)";"Data management (coordination)";"Total personnel"
"2015-04-12";"151";"144059 (26308, 261810)";"158 (28, 288)";"324 ( 59, 589)";"79 (14, 144)";"180 (33, 327)";"238 (44, 432)";"483 ( 89, 877)";"238 (44, 432)";"641 (117, 1165)";"238 (44, 432)";"1282 (234, 2330)";"367 ( 67, 667)";"158 (28, 288)";"202 (37, 367)";"4588 (3214, 5962)"
"2015-04-11";"150";"142281 (25334, 259228)";"157 (28, 286)";"320 ( 57, 583)";"78 (14, 142)";"178 (32, 324)";"235 (42, 428)";"477 ( 85, 869)";"235 (42, 428)";"633 (113, 1153)";"235 (42, 428)";"1266 (225, 2307)";"363 ( 65, 661)";"157 (28, 286)";"199 (35, 363)";"4533 (3168, 5898)"
"2015-04-10";"149";"140487 (24390, 256584)";"155 (27, 283)";"316 ( 55, 577)";"77 (13, 141)";"176 (31, 321)";"232 (40, 424)";"471 ( 82, 860)";"232 (40, 424)";"625 (108, 1142)";"232 (40, 424)";"1250 (217, 2283)";"358 ( 62, 654)";"155 (27, 283)";"197 (34, 360)";"4476 (3121, 5831)"
"2015-04-09";"148";"138678 (23476, 253880)";"153 (26, 280)";"312 ( 53, 571)";"76 (13, 139)";"173 (29, 317)";"229 (39, 419)";"465 ( 79, 851)";"229 (39, 419)";"617 (104, 1130)";"229 (39, 419)";"1234 (209, 2259)";"354 ( 60, 648)";"153 (26, 280)";"194 (33, 355)";"4418 (3073, 5763)"
"2015-04-08";"147";"136855 (22593, 251117)";"151 (25, 277)";"308 ( 51, 565)";"75 (12, 138)";"171 (28, 314)";"226 (37, 415)";"458 ( 75, 841)";"226 (37, 415)";"609 (101, 1117)";"226 (37, 415)";"1218 (201, 2235)";"349 ( 58, 640)";"151 (25, 277)";"192 (32, 352)";"4360 (3026, 5694)"
"2015-04-07";"146";"135020 (21740, 248300)";"149 (24, 274)";"304 ( 49, 559)";"74 (12, 136)";"169 (27, 311)";"223 (36, 410)";"452 ( 73, 831)";"223 (36, 410)";"601 ( 97, 1105)";"223 (36, 410)";"1202 (194, 2210)";"344 ( 55, 633)";"149 (24, 274)";"189 (30, 348)";"4302 (2980, 5624)"
"2015-04-06";"145";"133174 (20917, 245431)";"146 (23, 269)";"300 ( 47, 553)";"73 (11, 135)";"166 (26, 306)";"220 (35, 405)";"446 ( 70, 822)";"220 (35, 405)";"593 ( 93, 1093)";"220 (35, 405)";"1185 (186, 2184)";"340 ( 54, 626)";"146 (23, 269)";"186 (29, 343)";"4241 (2931, 5551)"
"2015-04-05";"144";"131319 (20125, 242513)";"144 (22, 266)";"295 ( 45, 545)";"72 (11, 133)";"164 (25, 303)";"217 (34, 400)";"440 ( 68, 812)";"217 (34, 400)";"584 ( 89, 1079)";"217 (34, 400)";"1169 (179, 2159)";"335 ( 51, 619)";"144 (22, 266)";"184 (28, 340)";"4182 (2884, 5480)"
"2015-04-04";"143";"129456 (19364, 239548)";"142 (21, 263)";"291 ( 43, 539)";"71 (10, 132)";"162 (24, 300)";"214 (32, 396)";"434 ( 65, 803)";"214 (32, 396)";"576 ( 86, 1066)";"214 (32, 396)";"1152 (172, 2132)";"330 ( 49, 611)";"142 (21, 263)";"181 (27, 335)";"4123 (2838, 5408)"
"2015-04-03";"142";"127586 (18633, 236539)";"140 (20, 260)";"287 ( 42, 532)";"70 (10, 130)";"159 (23, 295)";"211 (31, 391)";"427 ( 62, 792)";"211 (31, 391)";"568 ( 83, 1053)";"211 (31, 391)";"1136 (166, 2106)";"325 ( 47, 603)";"140 (20, 260)";"179 (26, 332)";"4064 (2792, 5336)"
"2015-04-02";"141";"125711 (17933, 233489)";"138 (19, 257)";"283 ( 40, 526)";"69 (10, 128)";"157 (22, 292)";"207 (29, 385)";"421 ( 60, 782)";"207 (29, 385)";"559 ( 79, 1039)";"207 (29, 385)";"1119 (160, 2078)";"321 ( 46, 596)";"138 (19, 257)";"176 (25, 327)";"4002 (2744, 5260)"
