"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-04-29";"168";"420879 (18552, 823205)";" 6668 (  -12, 13348)";"2134698 ( 91164, 4178232)";" 31999 (  1123,  62875)";"366110 ( 13748, 718473)";"264554 (   196, 528912)";"54415 (-1907, 110737)";"79742 (12169, 147315)";"143536 (21905, 265167)";"40%"
"2015-04-28";"167";"414211 (18319, 810102)";" 6608 (  -47, 13262)";"2102698 ( 88183, 4117214)";" 31765 (   956,  62573)";"363462 ( 11851, 715074)";"262188 ( -1183, 525558)";"53837 (-2152, 109825)";"79006 (11692, 146320)";"142211 (21046, 263376)";"40%"
"2015-04-27";"166";"407603 (18136, 797070)";" 6546 (  -81, 13174)";"2070934 ( 85476, 4056392)";" 31525 (   789,  62262)";"360760 (  9942, 711577)";"259787 ( -2540, 522115)";"53253 (-2388, 108895)";"78260 (11219, 145301)";"140868 (20195, 261542)";"40%"
"2015-04-26";"165";"401057 (18001, 784112)";" 6484 ( -115, 13084)";"2039409 ( 83038, 3995779)";" 31281 (   621,  61941)";"358004 (  8028, 707979)";"257355 ( -3873, 518582)";"52666 (-2614, 107946)";"77505 (10752, 144258)";"139509 (19353, 259665)";"40%"
"2015-04-25";"164";"394572 (17914, 771230)";" 6422 ( -147, 12991)";"2008128 ( 80867, 3935389)";" 31032 (   453,  61612)";"355195 (  6114, 704275)";"254891 ( -5178, 514959)";"52073 (-2831, 106978)";"76741 (10291, 143191)";"138134 (18523, 257744)";"40%"
"2015-04-24";"163";"388150 (17873, 758428)";" 6358 ( -179, 12895)";"1977095 ( 78956, 3875235)";" 30779 (   286,  61273)";"352334 (  4204, 700463)";"252396 ( -6452, 511245)";"51477 (-3038, 105991)";"75968 ( 9837, 142100)";"136743 (17706, 255780)";"40%"
"2015-04-23";"162";"381792 (17876, 745708)";" 6294 ( -210, 12798)";"1946316 ( 77301, 3815332)";" 30521 (   120,  60923)";"349422 (  2305, 696539)";"249873 ( -7693, 507439)";"50877 (-3234, 104987)";"75187 ( 9390, 140985)";"135337 (16903, 253772)";"40%"
"2015-04-22";"161";"375498 (17923, 733074)";" 6229 ( -240, 12698)";"1915795 ( 75897, 3755693)";" 30260 (   -45,  60564)";"346460 (   420, 692500)";"247322 ( -8897, 503541)";"50273 (-3419, 103965)";"74399 ( 8953, 139845)";"133918 (16115, 251721)";"40%"
"2015-04-21";"160";"369269 (18010, 720528)";" 6163 ( -269, 12596)";"1885535 ( 74738, 3696333)";" 29993 (  -207,  60194)";"343450 ( -1445, 688344)";"244744 (-10063, 499552)";"49666 (-3593, 102926)";"73603 ( 8524, 138681)";"132485 (15343, 249626)";"40%"
"2015-04-20";"159";"363106 (18137, 708074)";" 6097 ( -297, 12491)";"1855542 ( 73818, 3637266)";" 29723 (  -368,  59814)";"340392 ( -3285, 684068)";"242141 (-11189, 495471)";"49057 (-3756, 101869)";"72799 ( 8105, 137493)";"131039 (14590, 247488)";"40%"
"2015-04-19";"158";"357009 (18302, 695715)";" 6030 ( -324, 12385)";"1825819 ( 73131, 3578507)";" 29449 (  -525,  59423)";"337288 ( -5096, 679671)";"239514 (-12271, 491299)";"48444 (-3908, 100797)";"71990 ( 7697, 136282)";"129581 (13855, 245308)";"40%"
"2015-04-18";"157";"350978 (18504, 683453)";" 5963 ( -350, 12276)";"1796370 ( 72671, 3520069)";" 29171 (  -679,  59021)";"334139 ( -6873, 675151)";"236864 (-13309, 487037)";"47830 (-4049,  99709)";"71173 ( 7300, 135047)";"128112 (13139, 243085)";"40%"
"2015-04-17";"156";"345015 (18740, 671291)";" 5895 ( -374, 12164)";"1767199 ( 72431, 3461968)";" 28889 (  -830,  58608)";"330947 ( -8612, 670506)";"234193 (-14300, 482686)";"47214 (-4178,  98605)";"70352 ( 6914, 133790)";"126633 (12445, 240821)";"40%"
"2015-04-16";"155";"339120 (19008, 659231)";" 5827 ( -397, 12051)";"1738310 ( 72403, 3404218)";" 28603 (  -977,  58184)";"327713 (-10310, 665735)";"231503 (-15242, 478247)";"46596 (-4295,  97487)";"69525 ( 6540, 132509)";"125144 (11772, 238516)";"40%"
"2015-04-15";"154";"333293 (19308, 647278)";" 5758 ( -419, 11935)";"1709707 ( 72581, 3346833)";" 28315 ( -1120,  57749)";"324439 (-11961, 660838)";"228793 (-16135, 473722)";"45977 (-4401,  96354)";"68693 ( 6179, 131207)";"123647 (11121, 236172)";"40%"
"2015-04-14";"153";"327535 (19637, 635433)";" 5689 ( -440, 11818)";"1681392 ( 72957, 3289828)";" 28022 ( -1258,  57303)";"321126 (-13563, 655815)";"226068 (-16977, 469113)";"45357 (-4495,  95209)";"67856 ( 5830, 129882)";"122141 (10494, 233788)";"40%"
"2015-04-13";"152";"321846 (19994, 623698)";" 5619 ( -459, 11698)";"1653370 ( 73524, 3233216)";" 27727 ( -1391,  56845)";"317777 (-15112, 650665)";"223326 (-17767, 464420)";"44736 (-4578,  94050)";"67016 ( 5494, 128537)";"120628 ( 9890, 231367)";"40%"
"2015-04-12";"151";"316227 (20377, 612078)";" 5549 ( -477, 11576)";"1625643 ( 74274, 3177012)";" 27429 ( -1520,  56377)";"314392 (-16605, 645389)";"220571 (-18505, 459647)";"44115 (-4649,  92880)";"66172 ( 5172, 127171)";"119109 ( 9310, 228908)";"40%"
"2015-04-11";"150";"310678 (20783, 600572)";" 5479 ( -494, 11452)";"1598215 ( 75198, 3121231)";" 27127 ( -1643,  55898)";"310975 (-18038, 639988)";"217804 (-19188, 454796)";"43494 (-4709,  91698)";"65325 ( 4863, 125786)";"117584 ( 8754, 226414)";"40%"
"2015-04-10";"149";"305199 (21212, 589186)";" 5409 ( -509, 11326)";"1571087 ( 76290, 3065884)";" 26824 ( -1760,  55408)";"307525 (-19411, 634462)";"215026 (-19818, 449869)";"42874 (-4758,  90506)";"64475 ( 4569, 124381)";"116055 ( 8223, 223886)";"40%"
"2015-04-09";"148";"299790 (21661, 577919)";" 5338 ( -523, 11199)";"1544264 ( 77540, 3010987)";" 26517 ( -1872,  54907)";"304047 (-20719, 628812)";"212238 (-20393, 444869)";"42254 (-4796,  89304)";"63623 ( 4288, 122958)";"114522 ( 7718, 221325)";"40%"
"2015-04-08";"147";"294452 (22129, 566775)";" 5267 ( -535, 11070)";"1517746 ( 78940, 2956552)";" 26209 ( -1978,  54395)";"300541 (-21960, 623042)";"209443 (-20913, 439799)";"41635 (-4823,  88094)";"62770 ( 4021, 121518)";"112985 ( 7238, 218732)";"40%"
"2015-04-07";"146";"289185 (22614, 555756)";" 5196 ( -547, 10939)";"1491538 ( 80483, 2902593)";" 25898 ( -2078,  53873)";"297009 (-23133, 617152)";"206642 (-21378, 434661)";"41018 (-4839,  86875)";"61915 ( 3769, 120061)";"111447 ( 6784, 216110)";"40%"
"2015-04-06";"145";"283989 (23114, 544864)";" 5125 ( -556, 10806)";"1465640 ( 82159, 2849121)";" 25585 ( -2172,  53341)";"293454 (-24237, 611145)";"203835 (-21789, 429460)";"40402 (-4845,  85649)";"61059 ( 3530, 118589)";"109907 ( 6355, 213459)";"40%"
"2015-04-05";"144";"278864 (23627, 534100)";" 5054 ( -565, 10672)";"1440055 ( 83960, 2796150)";" 25270 ( -2259,  52800)";"289878 (-25268, 605024)";"201026 (-22145, 424198)";"39788 (-4840,  84417)";"60204 ( 3306, 117101)";"108367 ( 5951, 210782)";"40%"
"2015-04-04";"143";"273810 (24153, 523467)";" 4983 ( -572, 10537)";"1414785 ( 85878, 2743692)";" 24954 ( -2340,  52248)";"286282 (-26228, 598791)";"198216 (-22447, 418879)";"39177 (-4826,  83179)";"59348 ( 3096, 115600)";"106827 ( 5573, 208080)";"40%"
"2015-04-03";"142";"268827 (24689, 512965)";" 4912 ( -577, 10400)";"1389831 ( 87905, 2691757)";" 24636 ( -2414,  51687)";"282669 (-27113, 592451)";"195405 (-22696, 413506)";"38567 (-4802,  81937)";"58493 ( 2900, 114086)";"105288 ( 5221, 205355)";"40%"
"2015-04-02";"141";"263915 (25233, 502598)";" 4841 ( -581, 10263)";"1365194 ( 90031, 2640358)";" 24318 ( -2482,  51117)";"279040 (-27924, 586005)";"192596 (-22892, 408084)";"37961 (-4769,  80690)";"57639 ( 2718, 112560)";"103750 ( 4893, 202608)";"40%"
"2015-04-01";"140";"259075 (25785, 492365)";" 4770 ( -584, 10124)";"1340877 ( 92249, 2589504)";" 23998 ( -2544,  50539)";"275399 (-28661, 579459)";"189789 (-23036, 402615)";"37357 (-4726,  79441)";"56787 ( 2550, 111023)";"102216 ( 4590, 199842)";"40%"
"2015-03-31";"139";"254305 (26342, 482269)";" 4699 ( -586,  9984)";"1316879 ( 94551, 2539208)";" 23677 ( -2598,  49952)";"271747 (-29322, 572816)";"186987 (-23129, 397104)";"36757 (-4676,  78190)";"55936 ( 2395, 109477)";"100685 ( 4312, 197058)";"40%"
