"Date";"Days from today";"PPE (m3)";"PPE (tons)";"Body bags (m3)";"Body bags (tons)";"Chlorine (m3)";"Chlorine (tons)";"Medical supplies (m3)";"Medical supplies (tons)";"Lab supplies (m3)";"Lab supplies (tons)";"Total (m3)";"Total (tons)"
"2015-04-29";"168";"5462.5 (2058.4, 8866.5)";"1135.2 (427.8, 1842.6)";"14.7 (5.5, 23.8)";"1.5 (0.6, 2.4)";"5.9 (2.2, 9.5)";"5.9 (2.2, 9.5)";"84.4 (31.8, 136.9)";"42.2 (15.9, 68.5)";"9.2 (3.5, 14.9)";"4.4 (1.7, 7.1)";"5576.5 (2101.4, 9051.7)";"1189.1 (448.1, 1930.1)"
"2015-04-28";"167";"5412.0 (2021.0, 8803.1)";"1124.7 (420.0, 1829.4)";"14.5 (5.4, 23.6)";"1.5 (0.5, 2.4)";"5.8 (2.2, 9.5)";"5.8 (2.2, 9.5)";"83.6 (31.2, 136.0)";"41.8 (15.6, 68.0)";"9.1 (3.4, 14.8)";"4.4 (1.6, 7.1)";"5525.1 (2063.2, 8986.9)";"1178.1 (439.9, 1916.3)"
"2015-04-27";"166";"5361.0 (1983.7, 8738.2)";"1114.1 (412.2, 1815.9)";"14.4 (5.3, 23.5)";"1.4 (0.5, 2.3)";"5.8 (2.1, 9.4)";"5.8 (2.1, 9.4)";"82.8 (30.6, 134.9)";"41.4 (15.3, 67.5)";"9.0 (3.3, 14.7)";"4.3 (1.6, 7.0)";"5472.9 (2025.1, 8920.7)";"1167.0 (431.8, 1902.2)"
"2015-04-26";"165";"5309.2 (1946.4, 8672.0)";"1103.3 (404.5, 1802.2)";"14.3 (5.2, 23.3)";"1.4 (0.5, 2.3)";"5.7 (2.1, 9.3)";"5.7 (2.1, 9.3)";"82.0 (30.1, 133.9)";"41.0 (15.0, 67.0)";"8.9 (3.3, 14.6)";"4.3 (1.6, 7.0)";"5420.1 (1987.1, 8853.1)";"1155.7 (423.7, 1887.8)"
"2015-04-25";"164";"5256.9 (1909.4, 8604.4)";"1092.5 (396.8, 1788.1)";"14.1 (5.1, 23.1)";"1.4 (0.5, 2.3)";"5.6 (2.1, 9.2)";"5.6 (2.1, 9.2)";"81.2 (29.5, 132.9)";"40.6 (14.7, 66.4)";"8.8 (3.2, 14.4)";"4.2 (1.5, 6.9)";"5366.7 (1949.2, 8784.1)";"1144.4 (415.6, 1873.1)"
"2015-04-24";"163";"5204.0 (1872.5, 8535.4)";"1081.5 (389.1, 1773.8)";"14.0 (5.0, 22.9)";"1.4 (0.5, 2.3)";"5.6 (2.0, 9.2)";"5.6 (2.0, 9.2)";"80.4 (28.9, 131.8)";"40.2 (14.5, 65.9)";"8.7 (3.1, 14.3)";"4.2 (1.5, 6.9)";"5312.6 (1911.6, 8713.7)";"1132.8 (407.6, 1858.0)"
"2015-04-23";"162";"5150.5 (1835.9, 8465.1)";"1070.3 (381.5, 1759.2)";"13.8 (4.9, 22.7)";"1.4 (0.5, 2.3)";"5.5 (2.0, 9.1)";"5.5 (2.0, 9.1)";"79.5 (28.4, 130.7)";"39.8 (14.2, 65.4)";"8.6 (3.1, 14.2)";"4.1 (1.5, 6.8)";"5258.0 (1874.2, 8641.9)";"1121.2 (399.6, 1842.7)"
"2015-04-22";"161";"5096.4 (1799.5, 8393.4)";"1059.1 (374.0, 1744.3)";"13.7 (4.8, 22.5)";"1.4 (0.5, 2.3)";"5.5 (1.9, 9.0)";"5.5 (1.9, 9.0)";"78.7 (27.8, 129.6)";"39.4 (13.9, 64.8)";"8.6 (3.0, 14.1)";"4.1 (1.4, 6.8)";"5202.9 (1837.1, 8568.6)";"1109.4 (391.7, 1827.1)"
"2015-04-21";"160";"5041.9 (1763.5, 8320.3)";"1047.8 (366.5, 1729.1)";"13.5 (4.7, 22.3)";"1.4 (0.5, 2.2)";"5.4 (1.9, 8.9)";"5.4 (1.9, 8.9)";"77.9 (27.2, 128.5)";"38.9 (13.6, 64.2)";"8.5 (3.0, 14.0)";"4.1 (1.4, 6.7)";"5147.2 (1800.3, 8494.1)";"1097.6 (383.9, 1811.2)"
"2015-04-20";"159";"4986.9 (1727.8, 8245.9)";"1036.4 (359.1, 1713.6)";"13.4 (4.6, 22.1)";"1.3 (0.5, 2.2)";"5.4 (1.9, 8.9)";"5.4 (1.9, 8.9)";"77.0 (26.7, 127.3)";"38.5 (13.3, 63.7)";"8.4 (2.9, 13.8)";"4.0 (1.4, 6.6)";"5091.0 (1763.9, 8418.1)";"1085.6 (376.1, 1795.0)"
