"Date";"Days from today";"PPE (m3)";"PPE (tons)";"Body bags (m3)";"Body bags (tons)";"Chlorine (m3)";"Chlorine (tons)";"Medical supplies (m3)";"Medical supplies (tons)";"Lab supplies (m3)";"Lab supplies (tons)";"Total (m3)";"Total (tons)"
"2015-04-29";"168";"4171.0 (1145.4, 7196.6)";"866.8 (238.0, 1495.6)";"11.2 (3.1, 19.3)";"1.1 (0.3, 1.9)";"4.5 (1.2, 7.7)";"4.5 (1.2, 7.7)";"64.4 (17.7, 111.1)";"32.2 (8.8, 55.6)";"7.0 (1.9, 12.1)";"3.4 (0.9, 5.8)";"4258.1 (1169.3, 7346.9)";"908.0 (249.3, 1566.6)"
"2015-04-28";"167";"4139.2 (1111.9, 7166.5)";"860.2 (231.1, 1489.3)";"11.1 (3.0, 19.2)";"1.1 (0.3, 1.9)";"4.4 (1.2, 7.7)";"4.4 (1.2, 7.7)";"63.9 (17.2, 110.7)";"32.0 (8.6, 55.3)";"6.9 (1.9, 12.0)";"3.3 (0.9, 5.8)";"4225.7 (1135.1, 7316.2)";"901.0 (242.0, 1560.1)"
"2015-04-27";"166";"4106.5 (1078.7, 7134.2)";"853.4 (224.2, 1482.6)";"11.0 (2.9, 19.2)";"1.1 (0.3, 1.9)";"4.4 (1.2, 7.7)";"4.4 (1.2, 7.7)";"63.4 (16.7, 110.2)";"31.7 (8.3, 55.1)";"6.9 (1.8, 12.0)";"3.3 (0.9, 5.7)";"4192.2 (1101.2, 7283.2)";"893.9 (234.8, 1553.0)"
"2015-04-26";"165";"4072.9 (1045.9, 7099.8)";"846.4 (217.4, 1475.4)";"10.9 (2.8, 19.1)";"1.1 (0.3, 1.9)";"4.4 (1.1, 7.6)";"4.4 (1.1, 7.6)";"62.9 (16.2, 109.6)";"31.4 (8.1, 54.8)";"6.8 (1.8, 11.9)";"3.3 (0.8, 5.7)";"4157.9 (1067.8, 7248.1)";"886.6 (227.7, 1545.5)"
"2015-04-25";"164";"4038.4 (1013.6, 7063.2)";"839.2 (210.6, 1467.8)";"10.8 (2.7, 19.0)";"1.1 (0.3, 1.9)";"4.3 (1.1, 7.6)";"4.3 (1.1, 7.6)";"62.4 (15.7, 109.1)";"31.2 (7.8, 54.5)";"6.8 (1.7, 11.9)";"3.3 (0.8, 5.7)";"4122.7 (1034.7, 7210.7)";"879.1 (220.6, 1537.6)"
"2015-04-24";"163";"4003.1 ( 981.7, 7024.5)";"831.9 (204.0, 1459.8)";"10.8 (2.6, 18.9)";"1.1 (0.3, 1.9)";"4.3 (1.1, 7.5)";"4.3 (1.1, 7.5)";"61.8 (15.2, 108.5)";"30.9 (7.6, 54.2)";"6.7 (1.6, 11.8)";"3.2 (0.8, 5.7)";"4086.7 (1002.2, 7171.1)";"871.4 (213.7, 1529.1)"
"2015-04-23";"162";"3966.9 ( 950.2, 6983.6)";"824.4 (197.5, 1451.3)";"10.7 (2.6, 18.8)";"1.1 (0.3, 1.9)";"4.3 (1.0, 7.5)";"4.3 (1.0, 7.5)";"61.3 (14.7, 107.9)";"30.6 (7.3, 53.9)";"6.7 (1.6, 11.7)";"3.2 (0.8, 5.6)";"4049.8 ( 970.1, 7129.5)";"863.5 (206.9, 1520.2)"
"2015-04-22";"161";"3930.0 ( 919.3, 6940.7)";"816.7 (191.1, 1442.4)";"10.6 (2.5, 18.6)";"1.1 (0.2, 1.9)";"4.2 (1.0, 7.5)";"4.2 (1.0, 7.5)";"60.7 (14.2, 107.2)";"30.3 (7.1, 53.6)";"6.6 (1.5, 11.7)";"3.2 (0.7, 5.6)";"4012.1 ( 938.5, 7085.6)";"855.5 (200.1, 1510.9)"
"2015-04-21";"160";"3892.3 ( 889.0, 6895.7)";"808.9 (184.7, 1433.0)";"10.5 (2.4, 18.5)";"1.0 (0.2, 1.9)";"4.2 (1.0, 7.4)";"4.2 (1.0, 7.4)";"60.1 (13.7, 106.5)";"30.1 (6.9, 53.2)";"6.5 (1.5, 11.6)";"3.1 (0.7, 5.6)";"3973.6 ( 907.5, 7039.7)";"847.3 (193.5, 1501.1)"
"2015-04-20";"159";"3853.9 ( 859.1, 6848.7)";"800.9 (178.5, 1423.3)";"10.4 (2.3, 18.4)";"1.0 (0.2, 1.8)";"4.1 (0.9, 7.4)";"4.1 (0.9, 7.4)";"59.5 (13.3, 105.8)";"29.8 (6.6, 52.9)";"6.5 (1.4, 11.5)";"3.1 (0.7, 5.5)";"3934.4 ( 877.1, 6991.7)";"838.9 (187.0, 1490.9)"
"2015-04-19";"158";"3814.8 ( 829.9, 6799.7)";"792.8 (172.5, 1413.1)";"10.2 (2.2, 18.3)";"1.0 (0.2, 1.8)";"4.1 (0.9, 7.3)";"4.1 (0.9, 7.3)";"58.9 (12.8, 105.0)";"29.5 (6.4, 52.5)";"6.4 (1.4, 11.4)";"3.1 (0.7, 5.5)";"3894.5 ( 847.3, 6941.7)";"830.4 (180.7, 1480.2)"
"2015-04-18";"157";"3775.1 ( 801.3, 6748.8)";"784.5 (166.5, 1402.5)";"10.1 (2.2, 18.1)";"1.0 (0.2, 1.8)";"4.1 (0.9, 7.3)";"4.1 (0.9, 7.3)";"58.3 (12.4, 104.2)";"29.2 (6.2, 52.1)";"6.3 (1.3, 11.3)";"3.0 (0.6, 5.4)";"3853.9 ( 818.1, 6889.8)";"821.8 (174.4, 1469.1)"
