"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-04-08";"147";"29057 (-36795,  94909)";"581 (-1272, 2434)";"152127 (-214430, 518683)";"3065 ( -6997, 13126)";"35302 ( -80763, 151367)";"23203 (-50898,  97303)";"4397 ( -9150, 17944)";" 6900 (-11932, 25732)";"12420 (-21478, 46318)";"40%"
"2015-04-07";"146";"28475 (-35530,  92481)";"569 (-1238, 2376)";"149062 (-207461, 505585)";"3002 ( -6823, 12827)";"34577 ( -78768, 147922)";"22721 (-49554,  94996)";"4305 ( -8894, 17504)";" 6757 (-11611, 25124)";"12162 (-20900, 45223)";"40%"
"2015-04-06";"145";"27906 (-34298,  90110)";"557 (-1205, 2320)";"146060 (-200666, 492786)";"2940 ( -6652, 12532)";"33866 ( -76802, 144534)";"22249 (-48233,  92732)";"4215 ( -8643, 17073)";" 6616 (-11295, 24528)";"11909 (-20332, 44150)";"40%"
"2015-04-05";"144";"27349 (-33100,  87797)";"546 (-1172, 2264)";"143120 (-194042, 480282)";"2879 ( -6483, 12242)";"33168 ( -74867, 141202)";"21786 (-46937,  90510)";"4127 ( -8397, 16651)";" 6478 (-10985, 23942)";"11661 (-19774, 43096)";"40%"
"2015-04-04";"143";"26803 (-31933,  85539)";"534 (-1140, 2209)";"140241 (-187586, 468068)";"2820 ( -6318, 11957)";"32483 ( -72961, 137928)";"21333 (-45664,  88330)";"4041 ( -8156, 16237)";" 6343 (-10681, 23368)";"11418 (-19226, 42062)";"40%"
"2015-04-03";"142";"26268 (-30799,  83336)";"523 (-1109, 2156)";"137421 (-181296, 456139)";"2761 ( -6155, 11678)";"31811 ( -71087, 134709)";"20888 (-44415,  86191)";"3956 ( -7920, 15832)";" 6211 (-10383, 22805)";"11180 (-18689, 41048)";"40%"
"2015-04-02";"141";"25745 (-29697,  81187)";"512 (-1078, 2103)";"134660 (-175170, 444489)";"2704 ( -5994, 11403)";"31152 ( -69243, 131548)";"20452 (-43190,  84094)";"3873 ( -7689, 15436)";" 6081 (-10090, 22252)";"10946 (-18162, 40054)";"40%"
"2015-04-01";"140";"25233 (-28625,  79090)";"502 (-1048, 2051)";"131955 (-169204, 433114)";"2648 ( -5837, 11133)";"30506 ( -67430, 128442)";"20025 (-41989,  82038)";"3792 ( -7464, 15048)";" 5954 ( -9803, 21711)";"10718 (-17645, 39080)";"40%"
"2015-03-31";"139";"24731 (-27583,  77045)";"491 (-1019, 2001)";"129307 (-163395, 422010)";"2593 ( -5682, 10868)";"29872 ( -65648, 125392)";"19606 (-40811,  80023)";"3713 ( -7243, 14668)";" 5830 ( -9521, 21180)";"10493 (-17138, 38125)";"40%"
"2015-03-30";"138";"24240 (-26570,  75050)";"481 ( -990, 1951)";"126714 (-157742, 411171)";"2539 ( -5529, 10607)";"29251 ( -63897, 122399)";"19196 (-39658,  78049)";"3635 ( -7028, 14297)";" 5708 ( -9245, 20660)";"10274 (-16641, 37189)";"40%"
"2015-03-29";"137";"23759 (-25587,  73105)";"471 ( -961, 1903)";"124175 (-152241, 400592)";"2486 ( -5380, 10352)";"28641 ( -62178, 119461)";"18794 (-38527,  76115)";"3558 ( -6817, 13934)";" 5588 ( -8975, 20151)";"10058 (-16155, 36272)";"40%"
"2015-03-28";"136";"23288 (-24632,  71208)";"461 ( -934, 1856)";"121689 (-146890, 390269)";"2434 ( -5233, 10102)";"28044 ( -60490, 116578)";"18400 (-37421,  74220)";"3484 ( -6611, 13579)";" 5471 ( -8711, 19652)";" 9848 (-15679, 35374)";"40%"
"2015-03-27";"135";"22827 (-23705,  69359)";"451 ( -907, 1809)";"119255 (-141686, 380196)";"2383 ( -5089,  9856)";"27458 ( -58834, 113750)";"18014 (-36338,  72366)";"3411 ( -6410, 13231)";" 5356 ( -8452, 19164)";" 9641 (-15213, 34495)";"40%"
"2015-03-26";"134";"22376 (-22804,  67556)";"442 ( -880, 1764)";"116872 (-136626, 370369)";"2334 ( -4948,  9615)";"26884 ( -57209, 110977)";"17636 (-35278,  70550)";"3339 ( -6214, 12892)";" 5244 ( -8198, 18686)";" 9439 (-14757, 33635)";"40%"
"2015-03-25";"133";"21934 (-21931,  65799)";"433 ( -854, 1719)";"114538 (-131707, 360783)";"2285 ( -4810,  9379)";"26322 ( -55615, 108259)";"17266 (-34241,  68773)";"3269 ( -6022, 12560)";" 5134 ( -7951, 18218)";" 9241 (-14311, 32793)";"40%"
"2015-03-24";"132";"21502 (-21083,  64086)";"423 ( -829, 1676)";"112253 (-126926, 351433)";"2237 ( -4674,  9148)";"25771 ( -54053, 105594)";"16903 (-33227,  67034)";"3200 ( -5836, 12236)";" 5026 ( -7709, 17761)";" 9047 (-13876, 31969)";"40%"
"2015-03-23";"131";"21078 (-20261,  62417)";"415 ( -804, 1633)";"110017 (-122282, 342315)";"2190 ( -4541,  8921)";"25230 ( -52523, 102983)";"16548 (-32237,  65333)";"3133 ( -5653, 11920)";" 4920 ( -7472, 17313)";" 8857 (-13450, 31163)";"40%"
"2015-03-22";"130";"20664 (-19463,  60791)";"406 ( -780, 1591)";"107827 (-117770, 333423)";"2144 ( -4411,  8699)";"24701 ( -51023, 100426)";"16201 (-31268,  63670)";"3068 ( -5476, 11611)";" 4817 ( -7241, 16875)";" 8671 (-13034, 30375)";"40%"
"2015-03-21";"129";"20258 (-18690,  59205)";"397 ( -756, 1551)";"105683 (-113388, 324754)";"2099 ( -4284,  8482)";"24183 ( -49555,  97921)";"15860 (-30323,  62044)";"3003 ( -5303, 11309)";" 4716 ( -7015, 16447)";" 8489 (-12627, 29604)";"40%"
"2015-03-20";"128";"19861 (-17940,  57661)";"389 ( -733, 1511)";"103584 (-109134, 316302)";"2055 ( -4159,  8269)";"23675 ( -48118,  95468)";"15527 (-29399,  60454)";"2940 ( -5134, 11015)";" 4617 ( -6795, 16028)";" 8310 (-12231, 28851)";"40%"
"2015-03-19";"127";"19472 (-17213,  56156)";"381 ( -710, 1472)";"101529 (-105005, 308063)";"2012 ( -4037,  8060)";"23178 ( -46712,  93067)";"15201 (-28498,  58900)";"2879 ( -4970, 10727)";" 4520 ( -6580, 15619)";" 8136 (-11843, 28115)";"40%"
"2015-03-18";"126";"19091 (-16509,  54691)";"373 ( -688, 1434)";" 99517 (-100998, 300032)";"1969 ( -3918,  7857)";"22690 ( -45337,  90718)";"14881 (-27619,  57381)";"2818 ( -4810, 10446)";" 4425 ( -6370, 15220)";" 7965 (-11466, 27395)";"40%"
"2015-03-17";"125";"18718 (-15827,  53263)";"365 ( -667, 1397)";" 97548 ( -97110, 292205)";"1928 ( -3801,  7657)";"22213 ( -43993,  88419)";"14569 (-26761,  55898)";"2759 ( -4654, 10172)";" 4332 ( -6165, 14829)";" 7798 (-11097, 26693)";"40%"
"2015-03-16";"124";"18353 (-15166,  51872)";"357 ( -646, 1361)";" 95620 ( -93338, 284578)";"1887 ( -3687,  7462)";"21746 ( -42679,  86171)";"14263 (-25924,  54449)";"2702 ( -4502,  9905)";" 4241 ( -5966, 14448)";" 7634 (-10738, 26006)";"40%"
"2015-03-15";"123";"17996 (-14526,  50517)";"350 ( -626, 1325)";" 93733 ( -89680, 277145)";"1848 ( -3576,  7271)";"21288 ( -41395,  83972)";"13963 (-25108,  53034)";"2645 ( -4355,  9645)";" 4152 ( -5771, 14075)";" 7474 (-10388, 25336)";"40%"
"2015-03-14";"122";"17646 (-13906,  49198)";"342 ( -606, 1291)";" 91885 ( -86133, 269903)";"1809 ( -3467,  7085)";"20840 ( -40141,  81822)";"13670 (-24314,  51653)";"2590 ( -4211,  9391)";" 4065 ( -5582, 13712)";" 7317 (-10048, 24681)";"40%"
"2015-03-13";"121";"17304 (-13306,  47913)";"335 ( -586, 1257)";" 90076 ( -82695, 262847)";"1771 ( -3361,  6903)";"20402 ( -38916,  79720)";"13383 (-23539,  50304)";"2536 ( -4072,  9143)";" 3980 ( -5398, 13357)";" 7163 ( -9716, 24042)";"40%"
"2015-03-12";"120";"16968 (-12726,  46662)";"328 ( -568, 1224)";" 88305 ( -79363, 255974)";"1733 ( -3258,  6724)";"19972 ( -37721,  77666)";"13102 (-22785,  48988)";"2483 ( -3936,  8901)";" 3896 ( -5218, 13010)";" 7013 ( -9392, 23418)";"40%"
"2015-03-11";"119";"16640 (-12164,  45444)";"321 ( -549, 1192)";" 86572 ( -76134, 249278)";"1697 ( -3156,  6550)";"19552 ( -36555,  75659)";"12827 (-22050,  47704)";"2431 ( -3804,  8666)";" 3814 ( -5043, 12672)";" 6866 ( -9078, 22809)";"40%"
"2015-03-10";"118";"16319 (-11620,  44258)";"315 ( -531, 1160)";" 84875 ( -73006, 242756)";"1661 ( -3058,  6381)";"19141 ( -35418,  73699)";"12558 (-21335,  46451)";"2380 ( -3676,  8436)";" 3734 ( -4873, 12342)";" 6722 ( -8771, 22215)";"40%"
