"Date";"Days from today";"PPE (m3)";"PPE (tons)";"Body bags (m3)";"Body bags (tons)";"Chlorine (m3)";"Chlorine (tons)";"Medical supplies (m3)";"Medical supplies (tons)";"Lab supplies (m3)";"Lab supplies (tons)";"Total (m3)";"Total (tons)"
"2015-04-29";"168";"727.5 (-809.8, 2264.8)";"151.2 (-168.3, 470.7)";"2.0 (-2.2, 6.1)";"0.2 (-0.2, 0.6)";"0.8 (-0.9, 2.4)";"0.8 (-0.9, 2.4)";"11.2 (-12.5, 35.0)";"5.6 (-6.3, 17.5)";"1.2 (-1.4, 3.8)";"0.6 (-0.7, 1.8)";"742.7 (-826.7, 2312.1)";"158.4 (-176.3, 493.0)"
"2015-04-28";"167";"713.1 (-792.1, 2218.3)";"148.2 (-164.6, 461.0)";"1.9 (-2.1, 6.0)";"0.2 (-0.2, 0.6)";"0.8 (-0.9, 2.4)";"0.8 (-0.9, 2.4)";"11.0 (-12.2, 34.3)";"5.5 (-6.1, 17.1)";"1.2 (-1.3, 3.7)";"0.6 (-0.6, 1.8)";"728.0 (-808.7, 2264.6)";"155.2 (-172.4, 482.9)"
"2015-04-27";"166";"698.9 (-774.6, 2172.4)";"145.3 (-161.0, 451.5)";"1.9 (-2.1, 5.8)";"0.2 (-0.2, 0.6)";"0.8 (-0.8, 2.3)";"0.8 (-0.8, 2.3)";"10.8 (-12.0, 33.6)";"5.4 (-6.0, 16.8)";"1.2 (-1.3, 3.6)";"0.6 (-0.6, 1.8)";"713.5 (-790.7, 2217.8)";"152.1 (-168.6, 472.9)"
"2015-04-26";"165";"685.0 (-757.2, 2127.2)";"142.4 (-157.4, 442.1)";"1.8 (-2.0, 5.7)";"0.2 (-0.2, 0.6)";"0.7 (-0.8, 2.3)";"0.7 (-0.8, 2.3)";"10.6 (-11.7, 32.9)";"5.3 (-5.8, 16.4)";"1.1 (-1.3, 3.6)";"0.6 (-0.6, 1.7)";"699.3 (-773.0, 2171.6)";"149.1 (-164.8, 463.1)"
"2015-04-25";"164";"671.3 (-739.9, 2082.6)";"139.5 (-153.8, 432.8)";"1.8 (-2.0, 5.6)";"0.2 (-0.2, 0.6)";"0.7 (-0.8, 2.2)";"0.7 (-0.8, 2.2)";"10.4 (-11.4, 32.2)";"5.2 (-5.7, 16.1)";"1.1 (-1.2, 3.5)";"0.5 (-0.6, 1.7)";"685.3 (-755.4, 2126.1)";"146.1 (-161.1, 453.3)"
"2015-04-24";"163";"657.9 (-722.9, 2038.6)";"136.7 (-150.2, 423.7)";"1.8 (-1.9, 5.5)";"0.2 (-0.2, 0.5)";"0.7 (-0.8, 2.2)";"0.7 (-0.8, 2.2)";"10.2 (-11.2, 31.5)";"5.1 (-5.6, 15.7)";"1.1 (-1.2, 3.4)";"0.5 (-0.6, 1.6)";"671.6 (-738.0, 2081.2)";"143.2 (-157.4, 443.8)"
"2015-04-23";"162";"644.6 (-706.0, 1995.3)";"134.0 (-146.7, 414.6)";"1.7 (-1.9, 5.4)";"0.2 (-0.2, 0.5)";"0.7 (-0.8, 2.1)";"0.7 (-0.8, 2.1)";"10.0 (-10.9, 30.8)";"5.0 (-5.5, 15.4)";"1.1 (-1.2, 3.3)";"0.5 (-0.6, 1.6)";"658.1 (-720.7, 2036.9)";"140.3 (-153.7, 434.3)"
"2015-04-22";"161";"631.6 (-689.2, 1952.5)";"131.3 (-143.2, 405.8)";"1.7 (-1.9, 5.2)";"0.2 (-0.2, 0.5)";"0.7 (-0.7, 2.1)";"0.7 (-0.7, 2.1)";" 9.8 (-10.6, 30.2)";"4.9 (-5.3, 15.1)";"1.1 (-1.2, 3.3)";"0.5 (-0.6, 1.6)";"644.8 (-703.6, 1993.3)";"137.5 (-150.0, 425.0)"
"2015-04-21";"160";"618.9 (-672.7, 1910.5)";"128.6 (-139.8, 397.0)";"1.7 (-1.8, 5.1)";"0.2 (-0.2, 0.5)";"0.7 (-0.7, 2.1)";"0.7 (-0.7, 2.1)";" 9.6 (-10.4, 29.5)";"4.8 (-5.2, 14.8)";"1.0 (-1.1, 3.2)";"0.5 (-0.5, 1.5)";"631.8 (-686.7, 1950.4)";"134.7 (-146.4, 415.9)"
"2015-04-20";"159";"606.3 (-656.3, 1869.0)";"126.0 (-136.4, 388.4)";"1.6 (-1.8, 5.0)";"0.2 (-0.2, 0.5)";"0.7 (-0.7, 2.0)";"0.7 (-0.7, 2.0)";" 9.4 (-10.1, 28.9)";"4.7 (-5.1, 14.4)";"1.0 (-1.1, 3.1)";"0.5 (-0.5, 1.5)";"619.0 (-670.0, 1908.0)";"132.0 (-142.9, 406.9)"
"2015-04-19";"158";"594.0 (-640.2, 1828.2)";"123.4 (-133.0, 379.9)";"1.6 (-1.7, 4.9)";"0.2 (-0.2, 0.5)";"0.6 (-0.7, 2.0)";"0.6 (-0.7, 2.0)";" 9.2 ( -9.9, 28.2)";"4.6 (-4.9, 14.1)";"1.0 (-1.1, 3.1)";"0.5 (-0.5, 1.5)";"606.4 (-653.5, 1866.4)";"129.3 (-139.4, 398.0)"
"2015-04-18";"157";"581.9 (-624.2, 1788.0)";"120.9 (-129.7, 371.6)";"1.6 (-1.7, 4.8)";"0.2 (-0.2, 0.5)";"0.6 (-0.7, 1.9)";"0.6 (-0.7, 1.9)";" 9.0 ( -9.6, 27.6)";"4.5 (-4.8, 13.8)";"1.0 (-1.0, 3.0)";"0.5 (-0.5, 1.4)";"594.1 (-637.2, 1825.4)";"126.7 (-135.9, 389.2)"
"2015-04-17";"156";"570.1 (-608.4, 1748.5)";"118.5 (-126.4, 363.4)";"1.5 (-1.6, 4.7)";"0.2 (-0.2, 0.5)";"0.6 (-0.7, 1.9)";"0.6 (-0.7, 1.9)";" 8.8 ( -9.4, 27.0)";"4.4 (-4.7, 13.5)";"1.0 (-1.0, 2.9)";"0.5 (-0.5, 1.4)";"582.0 (-621.1, 1785.0)";"124.1 (-132.4, 380.6)"
"2015-04-16";"155";"558.4 (-592.8, 1709.6)";"116.0 (-123.2, 355.3)";"1.5 (-1.6, 4.6)";"0.1 (-0.2, 0.5)";"0.6 (-0.6, 1.8)";"0.6 (-0.6, 1.8)";" 8.6 ( -9.2, 26.4)";"4.3 (-4.6, 13.2)";"0.9 (-1.0, 2.9)";"0.4 (-0.5, 1.4)";"570.0 (-605.2, 1745.3)";"121.6 (-129.1, 372.2)"
"2015-04-15";"154";"547.0 (-577.5, 1671.4)";"113.7 (-120.0, 347.3)";"1.5 (-1.6, 4.5)";"0.1 (-0.2, 0.4)";"0.6 (-0.6, 1.8)";"0.6 (-0.6, 1.8)";" 8.4 ( -8.9, 25.8)";"4.2 (-4.5, 12.9)";"0.9 (-1.0, 2.8)";"0.4 (-0.5, 1.3)";"558.4 (-589.5, 1706.3)";"119.1 (-125.7, 363.8)"
"2015-04-14";"153";"535.7 (-562.3, 1633.8)";"111.3 (-116.9, 339.5)";"1.4 (-1.5, 4.4)";"0.1 (-0.2, 0.4)";"0.6 (-0.6, 1.8)";"0.6 (-0.6, 1.8)";" 8.3 ( -8.7, 25.2)";"4.1 (-4.3, 12.6)";"0.9 (-0.9, 2.7)";"0.4 (-0.5, 1.3)";"546.9 (-574.1, 1667.9)";"116.6 (-122.4, 355.7)"
"2015-04-13";"152";"524.7 (-547.4, 1596.8)";"109.0 (-113.8, 331.8)";"1.4 (-1.5, 4.3)";"0.1 (-0.1, 0.4)";"0.6 (-0.6, 1.7)";"0.6 (-0.6, 1.7)";" 8.1 ( -8.5, 24.7)";"4.1 (-4.2, 12.3)";"0.9 (-0.9, 2.7)";"0.4 (-0.4, 1.3)";"535.7 (-558.8, 1630.1)";"114.2 (-119.2, 347.6)"
"2015-04-12";"151";"513.9 (-532.7, 1560.4)";"106.8 (-110.7, 324.3)";"1.4 (-1.4, 4.2)";"0.1 (-0.1, 0.4)";"0.6 (-0.6, 1.7)";"0.6 (-0.6, 1.7)";" 7.9 ( -8.2, 24.1)";"4.0 (-4.1, 12.0)";"0.9 (-0.9, 2.6)";"0.4 (-0.4, 1.3)";"524.6 (-543.8, 1593.0)";"111.9 (-116.0, 339.7)"
"2015-04-11";"150";"503.3 (-518.2, 1524.7)";"104.6 (-107.7, 316.9)";"1.4 (-1.4, 4.1)";"0.1 (-0.1, 0.4)";"0.5 (-0.6, 1.6)";"0.5 (-0.6, 1.6)";" 7.8 ( -8.0, 23.5)";"3.9 (-4.0, 11.8)";"0.8 (-0.9, 2.6)";"0.4 (-0.4, 1.2)";"513.8 (-529.0, 1556.6)";"109.6 (-112.8, 331.9)"
