"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-04-08";"147";"207136 (-55896, 470168)";"4103 (-1381,  9586)";"1083609 (-301766, 2468984)";"20368 (-5883, 46619)";"233472 (-66519, 533463)";"163118 (-54376, 380612)";"32388 (-11926, 76703)";"48877 (-6614, 104367)";" 87978 (-11905, 187861)";"40%"
"2015-04-07";"146";"203033 (-54545, 460612)";"4049 (-1387,  9484)";"1063241 (-296152, 2422634)";"20142 (-5975, 46259)";"230913 (-67609, 529434)";"160983 (-54671, 376636)";"31902 (-11891, 75696)";"48221 (-6792, 103235)";" 86798 (-12226, 185823)";"40%"
"2015-04-06";"145";"198985 (-53184, 451154)";"3994 (-1392,  9380)";"1043099 (-290425, 2376623)";"19912 (-6058, 45883)";"228315 (-68607, 525237)";"158833 (-54901, 372566)";"31416 (-11845, 74676)";"47562 (-6955, 102079)";" 85612 (-12518, 183742)";"40%"
"2015-04-05";"144";"194991 (-51817, 441799)";"3939 (-1396,  9274)";"1023187 (-284593, 2330967)";"19680 (-6134, 45494)";"225682 (-69513, 520877)";"156669 (-55067, 368405)";"30929 (-11786, 73645)";"46900 (-7101, 100900)";" 84419 (-12781, 181620)";"40%"
"2015-04-04";"143";"191052 (-50443, 432547)";"3884 (-1397,  9165)";"1003507 (-278668, 2285681)";"19445 (-6201, 45090)";"223015 (-70327, 516356)";"154494 (-55170, 364158)";"30443 (-11718, 72603)";"46234 (-7231,  99700)";" 83222 (-13016, 179459)";"40%"
"2015-04-03";"142";"187168 (-49066, 423402)";"3828 (-1398,  9054)";" 984062 (-272657, 2240781)";"19207 (-6261, 44674)";"220316 (-71049, 511682)";"152309 (-55212, 359830)";"29957 (-11638, 71552)";"45566 (-7346,  98479)";" 82020 (-13222, 177262)";"40%"
"2015-04-02";"141";"183340 (-47686, 414366)";"3773 (-1397,  8942)";" 964856 (-266570, 2196281)";"18966 (-6312, 44244)";"217589 (-71680, 506857)";"150115 (-55194, 355425)";"29472 (-11548, 70492)";"44897 (-7445,  97239)";" 80814 (-13401, 175030)";"40%"
"2015-04-01";"140";"179567 (-46306, 405440)";"3717 (-1394,  8828)";" 945889 (-260416, 2152195)";"18723 (-6355, 43802)";"214834 (-72220, 501888)";"147915 (-55117, 350948)";"28988 (-11449, 69425)";"44226 (-7529,  95981)";" 79606 (-13553, 172765)";"40%"
"2015-03-31";"139";"175850 (-44927, 396627)";"3661 (-1390,  8712)";" 927166 (-254205, 2108537)";"18479 (-6391, 43348)";"212055 (-72670, 496780)";"145710 (-54982, 346403)";"28505 (-11341, 68351)";"43554 (-7599,  94706)";" 78397 (-13678, 170471)";"40%"
"2015-03-30";"138";"172189 (-43550, 387928)";"3605 (-1384,  8594)";" 908687 (-247945, 2065319)";"18232 (-6419, 42883)";"209254 (-73031, 491538)";"143501 (-54792, 341795)";"28024 (-11223, 67271)";"42881 (-7654,  93416)";" 77186 (-13777, 168149)";"40%"
