"Date";"Days from today";"PPE (m3)";"PPE (tons)";"Body bags (m3)";"Body bags (tons)";"Chlorine (m3)";"Chlorine (tons)";"Medical supplies (m3)";"Medical supplies (tons)";"Lab supplies (m3)";"Lab supplies (tons)";"Total (m3)";"Total (tons)"
"2015-04-14";"168";"53294.7";"11075.5";"143.1";"14.3";"57.3";"57.3";"823.1";"411.5";"89.5";"42.9";"54407.6";"11601.5"
"2015-04-13";"167";"51792.8";"10763.3";"139.1";"13.9";"55.6";"55.6";"799.9";"399.9";"86.9";"41.7";"52874.3";"11274.6"
"2015-04-12";"166";"50323.4";"10458";"135.2";"13.5";"54.1";"54.1";"777.2";"388.6";"84.5";"40.5";"51374.3";"10954.7"
"2015-04-11";"165";"48886.7";"10159.4";"131.3";"13.1";"52.5";"52.5";"755";"377.5";"82.1";"39.4";"49907.5";"10642"
"2015-04-10";"164";"47482.2";"9867.6";"127.5";"12.8";"51";"51";"733.3";"366.6";"79.7";"38.3";"48473.8";"10336.2"
"2015-04-09";"163";"46110";"9582.4";"123.8";"12.4";"49.5";"49.5";"712.1";"356";"77.4";"37.2";"47072.8";"10037.5"
"2015-04-08";"162";"44769.6";"9303.8";"120.2";"12";"48.1";"48.1";"691.4";"345.7";"75.2";"36.1";"45704.5";"9745.7"
"2015-04-07";"161";"43460.9";"9031.9";"116.7";"11.7";"46.7";"46.7";"671.2";"335.6";"73";"35";"44368.5";"9460.8"
"2015-04-06";"160";"42183.7";"8766.4";"113.3";"11.3";"45.3";"45.3";"651.5";"325.7";"70.8";"34";"43064.5";"9182.8"
"2015-04-05";"159";"40937.5";"8507.5";"110";"11";"44";"44";"632.2";"316.1";"68.7";"33";"41792.4";"8911.5"
"2015-04-04";"158";"39722";"8254.9";"106.7";"10.7";"42.7";"42.7";"613.4";"306.7";"66.7";"32";"40551.5";"8646.9"
"2015-04-03";"157";"38537";"8008.6";"103.5";"10.4";"41.4";"41.4";"595.1";"297.6";"64.7";"31.1";"39341.8";"8389"
"2015-04-02";"156";"37382";"7768.6";"100.4";"10";"40.2";"40.2";"577.3";"288.7";"62.8";"30.1";"38162.6";"8137.5"
"2015-04-01";"155";"36256.6";"7534.7";"97.4";"9.7";"39";"39";"559.9";"280";"60.9";"29.2";"37013.7";"7892.6"
"2015-03-31";"154";"35160.4";"7306.9";"94.4";"9.4";"37.8";"37.8";"543";"271.5";"59";"28.3";"35894.7";"7653.9"
"2015-03-30";"153";"34093";"7085.1";"91.6";"9.2";"36.6";"36.6";"526.5";"263.3";"57.2";"27.5";"34805";"7421.6"
"2015-03-29";"152";"33054";"6869.1";"88.8";"8.9";"35.5";"35.5";"510.5";"255.2";"55.5";"26.6";"33744.2";"7195.4"
"2015-03-28";"151";"32042.8";"6659";"86.1";"8.6";"34.4";"34.4";"494.9";"247.4";"53.8";"25.8";"32711.9";"6975.3"
"2015-03-27";"150";"31059";"6454.5";"83.4";"8.3";"33.4";"33.4";"479.7";"239.8";"52.1";"25";"31707.6";"6761.1"
"2015-03-26";"149";"30102.1";"6255.7";"80.8";"8.1";"32.3";"32.3";"464.9";"232.4";"50.5";"24.3";"30730.7";"6552.8"
"2015-03-25";"148";"29171.6";"6062.3";"78.3";"7.8";"31.3";"31.3";"450.5";"225.3";"49";"23.5";"29780.8";"6350.3"
"2015-03-24";"147";"28267.1";"5874.4";"75.9";"7.6";"30.4";"30.4";"436.5";"218.3";"47.5";"22.8";"28857.4";"6153.4"
"2015-03-23";"146";"27388";"5691.7";"73.6";"7.4";"29.4";"29.4";"423";"211.5";"46";"22.1";"27959.9";"5962"
"2015-03-22";"145";"26533.8";"5514.1";"71.3";"7.1";"28.5";"28.5";"409.8";"204.9";"44.5";"21.4";"27087.9";"5776"
"2015-03-21";"144";"25704";"5341.7";"69";"6.9";"27.6";"27.6";"397";"198.5";"43.1";"20.7";"26240.8";"5595.4"
"2015-03-20";"143";"24898.1";"5174.2";"66.9";"6.7";"26.7";"26.7";"384.5";"192.3";"41.8";"20.1";"25418";"5420"
"2015-03-19";"142";"24115.6";"5011.6";"64.8";"6.5";"25.9";"25.9";"372.4";"186.2";"40.5";"19.4";"24619.1";"5249.6"
"2015-03-18";"141";"23355.8";"4853.7";"62.7";"6.3";"25.1";"25.1";"360.7";"180.3";"39.2";"18.8";"23843.6";"5084.2"
"2015-03-17";"140";"22618.4";"4700.5";"60.7";"6.1";"24.3";"24.3";"349.3";"174.7";"38";"18.2";"23090.8";"4923.7"
"2015-03-16";"139";"21902.9";"4551.8";"58.8";"5.9";"23.5";"23.5";"338.3";"169.1";"36.8";"17.6";"22360.3";"4768"
"2015-03-15";"138";"21208.6";"4407.5";"57";"5.7";"22.8";"22.8";"327.5";"163.8";"35.6";"17.1";"21651.5";"4616.8"
"2015-03-14";"137";"20535.1";"4267.5";"55.2";"5.5";"22.1";"22.1";"317.1";"158.6";"34.5";"16.5";"20963.9";"4470.2"
"2015-03-13";"136";"19881.8";"4131.8";"53.4";"5.3";"21.4";"21.4";"307";"153.5";"33.4";"16";"20297";"4328"
"2015-03-12";"135";"19248.3";"4000.1";"51.7";"5.2";"20.7";"20.7";"297.3";"148.6";"32.3";"15.5";"19650.3";"4190.1"
"2015-03-11";"134";"18634.1";"3872.5";"50";"5";"20";"20";"287.8";"143.9";"31.3";"15";"19023.2";"4056.4"
"2015-03-10";"133";"18038.6";"3748.7";"48.4";"4.8";"19.4";"19.4";"278.6";"139.3";"30.3";"14.5";"18415.3";"3926.8"
"2015-03-09";"132";"17461.4";"3628.8";"46.9";"4.7";"18.8";"18.8";"269.7";"134.8";"29.3";"14.1";"17826.1";"3801.1"
"2015-03-08";"131";"16902";"3512.5";"45.4";"4.5";"18.2";"18.2";"261";"130.5";"28.4";"13.6";"17255";"3679.3"
"2015-03-07";"130";"16359.9";"3399.9";"43.9";"4.4";"17.6";"17.6";"252.7";"126.3";"27.5";"13.2";"16701.6";"3561.3"
"2015-03-06";"129";"15834.7";"3290.7";"42.5";"4.3";"17";"17";"244.5";"122.3";"26.6";"12.8";"16165.3";"3447"
"2015-03-05";"128";"15325.8";"3184.9";"41.2";"4.1";"16.5";"16.5";"236.7";"118.3";"25.7";"12.3";"15645.8";"3336.2"
"2015-03-04";"127";"14832.9";"3082.5";"39.8";"4";"15.9";"15.9";"229.1";"114.5";"24.9";"12";"15142.6";"3228.9"
"2015-03-03";"126";"14355.4";"2983.3";"38.6";"3.9";"15.4";"15.4";"221.7";"110.8";"24.1";"11.6";"14655.2";"3125"
"2015-03-02";"125";"13893";"2887.2";"37.3";"3.7";"14.9";"14.9";"214.6";"107.3";"23.3";"11.2";"14183.1";"3024.3"
"2015-03-01";"124";"13445.2";"2794.1";"36.1";"3.6";"14.4";"14.4";"207.6";"103.8";"22.6";"10.8";"13725.9";"2926.8"
"2015-02-28";"123";"13011.6";"2704";"34.9";"3.5";"14";"14";"200.9";"100.5";"21.8";"10.5";"13283.3";"2832.4"
"2015-02-27";"122";"12591.7";"2616.8";"33.8";"3.4";"13.5";"13.5";"194.5";"97.2";"21.1";"10.1";"12854.7";"2741"
"2015-02-26";"121";"12185.3";"2532.3";"32.7";"3.3";"13.1";"13.1";"188.2";"94.1";"20.5";"9.8";"12439.7";"2652.6"
"2015-02-25";"120";"11791.8";"2450.5";"31.7";"3.2";"12.7";"12.7";"182.1";"91.1";"19.8";"9.5";"12038";"2566.9"
"2015-02-24";"119";"11410.9";"2371.4";"30.6";"3.1";"12.3";"12.3";"176.2";"88.1";"19.2";"9.2";"11649.2";"2484"
"2015-02-23";"118";"11042.2";"2294.7";"29.7";"3";"11.9";"11.9";"170.5";"85.3";"18.5";"8.9";"11272.8";"2403.7"
"2015-02-22";"117";"10685.4";"2220.6";"28.7";"2.9";"11.5";"11.5";"165";"82.5";"17.9";"8.6";"10908.5";"2326.1"
"2015-02-21";"116";"10340.1";"2148.8";"27.8";"2.8";"11.1";"11.1";"159.7";"79.8";"17.4";"8.3";"10556";"2250.9"
"2015-02-20";"115";"10005.9";"2079.4";"26.9";"2.7";"10.7";"10.7";"154.5";"77.3";"16.8";"8.1";"10214.8";"2178.1"
"2015-02-19";"114";"9682.5";"2012.2";"26";"2.6";"10.4";"10.4";"149.5";"74.8";"16.3";"7.8";"9884.7";"2107.8"
"2015-02-18";"113";"9369.6";"1947.1";"25.2";"2.5";"10.1";"10.1";"144.7";"72.3";"15.7";"7.5";"9565.2";"2039.6"
"2015-02-17";"112";"9066.8";"1884.2";"24.4";"2.4";"9.7";"9.7";"140";"70";"15.2";"7.3";"9256.1";"1973.7"
"2015-02-16";"111";"8773.9";"1823.3";"23.6";"2.4";"9.4";"9.4";"135.5";"67.7";"14.7";"7.1";"8957.1";"1909.9"
"2015-02-15";"110";"8490.4";"1764.4";"22.8";"2.3";"9.1";"9.1";"131.1";"65.6";"14.3";"6.8";"8667.7";"1848.3"
"2015-02-14";"109";"8216.2";"1707.5";"22.1";"2.2";"8.8";"8.8";"126.9";"63.4";"13.8";"6.6";"8387.8";"1788.6"
"2015-02-13";"108";"7951";"1652.3";"21.4";"2.1";"8.5";"8.5";"122.8";"61.4";"13.3";"6.4";"8117";"1730.8"
"2015-02-12";"107";"7694.4";"1599";"20.7";"2.1";"8.3";"8.3";"118.8";"59.4";"12.9";"6.2";"7855";"1675"
"2015-02-11";"106";"7446.1";"1547.4";"20";"2";"8";"8";"115";"57.5";"12.5";"6";"7601.6";"1620.9"
"2015-02-10";"105";"7206";"1497.5";"19.4";"1.9";"7.7";"7.7";"111.3";"55.6";"12.1";"5.8";"7356.5";"1568.6"
"2015-02-09";"104";"6973.7";"1449.2";"18.7";"1.9";"7.5";"7.5";"107.7";"53.8";"11.7";"5.6";"7119.3";"1518.1"
"2015-02-08";"103";"6749";"1402.5";"18.1";"1.8";"7.3";"7.3";"104.2";"52.1";"11.3";"5.4";"6889.9";"1469.2"
"2015-02-07";"102";"6531.7";"1357.4";"17.5";"1.8";"7";"7";"100.9";"50.4";"11";"5.3";"6668.1";"1421.9"
"2015-02-06";"101";"6321.5";"1313.7";"17";"1.7";"6.8";"6.8";"97.6";"48.8";"10.6";"5.1";"6453.5";"1376.1"
"2015-02-05";"100";"6118.2";"1271.4";"16.4";"1.6";"6.6";"6.6";"94.5";"47.2";"10.3";"4.9";"6245.9";"1331.8"
"2015-02-04";"99";"5921.5";"1230.6";"15.9";"1.6";"6.4";"6.4";"91.4";"45.7";"9.9";"4.8";"6045.2";"1289"
"2015-02-03";"98";"5731.3";"1191.1";"15.4";"1.5";"6.2";"6.2";"88.5";"44.3";"9.6";"4.6";"5851";"1247.6"
"2015-02-02";"97";"5547.4";"1152.8";"14.9";"1.5";"6";"6";"85.7";"42.8";"9.3";"4.5";"5663.2";"1207.6"
"2015-02-01";"96";"5369.4";"1115.9";"14.4";"1.4";"5.8";"5.8";"82.9";"41.5";"9";"4.3";"5481.6";"1168.9"
