"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-04-14";"168";"32187 ( 8000, 56375)";"251";"406326 (15174, 797478)";"5336";"61222 (-24943, 147387)";"50428 (-17439, 118296)";"2524 (-708, 5757)";"13238 (-3748, 30224)";"23829 (-6746, 54404)";"12%"
"2015-04-13";"167";"31936 ( 8084, 55788)";"250";"400990 (17313, 784667)";"5267";"60434 (-24224, 145093)";"49761 (-16882, 116403)";"2508 (-687, 5702)";"13067 (-3613, 29747)";"23521 (-6503, 53544)";"12%"
"2015-04-12";"166";"31686 ( 8167, 55206)";"248";"395723 (19391, 772056)";"5199";"59657 (-23520, 142833)";"49102 (-16337, 114540)";"2491 (-666, 5648)";"12898 (-3481, 29277)";"23217 (-6265, 52698)";"12%"
"2015-04-11";"165";"31438 ( 8247, 54629)";"247";"390524 (21407, 759641)";"5132";"58889 (-22830, 140608)";"48451 (-15804, 112706)";"2474 (-646, 5595)";"12731 (-3351, 28814)";"22917 (-6032, 51865)";"12%"
"2015-04-10";"164";"31192 ( 8326, 54058)";"245";"385391 (23364, 747419)";"5066";"58131 (-22154, 138417)";"47810 (-15282, 110901)";"2458 (-626, 5541)";"12567 (-3225, 28359)";"22620 (-5804, 51045)";"12%"
"2015-04-09";"163";"30947 ( 8402, 53492)";"243";"380325 (25262, 735388)";"5001";"57384 (-21492, 136259)";"47177 (-14770, 109123)";"2442 (-606, 5489)";"12405 (-3101, 27910)";"22328 (-5582, 50238)";"12%"
"2015-04-08";"162";"30703 ( 8476, 52931)";"242";"375324 (27103, 723545)";"4937";"56646 (-20843, 134134)";"46552 (-14270, 107374)";"2425 (-586, 5437)";"12244 (-2980, 27468)";"22040 (-5364, 49443)";"12%"
"2015-04-07";"161";"30461 ( 8548, 52375)";"240";"370387 (28888, 711886)";"4873";"55917 (-20207, 132042)";"45935 (-13781, 105652)";"2409 (-566, 5385)";"12086 (-2861, 27034)";"21755 (-5150, 48661)";"12%"
"2015-04-06";"160";"30221 ( 8618, 51824)";"239";"365513 (30618, 700409)";"4811";"55198 (-19584, 129981)";"45327 (-13302, 103956)";"2393 (-547, 5333)";"11930 (-2746, 26606)";"21474 (-4942, 47890)";"12%"
"2015-04-05";"159";"29982 ( 8686, 51278)";"237";"360703 (32294, 689111)";"4749";"54489 (-18974, 127952)";"44727 (-12833, 102287)";"2377 (-528, 5283)";"11776 (-2632, 26184)";"21197 (-4738, 47132)";"12%"
"2015-04-04";"158";"29744 ( 8752, 50736)";"236";"355954 (33918, 677989)";"4688";"53789 (-18377, 125954)";"44135 (-12375, 100645)";"2361 (-509, 5232)";"11624 (-2521, 25770)";"20923 (-4539, 46386)";"12%"
"2015-04-03";"157";"29508 ( 8816, 50200)";"235";"351266 (35490, 667042)";"4628";"53098 (-17791, 123987)";"43551 (-11926,  99027)";"2346 (-491, 5182)";"11474 (-2413, 25361)";"20653 (-4344, 45651)";"12%"
"2015-04-02";"156";"29274 ( 8879, 49669)";"233";"346638 (37011, 656265)";"4568";"52416 (-17218, 122050)";"42974 (-11487,  97436)";"2330 (-472, 5132)";"11326 (-2307, 24959)";"20387 (-4153, 44927)";"12%"
"2015-04-01";"155";"29041 ( 8939, 49142)";"232";"342070 (38483, 645656)";"4510";"51743 (-16657, 120142)";"42405 (-11058,  95869)";"2315 (-454, 5083)";"11180 (-2204, 24564)";"20124 (-3967, 44215)";"12%"
"2015-03-31";"154";"28809 ( 8997, 48621)";"230";"337560 (39906, 635214)";"4452";"51078 (-16107, 118264)";"41844 (-10638,  94327)";"2299 (-436, 5035)";"11036 (-2103, 24174)";"19864 (-3785, 43514)";"13%"
"2015-03-30";"153";"28579 ( 9054, 48104)";"229";"333108 (41282, 624934)";"4395";"50423 (-15569, 116415)";"41290 (-10228,  92808)";"2284 (-418, 4986)";"10894 (-2004, 23791)";"19608 (-3607, 42823)";"13%"
"2015-03-29";"152";"28350 ( 9109, 47591)";"227";"328714 (42612, 614816)";"4338";"49776 (-15042, 114593)";"40744 ( -9827,  91314)";"2269 (-401, 4938)";"10753 (-1907, 23413)";"19356 (-3433, 42144)";"13%"
"2015-03-28";"151";"28123 ( 9162, 47084)";"226";"324376 (43896, 604855)";"4283";"49137 (-14526, 112800)";"40205 ( -9434,  89843)";"2254 (-384, 4891)";"10615 (-1813, 23042)";"19106 (-3263, 41475)";"13%"
"2015-03-27";"150";"27897 ( 9213, 46581)";"225";"320093 (45135, 595051)";"4228";"48507 (-14021, 111035)";"39673 ( -9051,  88396)";"2239 (-367, 4844)";"10478 (-1720, 22676)";"18860 (-3097, 40817)";"13%"
"2015-03-26";"149";"27672 ( 9262, 46082)";"223";"315865 (46331, 585400)";"4173";"47885 (-13527, 109296)";"39148 ( -8676,  86971)";"2224 (-350, 4797)";"10343 (-1630, 22316)";"18617 (-2934, 40169)";"13%"
"2015-03-25";"148";"27449 ( 9310, 45588)";"222";"311692 (47484, 575900)";"4120";"47271 (-13043, 107585)";"38630 ( -8309,  85568)";"2209 (-333, 4751)";"10210 (-1542, 21961)";"18377 (-2776, 39531)";"13%"
"2015-03-24";"147";"27227 ( 9356, 45099)";"220";"307572 (48595, 566549)";"4067";"46665 (-12569, 105899)";"38118 ( -7951,  84188)";"2194 (-317, 4705)";"10078 (-1456, 21612)";"18141 (-2621, 38902)";"13%"
"2015-03-23";"146";"27007 ( 9400, 44614)";"219";"303505 (49665, 557344)";"4015";"46067 (-12106, 104240)";"37614 ( -7600,  82829)";"2179 (-301, 4660)";" 9948 (-1372, 21269)";"17907 (-2470, 38284)";"13%"
"2015-03-22";"145";"26788 ( 9442, 44134)";"218";"299490 (50695, 548284)";"3964";"45477 (-11652, 102606)";"37117 ( -7258,  81491)";"2165 (-285, 4614)";" 9820 (-1290, 20931)";"17677 (-2322, 37676)";"13%"
"2015-03-21";"144";"26570 ( 9483, 43658)";"216";"295526 (51687, 539366)";"3913";"44894 (-11208, 100997)";"36626 ( -6924,  80175)";"2150 (-269, 4570)";" 9694 (-1210, 20598)";"17449 (-2178, 37077)";"13%"
"2015-03-20";"143";"26354 ( 9522, 43186)";"215";"291613 (52639, 530587)";"3863";"44320 (-10774,  99413)";"36141 ( -6597,  78879)";"2136 (-253, 4526)";" 9569 (-1132, 20271)";"17225 (-2037, 36487)";"13%"
"2015-03-19";"142";"26139 ( 9559, 42718)";"214";"287751 (53555, 521946)";"3813";"43752 (-10350,  97854)";"35663 ( -6278,  77604)";"2122 (-238, 4482)";" 9446 (-1056, 19948)";"17003 (-1900, 35907)";"14%"
"2015-03-18";"141";"25925 ( 9595, 42255)";"212";"283937 (54433, 513441)";"3765";"43192 ( -9934,  96318)";"35192 ( -5966,  76349)";"2108 (-223, 4438)";" 9325 ( -981, 19631)";"16785 (-1766, 35335)";"14%"
"2015-03-17";"140";"25713 ( 9629, 41796)";"211";"280173 (55276, 505069)";"3716";"42640 ( -9527,  94807)";"34726 ( -5661,  75114)";"2094 (-208, 4395)";" 9205 ( -908, 19318)";"16569 (-1635, 34773)";"14%"
"2015-03-16";"139";"25502 ( 9662, 41342)";"210";"276456 (56084, 496829)";"3669";"42094 ( -9130,  93318)";"34267 ( -5364,  73898)";"2080 (-193, 4352)";" 9087 ( -837, 19011)";"16356 (-1507, 34219)";"14%"
"2015-03-15";"138";"25292 ( 9693, 40891)";"208";"272788 (56857, 488718)";"3622";"41556 ( -8741,  91853)";"33814 ( -5074,  72702)";"2066 (-179, 4310)";" 8970 ( -768, 18708)";"16146 (-1383, 33674)";"14%"
"2015-03-14";"137";"25084 ( 9723, 40445)";"207";"269166 (57597, 480735)";"3576";"41025 ( -8361,  90410)";"33367 ( -4790,  71524)";"2052 (-164, 4268)";" 8855 ( -701, 18410)";"15938 (-1261, 33138)";"14%"
"2015-03-13";"136";"24877 ( 9751, 40003)";"206";"265590 (58304, 472876)";"3530";"40500 ( -7989,  88990)";"32926 ( -4513,  70365)";"2038 (-150, 4226)";" 8741 ( -635, 18117)";"15734 (-1143, 32610)";"14%"
"2015-03-12";"135";"24671 ( 9777, 39565)";"205";"262060 (58979, 465142)";"3485";"39983 ( -7625,  87591)";"32491 ( -4243,  69224)";"2024 (-136, 4185)";" 8629 ( -570, 17828)";"15532 (-1027, 32090)";"14%"
"2015-03-11";"134";"24466 ( 9802, 39131)";"203";"258575 (59622, 457529)";"3440";"39472 ( -7270,  86214)";"32061 ( -3979,  68102)";"2011 (-122, 4144)";" 8518 ( -508, 17544)";"15332 ( -914, 31579)";"14%"
"2015-03-10";"133";"24263 ( 9826, 38700)";"202";"255135 (60235, 450035)";"3396";"38968 ( -6923,  84859)";"31638 ( -3722,  66997)";"1997 (-109, 4104)";" 8409 ( -447, 17264)";"15136 ( -804, 31076)";"14%"
"2015-03-09";"132";"24061 ( 9848, 38274)";"201";"251739 (60818, 442660)";"3353";"38471 ( -6583,  83524)";"31219 ( -3470,  65909)";"1984 ( -95, 4063)";" 8301 ( -387, 16989)";"14942 ( -697, 30580)";"14%"
"2015-03-08";"131";"23860 ( 9868, 37852)";"200";"248386 (61371, 435400)";"3310";"37980 ( -6251,  82210)";"30807 ( -3225,  64839)";"1971 ( -82, 4024)";" 8194 ( -329, 16718)";"14750 ( -592, 30092)";"14%"
"2015-03-07";"130";"23661 ( 9887, 37434)";"198";"245075 (61896, 428255)";"3268";"37495 ( -5926,  80917)";"30400 ( -2986,  63786)";"1958 ( -69, 3984)";" 8089 ( -273, 16451)";"14561 ( -491, 29612)";"15%"
"2015-03-06";"129";"23462 ( 9905, 37019)";"197";"241807 (62393, 421222)";"3226";"37017 ( -5609,  79643)";"29998 ( -2753,  62749)";"1944 ( -56, 3945)";" 7986 ( -217, 16189)";"14374 ( -391, 29140)";"15%"
"2015-03-05";"128";"23265 ( 9922, 36609)";"196";"238581 (62862, 414300)";"3185";"36545 ( -5300,  78389)";"29602 ( -2525,  61729)";"1931 ( -43, 3906)";" 7883 ( -164, 15930)";"14190 ( -295, 28675)";"15%"
"2015-03-04";"127";"23069 ( 9937, 36202)";"195";"235396 (63305, 407487)";"3145";"36079 ( -4997,  77155)";"29211 ( -2303,  60726)";"1918 ( -31, 3868)";" 7782 ( -111, 15676)";"14008 ( -200, 28217)";"15%"
"2015-03-03";"126";"22875 ( 9950, 35799)";"193";"232251 (63721, 400781)";"3105";"35619 ( -4701,  75939)";"28825 ( -2087,  59738)";"1906 ( -19, 3830)";" 7683 (  -60, 15426)";"13829 ( -109, 27766)";"15%"
"2015-03-02";"125";"22681 ( 9963, 35400)";"192";"229147 (64112, 394181)";"3065";"35165 ( -4412,  74743)";"28445 ( -1876,  58765)";"1893 (  -6, 3792)";" 7584 (  -11, 15179)";"13652 (  -19, 27323)";"15%"
"2015-03-01";"124";"22489 ( 9974, 35004)";"191";"226082 (64479, 387685)";"3026";"34717 ( -4130,  73565)";"28069 ( -1671,  57808)";"1880 (   6, 3754)";" 7487 (   38, 14937)";"13477 (   68, 26886)";"15%"
"2015-02-28";"123";"22298 ( 9983, 34613)";"190";"223056 (64820, 381291)";"2987";"34275 ( -3855,  72406)";"27698 ( -1470,  56867)";"1867 (  17, 3717)";" 7391 (   85, 14698)";"13305 (  152, 26457)";"15%"
"2015-02-27";"122";"22108 ( 9992, 34224)";"189";"220068 (65138, 374998)";"2949";"33839 ( -3586,  71264)";"27333 ( -1275,  55940)";"1855 (  29, 3681)";" 7297 (  130, 14463)";"13134 (  235, 26034)";"15%"
