"Date";"Days from today";"ETU caseload";"Nurses and paramedics";"Hygienists and nurses aids";"Doctors";"Support staff";"Total"
"2015-05-08";"168";"1234 (-1050, 3518)";"617 (-525, 1759)";"617 (-525, 1759)";"123 (-105, 351)";"1234 (-1050, 3518)";"2591 (-216, 5398)"
"2015-05-07";"167";"1222 (-1027, 3471)";"611 (-514, 1736)";"611 (-514, 1736)";"122 (-103, 347)";"1222 (-1027, 3471)";"2566 (-198, 5330)"
"2015-05-06";"166";"1209 (-1006, 3424)";"604 (-504, 1712)";"604 (-504, 1712)";"121 (-101, 343)";"1209 (-1006, 3424)";"2538 (-184, 5260)"
"2015-05-05";"165";"1197 ( -985, 3379)";"598 (-493, 1689)";"598 (-493, 1689)";"120 ( -98, 338)";"1197 ( -985, 3379)";"2513 (-168, 5194)"
"2015-05-04";"164";"1185 ( -964, 3334)";"592 (-482, 1666)";"592 (-482, 1666)";"118 ( -97, 333)";"1185 ( -964, 3334)";"2487 (-153, 5127)"
"2015-05-03";"163";"1172 ( -944, 3288)";"586 (-472, 1644)";"586 (-472, 1644)";"117 ( -95, 329)";"1172 ( -944, 3288)";"2461 (-139, 5061)"
"2015-05-02";"162";"1160 ( -924, 3244)";"580 (-462, 1622)";"580 (-462, 1622)";"116 ( -92, 324)";"1160 ( -924, 3244)";"2436 (-125, 4997)"
"2015-05-01";"161";"1149 ( -904, 3202)";"574 (-452, 1600)";"574 (-452, 1600)";"115 ( -90, 320)";"1149 ( -904, 3202)";"2412 (-110, 4934)"
"2015-04-30";"160";"1137 ( -884, 3158)";"568 (-443, 1579)";"568 (-443, 1579)";"114 ( -88, 316)";"1137 ( -884, 3158)";"2387 ( -97, 4871)"
"2015-04-29";"159";"1125 ( -866, 3116)";"562 (-433, 1557)";"562 (-433, 1557)";"112 ( -87, 311)";"1125 ( -866, 3116)";"2361 ( -85, 4807)"
"2015-04-28";"158";"1114 ( -846, 3074)";"557 (-423, 1537)";"557 (-423, 1537)";"111 ( -85, 307)";"1114 ( -846, 3074)";"2339 ( -70, 4748)"
"2015-04-27";"157";"1102 ( -829, 3033)";"551 (-414, 1516)";"551 (-414, 1516)";"110 ( -83, 303)";"1102 ( -829, 3033)";"2314 ( -58, 4686)"
"2015-04-26";"156";"1091 ( -810, 2992)";"546 (-405, 1497)";"546 (-405, 1497)";"109 ( -81, 299)";"1091 ( -810, 2992)";"2292 ( -44, 4628)"
"2015-04-25";"155";"1080 ( -792, 2952)";"540 (-396, 1476)";"540 (-396, 1476)";"108 ( -79, 295)";"1080 ( -792, 2952)";"2268 ( -33, 4569)"
"2015-04-24";"154";"1069 ( -775, 2913)";"534 (-388, 1456)";"534 (-388, 1456)";"107 ( -77, 291)";"1069 ( -775, 2913)";"2244 ( -22, 4510)"
"2015-04-23";"153";"1058 ( -758, 2874)";"529 (-379, 1437)";"529 (-379, 1437)";"106 ( -76, 288)";"1058 ( -758, 2874)";"2222 (  -9, 4453)"
"2015-04-22";"152";"1047 ( -741, 2835)";"524 (-370, 1418)";"524 (-370, 1418)";"105 ( -74, 284)";"1047 ( -741, 2835)";"2200 (   3, 4397)"
"2015-04-21";"151";"1037 ( -724, 2798)";"518 (-362, 1398)";"518 (-362, 1398)";"104 ( -72, 280)";"1037 ( -724, 2798)";"2177 (  13, 4341)"
"2015-04-20";"150";"1026 ( -708, 2760)";"513 (-354, 1380)";"513 (-354, 1380)";"103 ( -70, 276)";"1026 ( -708, 2760)";"2155 (  24, 4286)"
"2015-04-19";"149";"1016 ( -692, 2724)";"508 (-346, 1362)";"508 (-346, 1362)";"102 ( -69, 273)";"1016 ( -692, 2724)";"2134 (  36, 4232)"
