"Date";"Days from today";"Caseload";"Administrator (coordination)";"Doctor (ETU)";"Doctor (coordination)";"Epidemiologist (contact tracing)";"Epidemiologist (coordination)";"Lab scientist (laboratories)";"Logistician (burials)";"Logistician (ETU)";"Logistician (coordination)";"Nurse (ETU)";"Public health specialist (Social mobilization)";"Public health specialist (coordination)";"Data management (coordination)";"Total personnel"
"2015-05-08";"168";"3456 (-1247, 8159)";"4 (-1, 9)";"8 (-3, 19)";"2 (-1, 5)";"4 (-2, 10)";"6 (-2, 14)";"12 (-4, 28)";"6 (-2, 14)";"15 (-6, 36)";"6 (-2, 14)";"31 (-11, 73)";"9 (-3, 21)";"4 (-1, 9)";"5 (-2, 12)";"112 (57, 167)"
"2015-05-07";"167";"3421 (-1211, 8053)";"4 (-1, 9)";"8 (-2, 18)";"2 (-1, 5)";"4 (-2, 10)";"6 (-2, 14)";"11 (-5, 27)";"6 (-2, 14)";"15 (-6, 36)";"6 (-2, 14)";"30 (-11, 71)";"9 (-3, 21)";"4 (-1, 9)";"5 (-1, 11)";"110 (56, 164)"
"2015-05-06";"166";"3386 (-1176, 7948)";"4 (-1, 9)";"8 (-2, 18)";"2 (-1, 5)";"4 (-2, 10)";"6 (-2, 14)";"11 (-4, 26)";"6 (-2, 14)";"15 (-5, 35)";"6 (-2, 14)";"30 (-11, 71)";"9 (-3, 21)";"4 (-1, 9)";"5 (-1, 11)";"110 (57, 163)"
"2015-05-05";"165";"3351 (-1142, 7844)";"4 (-1, 9)";"8 (-2, 18)";"2 ( 0, 4)";"4 (-2, 10)";"6 (-1, 13)";"11 (-4, 26)";"6 (-1, 13)";"15 (-5, 35)";"6 (-1, 13)";"30 (-10, 70)";"9 (-2, 20)";"4 (-1, 9)";"5 (-1, 11)";"110 (58, 162)"
"2015-05-04";"164";"3317 (-1108, 7742)";"4 (-1, 9)";"7 (-3, 17)";"2 ( 0, 4)";"4 (-2, 10)";"5 (-2, 12)";"11 (-4, 26)";"5 (-2, 12)";"15 (-5, 35)";"5 (-2, 12)";"30 ( -9, 69)";"8 (-3, 19)";"4 (-1, 9)";"5 (-1, 11)";"105 (53, 157)"
"2015-05-03";"163";"3283 (-1075, 7641)";"4 (-1, 9)";"7 (-3, 17)";"2 ( 0, 4)";"4 (-1,  9)";"5 (-2, 12)";"11 (-4, 26)";"5 (-2, 12)";"15 (-4, 34)";"5 (-2, 12)";"29 (-10, 68)";"8 (-3, 19)";"4 (-1, 9)";"5 (-1, 11)";"104 (53, 155)"
"2015-05-02";"162";"3249 (-1042, 7540)";"4 (-1, 9)";"7 (-3, 17)";"2 ( 0, 4)";"4 (-1,  9)";"5 (-2, 12)";"11 (-3, 25)";"5 (-2, 12)";"14 (-5, 33)";"5 (-2, 12)";"29 ( -9, 67)";"8 (-3, 19)";"4 (-1, 9)";"5 (-1, 11)";"103 (53, 153)"
"2015-05-01";"161";"3216 (-1010, 7442)";"4 (-1, 9)";"7 (-3, 17)";"2 ( 0, 4)";"4 (-1,  9)";"5 (-2, 12)";"11 (-3, 25)";"5 (-2, 12)";"14 (-5, 33)";"5 (-2, 12)";"29 ( -9, 67)";"8 (-3, 19)";"4 (-1, 9)";"5 (-1, 11)";"103 (54, 152)"
"2015-04-30";"160";"3183 ( -979, 7345)";"4 (-1, 9)";"7 (-2, 16)";"2 ( 0, 4)";"4 (-1,  9)";"5 (-2, 12)";"11 (-3, 25)";"5 (-2, 12)";"14 (-5, 33)";"5 (-2, 12)";"28 ( -9, 65)";"8 (-3, 19)";"4 (-1, 9)";"4 (-2, 10)";"101 (52, 150)"
"2015-04-29";"159";"3150 ( -949, 7249)";"3 (-2, 8)";"7 (-2, 16)";"2 ( 0, 4)";"4 (-1,  9)";"5 (-2, 12)";"11 (-3, 25)";"5 (-2, 12)";"14 (-4, 32)";"5 (-2, 12)";"28 ( -8, 64)";"8 (-2, 18)";"3 (-2, 8)";"4 (-2, 10)";" 99 (51, 147)"
"2015-04-28";"158";"3118 ( -919, 7155)";"3 (-1, 7)";"7 (-2, 16)";"2 ( 0, 4)";"4 (-1,  9)";"5 (-2, 12)";"10 (-4, 24)";"5 (-2, 12)";"14 (-4, 32)";"5 (-2, 12)";"28 ( -8, 64)";"8 (-2, 18)";"3 (-1, 7)";"4 (-2, 10)";" 98 (51, 145)"
"2015-04-27";"157";"3087 ( -888, 7062)";"3 (-1, 7)";"7 (-2, 16)";"2 ( 0, 4)";"4 (-1,  9)";"5 (-2, 12)";"10 (-3, 23)";"5 (-2, 12)";"14 (-4, 32)";"5 (-2, 12)";"27 ( -8, 62)";"8 (-2, 18)";"3 (-1, 7)";"4 (-2, 10)";" 97 (51, 143)"
"2015-04-26";"156";"3055 ( -860, 6970)";"3 (-1, 7)";"7 (-2, 16)";"2 ( 0, 4)";"4 (-1,  9)";"5 (-1, 11)";"10 (-3, 23)";"5 (-1, 11)";"14 (-3, 31)";"5 (-1, 11)";"27 ( -8, 62)";"8 (-2, 18)";"3 (-1, 7)";"4 (-1,  9)";" 97 (51, 143)"
"2015-04-25";"155";"3024 ( -831, 6879)";"3 (-1, 7)";"7 (-2, 16)";"2 ( 0, 4)";"4 (-1,  9)";"5 (-1, 11)";"10 (-3, 23)";"5 (-1, 11)";"13 (-4, 30)";"5 (-1, 11)";"27 ( -7, 61)";"8 (-2, 18)";"3 (-1, 7)";"4 (-1,  9)";" 96 (51, 141)"
"2015-04-24";"154";"2993 ( -804, 6790)";"3 (-1, 7)";"7 (-2, 16)";"2 ( 0, 4)";"4 (-1,  9)";"5 (-1, 11)";"10 (-3, 23)";"5 (-1, 11)";"13 (-4, 30)";"5 (-1, 11)";"27 ( -7, 61)";"8 (-2, 18)";"3 (-1, 7)";"4 (-1,  9)";" 96 (52, 140)"
"2015-04-23";"153";"2963 ( -776, 6702)";"3 (-1, 7)";"7 (-1, 15)";"2 ( 0, 4)";"4 (-1,  9)";"5 (-1, 11)";"10 (-3, 23)";"5 (-1, 11)";"13 (-4, 30)";"5 (-1, 11)";"26 ( -7, 59)";"8 (-2, 18)";"3 (-1, 7)";"4 (-1,  9)";" 95 (51, 139)"
"2015-04-22";"152";"2933 ( -749, 6615)";"3 (-1, 7)";"7 (-1, 15)";"2 ( 0, 4)";"4 (-1,  9)";"5 (-1, 11)";"10 (-2, 22)";"5 (-1, 11)";"13 (-3, 29)";"5 (-1, 11)";"26 ( -7, 59)";"7 (-2, 16)";"3 (-1, 7)";"4 (-1,  9)";" 94 (51, 137)"
"2015-04-21";"151";"2903 ( -723, 6529)";"3 (-1, 7)";"7 (-1, 15)";"2 ( 0, 4)";"4 (-1,  9)";"5 (-1, 11)";"10 (-2, 22)";"5 (-1, 11)";"13 (-3, 29)";"5 (-1, 11)";"26 ( -6, 58)";"7 (-2, 16)";"3 (-1, 7)";"4 (-1,  9)";" 94 (52, 136)"
"2015-04-20";"150";"2874 ( -696, 6444)";"3 (-1, 7)";"6 (-2, 14)";"2 ( 0, 4)";"4 ( 0,  8)";"5 (-1, 11)";"10 (-2, 22)";"5 (-1, 11)";"13 (-3, 29)";"5 (-1, 11)";"26 ( -6, 58)";"7 (-2, 16)";"3 (-1, 7)";"4 (-1,  9)";" 93 (51, 135)"
"2015-04-19";"149";"2845 ( -671, 6361)";"3 (-1, 7)";"6 (-2, 14)";"2 ( 0, 4)";"4 ( 0,  8)";"5 (-1, 11)";"10 (-2, 22)";"5 (-1, 11)";"13 (-3, 29)";"5 (-1, 11)";"25 ( -6, 56)";"7 (-2, 16)";"3 (-1, 7)";"4 (-1,  9)";" 92 (51, 133)"
"2015-04-18";"148";"2816 ( -646, 6278)";"3 (-1, 7)";"6 (-2, 14)";"2 ( 0, 4)";"4 ( 0,  8)";"5 (-1, 11)";" 9 (-3, 21)";"5 (-1, 11)";"13 (-2, 28)";"5 (-1, 11)";"25 ( -6, 56)";"7 (-2, 16)";"3 (-1, 7)";"4 (-1,  9)";" 91 (51, 131)"
"2015-04-17";"147";"2788 ( -621, 6197)";"3 (-1, 7)";"6 (-2, 14)";"2 ( 0, 4)";"3 (-1,  7)";"5 (-1, 11)";" 9 (-2, 20)";"5 (-1, 11)";"12 (-3, 27)";"5 (-1, 11)";"25 ( -5, 55)";"7 (-2, 16)";"3 (-1, 7)";"4 (-1,  9)";" 89 (49, 129)"
"2015-04-16";"146";"2760 ( -597, 6117)";"3 (-1, 7)";"6 (-2, 14)";"2 ( 0, 4)";"3 (-1,  7)";"5 (-1, 11)";" 9 (-2, 20)";"5 (-1, 11)";"12 (-3, 27)";"5 (-1, 11)";"25 ( -5, 55)";"7 (-2, 16)";"3 (-1, 7)";"4 (-1,  9)";" 89 (50, 128)"
"2015-04-15";"145";"2732 ( -574, 6038)";"3 (-1, 7)";"6 (-1, 13)";"2 ( 0, 4)";"3 (-1,  7)";"5 ( 0, 10)";" 9 (-2, 20)";"5 ( 0, 10)";"12 (-3, 27)";"5 ( 0, 10)";"24 ( -5, 53)";"7 (-1, 15)";"3 (-1, 7)";"4 (-1,  9)";" 88 (49, 127)"
"2015-04-14";"144";"2704 ( -552, 5960)";"3 (-1, 7)";"6 (-1, 13)";"1 (-1, 3)";"3 (-1,  7)";"4 (-1,  9)";" 9 (-2, 20)";"4 (-1,  9)";"12 (-2, 26)";"4 (-1,  9)";"24 ( -5, 53)";"7 (-1, 15)";"3 (-1, 7)";"4 (-1,  9)";" 84 (46, 122)"
"2015-04-13";"143";"2677 ( -529, 5883)";"3 (-1, 7)";"6 (-1, 13)";"1 (-1, 3)";"3 (-1,  7)";"4 (-1,  9)";" 9 (-2, 20)";"4 (-1,  9)";"12 (-2, 26)";"4 (-1,  9)";"24 ( -5, 53)";"7 (-1, 15)";"3 (-1, 7)";"4 ( 0,  8)";" 84 (47, 121)"
"2015-04-12";"142";"2650 ( -507, 5807)";"3 ( 0, 6)";"6 (-1, 13)";"1 (-1, 3)";"3 (-1,  7)";"4 (-1,  9)";" 9 (-2, 20)";"4 (-1,  9)";"12 (-2, 26)";"4 (-1,  9)";"24 ( -4, 52)";"7 (-1, 15)";"3 ( 0, 6)";"4 ( 0,  8)";" 84 (47, 121)"
