"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC target of 25% cases in ETC";"Beds for CDC target of 45% cases in reduced transmission";"Reporting (treatment) quotient"
"2015-05-08";"168";"136267 (85448, 187087)";"2181 (1192, 3171)";"692273 (427106, 957440)";"10869 (5985, 15752)";"124709 (68750, 180669)";"86735 (47410, 126061)";"17332 (9468, 25196)";"26017 (15991, 36043)";"46830 (28784, 64877)";"40%"
"2015-05-07";"167";"134086 (84256, 183916)";"2151 (1174, 3128)";"681404 (421120, 941688)";"10728 (5896, 15560)";"123097 (67717, 178476)";"85559 (46720, 124399)";"17087 (9334, 24840)";"25662 (15760, 35563)";"46191 (28368, 64014)";"40%"
"2015-05-06";"166";"131935 (83082, 180788)";"2122 (1157, 3087)";"670677 (415225, 926129)";"10587 (5808, 15367)";"121494 (66704, 176285)";"84392 (46043, 122742)";"16845 (9203, 24487)";"25309 (15533, 35085)";"45557 (27960, 63153)";"40%"
"2015-05-05";"165";"129813 (81924, 177701)";"2093 (1141, 3045)";"660089 (409417, 910762)";"10448 (5721, 15175)";"119902 (65710, 174094)";"83235 (45378, 121092)";"16605 (9074, 24135)";"24960 (15310, 34609)";"44928 (27558, 62297)";"40%"
"2015-05-04";"164";"127720 (80784, 174657)";"2064 (1124, 3003)";"649641 (403696, 895586)";"10310 (5636, 14984)";"118321 (64735, 171906)";"82087 (44725, 119448)";"16367 (8947, 23786)";"24613 (15091, 34136)";"44304 (27163, 61445)";"40%"
"2015-05-03";"163";"125656 (79660, 171653)";"2035 (1108, 2962)";"639331 (398059, 880603)";"10173 (5553, 14792)";"116750 (63779, 169721)";"80948 (44085, 117811)";"16131 (8822, 23440)";"24270 (14875, 33665)";"43686 (26774, 60597)";"40%"
"2015-05-02";"162";"123621 (78551, 168691)";"2007 (1092, 2921)";"629158 (392505, 865811)";"10036 (5472, 14601)";"115190 (62840, 167541)";"79819 (43456, 116183)";"15898 (8700, 23095)";"23929 (14662, 33196)";"43073 (26392, 59754)";"40%"
"2015-05-01";"161";"121615 (77459, 165770)";"1978 (1077, 2880)";"619122 (387033, 851210)";" 9901 (5392, 14410)";"113642 (61919, 165365)";"78700 (42839, 114562)";"15667 (8580, 22754)";"23592 (14453, 32731)";"42465 (26015, 58915)";"40%"
"2015-04-30";"160";"119636 (76382, 162890)";"1950 (1062, 2839)";"609221 (381641, 836800)";" 9767 (5313, 14220)";"112105 (61016, 163195)";"77591 (42233, 112950)";"15438 (8462, 22415)";"23257 (14247, 32268)";"41863 (25645, 58082)";"40%"
"2015-04-29";"159";"117686 (75320, 160051)";"1923 (1047, 2799)";"599454 (376328, 822580)";" 9634 (5236, 14031)";"110581 (60129, 161032)";"76493 (41637, 111348)";"15212 (8345, 22078)";"22926 (14045, 31807)";"41267 (25281, 57253)";"40%"
"2015-04-28";"158";"115763 (74274, 157252)";"1895 (1032, 2759)";"589820 (371091, 808549)";" 9501 (5161, 13842)";"109068 (59259, 158876)";"75404 (41053, 109755)";"14988 (8231, 21745)";"22598 (13846, 31350)";"40676 (24922, 56431)";"40%"
"2015-04-27";"157";"113868 (73241, 154494)";"1868 (1018, 2719)";"580319 (365931, 794707)";" 9370 (5086, 13654)";"107567 (58406, 156728)";"74326 (40479, 108172)";"14766 (8119, 21414)";"22273 (13650, 30896)";"40091 (24569, 55613)";"40%"
"2015-04-26";"156";"111999 (72224, 151775)";"1841 (1004, 2679)";"570948 (360844, 781053)";" 9240 (5014, 13467)";"106079 (57568, 154590)";"73258 (39915, 106600)";"14547 (8008, 21086)";"21951 (13457, 30446)";"39512 (24222, 54802)";"40%"
"2015-04-25";"155";"110158 (71220, 149096)";"1815 ( 990, 2640)";"561708 (355830, 767586)";" 9111 (4942, 13281)";"104603 (56745, 152461)";"72200 (39361, 105039)";"14330 (7900, 20761)";"21633 (13267, 29998)";"38939 (23880, 53997)";"40%"
"2015-04-24";"154";"108343 (70230, 146456)";"1788 ( 976, 2601)";"552597 (350888, 754306)";" 8984 (4872, 13095)";"103140 (55938, 150342)";"71153 (38816, 103489)";"14116 (7793, 20439)";"21317 (13080, 29554)";"38371 (23544, 53198)";"40%"
