"Date";"Days from today";"PPE (m3)";"PPE (tons)";"Body bags (m3)";"Body bags (tons)";"Chlorine (m3)";"Chlorine (tons)";"Medical supplies (m3)";"Medical supplies (tons)";"Lab supplies (m3)";"Lab supplies (tons)";"Total (m3)";"Total (tons)"
"2015-05-08";"168";"1782.2 (1277.1, 2287.3)";"370.4 (265.4, 475.3)";"4.8 (3.4, 6.1)";"0.5 (0.3, 0.6)";"1.9 (1.4, 2.5)";"1.9 (1.4, 2.5)";"27.5 (19.7, 35.3)";"13.8 (9.9, 17.7)";"3.0 (2.1, 3.8)";"1.4 (1.0, 1.8)";"1819.4 (1303.8, 2335.0)";"388.0 (278.0, 497.9)"
"2015-05-07";"167";"1757.9 (1259.1, 2256.7)";"365.3 (261.7, 469.0)";"4.7 (3.4, 6.1)";"0.5 (0.3, 0.6)";"1.9 (1.4, 2.4)";"1.9 (1.4, 2.4)";"27.1 (19.4, 34.9)";"13.6 (9.7, 17.4)";"3.0 (2.1, 3.8)";"1.4 (1.0, 1.8)";"1794.6 (1285.4, 2303.8)";"382.7 (274.1, 491.2)"
"2015-05-06";"166";"1733.7 (1241.3, 2226.2)";"360.3 (258.0, 462.6)";"4.7 (3.3, 6.0)";"0.5 (0.3, 0.6)";"1.9 (1.3, 2.4)";"1.9 (1.3, 2.4)";"26.8 (19.2, 34.4)";"13.4 (9.6, 17.2)";"2.9 (2.1, 3.7)";"1.4 (1.0, 1.8)";"1769.9 (1267.2, 2272.7)";"377.4 (270.2, 484.6)"
"2015-05-05";"165";"1709.8 (1223.7, 2195.9)";"355.3 (254.3, 456.3)";"4.6 (3.3, 5.9)";"0.5 (0.3, 0.6)";"1.8 (1.3, 2.4)";"1.8 (1.3, 2.4)";"26.4 (18.9, 33.9)";"13.2 (9.4, 17.0)";"2.9 (2.1, 3.7)";"1.4 (1.0, 1.8)";"1745.5 (1249.2, 2241.8)";"372.2 (266.4, 478.0)"
"2015-05-04";"164";"1686.0 (1206.3, 2165.8)";"350.4 (250.7, 450.1)";"4.5 (3.2, 5.8)";"0.5 (0.3, 0.6)";"1.8 (1.3, 2.3)";"1.8 (1.3, 2.3)";"26.0 (18.6, 33.4)";"13.0 (9.3, 16.7)";"2.8 (2.0, 3.6)";"1.4 (1.0, 1.7)";"1721.3 (1231.5, 2211.0)";"367.0 (262.6, 471.5)"
"2015-05-03";"163";"1662.5 (1189.2, 2135.8)";"345.5 (247.1, 443.9)";"4.5 (3.2, 5.7)";"0.4 (0.3, 0.6)";"1.8 (1.3, 2.3)";"1.8 (1.3, 2.3)";"25.7 (18.4, 33.0)";"12.8 (9.2, 16.5)";"2.8 (2.0, 3.6)";"1.3 (1.0, 1.7)";"1697.2 (1214.1, 2180.4)";"361.9 (258.9, 464.9)"
"2015-05-02";"162";"1639.2 (1172.3, 2106.0)";"340.7 (243.6, 437.7)";"4.4 (3.1, 5.7)";"0.4 (0.3, 0.6)";"1.8 (1.3, 2.3)";"1.8 (1.3, 2.3)";"25.3 (18.1, 32.5)";"12.7 (9.1, 16.3)";"2.8 (2.0, 3.5)";"1.3 (0.9, 1.7)";"1673.4 (1196.8, 2150.0)";"356.8 (255.2, 458.5)"
"2015-05-01";"161";"1616.1 (1155.7, 2076.5)";"335.8 (240.2, 431.5)";"4.3 (3.1, 5.6)";"0.4 (0.3, 0.6)";"1.7 (1.2, 2.2)";"1.7 (1.2, 2.2)";"25.0 (17.8, 32.1)";"12.5 (8.9, 16.0)";"2.7 (1.9, 3.5)";"1.3 (0.9, 1.7)";"1649.8 (1179.8, 2119.8)";"351.8 (251.6, 452.0)"
"2015-04-30";"160";"1593.2 (1139.3, 2047.1)";"331.1 (236.8, 425.4)";"4.3 (3.1, 5.5)";"0.4 (0.3, 0.5)";"1.7 (1.2, 2.2)";"1.7 (1.2, 2.2)";"24.6 (17.6, 31.6)";"12.3 (8.8, 15.8)";"2.7 (1.9, 3.4)";"1.3 (0.9, 1.6)";"1626.4 (1163.1, 2089.8)";"346.8 (248.0, 445.6)"
"2015-04-29";"159";"1570.5 (1123.1, 2017.9)";"326.4 (233.4, 419.3)";"4.2 (3.0, 5.4)";"0.4 (0.3, 0.5)";"1.7 (1.2, 2.2)";"1.7 (1.2, 2.2)";"24.3 (17.3, 31.2)";"12.1 (8.7, 15.6)";"2.6 (1.9, 3.4)";"1.3 (0.9, 1.6)";"1603.3 (1146.5, 2060.0)";"341.9 (244.5, 439.3)"
"2015-04-28";"158";"1548.0 (1107.1, 1988.9)";"321.7 (230.1, 413.3)";"4.2 (3.0, 5.3)";"0.4 (0.3, 0.5)";"1.7 (1.2, 2.1)";"1.7 (1.2, 2.1)";"23.9 (17.1, 30.7)";"12.0 (8.5, 15.4)";"2.6 (1.9, 3.3)";"1.2 (0.9, 1.6)";"1580.3 (1130.2, 2030.4)";"337.0 (241.0, 433.0)"
"2015-04-27";"157";"1525.7 (1091.3, 1960.1)";"317.1 (226.8, 407.3)";"4.1 (2.9, 5.3)";"0.4 (0.3, 0.5)";"1.6 (1.2, 2.1)";"1.6 (1.2, 2.1)";"23.6 (16.9, 30.3)";"11.8 (8.4, 15.1)";"2.6 (1.8, 3.3)";"1.2 (0.9, 1.6)";"1557.6 (1114.1, 2001.1)";"332.1 (237.6, 426.7)"
"2015-04-26";"156";"1503.7 (1075.8, 1931.6)";"312.5 (223.6, 401.4)";"4.0 (2.9, 5.2)";"0.4 (0.3, 0.5)";"1.6 (1.2, 2.1)";"1.6 (1.2, 2.1)";"23.2 (16.6, 29.8)";"11.6 (8.3, 14.9)";"2.5 (1.8, 3.2)";"1.2 (0.9, 1.6)";"1535.1 (1098.2, 1971.9)";"327.3 (234.2, 420.5)"
"2015-04-25";"155";"1481.9 (1060.4, 1903.3)";"308.0 (220.4, 395.5)";"4.0 (2.8, 5.1)";"0.4 (0.3, 0.5)";"1.6 (1.1, 2.0)";"1.6 (1.1, 2.0)";"22.9 (16.4, 29.4)";"11.4 (8.2, 14.7)";"2.5 (1.8, 3.2)";"1.2 (0.9, 1.5)";"1512.8 (1082.6, 1943.0)";"322.6 (230.8, 414.3)"
