"Date";"Days from today";"PPE (m3)";"PPE (tons)";"Body bags (m3)";"Body bags (tons)";"Chlorine (m3)";"Chlorine (tons)";"Medical supplies (m3)";"Medical supplies (tons)";"Lab supplies (m3)";"Lab supplies (tons)";"Total (m3)";"Total (tons)"
"2015-05-08";"168";"3471.2 (2470.0, 4472.5)";"721.4 (513.3, 929.4)";"9.3 (6.6, 12.0)";"0.9 (0.7, 1.2)";"3.7 (2.7, 4.8)";"3.7 (2.7, 4.8)";"53.6 (38.1, 69.1)";"26.8 (19.1, 34.5)";"5.8 (4.1, 7.5)";"2.8 (2.0, 3.6)";"3543.7 (2521.6, 4565.9)";"755.6 (537.7,  973.6)"
"2015-05-07";"167";"3466.6 (2450.1, 4483.1)";"720.4 (509.2, 931.7)";"9.3 (6.6, 12.0)";"0.9 (0.7, 1.2)";"3.7 (2.6, 4.8)";"3.7 (2.6, 4.8)";"53.5 (37.8, 69.2)";"26.8 (18.9, 34.6)";"5.8 (4.1, 7.5)";"2.8 (2.0, 3.6)";"3539.0 (2501.3, 4576.7)";"754.6 (533.4,  975.9)"
"2015-05-06";"166";"3461.3 (2429.1, 4493.5)";"719.3 (504.8, 933.8)";"9.3 (6.5, 12.1)";"0.9 (0.7, 1.2)";"3.7 (2.6, 4.8)";"3.7 (2.6, 4.8)";"53.5 (37.5, 69.4)";"26.7 (18.8, 34.7)";"5.8 (4.1, 7.5)";"2.8 (2.0, 3.6)";"3533.5 (2479.8, 4587.3)";"753.5 (528.8,  978.2)"
"2015-05-05";"165";"3455.2 (2406.9, 4503.5)";"718.1 (500.2, 935.9)";"9.3 (6.5, 12.1)";"0.9 (0.6, 1.2)";"3.7 (2.6, 4.8)";"3.7 (2.6, 4.8)";"53.4 (37.2, 69.6)";"26.7 (18.6, 34.8)";"5.8 (4.0, 7.6)";"2.8 (1.9, 3.6)";"3527.4 (2457.2, 4597.6)";"752.2 (524.0,  980.4)"
"2015-05-04";"164";"3448.5 (2383.7, 4513.3)";"716.7 (495.4, 937.9)";"9.3 (6.4, 12.1)";"0.9 (0.6, 1.2)";"3.7 (2.6, 4.8)";"3.7 (2.6, 4.8)";"53.3 (36.8, 69.7)";"26.6 (18.4, 34.9)";"5.8 (4.0, 7.6)";"2.8 (1.9, 3.6)";"3520.5 (2433.5, 4607.6)";"750.7 (518.9,  982.5)"
"2015-05-03";"163";"3441.1 (2359.5, 4522.8)";"715.1 (490.3, 939.9)";"9.2 (6.3, 12.1)";"0.9 (0.6, 1.2)";"3.7 (2.5, 4.9)";"3.7 (2.5, 4.9)";"53.1 (36.4, 69.8)";"26.6 (18.2, 34.9)";"5.8 (4.0, 7.6)";"2.8 (1.9, 3.6)";"3513.0 (2408.7, 4617.2)";"749.1 (513.6,  984.5)"
"2015-05-02";"162";"3433.0 (2334.3, 4531.8)";"713.4 (485.1, 941.8)";"9.2 (6.3, 12.2)";"0.9 (0.6, 1.2)";"3.7 (2.5, 4.9)";"3.7 (2.5, 4.9)";"53.0 (36.0, 70.0)";"26.5 (18.0, 35.0)";"5.8 (3.9, 7.6)";"2.8 (1.9, 3.7)";"3504.7 (2383.0, 4626.5)";"747.3 (508.1,  986.5)"
"2015-05-01";"161";"3424.3 (2308.1, 4540.4)";"711.6 (479.7, 943.6)";"9.2 (6.2, 12.2)";"0.9 (0.6, 1.2)";"3.7 (2.5, 4.9)";"3.7 (2.5, 4.9)";"52.9 (35.6, 70.1)";"26.4 (17.8, 35.1)";"5.7 (3.9, 7.6)";"2.8 (1.9, 3.7)";"3495.8 (2356.3, 4635.2)";"745.4 (502.4,  988.4)"
"2015-04-30";"160";"3414.8 (2281.0, 4548.6)";"709.7 (474.0, 945.3)";"9.2 (6.1, 12.2)";"0.9 (0.6, 1.2)";"3.7 (2.5, 4.9)";"3.7 (2.5, 4.9)";"52.7 (35.2, 70.2)";"26.4 (17.6, 35.1)";"5.7 (3.8, 7.6)";"2.8 (1.8, 3.7)";"3486.1 (2328.7, 4643.6)";"743.4 (496.5,  990.2)"
"2015-04-29";"159";"3404.7 (2253.2, 4556.3)";"707.6 (468.2, 946.9)";"9.1 (6.1, 12.2)";"0.9 (0.6, 1.2)";"3.7 (2.4, 4.9)";"3.7 (2.4, 4.9)";"52.6 (34.8, 70.4)";"26.3 (17.4, 35.2)";"5.7 (3.8, 7.6)";"2.7 (1.8, 3.7)";"3475.8 (2300.2, 4651.4)";"741.2 (490.5,  991.8)"
