"Date";"Days from today";"PPE (m3)";"PPE (tons)";"Body bags (m3)";"Body bags (tons)";"Chlorine (m3)";"Chlorine (tons)";"Medical supplies (m3)";"Medical supplies (tons)";"Lab supplies (m3)";"Lab supplies (tons)";"Total (m3)";"Total (tons)"
"2015-04-15";"168";"749.4";"155.7";"2";"0.2";"0.8";"0.8";"11.6";"5.8";"1.3";"0.6";"765.1";"163.1"
"2015-04-14";"167";"742.1";"154.2";"2";"0.2";"0.8";"0.8";"11.5";"5.7";"1.2";"0.6";"757.6";"161.5"
"2015-04-13";"166";"734.8";"152.7";"2";"0.2";"0.8";"0.8";"11.3";"5.7";"1.2";"0.6";"750.1";"160"
"2015-04-12";"165";"727.6";"151.2";"2";"0.2";"0.8";"0.8";"11.2";"5.6";"1.2";"0.6";"742.8";"158.4"
"2015-04-11";"164";"720.4";"149.7";"1.9";"0.2";"0.8";"0.8";"11.1";"5.6";"1.2";"0.6";"735.4";"156.8"
"2015-04-10";"163";"713.2";"148.2";"1.9";"0.2";"0.8";"0.8";"11";"5.5";"1.2";"0.6";"728.1";"155.3"
"2015-04-09";"162";"706.1";"146.7";"1.9";"0.2";"0.8";"0.8";"10.9";"5.5";"1.2";"0.6";"720.9";"153.7"
"2015-04-08";"161";"699.1";"145.3";"1.9";"0.2";"0.8";"0.8";"10.8";"5.4";"1.2";"0.6";"713.7";"152.2"
"2015-04-07";"160";"692.1";"143.8";"1.9";"0.2";"0.7";"0.7";"10.7";"5.3";"1.2";"0.6";"706.5";"150.7"
"2015-04-06";"159";"685.1";"142.4";"1.8";"0.2";"0.7";"0.7";"10.6";"5.3";"1.2";"0.6";"699.4";"149.1"
"2015-04-05";"158";"678.2";"140.9";"1.8";"0.2";"0.7";"0.7";"10.5";"5.2";"1.1";"0.5";"692.3";"147.6"
"2015-04-04";"157";"671.3";"139.5";"1.8";"0.2";"0.7";"0.7";"10.4";"5.2";"1.1";"0.5";"685.3";"146.1"
