"Date";"Days from today";"ETU caseload";"Nurses and paramedics";"Hygienists and nurses aids";"Doctors";"Support staff";"Total"
"2015-04-15";"168";"73078";"36539";"36539";"7308";"73078";"153464"
"2015-04-14";"167";"72884";"36442";"36442";"7288";"72884";"153056"
"2015-04-13";"166";"72667";"36334";"36334";"7267";"72667";"152602"
"2015-04-12";"165";"72425";"36212";"36212";"7242";"72425";"152091"
"2015-04-11";"164";"72159";"36080";"36080";"7216";"72159";"151535"
"2015-04-10";"163";"71868";"35934";"35934";"7187";"71868";"150923"
"2015-04-09";"162";"71553";"35776";"35776";"7155";"71553";"150260"
"2015-04-08";"161";"71214";"35607";"35607";"7121";"71214";"149549"
"2015-04-07";"160";"70851";"35426";"35426";"7085";"70851";"148788"
"2015-04-06";"159";"70463";"35232";"35232";"7046";"70463";"147973"
"2015-04-05";"158";"70051";"35026";"35026";"7005";"70051";"147108"
"2015-04-04";"157";"69615";"34808";"34808";"6962";"69615";"146193"
"2015-04-03";"156";"69155";"34578";"34578";"6916";"69155";"145227"
"2015-04-02";"155";"68672";"34336";"34336";"6867";"68672";"144211"
"2015-04-01";"154";"68165";"34082";"34082";"6816";"68165";"143145"
"2015-03-31";"153";"67636";"33818";"33818";"6764";"67636";"142036"
"2015-03-30";"152";"67084";"33542";"33542";"6708";"67084";"140876"
"2015-03-29";"151";"66509";"33254";"33254";"6651";"66509";"139668"
"2015-03-28";"150";"65913";"32956";"32956";"6591";"65913";"138416"
"2015-03-27";"149";"65295";"32648";"32648";"6530";"65295";"137121"
"2015-03-26";"148";"64656";"32328";"32328";"6466";"64656";"135778"
"2015-03-25";"147";"63997";"31998";"31998";"6400";"63997";"134393"
"2015-03-24";"146";"63318";"31659";"31659";"6332";"63318";"132968"
"2015-03-23";"145";"62619";"31310";"31310";"6262";"62619";"131501"
"2015-03-22";"144";"61902";"30951";"30951";"6190";"61902";"129994"
"2015-03-21";"143";"61168";"30584";"30584";"6117";"61168";"128453"
"2015-03-20";"142";"60416";"30208";"30208";"6042";"60416";"126874"
"2015-03-19";"141";"59647";"29824";"29824";"5965";"59647";"125260"
"2015-03-18";"140";"58863";"29432";"29432";"5886";"58863";"123613"
"2015-03-17";"139";"58063";"29032";"29032";"5806";"58063";"121933"
"2015-03-16";"138";"57250";"28625";"28625";"5725";"57250";"120225"
"2015-03-15";"137";"56423";"28212";"28212";"5642";"56423";"118489"
"2015-03-14";"136";"55584";"27792";"27792";"5558";"55584";"116726"
"2015-03-13";"135";"54733";"27367";"27367";"5473";"54733";"114940"
"2015-03-12";"134";"53871";"26936";"26936";"5387";"53871";"113130"
"2015-03-11";"133";"53000";"26500";"26500";"5300";"53000";"111300"
"2015-03-10";"132";"52119";"26060";"26060";"5212";"52119";"109451"
"2015-03-09";"131";"51231";"25615";"25615";"5123";"51231";"107584"
"2015-03-08";"130";"50336";"25168";"25168";"5034";"50336";"105706"
"2015-03-07";"129";"49435";"24718";"24718";"4944";"49435";"103815"
"2015-03-06";"128";"48529";"24264";"24264";"4853";"48529";"101910"
"2015-03-05";"127";"47618";"23809";"23809";"4762";"47618";"99998"
"2015-03-04";"126";"46705";"23352";"23352";"4670";"46705";"98079"
"2015-03-03";"125";"45789";"22894";"22894";"4579";"45789";"96156"
"2015-03-02";"124";"44871";"22436";"22436";"4487";"44871";"94230"
"2015-03-01";"123";"43954";"21977";"21977";"4395";"43954";"92303"
"2015-02-28";"122";"43037";"21518";"21518";"4304";"43037";"90377"
"2015-02-27";"121";"42121";"21060";"21060";"4212";"42121";"88453"
"2015-02-26";"120";"41207";"20604";"20604";"4121";"41207";"86536"
"2015-02-25";"119";"40297";"20148";"20148";"4030";"40297";"84623"
"2015-02-24";"118";"39390";"19695";"19695";"3939";"39390";"82719"
"2015-02-23";"117";"38489";"19244";"19244";"3849";"38489";"80826"
"2015-02-22";"116";"37592";"18796";"18796";"3759";"37592";"78943"
"2015-02-21";"115";"36702";"18351";"18351";"3670";"36702";"77074"
"2015-02-20";"114";"35820";"17910";"17910";"3582";"35820";"75222"
"2015-02-19";"113";"34944";"17472";"17472";"3494";"34944";"73382"
"2015-02-18";"112";"34078";"17039";"17039";"3408";"34078";"71564"
"2015-02-17";"111";"33220";"16610";"16610";"3322";"33220";"69762"
"2015-02-16";"110";"32372";"16186";"16186";"3237";"32372";"67981"
