"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-04-15";"168";"109774 (-46928, 266476)";"1380";"1812445 (-601188, 4226078)";"26585";"302893 (   9785, 596000)";"277495 ( -14501, 569491)";"14815 (-2501, 32131)";"73078 (   -50, 146205)";"131540 (   -89, 263168)";"11%"
"2015-04-14";"167";"108394 (-47126, 263915)";"1385";"1785860 (-609446, 4181165)";"26611";"303234 (   7185, 599284)";"276721 ( -17752, 571195)";"14815 (-2701, 32331)";"72884 (  -864, 146633)";"131191 ( -1556, 263939)";"12%"
"2015-04-13";"166";"107009 (-47297, 261315)";"1391";"1759248 (-617195, 4135692)";"26629";"303484 (   4455, 602513)";"275856 ( -21051, 572763)";"14810 (-2902, 32522)";"72667 ( -1692, 147025)";"130800 ( -3046, 264646)";"12%"
"2015-04-12";"165";"105618 (-47441, 258677)";"1396";"1732620 (-624430, 4089669)";"26639";"303641 (   1602, 605679)";"274900 ( -24389, 574189)";"14799 (-3104, 32703)";"72425 ( -2531, 147381)";"130365 ( -4556, 265285)";"12%"
"2015-04-11";"164";"104223 (-47557, 256003)";"1400";"1705981 (-631146, 4043108)";"26640";"303702 (  -1371, 608775)";"273852 ( -27759, 575462)";"14783 (-3305, 32872)";"72159 ( -3379, 147697)";"129886 ( -6083, 265854)";"12%"
"2015-04-10";"163";"102823 (-47646, 253292)";"1404";"1679341 (-637339, 3996022)";"26632";"303667 (  -4456, 611790)";"272711 ( -31155, 576577)";"14762 (-3506, 33030)";"71868 ( -4235, 147972)";"129363 ( -7624, 266350)";"12%"
"2015-04-09";"162";"101419 (-47707, 250545)";"1407";"1652709 (-643005, 3948423)";"26616";"303534 (  -7649, 614716)";"271479 ( -34568, 577526)";"14735 (-3707, 33177)";"71553 ( -5097, 148204)";"128796 ( -9175, 266767)";"12%"
"2015-04-08";"161";"100012 (-47740, 247764)";"1410";"1626093 (-648140, 3900325)";"26591";"303300 ( -10942, 617543)";"270155 ( -37992, 578301)";"14702 (-3906, 33311)";"71214 ( -5963, 148391)";"128186 (-10733, 267104)";"12%"
"2015-04-07";"160";" 98602 (-47745, 244949)";"1412";"1599501 (-652743, 3851745)";"26558";"302966 ( -14329, 620261)";"268738 ( -41419, 578896)";"14664 (-4104, 33432)";"70851 ( -6830, 148532)";"127531 (-12295, 267357)";"12%"
"2015-04-06";"159";" 97190 (-47722, 242101)";"1414";"1572944 (-656810, 3802698)";"26515";"302529 ( -17802, 622861)";"267231 ( -44840, 579302)";"14621 (-4299, 33541)";"70463 ( -7698, 148624)";"126833 (-13857, 267523)";"12%"
"2015-04-05";"158";" 95775 (-47671, 239222)";"1415";"1546429 (-660342, 3753200)";"26463";"301989 ( -21355, 625332)";"265632 ( -48250, 579515)";"14572 (-4493, 33636)";"70051 ( -8564, 148666)";"126092 (-15416, 267599)";"12%"
"2015-04-04";"157";" 94360 (-47591, 236311)";"1416";"1519966 (-663337, 3703269)";"26401";"301344 ( -24978, 627665)";"263943 ( -51640, 579526)";"14517 (-4684, 33718)";"69615 ( -9427, 148657)";"125307 (-16968, 267582)";"12%"
