"Date";"Days from today";"ETU caseload";"Nurses and paramedics";"Hygienists and nurses aids";"Doctors";"Support staff";"Total"
"2015-04-15";"168";"94906";"47453";"47453";"9491";"94906";"199303"
"2015-04-14";"167";"95228";"47614";"47614";"9523";"95228";"199979"
"2015-04-13";"166";"95510";"47755";"47755";"9551";"95510";"200571"
"2015-04-12";"165";"95749";"47874";"47874";"9575";"95749";"201072"
"2015-04-11";"164";"95946";"47973";"47973";"9595";"95946";"201487"
"2015-04-10";"163";"96099";"48050";"48050";"9610";"96099";"201809"
"2015-04-09";"162";"96209";"48104";"48104";"9621";"96209";"202038"
"2015-04-08";"161";"96276";"48138";"48138";"9628";"96276";"202180"
"2015-04-07";"160";"96299";"48150";"48150";"9630";"96299";"202229"
"2015-04-06";"159";"96277";"48138";"48138";"9628";"96277";"202181"
"2015-04-05";"158";"96211";"48106";"48106";"9621";"96211";"202044"
"2015-04-04";"157";"96101";"48050";"48050";"9610";"96101";"201811"
"2015-04-03";"156";"95946";"47973";"47973";"9595";"95946";"201487"
"2015-04-02";"155";"95748";"47874";"47874";"9575";"95748";"201071"
"2015-04-01";"154";"95505";"47752";"47752";"9550";"95505";"200559"
"2015-03-31";"153";"95219";"47610";"47610";"9522";"95219";"199961"
"2015-03-30";"152";"94889";"47444";"47444";"9489";"94889";"199266"
"2015-03-29";"151";"94517";"47258";"47258";"9452";"94517";"198485"
"2015-03-28";"150";"94102";"47051";"47051";"9410";"94102";"197614"
"2015-03-27";"149";"93646";"46823";"46823";"9365";"93646";"196657"
"2015-03-26";"148";"93149";"46574";"46574";"9315";"93149";"195612"
"2015-03-25";"147";"92612";"46306";"46306";"9261";"92612";"194485"
"2015-03-24";"146";"92035";"46018";"46018";"9204";"92035";"193275"
"2015-03-23";"145";"91419";"45710";"45710";"9142";"91419";"191981"
"2015-03-22";"144";"90766";"45383";"45383";"9077";"90766";"190609"
"2015-03-21";"143";"90076";"45038";"45038";"9008";"90076";"189160"
"2015-03-20";"142";"89351";"44676";"44676";"8935";"89351";"187638"
"2015-03-19";"141";"88591";"44296";"44296";"8859";"88591";"186042"
"2015-03-18";"140";"87799";"43900";"43900";"8780";"87799";"184379"
"2015-03-17";"139";"86974";"43487";"43487";"8697";"86974";"182645"
"2015-03-16";"138";"86118";"43059";"43059";"8612";"86118";"180848"
"2015-03-15";"137";"85233";"42616";"42616";"8523";"85233";"178988"
"2015-03-14";"136";"84319";"42160";"42160";"8432";"84319";"177071"
"2015-03-13";"135";"83379";"41690";"41690";"8338";"83379";"175097"
"2015-03-12";"134";"82414";"41207";"41207";"8241";"82414";"173069"
"2015-03-11";"133";"81424";"40712";"40712";"8142";"81424";"170990"
"2015-03-10";"132";"80412";"40206";"40206";"8041";"80412";"168865"
"2015-03-09";"131";"79379";"39690";"39690";"7938";"79379";"166697"
"2015-03-08";"130";"78327";"39164";"39164";"7833";"78327";"164488"
"2015-03-07";"129";"77256";"38628";"38628";"7726";"77256";"162238"
"2015-03-06";"128";"76168";"38084";"38084";"7617";"76168";"159953"
"2015-03-05";"127";"75066";"37533";"37533";"7507";"75066";"157639"
"2015-03-04";"126";"73949";"36974";"36974";"7395";"73949";"155292"
"2015-03-03";"125";"72820";"36410";"36410";"7282";"72820";"152922"
"2015-03-02";"124";"71680";"35840";"35840";"7168";"71680";"150528"
"2015-03-01";"123";"70531";"35266";"35266";"7053";"70531";"148116"
"2015-02-28";"122";"69373";"34686";"34686";"6937";"69373";"145682"
"2015-02-27";"121";"68209";"34104";"34104";"6821";"68209";"143238"
"2015-02-26";"120";"67039";"33520";"33520";"6704";"67039";"140783"
"2015-02-25";"119";"65865";"32932";"32932";"6586";"65865";"138315"
"2015-02-24";"118";"64688";"32344";"32344";"6469";"64688";"135845"
"2015-02-23";"117";"63510";"31755";"31755";"6351";"63510";"133371"
"2015-02-22";"116";"62331";"31165";"31165";"6233";"62331";"130894"
"2015-02-21";"115";"61153";"30576";"30576";"6115";"61153";"128420"
"2015-02-20";"114";"59977";"29988";"29988";"5998";"59977";"125951"
"2015-02-19";"113";"58804";"29402";"29402";"5880";"58804";"123488"
"2015-02-18";"112";"57635";"28818";"28818";"5764";"57635";"121035"
