"Date";"Days from today";"Caseload";"Administrator (coordination)";"Doctor (ETU)";"Doctor (coordination)";"Epidemiologist (contact tracing)";"Epidemiologist (coordination)";"Lab scientist (laboratories)";"Logistician (burials)";"Logistician (ETU)";"Logistician (coordination)";"Nurse (ETU)";"Public health specialist (Social mobilization)";"Public health specialist (coordination)";"Data management (coordination)";"Total personnel"
"2015-04-15";"168";"30632";"34";"69";"17";"38";"51";"103";"51";"136";"51";"273";"78";"34";"43";"978"
"2015-04-14";"167";"30333";"33";"68";"17";"38";"50";"102";"50";"135";"50";"270";"77";"33";"42";"965"
"2015-04-13";"166";"30035";"33";"68";"17";"38";"50";"101";"50";"134";"50";"267";"77";"33";"42";"960"
"2015-04-12";"165";"29740";"33";"67";"16";"37";"49";"100";"49";"132";"49";"265";"76";"33";"42";"948"
"2015-04-11";"164";"29446";"32";"66";"16";"37";"49";"99";"49";"131";"49";"262";"75";"32";"41";"938"
"2015-04-10";"163";"29154";"32";"66";"16";"36";"48";"98";"48";"130";"48";"259";"74";"32";"41";"928"
"2015-04-09";"162";"28863";"32";"65";"16";"36";"48";"97";"48";"128";"48";"257";"74";"32";"40";"921"
"2015-04-08";"161";"28575";"31";"64";"16";"36";"47";"96";"47";"127";"47";"254";"73";"31";"40";"909"
"2015-04-07";"160";"28288";"31";"64";"16";"35";"47";"95";"47";"126";"47";"252";"72";"31";"40";"903"
"2015-04-06";"159";"28003";"31";"63";"15";"35";"46";"94";"46";"125";"46";"249";"71";"31";"39";"891"
"2015-04-05";"158";"27720";"30";"62";"15";"35";"46";"93";"46";"123";"46";"247";"71";"30";"39";"883"
"2015-04-04";"157";"27439";"30";"62";"15";"34";"45";"92";"45";"122";"45";"244";"70";"30";"38";"872"
"2015-04-03";"156";"27159";"30";"61";"15";"34";"45";"91";"45";"121";"45";"242";"69";"30";"38";"866"
"2015-04-02";"155";"26882";"30";"60";"15";"34";"44";"90";"44";"120";"44";"239";"69";"30";"38";"857"
"2015-04-01";"154";"26606";"29";"60";"15";"33";"44";"89";"44";"118";"44";"237";"68";"29";"37";"847"
"2015-03-31";"153";"26332";"29";"59";"14";"33";"43";"88";"43";"117";"43";"234";"67";"29";"37";"836"
"2015-03-30";"152";"26060";"29";"59";"14";"33";"43";"87";"43";"116";"43";"232";"66";"29";"36";"830"
"2015-03-29";"151";"25790";"28";"58";"14";"32";"43";"86";"43";"115";"43";"230";"66";"28";"36";"822"
"2015-03-28";"150";"25522";"28";"57";"14";"32";"42";"85";"42";"114";"42";"227";"65";"28";"36";"812"
"2015-03-27";"149";"25256";"28";"57";"14";"32";"42";"85";"42";"112";"42";"225";"64";"28";"35";"806"
"2015-03-26";"148";"24992";"27";"56";"14";"31";"41";"84";"41";"111";"41";"222";"64";"27";"35";"794"
"2015-03-25";"147";"24730";"27";"56";"14";"31";"41";"83";"41";"110";"41";"220";"63";"27";"35";"789"
"2015-03-24";"146";"24470";"27";"55";"13";"31";"40";"82";"40";"109";"40";"218";"62";"27";"34";"778"
"2015-03-23";"145";"24212";"27";"54";"13";"30";"40";"81";"40";"108";"40";"215";"62";"27";"34";"771"
"2015-03-22";"144";"23955";"26";"54";"13";"30";"40";"80";"40";"107";"40";"213";"61";"26";"34";"764"
"2015-03-21";"143";"23701";"26";"53";"13";"30";"39";"79";"39";"105";"39";"211";"60";"26";"33";"753"
"2015-03-20";"142";"23449";"26";"53";"13";"29";"39";"79";"39";"104";"39";"209";"60";"26";"33";"749"
"2015-03-19";"141";"23199";"26";"52";"13";"29";"38";"78";"38";"103";"38";"206";"59";"26";"32";"738"
"2015-03-18";"140";"22950";"25";"52";"13";"29";"38";"77";"38";"102";"38";"204";"59";"25";"32";"732"
"2015-03-17";"139";"22704";"25";"51";"12";"28";"37";"76";"37";"101";"37";"202";"58";"25";"32";"721"
"2015-03-16";"138";"22460";"25";"51";"12";"28";"37";"75";"37";"100";"37";"200";"57";"25";"31";"715"
"2015-03-15";"137";"22218";"24";"50";"12";"28";"37";"74";"37";"99";"37";"198";"57";"24";"31";"708"
"2015-03-14";"136";"21977";"24";"49";"12";"27";"36";"74";"36";"98";"36";"196";"56";"24";"31";"699"
"2015-03-13";"135";"21739";"24";"49";"12";"27";"36";"73";"36";"97";"36";"193";"55";"24";"30";"692"
"2015-03-12";"134";"21503";"24";"48";"12";"27";"35";"72";"35";"96";"35";"191";"55";"24";"30";"684"
"2015-03-11";"133";"21269";"23";"48";"12";"27";"35";"71";"35";"95";"35";"189";"54";"23";"30";"677"
"2015-03-10";"132";"21037";"23";"47";"12";"26";"35";"70";"35";"94";"35";"187";"54";"23";"29";"670"
"2015-03-09";"131";"20807";"23";"47";"11";"26";"34";"70";"34";"93";"34";"185";"53";"23";"29";"662"
"2015-03-08";"130";"20578";"23";"46";"11";"26";"34";"69";"34";"92";"34";"183";"52";"23";"29";"656"
"2015-03-07";"129";"20352";"22";"46";"11";"25";"34";"68";"34";"91";"34";"181";"52";"22";"28";"648"
"2015-03-06";"128";"20128";"22";"45";"11";"25";"33";"67";"33";"90";"33";"179";"51";"22";"28";"639"
"2015-03-05";"127";"19906";"22";"45";"11";"25";"33";"67";"33";"89";"33";"177";"51";"22";"28";"636"
"2015-03-04";"126";"19686";"22";"44";"11";"25";"32";"66";"32";"88";"32";"175";"50";"22";"28";"627"
"2015-03-03";"125";"19467";"21";"44";"11";"24";"32";"65";"32";"87";"32";"173";"50";"21";"27";"619"
"2015-03-02";"124";"19251";"21";"43";"11";"24";"32";"64";"32";"86";"32";"171";"49";"21";"27";"613"
"2015-03-01";"123";"19037";"21";"43";"10";"24";"31";"64";"31";"85";"31";"169";"49";"21";"27";"606"
"2015-02-28";"122";"18825";"21";"42";"10";"24";"31";"63";"31";"84";"31";"168";"48";"21";"26";"600"
"2015-02-27";"121";"18614";"20";"42";"10";"23";"31";"62";"31";"83";"31";"166";"47";"20";"26";"592"
"2015-02-26";"120";"18406";"20";"41";"10";"23";"30";"62";"30";"82";"30";"164";"47";"20";"26";"585"
"2015-02-25";"119";"18200";"20";"41";"10";"23";"30";"61";"30";"81";"30";"162";"46";"20";"25";"579"
"2015-02-24";"118";"17995";"20";"40";"10";"22";"30";"60";"30";"80";"30";"160";"46";"20";"25";"573"
"2015-02-23";"117";"17793";"20";"40";"10";"22";"29";"60";"29";"79";"29";"158";"45";"20";"25";"566"
"2015-02-22";"116";"17592";"19";"40";"10";"22";"29";"59";"29";"78";"29";"157";"45";"19";"25";"561"
"2015-02-21";"115";"17394";"19";"39";"10";"22";"29";"58";"29";"77";"29";"155";"44";"19";"24";"554"
"2015-02-20";"114";"17197";"19";"39";"9";"21";"28";"58";"28";"77";"28";"153";"44";"19";"24";"547"
"2015-02-19";"113";"17002";"19";"38";"9";"21";"28";"57";"28";"76";"28";"151";"43";"19";"24";"541"
"2015-02-18";"112";"16809";"18";"38";"9";"21";"28";"56";"28";"75";"28";"150";"43";"18";"24";"536"
"2015-02-17";"111";"16618";"18";"37";"9";"21";"27";"56";"27";"74";"27";"148";"42";"18";"23";"527"
"2015-02-16";"110";"16429";"18";"37";"9";"21";"27";"55";"27";"73";"27";"146";"42";"18";"23";"523"
"2015-02-15";"109";"16242";"18";"37";"9";"20";"27";"54";"27";"72";"27";"145";"41";"18";"23";"518"
"2015-02-14";"108";"16056";"18";"36";"9";"20";"26";"54";"26";"71";"26";"143";"41";"18";"22";"510"
"2015-02-13";"107";"15873";"17";"36";"9";"20";"26";"53";"26";"71";"26";"141";"40";"17";"22";"504"
"2015-02-12";"106";"15691";"17";"35";"9";"20";"26";"53";"26";"70";"26";"140";"40";"17";"22";"501"
"2015-02-11";"105";"15511";"17";"35";"9";"19";"26";"52";"26";"69";"26";"138";"40";"17";"22";"496"
"2015-02-10";"104";"15333";"17";"34";"8";"19";"25";"51";"25";"68";"25";"136";"39";"17";"21";"485"
"2015-02-09";"103";"15156";"17";"34";"8";"19";"25";"51";"25";"67";"25";"135";"39";"17";"21";"483"
"2015-02-08";"102";"14982";"16";"34";"8";"19";"25";"50";"25";"67";"25";"133";"38";"16";"21";"477"
"2015-02-07";"101";"14809";"16";"33";"8";"19";"24";"50";"24";"66";"24";"132";"38";"16";"21";"471"
"2015-02-06";"100";"14638";"16";"33";"8";"18";"24";"49";"24";"65";"24";"130";"37";"16";"20";"464"
"2015-02-05";"99";"14469";"16";"33";"8";"18";"24";"48";"24";"64";"24";"129";"37";"16";"20";"461"
"2015-02-04";"98";"14302";"16";"32";"8";"18";"24";"48";"24";"64";"24";"127";"36";"16";"20";"457"
"2015-02-03";"97";"14136";"16";"32";"8";"18";"23";"47";"23";"63";"23";"126";"36";"16";"20";"451"
"2015-02-02";"96";"13972";"15";"31";"8";"17";"23";"47";"23";"62";"23";"124";"36";"15";"20";"444"
"2015-02-01";"95";"13810";"15";"31";"8";"17";"23";"46";"23";"61";"23";"123";"35";"15";"19";"439"
"2015-01-31";"94";"13649";"15";"31";"8";"17";"23";"46";"23";"61";"23";"121";"35";"15";"19";"437"
"2015-01-30";"93";"13491";"15";"30";"7";"17";"22";"45";"22";"60";"22";"120";"34";"15";"19";"428"
"2015-01-29";"92";"13333";"15";"30";"7";"17";"22";"45";"22";"59";"22";"119";"34";"15";"19";"426"
"2015-01-28";"91";"13178";"14";"30";"7";"16";"22";"44";"22";"59";"22";"117";"34";"14";"18";"419"
"2015-01-27";"90";"13024";"14";"29";"7";"16";"21";"44";"21";"58";"21";"116";"33";"14";"18";"412"
"2015-01-26";"89";"12872";"14";"29";"7";"16";"21";"43";"21";"57";"21";"115";"33";"14";"18";"409"
"2015-01-25";"88";"12721";"14";"29";"7";"16";"21";"43";"21";"57";"21";"113";"32";"14";"18";"406"
"2015-01-24";"87";"12572";"14";"28";"7";"16";"21";"42";"21";"56";"21";"112";"32";"14";"18";"402"
"2015-01-23";"86";"12425";"14";"28";"7";"16";"21";"42";"21";"55";"21";"111";"32";"14";"17";"399"
"2015-01-22";"85";"12279";"14";"28";"7";"15";"20";"41";"20";"55";"20";"109";"31";"14";"17";"391"
"2015-01-21";"84";"12135";"13";"27";"7";"15";"20";"41";"20";"54";"20";"108";"31";"13";"17";"386"
"2015-01-20";"83";"11993";"13";"27";"7";"15";"20";"40";"20";"53";"20";"107";"31";"13";"17";"383"
"2015-01-19";"82";"11852";"13";"27";"7";"15";"20";"40";"20";"53";"20";"105";"30";"13";"17";"380"
"2015-01-18";"81";"11712";"13";"26";"6";"15";"19";"39";"19";"52";"19";"104";"30";"13";"16";"371"
"2015-01-17";"80";"11574";"13";"26";"6";"14";"19";"39";"19";"52";"19";"103";"30";"13";"16";"369"
"2015-01-16";"79";"11438";"13";"26";"6";"14";"19";"38";"19";"51";"19";"102";"29";"13";"16";"365"
