"Date";"Days from today";"Caseload";"Administrator (coordination)";"Doctor (ETU)";"Doctor (coordination)";"Epidemiologist (contact tracing)";"Epidemiologist (coordination)";"Lab scientist (laboratories)";"Logistician (burials)";"Logistician (ETU)";"Logistician (coordination)";"Nurse (ETU)";"Public health specialist (Social mobilization)";"Public health specialist (coordination)";"Data management (coordination)";"Total personnel"
"2015-04-15";"168";"204617";"225";"460";"113";"256";"338";"685";"338";"911";"338";"1821";"522";"225";"286";"6518"
"2015-04-14";"167";"204075";"224";"459";"112";"255";"337";"684";"337";"908";"337";"1816";"520";"224";"286";"6499"
"2015-04-13";"166";"203466";"224";"458";"112";"254";"336";"682";"336";"905";"336";"1811";"519";"224";"285";"6482"
"2015-04-12";"165";"202789";"223";"456";"112";"253";"335";"679";"335";"902";"335";"1805";"517";"223";"284";"6459"
"2015-04-11";"164";"202044";"222";"455";"111";"253";"333";"677";"333";"899";"333";"1798";"515";"222";"283";"6434"
"2015-04-10";"163";"201231";"221";"453";"111";"252";"332";"674";"332";"895";"332";"1791";"513";"221";"282";"6409"
"2015-04-09";"162";"200350";"220";"451";"110";"250";"331";"671";"331";"892";"331";"1783";"511";"220";"280";"6381"
"2015-04-08";"161";"199400";"219";"449";"110";"249";"329";"668";"329";"887";"329";"1775";"508";"219";"279";"6350"
"2015-04-07";"160";"198382";"218";"446";"109";"248";"327";"665";"327";"883";"327";"1766";"506";"218";"278";"6318"
"2015-04-06";"159";"197296";"217";"444";"109";"247";"326";"661";"326";"878";"326";"1756";"503";"217";"276";"6286"
"2015-04-05";"158";"196143";"216";"441";"108";"245";"324";"657";"324";"873";"324";"1746";"500";"216";"275";"6249"
"2015-04-04";"157";"194922";"214";"439";"107";"244";"322";"653";"322";"867";"322";"1735";"497";"214";"273";"6209"
"2015-04-03";"156";"193635";"213";"436";"106";"242";"319";"649";"319";"862";"319";"1723";"494";"213";"271";"6166"
"2015-04-02";"155";"192282";"212";"433";"106";"240";"317";"644";"317";"856";"317";"1711";"490";"212";"269";"6124"
"2015-04-01";"154";"190863";"210";"429";"105";"239";"315";"639";"315";"849";"315";"1699";"487";"210";"267";"6079"
"2015-03-31";"153";"189380";"208";"426";"104";"237";"312";"634";"312";"843";"312";"1685";"483";"208";"265";"6029"
"2015-03-30";"152";"187834";"207";"423";"103";"235";"310";"629";"310";"836";"310";"1672";"479";"207";"263";"5984"
"2015-03-29";"151";"186225";"205";"419";"102";"233";"307";"624";"307";"829";"307";"1657";"475";"205";"261";"5931"
"2015-03-28";"150";"184555";"203";"415";"102";"231";"305";"618";"305";"821";"305";"1643";"471";"203";"258";"5880"
"2015-03-27";"149";"182825";"201";"411";"101";"229";"302";"612";"302";"814";"302";"1627";"466";"201";"256";"5824"
"2015-03-26";"148";"181037";"199";"407";"100";"226";"299";"606";"299";"806";"299";"1611";"462";"199";"253";"5766"
"2015-03-25";"147";"179191";"197";"403";"99";"224";"296";"600";"296";"797";"296";"1595";"457";"197";"251";"5708"
"2015-03-24";"146";"177289";"195";"399";"98";"222";"293";"594";"293";"789";"293";"1578";"452";"195";"248";"5649"
"2015-03-23";"145";"175334";"193";"395";"96";"219";"289";"587";"289";"780";"289";"1560";"447";"193";"245";"5582"
"2015-03-22";"144";"173327";"191";"390";"95";"217";"286";"581";"286";"771";"286";"1543";"442";"191";"243";"5522"
"2015-03-21";"143";"171269";"188";"385";"94";"214";"283";"574";"283";"762";"283";"1524";"437";"188";"240";"5455"
"2015-03-20";"142";"169163";"186";"381";"93";"211";"279";"567";"279";"753";"279";"1506";"431";"186";"237";"5388"
