"Date";"Days from today";"Caseload";"Administrator (coordination)";"Doctor (ETU)";"Doctor (coordination)";"Epidemiologist (contact tracing)";"Epidemiologist (coordination)";"Lab scientist (laboratories)";"Logistician (burials)";"Logistician (ETU)";"Logistician (coordination)";"Nurse (ETU)";"Public health specialist (Social mobilization)";"Public health specialist (coordination)";"Data management (coordination)";"Total personnel"
"2015-04-15";"168";"265737";"292";"598";"146";"332";"438";"890";"438";"1183";"438";"2365";"678";"292";"372";"8462"
"2015-04-14";"167";"266640";"293";"600";"147";"333";"440";"893";"440";"1187";"440";"2373";"680";"293";"373";"8492"
"2015-04-13";"166";"267427";"294";"602";"147";"334";"441";"896";"441";"1190";"441";"2380";"682";"294";"374";"8516"
"2015-04-12";"165";"268097";"295";"603";"147";"335";"442";"898";"442";"1193";"442";"2386";"684";"295";"375";"8537"
"2015-04-11";"164";"268647";"296";"604";"148";"336";"443";"900";"443";"1195";"443";"2391";"685";"296";"376";"8556"
"2015-04-10";"163";"269078";"296";"605";"148";"336";"444";"901";"444";"1197";"444";"2395";"686";"296";"377";"8569"
"2015-04-09";"162";"269387";"296";"606";"148";"337";"444";"902";"444";"1199";"444";"2398";"687";"296";"377";"8578"
"2015-04-08";"161";"269573";"297";"607";"148";"337";"445";"903";"445";"1200";"445";"2399";"687";"297";"377";"8587"
"2015-04-07";"160";"269636";"297";"607";"148";"337";"445";"903";"445";"1200";"445";"2400";"688";"297";"377";"8589"
"2015-04-06";"159";"269575";"297";"607";"148";"337";"445";"903";"445";"1200";"445";"2399";"687";"297";"377";"8587"
"2015-04-05";"158";"269391";"296";"606";"148";"337";"444";"902";"444";"1199";"444";"2398";"687";"296";"377";"8578"
"2015-04-04";"157";"269082";"296";"605";"148";"336";"444";"901";"444";"1197";"444";"2395";"686";"296";"377";"8569"
"2015-04-03";"156";"268649";"296";"604";"148";"336";"443";"900";"443";"1195";"443";"2391";"685";"296";"376";"8556"
"2015-04-02";"155";"268093";"295";"603";"147";"335";"442";"898";"442";"1193";"442";"2386";"684";"295";"375";"8537"
"2015-04-01";"154";"267414";"294";"602";"147";"334";"441";"896";"441";"1190";"441";"2380";"682";"294";"374";"8516"
"2015-03-31";"153";"266612";"293";"600";"147";"333";"440";"893";"440";"1186";"440";"2373";"680";"293";"373";"8491"
"2015-03-30";"152";"265690";"292";"598";"146";"332";"438";"890";"438";"1182";"438";"2365";"678";"292";"372";"8461"
"2015-03-29";"151";"264648";"291";"595";"146";"331";"437";"887";"437";"1178";"437";"2355";"675";"291";"371";"8431"
"2015-03-28";"150";"263487";"290";"593";"145";"329";"435";"883";"435";"1173";"435";"2345";"672";"290";"369";"8394"
"2015-03-27";"149";"262210";"288";"590";"144";"328";"433";"878";"433";"1167";"433";"2334";"669";"288";"367";"8352"
"2015-03-26";"148";"260817";"287";"587";"143";"326";"430";"874";"430";"1161";"430";"2321";"665";"287";"365";"8306"
"2015-03-25";"147";"259312";"285";"583";"143";"324";"428";"869";"428";"1154";"428";"2308";"661";"285";"363";"8259"
"2015-03-24";"146";"257697";"283";"580";"142";"322";"425";"863";"425";"1147";"425";"2294";"657";"283";"361";"8207"
"2015-03-23";"145";"255974";"282";"576";"141";"320";"422";"858";"422";"1139";"422";"2278";"653";"282";"358";"8153"
"2015-03-22";"144";"254145";"280";"572";"140";"318";"419";"851";"419";"1131";"419";"2262";"648";"280";"356";"8095"
"2015-03-21";"143";"252214";"277";"567";"139";"315";"416";"845";"416";"1122";"416";"2245";"643";"277";"353";"8031"
"2015-03-20";"142";"250183";"275";"563";"138";"313";"413";"838";"413";"1113";"413";"2227";"638";"275";"350";"7969"
"2015-03-19";"141";"248056";"273";"558";"136";"310";"409";"831";"409";"1104";"409";"2208";"633";"273";"347";"7900"
"2015-03-18";"140";"245836";"270";"553";"135";"307";"406";"824";"406";"1094";"406";"2188";"627";"270";"344";"7830"
"2015-03-17";"139";"243526";"268";"548";"134";"304";"402";"816";"402";"1084";"402";"2167";"621";"268";"341";"7757"
"2015-03-16";"138";"241130";"265";"543";"133";"301";"398";"808";"398";"1073";"398";"2146";"615";"265";"338";"7681"
"2015-03-15";"137";"238652";"263";"537";"131";"298";"394";"799";"394";"1062";"394";"2124";"609";"263";"334";"7602"
"2015-03-14";"136";"236094";"260";"531";"130";"295";"390";"791";"390";"1051";"390";"2101";"602";"260";"331";"7522"
"2015-03-13";"135";"233462";"257";"525";"128";"292";"385";"782";"385";"1039";"385";"2078";"595";"257";"327";"7435"
"2015-03-12";"134";"230759";"254";"519";"127";"288";"381";"773";"381";"1027";"381";"2054";"588";"254";"323";"7350"
"2015-03-11";"133";"227988";"251";"513";"125";"285";"376";"764";"376";"1015";"376";"2029";"581";"251";"319";"7261"
"2015-03-10";"132";"225155";"248";"507";"124";"281";"372";"754";"372";"1002";"372";"2004";"574";"248";"315";"7173"
"2015-03-09";"131";"222262";"244";"500";"122";"278";"367";"745";"367";"989";"367";"1978";"567";"244";"311";"7079"
"2015-03-08";"130";"219315";"241";"493";"121";"274";"362";"735";"362";"976";"362";"1952";"559";"241";"307";"6985"
"2015-03-07";"129";"216317";"238";"487";"119";"270";"357";"725";"357";"963";"357";"1925";"552";"238";"303";"6891"
"2015-03-06";"128";"213272";"235";"480";"117";"267";"352";"714";"352";"949";"352";"1898";"544";"235";"299";"6794"
"2015-03-05";"127";"210184";"231";"473";"116";"263";"347";"704";"347";"935";"347";"1871";"536";"231";"294";"6695"
"2015-03-04";"126";"207057";"228";"466";"114";"259";"342";"694";"342";"921";"342";"1843";"528";"228";"290";"6597"
"2015-03-03";"125";"203896";"224";"459";"112";"255";"336";"683";"336";"907";"336";"1815";"520";"224";"285";"6492"
"2015-03-02";"124";"200704";"221";"452";"110";"251";"331";"672";"331";"893";"331";"1786";"512";"221";"281";"6392"
"2015-03-01";"123";"197486";"217";"444";"109";"247";"326";"662";"326";"879";"326";"1758";"504";"217";"276";"6291"
"2015-02-28";"122";"194245";"214";"437";"107";"243";"321";"651";"321";"864";"321";"1729";"495";"214";"272";"6189"
"2015-02-27";"121";"190985";"210";"430";"105";"239";"315";"640";"315";"850";"315";"1700";"487";"210";"267";"6083"
