"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-04-15";"168";"183751 (105413, 262090)";"1792";"2820516 (1736374, 3904659)";"32338";"367043 (308251, 425836)";"359334 (289391, 429277)";"20290 (14723, 25857)";"94906 (77365, 112447)";"170831 (139257, 202404)";"11%"
"2015-04-14";"167";"181959 (103894, 260025)";"1810";"2788178 (1705024, 3871332)";"32613";"370246 (311018, 429474)";"360521 (287704, 433339)";"20392 (14630, 26154)";"95228 (76967, 113490)";"171411 (138541, 204281)";"12%"
"2015-04-13";"166";"180149 (102380, 257917)";"1828";"2755565 (1673834, 3837296)";"32876";"373312 (313271, 433353)";"361552 (285767, 437337)";"20487 (14530, 26443)";"95510 (76505, 114514)";"171917 (137709, 206126)";"12%"
"2015-04-12";"165";"178321 (100872, 255769)";"1845";"2722689 (1642820, 3802557)";"33126";"376235 (315010, 437460)";"362423 (283598, 441248)";"20572 (14424, 26721)";"95749 (75983, 115515)";"172348 (136769, 207927)";"12%"
"2015-04-11";"164";"176475 ( 99371, 253579)";"1862";"2689563 (1611999, 3767127)";"33363";"379011 (316242, 441780)";"363133 (281215, 445050)";"20649 (14310, 26989)";"95946 (75405, 116486)";"172702 (135729, 209675)";"12%"
"2015-04-10";"163";"174614 ( 97878, 251350)";"1877";"2656200 (1581385, 3731016)";"33586";"381634 (316982, 446285)";"363679 (278634, 448724)";"20718 (14190, 27245)";"96099 (74775, 117423)";"172979 (134596, 211361)";"12%"
"2015-04-09";"162";"172736 ( 96392, 249081)";"1892";"2622614 (1550994, 3694235)";"33795";"384098 (317250, 450946)";"364061 (275871, 452250)";"20777 (14065, 27490)";"96209 (74098, 118321)";"173177 (133377, 212977)";"12%"
"2015-04-08";"161";"170844 ( 94916, 246773)";"1906";"2588819 (1520840, 3656798)";"33990";"386400 (317073, 455728)";"364276 (272939, 455613)";"20828 (13934, 27722)";"96276 (73377, 119175)";"173297 (132078, 214515)";"12%"
"2015-04-07";"160";"168938 ( 93448, 244428)";"1920";"2554830 (1490939, 3618720)";"34169";"388535 (316475, 460595)";"364325 (269853, 458796)";"20870 (13797, 27942)";"96299 (72615, 119982)";"173337 (130706, 215968)";"12%"
"2015-04-06";"159";"167018 ( 91991, 242045)";"1932";"2520660 (1461304, 3580016)";"34334";"390498 (315487, 465509)";"364205 (266625, 461786)";"20902 (13656, 28148)";"96277 (71815, 120739)";"173298 (129266, 217330)";"12%"
"2015-04-05";"158";"165086 ( 90545, 239627)";"1944";"2486326 (1431950, 3540703)";"34483";"392286 (314135, 470437)";"363918 (263267, 464569)";"20926 (13511, 28341)";"96211 (70980, 121442)";"173180 (127764, 218595)";"12%"
"2015-04-04";"157";"163142 ( 89110, 237174)";"1955";"2451843 (1402889, 3500798)";"34616";"393894 (312446, 475342)";"363463 (259791, 467135)";"20940 (13361, 28519)";"96101 (70114, 122088)";"172981 (126204, 219758)";"12%"
"2015-04-03";"156";"161187 ( 87686, 234687)";"1965";"2417228 (1374134, 3460321)";"34733";"395319 (310446, 480192)";"362839 (256207, 469471)";"20945 (13207, 28684)";"95946 (69218, 122674)";"172703 (124592, 220814)";"12%"
