"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-04-15";"168";"30402 ( 9204, 51600)";"206";"371801 (45107, 698494)";"4277";"48982 (-9764, 107728)";"41629 (-7329, 90588)";"2130 (-309, 4570)";"10940 (-1315, 23195)";"19692 (-2367, 41750)";"11%"
"2015-04-14";"167";"30196 ( 9240, 51152)";"206";"367524 (45952, 689095)";"4237";"48529 (-9586, 106644)";"41210 (-7155, 89576)";"2122 (-302, 4546)";"10833 (-1273, 22940)";"19500 (-2292, 41291)";"12%"
"2015-04-13";"166";"29990 ( 9275, 50706)";"205";"363287 (46782, 679791)";"4198";"48077 (-9407, 105562)";"40794 (-6981, 88569)";"2114 (-294, 4522)";"10727 (-1232, 22686)";"19308 (-2217, 40834)";"12%"
"2015-04-12";"165";"29785 ( 9309, 50262)";"204";"359089 (47596, 670582)";"4158";"47628 (-9226, 104482)";"40380 (-6806, 87566)";"2106 (-286, 4497)";"10621 (-1190, 22433)";"19118 (-2143, 40380)";"12%"
"2015-04-11";"164";"29581 ( 9343, 49819)";"204";"354931 (48394, 661468)";"4119";"47181 (-9045, 103406)";"39968 (-6632, 86569)";"2097 (-278, 4473)";"10516 (-1149, 22182)";"18930 (-2068, 39927)";"12%"
"2015-04-10";"163";"29377 ( 9376, 49379)";"203";"350812 (49175, 652448)";"4080";"46735 (-8861, 102332)";"39560 (-6457, 85576)";"2089 (-270, 4448)";"10412 (-1107, 21931)";"18742 (-1993, 39477)";"12%"
"2015-04-09";"162";"29174 ( 9408, 48941)";"202";"346732 (49941, 643522)";"4041";"46292 (-8677, 101262)";"39153 (-6283, 84589)";"2080 (-262, 4423)";"10308 (-1066, 21682)";"18555 (-1918, 39028)";"12%"
"2015-04-08";"161";"28972 ( 9440, 48504)";"202";"342690 (50691, 634690)";"4003";"45851 (-8492, 100195)";"38749 (-6108, 83607)";"2072 (-254, 4398)";"10205 (-1024, 21435)";"18370 (-1844, 38583)";"12%"
"2015-04-07";"160";"28770 ( 9471, 48070)";"201";"338687 (51424, 625951)";"3964";"45413 (-8306,  99131)";"38348 (-5934, 82631)";"2063 (-246, 4373)";"10103 ( -983, 21189)";"18185 (-1769, 38139)";"12%"
"2015-04-06";"159";"28569 ( 9501, 47637)";"200";"334723 (52141, 617305)";"3926";"44976 (-8119,  98072)";"37950 (-5760, 81660)";"2055 (-238, 4347)";"10001 ( -941, 20944)";"18002 (-1695, 37699)";"12%"
"2015-04-05";"158";"28369 ( 9530, 47207)";"200";"330797 (52841, 608752)";"3888";"44542 (-7932,  97016)";"37554 (-5587, 80695)";"2046 (-230, 4322)";" 9900 ( -900, 20700)";"17820 (-1620, 37260)";"12%"
"2015-04-04";"157";"28169 ( 9559, 46779)";"199";"326909 (53525, 600292)";"3850";"44110 (-7744,  95965)";"37161 (-5414, 79735)";"2037 (-222, 4296)";" 9800 ( -859, 20458)";"17639 (-1547, 36825)";"12%"
"2015-04-03";"156";"27970 ( 9587, 46353)";"198";"323058 (54192, 591924)";"3813";"43681 (-7556,  94918)";"36770 (-5242, 78782)";"2029 (-213, 4271)";" 9700 ( -818, 20218)";"17459 (-1473, 36392)";"12%"
"2015-04-02";"155";"27772 ( 9615, 45929)";"198";"319245 (54843, 583647)";"3776";"43254 (-7367,  93875)";"36382 (-5070, 77835)";"2020 (-205, 4245)";" 9601 ( -777, 19979)";"17281 (-1399, 35962)";"12%"
"2015-04-01";"154";"27574 ( 9641, 45507)";"197";"315470 (55477, 575462)";"3738";"42830 (-7179,  92838)";"35997 (-4899, 76894)";"2011 (-196, 4219)";" 9502 ( -737, 19741)";"17104 (-1326, 35534)";"12%"
"2015-03-31";"153";"27377 ( 9667, 45087)";"196";"311731 (56095, 567367)";"3702";"42408 (-6990,  91805)";"35615 (-4729, 75959)";"2002 (-188, 4193)";" 9404 ( -697, 19505)";"16928 (-1254, 35109)";"13%"
"2015-03-30";"152";"27181 ( 9692, 44670)";"195";"308030 (56696, 559363)";"3665";"41988 (-6801,  90777)";"35235 (-4560, 75031)";"1994 (-179, 4167)";" 9307 ( -656, 19271)";"16753 (-1182, 34688)";"13%"
