"Date";"Days from today";"Cases (reported/treated)";"New cases/day (reported/treated)";"Cases (total)";"New cases/day (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2014-11-20";"29";" 7990 (6693,  9288)";"95";"51343 (40082,  62604)";"770";" 8820 (4426, 13214)";"6813 (3797,  9830)";" 881 (543, 1220)";"1924 (1165, 2682)";"3463 (2097, 4828)";"27%"
"2014-11-19";"28";" 7895 (6635,  9155)";"94";"50573 (39678,  61469)";"762";" 8732 (4436, 13027)";"6738 (3798,  9679)";" 877 (545, 1208)";"1904 (1164, 2643)";"3427 (2095, 4758)";"27%"
"2014-11-18";"27";" 7801 (6578,  9025)";"94";"49811 (39273,  60350)";"754";" 8644 (4446, 12843)";"6664 (3798,  9529)";" 872 (548, 1196)";"1884 (1163, 2605)";"3391 (2093, 4689)";"27%"
"2014-11-17";"26";" 7707 (6519,  8895)";"94";"49057 (38866,  59248)";"747";" 8557 (4455, 12660)";"6590 (3797,  9382)";" 867 (550, 1184)";"1864 (1162, 2567)";"3356 (2091, 4620)";"27%"
"2014-11-16";"25";" 7614 (6460,  8767)";"93";"48310 (38458,  58162)";"739";" 8471 (4463, 12479)";"6516 (3796,  9236)";" 863 (553, 1173)";"1845 (1160, 2529)";"3321 (2089, 4553)";"27%"
"2014-11-15";"24";" 7520 (6401,  8640)";"93";"47571 (38049,  57092)";"732";" 8385 (4471, 12300)";"6444 (3795,  9093)";" 858 (555, 1161)";"1825 (1159, 2492)";"3286 (2086, 4486)";"27%"
"2014-11-14";"23";" 7428 (6341,  8514)";"92";"46839 (37639,  56039)";"724";" 8300 (4478, 12123)";"6372 (3793,  8951)";" 854 (558, 1149)";"1806 (1157, 2455)";"3251 (2083, 4420)";"27%"
"2014-11-13";"22";" 7335 (6281,  8390)";"92";"46114 (37227,  55001)";"717";" 8216 (4485, 11947)";"6300 (3790,  8811)";" 849 (560, 1138)";"1787 (1156, 2419)";"3217 (2080, 4354)";"28%"
"2014-11-12";"21";" 7243 (6220,  8267)";"92";"45397 (36815,  53980)";"710";" 8132 (4491, 11774)";"6230 (3787,  8672)";" 844 (562, 1126)";"1768 (1154, 2383)";"3183 (2077, 4290)";"28%"
"2014-11-11";"20";" 7152 (6159,  8145)";"91";"44688 (36401,  52974)";"702";" 8050 (4496, 11603)";"6160 (3784,  8535)";" 840 (564, 1115)";"1750 (1152, 2348)";"3150 (2073, 4226)";"28%"
"2014-11-10";"19";" 7061 (6097,  8024)";"91";"43985 (35987,  51984)";"695";" 7967 (4501, 11433)";"6090 (3780,  8401)";" 835 (567, 1104)";"1731 (1150, 2313)";"3116 (2070, 4163)";"28%"
"2014-11-09";"18";" 6970 (6035,  7905)";"90";"43290 (35571,  51009)";"688";" 7886 (4505, 11266)";"6021 (3775,  8268)";" 831 (569, 1093)";"1713 (1148, 2278)";"3083 (2066, 4101)";"28%"
"2014-11-08";"17";" 6880 (5972,  7787)";"90";"42602 (35154,  50049)";"681";" 7805 (4509, 11100)";"5953 (3771,  8136)";" 826 (571, 1081)";"1695 (1145, 2244)";"3051 (2062, 4040)";"28%"
"2014-11-07";"16";" 6790 (5909,  7670)";"90";"41921 (34737,  49104)";"674";" 7724 (4512, 10936)";"5886 (3765,  8007)";" 821 (572, 1070)";"1677 (1143, 2211)";"3018 (2057, 3979)";"28%"
"2014-11-06";"15";" 6700 (5845,  7555)";"89";"41247 (34318,  48175)";"667";" 7645 (4515, 10775)";"5819 (3759,  7879)";" 817 (574, 1059)";"1659 (1140, 2177)";"2986 (2053, 3919)";"29%"
"2014-11-05";"14";" 6611 (5781,  7441)";"89";"40579 (33899,  47260)";"660";" 7566 (4517, 10615)";"5753 (3753,  7752)";" 812 (576, 1048)";"1641 (1138, 2145)";"2954 (2048, 3860)";"29%"
"2014-11-04";"13";" 6522 (5716,  7328)";"88";"39919 (33478,  46360)";"653";" 7487 (4518, 10457)";"5687 (3747,  7628)";" 808 (578, 1037)";"1624 (1135, 2112)";"2923 (2043, 3802)";"29%"
"2014-11-03";"12";" 6434 (5651,  7217)";"88";"39266 (33057,  45474)";"647";" 7410 (4519, 10301)";"5622 (3739,  7505)";" 803 (580, 1027)";"1606 (1132, 2080)";"2891 (2038, 3745)";"29%"
"2014-11-02";"11";" 6346 (5585,  7106)";"88";"38619 (32635,  44603)";"640";" 7333 (4519, 10146)";"5558 (3732,  7384)";" 798 (581, 1016)";"1589 (1129, 2049)";"2860 (2033, 3688)";"29%"
"2014-11-01";"10";" 6258 (5519,  6998)";"87";"37979 (32212,  43746)";"633";" 7256 (4519,  9994)";"5494 (3724,  7265)";" 794 (583, 1005)";"1572 (1126, 2018)";"2830 (2027, 3632)";"29%"
"2014-10-31";"9";" 6171 (5452,  6890)";"87";"37346 (31789,  42904)";"627";" 7181 (4518,  9844)";"5431 (3716,  7147)";" 789 (584,  995)";"1555 (1123, 1987)";"2799 (2022, 3577)";"29%"
"2014-10-30";"8";" 6084 (5385,  6783)";"86";"36720 (31364,  42075)";"620";" 7106 (4516,  9695)";"5369 (3707,  7031)";" 785 (585,  984)";"1538 (1120, 1957)";"2769 (2016, 3523)";"30%"
"2014-10-29";"7";" 5998 (5317,  6678)";"86";"36100 (30939,  41260)";"614";" 7031 (4514,  9548)";"5307 (3697,  6917)";" 780 (587,  974)";"1522 (1117, 1927)";"2739 (2010, 3469)";"30%"
"2014-10-28";"6";" 5912 (5249,  6574)";"86";"35486 (30513,  40459)";"607";" 6958 (4512,  9403)";"5246 (3688,  6804)";" 776 (588,  964)";"1505 (1113, 1898)";"2710 (2003, 3416)";"30%"
"2014-10-27";"5";" 5826 (5181,  6471)";"85";"34879 (30086,  39672)";"601";" 6885 (4509,  9260)";"5185 (3678,  6693)";" 771 (589,  953)";"1489 (1109, 1869)";"2680 (1997, 3364)";"30%"
"2014-10-26";"4";" 5741 (5112,  6370)";"85";"34278 (29659,  38897)";"594";" 6812 (4505,  9119)";"5125 (3667,  6584)";" 767 (590,  943)";"1473 (1106, 1840)";"2651 (1990, 3312)";"30%"
"2014-10-25";"3";" 5656 (5043,  6269)";"84";"33684 (29231,  38137)";"588";" 6740 (4501,  8980)";"5066 (3656,  6476)";" 762 (591,  933)";"1457 (1102, 1812)";"2623 (1984, 3262)";"30%"
"2014-10-24";"2";" 5572 (4974,  6170)";"84";"33096 (28802,  37389)";"582";" 6669 (4496,  8842)";"5007 (3645,  6370)";" 758 (592,  923)";"1441 (1098, 1784)";"2594 (1977, 3212)";"30%"
"2014-10-23";"1";" 5488 (4904,  6072)";"84";"32514 (28373,  36655)";"576";" 6599 (4491,  8707)";"4949 (3633,  6265)";" 753 (593,  914)";"1426 (1094, 1757)";"2566 (1969, 3163)";"31%"
"2014-10-22";"0";" 5404 (4833,  5975)";"83";"31938 (27943,  35933)";"570";" 6529 (4485,  8573)";"4891 (3621,  6162)";" 749 (593,  904)";"1410 (1090, 1730)";"2538 (1962, 3114)";"31%"
"2014-10-21";"-1";" 5321 (4763,  5879)";"83";"31368 (27513,  35224)";"564";" 6460 (4479,  8441)";"4834 (3608,  6061)";" 744 (594,  894)";"1395 (1086, 1703)";"2510 (1954, 3066)";"31%"
"2014-10-20";"-2";" 5238 (4692,  5785)";"82";"30805 (27082,  34527)";"558";" 6391 (4472,  8311)";"4778 (3595,  5961)";" 740 (595,  885)";"1379 (1081, 1677)";"2483 (1947, 3019)";"31%"
"2014-10-19";"-3";" 5156 (4621,  5691)";"82";"30247 (26651,  33843)";"552";" 6323 (4464,  8182)";"4722 (3582,  5863)";" 735 (595,  875)";"1364 (1077, 1652)";"2456 (1939, 2973)";"31%"
"2014-10-18";"-4";" 5074 (4549,  5598)";"79";"29695 (26219,  33171)";"528";" 6256 (4456,  8055)";"4667 (3568,  5766)";" 731 (595,  866)";"1349 (1073, 1626)";"2429 (1931, 2927)";"31%"
"2014-10-17";"-5";" 4995 (4475,  5515)";"81";"29167 (25771,  32563)";"540";" 6194 (4450,  7938)";"4616 (3554,  5677)";" 727 (595,  858)";"1336 (1068, 1603)";"2404 (1923, 2886)";"31%"
"2014-10-16";"-6";" 4914 (4404,  5424)";"81";"28627 (25339,  31914)";"535";" 6128 (4441,  7815)";"4561 (3539,  5584)";" 722 (595,  849)";"1321 (1063, 1579)";"2378 (1914, 2841)";"32%"
"2014-10-15";"-7";" 4833 (4332,  5334)";"80";"28092 (24907,  31277)";"529";" 6063 (4431,  7694)";"4508 (3524,  5492)";" 718 (595,  840)";"1306 (1058, 1554)";"2352 (1905, 2798)";"32%"
"2014-10-14";"-8";" 4753 (4260,  5245)";"80";"27563 (24475,  30651)";"523";" 5998 (4421,  7574)";"4455 (3508,  5402)";" 713 (595,  832)";"1292 (1054, 1531)";"2326 (1896, 2755)";"32%"
"2014-10-13";"-9";" 4673 (4188,  5157)";"80";"27040 (24043,  30036)";"518";" 5933 (4410,  7456)";"4402 (3492,  5313)";" 709 (595,  823)";"1278 (1048, 1507)";"2300 (1887, 2713)";"32%"
"2014-10-12";"-10";" 4593 (4116,  5070)";"79";"26522 (23612,  29432)";"512";" 5870 (4399,  7340)";"4350 (3475,  5225)";" 704 (594,  815)";"1264 (1043, 1484)";"2275 (1878, 2672)";"32%"
"2014-10-11";"-11";" 4514 (4044,  4983)";"79";"26010 (23181,  28839)";"507";" 5807 (4387,  7226)";"4299 (3458,  5140)";" 700 (594,  806)";"1250 (1038, 1462)";"2249 (1868, 2631)";"32%"
"2014-10-10";"-12";" 4435 (3972,  4898)";"78";"25503 (22750,  28256)";"501";" 5744 (4375,  7113)";"4248 (3441,  5056)";" 696 (593,  798)";"1236 (1032, 1439)";"2225 (1858, 2591)";"33%"
"2014-10-09";"-13";" 4356 (3900,  4813)";"78";"25002 (22321,  27684)";"496";" 5682 (4362,  7002)";"4198 (3422,  4973)";" 691 (592,  790)";"1222 (1027, 1418)";"2200 (1848, 2552)";"33%"
"2014-10-08";"-14";" 4278 (3828,  4728)";"78";"24506 (21892,  27121)";"490";" 5621 (4348,  6893)";"4148 (3404,  4892)";" 687 (591,  782)";"1209 (1021, 1396)";"2176 (1838, 2513)";"33%"
"2014-10-07";"-15";" 4200 (3756,  4645)";"77";"24016 (21464,  26568)";"485";" 5560 (4334,  6786)";"4099 (3385,  4812)";" 682 (590,  775)";"1195 (1015, 1375)";"2151 (1827, 2475)";"33%"
"2014-10-06";"-16";" 4123 (3685,  4562)";"77";"23531 (21038,  26024)";"480";" 5500 (4320,  6680)";"4050 (3365,  4735)";" 678 (588,  767)";"1182 (1009, 1355)";"2127 (1817, 2438)";"33%"
"2014-10-05";"-17";" 4046 (3613,  4479)";"77";"23051 (20613,  25489)";"475";" 5441 (4305,  6576)";"4002 (3345,  4658)";" 673 (586,  760)";"1169 (1003, 1334)";"2104 (1806, 2402)";"33%"
"2014-10-04";"-18";" 3970 (3542,  4397)";"76";"22576 (20190,  24963)";"470";" 5382 (4289,  6474)";"3954 (3324,  4584)";" 669 (584,  753)";"1156 ( 997, 1314)";"2080 (1794, 2366)";"33%"
