"Date";"Days from today";"Cases (reported/treated)";"New cases/day (reported/treated)";"Cases (total)";"New cases/day (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2014-11-22";"31";" 9087 ( 7706, 10469)";"224";" 71239 ( 56998,  85480)";"2147";"24826 (16848, 32804)";"16461 (11604, 21318)";"1781 (1308, 2253)";"4561 (3341,  5780)";" 8209 ( 6013, 10405)";"26%"
"2014-11-21";"30";" 8864 ( 7547, 10181)";"218";" 69092 ( 55535,  82648)";"2087";"24132 (16453, 31811)";"15973 (11316, 20630)";"1737 (1283, 2192)";"4428 (3258,  5597)";" 7970 ( 5864, 10075)";"26%"
"2014-11-20";"29";" 8646 ( 7392,  9899)";"213";" 67005 ( 54107,  79903)";"2028";"23454 (16066, 30842)";"15498 (11034, 19961)";"1695 (1258, 2132)";"4298 (3177,  5419)";" 7737 ( 5719,  9755)";"27%"
"2014-11-19";"28";" 8432 ( 7239,  9625)";"208";" 64976 ( 52712,  77241)";"1971";"22791 (15687, 29895)";"15034 (10759, 19310)";"1653 (1233, 2073)";"4172 (3098,  5246)";" 7509 ( 5576,  9442)";"27%"
"2014-11-18";"27";" 8224 ( 7089,  9358)";"204";" 63006 ( 51350,  74662)";"1915";"22143 (15315, 28972)";"14583 (10489, 18676)";"1612 (1209, 2015)";"4049 (3020,  5077)";" 7288 ( 5436,  9139)";"27%"
"2014-11-17";"26";" 8020 ( 6942,  9099)";"199";" 61091 ( 50020,  72163)";"1860";"21511 (14950, 28071)";"14143 (10225, 18061)";"1572 (1185, 1959)";"3929 (2944,  4913)";" 7072 ( 5300,  8843)";"27%"
"2014-11-16";"25";" 7821 ( 6797,  8846)";"194";" 59232 ( 48722,  69741)";"1806";"20893 (14593, 27193)";"13715 ( 9967, 17463)";"1533 (1162, 1904)";"3812 (2870,  4753)";" 6861 ( 5166,  8556)";"27%"
"2014-11-15";"24";" 7627 ( 6655,  8599)";"190";" 57425 ( 47455,  67396)";"1754";"20291 (14243, 26338)";"13298 ( 9714, 16882)";"1494 (1138, 1850)";"3698 (2798,  4598)";" 6656 ( 5036,  8277)";"27%"
"2014-11-14";"23";" 7438 ( 6516,  8360)";"185";" 55671 ( 46218,  65125)";"1703";"19703 (13901, 25504)";"12892 ( 9467, 16318)";"1457 (1116, 1797)";"3587 (2727,  4448)";" 6457 ( 4908,  8006)";"27%"
"2014-11-13";"22";" 7253 ( 6379,  8126)";"181";" 53968 ( 45011,  62926)";"1653";"19129 (13565, 24693)";"12498 ( 9226, 15770)";"1420 (1093, 1746)";"3479 (2657,  4301)";" 6263 ( 4783,  7743)";"28%"
