"Date";"Days from today";"Cases (reported/treated)";"New cases/day (reported/treated)";"Cases (total)";"New cases/day (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2014-11-21";"30";"20394 (17868, 22920)";"396";"146743 (121619, 171866)";"3684";"42542 (28691,  56392)";"28926 (20577, 37275)";"3262 (2442, 4081)";" 8047 (5950, 10144)";"14484 (10709, 18260)";"26%"
"2014-11-20";"29";"19998 (17581, 22415)";"388";"143059 (119101, 167017)";"3590";"41456 (28159,  54752)";"28165 (20168, 36163)";"3196 (2407, 3985)";" 7840 (5831,  9849)";"14113 (10496, 17729)";"27%"
"2014-11-19";"28";"19610 (17297, 21922)";"381";"139469 (116629, 162310)";"3498";"40396 (27634,  53158)";"27424 (19765, 35084)";"3132 (2373, 3891)";" 7639 (5715,  9563)";"13750 (10287, 17214)";"27%"
"2014-11-18";"27";"19229 (17017, 21440)";"374";"135971 (114203, 157740)";"3408";"39362 (27116,  51608)";"26703 (19369, 34036)";"3069 (2339, 3799)";" 7443 (5601,  9285)";"13397 (10081, 16714)";"27%"
"2014-11-17";"26";"18855 (16740, 20970)";"366";"132563 (111821, 153304)";"3321";"38354 (26605,  50102)";"26000 (18980, 33020)";"3008 (2306, 3710)";" 7252 (5488,  9016)";"13054 ( 9879, 16228)";"27%"
"2014-11-16";"25";"18489 (16467, 20511)";"359";"129242 (109485, 148999)";"3236";"37370 (26102,  48638)";"25316 (18598, 32035)";"2947 (2272, 3622)";" 7066 (5378,  8754)";"12719 ( 9680, 15757)";"27%"
"2014-11-15";"24";"18130 (16197, 20062)";"352";"126006 (107192, 144820)";"3153";"36411 (25606,  47216)";"24651 (18222, 31079)";"2888 (2240, 3537)";" 6885 (5270,  8500)";"12393 ( 9485, 15300)";"27%"
"2014-11-14";"23";"17778 (15931, 19624)";"345";"122853 (104942, 140764)";"3072";"35477 (25118,  45835)";"24003 (17853, 30153)";"2831 (2207, 3454)";" 6708 (5163,  8254)";"12075 ( 9294, 14857)";"27%"
"2014-11-13";"22";"17432 (15668, 19197)";"339";"119781 (102735, 136827)";"2993";"34566 (24637,  44494)";"23373 (17491, 29254)";"2774 (2175, 3374)";" 6537 (5059,  8015)";"11766 ( 9106, 14427)";"28%"
"2014-11-12";"21";"17094 (15408, 18779)";"332";"116788 (100570, 133007)";"2916";"33678 (24163,  43192)";"22759 (17135, 28383)";"2719 (2144, 3295)";" 6370 (4956,  7783)";"11465 ( 8921, 14009)";"28%"
"2014-11-11";"20";"16762 (15152, 18372)";"326";"113872 ( 98445, 129299)";"2841";"32813 (23697,  41929)";"22162 (16785, 27539)";"2665 (2113, 3218)";" 6207 (4856,  7558)";"11172 ( 8740, 13605)";"28%"
"2014-11-10";"19";"16436 (14899, 17974)";"319";"111031 ( 96361, 125701)";"2768";"31970 (23238,  40702)";"21582 (16442, 26721)";"2613 (2082, 3143)";" 6049 (4757,  7340)";"10887 ( 8562, 13212)";"28%"
"2014-11-09";"18";"16117 (14649, 17585)";"313";"108263 ( 94317, 122209)";"2697";"31150 (22787,  39512)";"21017 (16106, 25928)";"2561 (2052, 3070)";" 5894 (4660,  7129)";"10610 ( 8388, 12832)";"28%"
"2014-11-08";"17";"15804 (14402, 17206)";"307";"105566 ( 92311, 118820)";"2628";"30350 (22343,  38358)";"20468 (15776, 25160)";"2510 (2022, 2999)";" 5745 (4565,  6924)";"10340 ( 8217, 12463)";"28%"
"2014-11-07";"16";"15497 (14159, 16836)";"301";"102937 ( 90344, 115531)";"2561";"29572 (21907,  37237)";"19934 (15452, 24416)";"2461 (1992, 2930)";" 5599 (4472,  6725)";"10078 ( 8050, 12106)";"28%"
"2014-11-06";"15";"15196 (13918, 16474)";"295";"100377 ( 88414, 112339)";"2495";"28815 (21478,  36151)";"19414 (15134, 23695)";"2413 (1963, 2862)";" 5457 (4381,  6533)";" 9822 ( 7885, 11759)";"29%"
"2014-11-05";"14";"14901 (13680, 16121)";"290";" 97882 ( 86521, 109242)";"2431";"28077 (21057,  35097)";"18909 (14822, 22996)";"2366 (1935, 2797)";" 5319 (4291,  6346)";" 9574 ( 7724, 11423)";"29%"
"2014-11-04";"13";"14611 (13446, 15776)";"284";" 95450 ( 84665, 106236)";"2369";"27359 (20642,  34076)";"18418 (14517, 22319)";"2320 (1906, 2733)";" 5184 (4204,  6165)";" 9332 ( 7567, 11097)";"29%"
"2014-11-03";"12";"14327 (13214, 15440)";"279";" 93081 ( 82843, 103319)";"2309";"26660 (20236,  33085)";"17941 (14218, 21664)";"2274 (1878, 2670)";" 5054 (4118,  5990)";" 9097 ( 7412, 10782)";"29%"
"2014-11-02";"11";"14048 (12985, 15112)";"273";" 90773 ( 81057, 100489)";"2250";"25980 (19836,  32124)";"17477 (13924, 21029)";"2230 (1851, 2610)";" 4927 (4034,  5820)";" 8868 ( 7261, 10476)";"29%"
"2014-11-01";"10";"13775 (12758, 14791)";"268";" 88523 ( 79304,  97741)";"2193";"25318 (19444,  31193)";"17025 (13637, 20414)";"2187 (1824, 2551)";" 4803 (3951,  5655)";" 8646 ( 7112, 10179)";"29%"
"2014-10-31";"9";"13507 (12535, 14478)";"263";" 86330 ( 77585,  95076)";"2137";"24675 (19059,  30291)";"16587 (13355, 19818)";"2145 (1797, 2493)";" 4683 (3870,  5496)";" 8429 ( 6967,  9892)";"29%"
"2014-10-30";"8";"13244 (12314, 14173)";"258";" 84193 ( 75899,  92488)";"2083";"24048 (18681,  29416)";"16160 (13080, 19241)";"2104 (1771, 2437)";" 4566 (3791,  5341)";" 8219 ( 6825,  9613)";"30%"
"2014-10-29";"7";"12985 (12096, 13875)";"253";" 82111 ( 74244,  89978)";"2030";"23439 (18310,  28568)";"15746 (12809, 18683)";"2064 (1745, 2382)";" 4452 (3714,  5191)";" 8014 ( 6685,  9344)";"30%"
"2014-10-28";"6";"12732 (11881, 13584)";"249";" 80081 ( 72621,  87541)";"1979";"22846 (17946,  27746)";"15343 (12545, 18142)";"2025 (1720, 2329)";" 4342 (3638,  5046)";" 7815 ( 6549,  9082)";"30%"
"2014-10-27";"5";"12484 (11668, 13300)";"244";" 78102 ( 71028,  85177)";"1929";"22269 (17589,  26949)";"14952 (12286, 17618)";"1986 (1695, 2277)";" 4234 (3564,  4905)";" 7622 ( 6415,  8829)";"30%"
"2014-10-26";"4";"12240 (11457, 13022)";"239";" 76174 ( 69465,  82882)";"1880";"21708 (17239,  26178)";"14571 (12032, 17110)";"1949 (1670, 2227)";" 4130 (3491,  4769)";" 7434 ( 6285,  8583)";"30%"
"2014-10-25";"3";"12000 (11249, 12752)";"235";" 74293 ( 67931,  80655)";"1833";"21163 (16896,  25430)";"14202 (11784, 16619)";"1912 (1646, 2178)";" 4028 (3420,  4636)";" 7251 ( 6157,  8345)";"30%"
"2014-10-24";"2";"11765 (11044, 12487)";"231";" 72460 ( 66426,  78494)";"1787";"20632 (16559,  24705)";"13842 (11541, 16143)";"1876 (1622, 2130)";" 3930 (3351,  4508)";" 7073 ( 6031,  8115)";"30%"
"2014-10-23";"1";"11535 (10840, 12229)";"226";" 70673 ( 64949,  76397)";"1742";"20116 (16230,  24003)";"13493 (11303, 15683)";"1841 (1599, 2083)";" 3833 (3283,  4384)";" 6900 ( 5909,  7892)";"31%"
"2014-10-22";"0";"11309 (10640, 11978)";"222";" 68931 ( 63499,  74362)";"1699";"19615 (15906,  23323)";"13153 (11071, 15236)";"1807 (1576, 2038)";" 3740 (3216,  4264)";" 6732 ( 5789,  7675)";"31%"
"2014-10-21";"-1";"11086 (10441, 11732)";"218";" 67232 ( 62076,  72388)";"1657";"19127 (15590,  22664)";"12824 (10843, 14804)";"1773 (1553, 1994)";" 3649 (3151,  4148)";" 6569 ( 5672,  7466)";"31%"
"2014-10-20";"-2";"10868 (10245, 11492)";"214";" 65575 ( 60678,  70471)";"1616";"18652 (15279,  22025)";"12503 (10620, 14386)";"1741 (1530, 1951)";" 3561 (3087,  4035)";" 6410 ( 5557,  7262)";"31%"
"2014-10-19";"-3";"10654 (10051, 11257)";"210";" 63959 ( 59306,  68612)";"1576";"18191 (14975,  21407)";"12192 (10402, 13981)";"1709 (1508, 1909)";" 3475 (3025,  3925)";" 6255 ( 5445,  7065)";"31%"
"2014-10-18";"-4";"10444 ( 9860, 11028)";"204";" 62383 ( 57959,  66807)";"1520";"17742 (14678,  20807)";"11889 (10189, 13589)";"1678 (1487, 1869)";" 3392 (2964,  3819)";" 6105 ( 5335,  6875)";"31%"
"2014-10-17";"-5";"10240 ( 9668, 10812)";"203";" 60863 ( 56626,  65101)";"1500";"17311 (14389,  20233)";"11598 ( 9982, 13214)";"1648 (1465, 1830)";" 3311 (2905,  3718)";" 5961 ( 5229,  6693)";"31%"
"2014-10-16";"-6";"10037 ( 9481, 10594)";"199";" 59364 ( 55326,  63401)";"1463";"16887 (14104,  19670)";"11312 ( 9778, 12847)";"1618 (1444, 1792)";" 3232 (2846,  3619)";" 5818 ( 5123,  6513)";"32%"
"2014-10-15";"-7";" 9838 ( 9297, 10380)";"196";" 57900 ( 54049,  61752)";"1427";"16475 (13824,  19125)";"11034 ( 9578, 12491)";"1589 (1423, 1754)";" 3156 (2789,  3522)";" 5680 ( 5021,  6340)";"32%"
"2014-10-14";"-8";" 9643 ( 9114, 10171)";"192";" 56473 ( 52795,  60151)";"1393";"16074 (13550,  18597)";"10764 ( 9382, 12146)";"1560 (1403, 1718)";" 3081 (2733,  3429)";" 5546 ( 4920,  6172)";"32%"
"2014-10-13";"-9";" 9450 ( 8934,  9966)";"189";" 55080 ( 51563,  58598)";"1359";"15684 (13282,  18086)";"10501 ( 9191, 11812)";"1532 (1382, 1682)";" 3008 (2679,  3338)";" 5415 ( 4822,  6009)";"32%"
"2014-10-12";"-10";" 9262 ( 8757,  9766)";"186";" 53721 ( 50352,  57090)";"1326";"15305 (13020,  17590)";"10246 ( 9004, 11489)";"1505 (1362, 1648)";" 2938 (2625,  3250)";" 5288 ( 4725,  5851)";"32%"
"2014-10-11";"-11";" 9076 ( 8581,  9570)";"182";" 52395 ( 49164,  55626)";"1294";"14936 (12763,  17110)";" 9998 ( 8821, 11176)";"1479 (1343, 1614)";" 2869 (2573,  3165)";" 5165 ( 4631,  5698)";"32%"
"2014-10-10";"-12";" 8894 ( 8409,  9379)";"179";" 51100 ( 47996,  54205)";"1263";"14578 (12511,  16645)";" 9757 ( 8642, 10873)";"1453 (1323, 1582)";" 2802 (2522,  3083)";" 5044 ( 4539,  5550)";"33%"
"2014-10-09";"-13";" 8715 ( 8238,  9191)";"176";" 49837 ( 46848,  52826)";"1233";"14230 (12265,  16194)";" 9523 ( 8466, 10579)";"1427 (1304, 1550)";" 2737 (2472,  3003)";" 4927 ( 4449,  5406)";"33%"
"2014-10-08";"-14";" 8539 ( 8070,  9007)";"173";" 48604 ( 45721,  51486)";"1204";"13891 (12024,  15758)";" 9295 ( 8295, 10295)";"1402 (1285, 1520)";" 2674 (2423,  2926)";" 4814 ( 4361,  5267)";"33%"
"2014-10-07";"-15";" 8365 ( 7904,  8827)";"170";" 47400 ( 44614,  50185)";"1175";"13562 (11788,  15335)";" 9074 ( 8127, 10020)";"1378 (1266, 1490)";" 2613 (2375,  2851)";" 4703 ( 4274,  5132)";"33%"
"2014-10-06";"-16";" 8195 ( 7741,  8650)";"167";" 46224 ( 43528,  48921)";"1148";"13241 (11557,  14925)";" 8858 ( 7962,  9754)";"1354 (1247, 1461)";" 2553 (2328,  2779)";" 4596 ( 4190,  5002)";"33%"
"2014-10-05";"-17";" 8028 ( 7580,  8477)";"164";" 45076 ( 42460,  47692)";"1121";"12930 (11332,  14528)";" 8649 ( 7801,  9497)";"1331 (1229, 1433)";" 2495 (2281,  2709)";" 4491 ( 4107,  4875)";"33%"
"2014-10-04";"-18";" 7864 ( 7421,  8307)";"162";" 43956 ( 41413,  46498)";"1095";"12627 (11110,  14144)";" 8446 ( 7643,  9248)";"1308 (1210, 1406)";" 2438 (2236,  2641)";" 4389 ( 4025,  4753)";"33%"
"2014-10-03";"-19";" 7702 ( 7265,  8139)";"159";" 42861 ( 40385,  45337)";"1069";"12333 (10894,  13771)";" 8248 ( 7489,  9007)";"1286 (1192, 1380)";" 2383 (2192,  2575)";" 4290 ( 3946,  4634)";"34%"
"2014-10-02";"-20";" 7543 ( 7111,  7975)";"156";" 41792 ( 39376,  44208)";"1044";"12046 (10682,  13410)";" 8056 ( 7337,  8774)";"1264 (1174, 1354)";" 2330 (2149,  2511)";" 4194 ( 3868,  4520)";"34%"
"2014-10-01";"-21";" 7387 ( 6960,  7814)";"154";" 40747 ( 38386,  43109)";"1020";"11768 (10475,  13061)";" 7869 ( 7188,  8549)";"1243 (1155, 1330)";" 2278 (2106,  2449)";" 4100 ( 3791,  4409)";"34%"
"2014-09-30";"-22";" 7233 ( 6811,  7655)";"151";" 39727 ( 37416,  42038)";"997";"11497 (10271,  12722)";" 7687 ( 7042,  8331)";"1222 (1137, 1306)";" 2227 (2065,  2390)";" 4009 ( 3716,  4301)";"34%"
"2014-09-29";"-23";" 7082 ( 6665,  7499)";"149";" 38730 ( 36464,  40996)";"974";"11233 (10072,  12395)";" 7510 ( 6899,  8121)";"1201 (1119, 1283)";" 2178 (2024,  2332)";" 3920 ( 3643,  4197)";"34%"
"2014-09-28";"-24";" 6933 ( 6521,  7346)";"146";" 37756 ( 35531,  39981)";"952";"10977 ( 9877,  12077)";" 7338 ( 6758,  7918)";"1181 (1101, 1261)";" 2130 (1983,  2276)";" 3834 ( 3570,  4097)";"34%"
